state,district,year,dry_chillies_whole_year_yield_tonne_per_hectare
,,2011 - 2012,0.47
,,2012 - 2013,1.03
,,2013 - 2014,0.5
,,2015 - 2016,1.57
,,2016 - 2017,1.6
,,2017 - 2018,1.62
,,2018 - 2019,1.62
,Sheopur,2000 - 2001,0.49
,,2001 - 2002,0.68
,,2002 - 2003,0.57
,,2003 - 2004,0.9
,,2006 - 2007,0.87
,,2009 - 2010,1.82
,,2010 - 2011,2.67
,,2011 - 2012,1.54
,,2012 - 2013,1.55
,,2015 - 2016,6.5
,,2016 - 2017,4.72
,,2017 - 2018,4.72
,,2018 - 2019,4.72
,Shivpuri,2000 - 2001,0.46
,,2001 - 2002,0.61
,,2002 - 2003,0.43
,,2003 - 2004,0.83
,,2006 - 2007,0.68
,,2009 - 2010,1.62
,,2010 - 2011,2.26
,,2011 - 2012,1.23
,,2012 - 2013,1.55
,,2013 - 2014,0.97
,,2015 - 2016,4.0
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,Sidhi,2000 - 2001,0.15
,,2001 - 2002,0.25
,,2002 - 2003,0.25
,,2003 - 2004,0.28
,,2006 - 2007,0.29
,,2009 - 2010,0.56
,,2010 - 2011,0.73
,,2011 - 2012,0.45
,,2012 - 2013,0.57
,,2013 - 2014,0.46
,,2015 - 2016,0.8
,,2016 - 2017,0.94
,,2017 - 2018,0.97
,,2018 - 2019,0.97
,Singrauli,2009 - 2010,0.75
,,2010 - 2011,0.89
,,2011 - 2012,0.74
,,2012 - 2013,4.0
,,2013 - 2014,2.23
,,2015 - 2016,1.6
,,2016 - 2017,1.6
,,2017 - 2018,1.8
,,2018 - 2019,2.0
,Tikamgarh,2000 - 2001,0.41
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.59
,,2006 - 2007,0.63
,,2009 - 2010,1.11
,,2010 - 2011,1.44
,,2011 - 2012,0.98
,,2012 - 2013,1.41
,,2013 - 2014,0.74
,,2015 - 2016,2.5
,,2016 - 2017,7.25
,,2017 - 2018,2.0
,,2018 - 2019,2.2
,Ujjain,2000 - 2001,0.29
,,2001 - 2002,0.35
,,2002 - 2003,0.42
,,2003 - 2004,0.79
,,2006 - 2007,0.93
,,2009 - 2010,1.67
,,2010 - 2011,2.47
,,2011 - 2012,1.57
,,2012 - 2013,2.47
,,2013 - 2014,1.35
,,2015 - 2016,2.25
,,2016 - 2017,3.0
,,2017 - 2018,3.15
,,2018 - 2019,3.2
,Umaria,2000 - 2001,0.27
,,2001 - 2002,0.29
,,2002 - 2003,0.48
,,2003 - 2004,0.31
,,2006 - 2007,0.43
,,2009 - 2010,0.78
,,2010 - 2011,1.13
,,2011 - 2012,0.67
,,2012 - 2013,0.8
,,2013 - 2014,0.59
,,2015 - 2016,1.0
,,2016 - 2017,7.71
,,2017 - 2018,2.49
,,2018 - 2019,2.5
,Vidisha,2000 - 2001,0.25
,,2001 - 2002,0.37
,,2002 - 2003,0.39
,,2003 - 2004,0.41
,,2006 - 2007,0.52
,,2009 - 2010,0.96
,,2010 - 2011,1.38
,,2011 - 2012,1.07
,,2012 - 2013,1.17
,,2013 - 2014,0.59
,,2015 - 2016,2.0
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,1.5
Manipur,Bishnupur,2000 - 2001,0.58
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.6
,,2005 - 2006,0.59
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,7.84
,,2009 - 2010,7.9
,,2010 - 2011,7.95
,,2011 - 2012,7.6
,,2012 - 2013,7.9
,,2013 - 2014,7.89
,,2014 - 2015,7.89
,,2015 - 2016,7.76
,,2016 - 2017,8.0
,,2017 - 2018,7.99
,,2018 - 2019,7.95
,,2019 - 2020,7.97
,Chandel,2000 - 2001,1.0
,,2001 - 2002,0.64
,,2002 - 2003,0.44
,,2003 - 2004,0.6
,,2004 - 2005,0.57
,,2005 - 2006,0.56
,,2006 - 2007,0.64
,,2007 - 2008,0.67
,,2008 - 2009,7.83
,,2009 - 2010,7.81
,,2010 - 2011,7.91
,,2011 - 2012,7.6
,,2012 - 2013,7.9
,,2013 - 2014,7.89
,,2014 - 2015,7.84
,,2015 - 2016,8.0
,,2016 - 2017,8.0
,,2017 - 2018,8.7
,,2018 - 2019,8.7
,,2019 - 2020,10.5
,Churachandpur,2000 - 2001,0.6
,,2001 - 2002,0.09
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,7.04
,,2009 - 2010,7.04
,,2010 - 2011,7.12
,,2011 - 2012,7.6
,,2012 - 2013,7.9
,,2013 - 2014,7.89
,,2014 - 2015,9.0
,,2016 - 2017,6.0
,,2017 - 2018,5.97
,,2018 - 2019,5.95
,,2019 - 2020,6.5
,Imphal east,2000 - 2001,0.61
,,2001 - 2002,0.61
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.61
,,2005 - 2006,0.59
,,2006 - 2007,0.6
,,2007 - 2008,0.61
,,2008 - 2009,7.5
,,2009 - 2010,7.6
,,2010 - 2011,8.02
,,2011 - 2012,7.6
,,2012 - 2013,7.9
,,2013 - 2014,7.89
,,2014 - 2015,7.98
,,2015 - 2016,8.78
,,2016 - 2017,8.85
,,2017 - 2018,9.12
,,2018 - 2019,8.84
,,2019 - 2020,6.68
,Imphal west,2000 - 2001,0.63
,,2001 - 2002,0.6
,,2002 - 2003,0.61
,,2003 - 2004,0.61
,,2004 - 2005,0.61
,,2005 - 2006,0.59
,,2006 - 2007,0.6
,,2007 - 2008,0.59
,,2008 - 2009,7.51
,,2009 - 2010,7.6
,,2010 - 2011,7.12
,,2011 - 2012,7.6
,,2012 - 2013,7.9
,,2013 - 2014,7.89
,,2014 - 2015,7.93
,,2015 - 2016,7.73
,,2016 - 2017,7.77
,,2017 - 2018,7.77
,,2018 - 2019,7.28
,,2019 - 2020,7.28
,Senapati,2000 - 2001,0.61
,,2001 - 2002,2.03
,,2002 - 2003,0.62
,,2003 - 2004,0.61
,,2004 - 2005,0.59
,,2005 - 2006,0.6
,,2006 - 2007,0.62
,,2007 - 2008,0.62
,,2008 - 2009,7.17
,,2009 - 2010,7.15
,,2010 - 2011,7.11
,,2011 - 2012,7.6
,,2012 - 2013,7.9
,,2013 - 2014,7.89
,,2014 - 2015,7.89
,,2019 - 2020,10.8
,Tamenglong,2000 - 2001,0.61
,,2001 - 2002,1.25
,,2002 - 2003,0.61
,,2003 - 2004,0.61
,,2004 - 2005,0.59
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,7.4
,,2009 - 2010,7.41
,,2010 - 2011,7.53
,,2011 - 2012,7.6
,,2012 - 2013,7.9
,,2013 - 2014,7.89
,,2014 - 2015,7.88
,,2018 - 2019,18.57
,,2019 - 2020,5.63
,Thoubal,2000 - 2001,0.6
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,7.53
,,2009 - 2010,7.6
,,2010 - 2011,7.65
,,2011 - 2012,7.6
,,2012 - 2013,7.9
,,2013 - 2014,7.89
,,2014 - 2015,7.87
,,2015 - 2016,6.66
,,2016 - 2017,6.66
,,2017 - 2018,6.76
,,2018 - 2019,6.75
,,2019 - 2020,6.78
,Ukhrul,2000 - 2001,0.6
,,2001 - 2002,0.6
,,2002 - 2003,0.61
,,2003 - 2004,0.06
,,2004 - 2005,0.61
,,2005 - 2006,0.59
,,2006 - 2007,0.59
,,2007 - 2008,0.59
,,2008 - 2009,7.52
,,2009 - 2010,7.52
,,2010 - 2011,7.54
,,2011 - 2012,7.6
,,2012 - 2013,7.9
,,2013 - 2014,7.89
,,2014 - 2015,7.87
,,2017 - 2018,8.67
,,2018 - 2019,5.2
,,2019 - 2020,10.28
Meghalaya,East garo hills,2000 - 2001,0.6
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.6
,,2005 - 2006,0.59
,,2006 - 2007,
,,2008 - 2009,0.6
,,2010 - 2011,0.59
,,2011 - 2012,0.59
,,2012 - 2013,0.62
,,2013 - 2014,0.67
,,2014 - 2015,0.72
,,2015 - 2016,0.77
,,2016 - 2017,0.78
,,2017 - 2018,0.79
,,2018 - 2019,0.79
,,2019 - 2020,0.79
,,2020 - 2021,0.79
,East jaintia hills,2000 - 2001,0.79
,,2001 - 2002,0.77
,,2002 - 2003,0.78
,,2003 - 2004,0.77
,,2004 - 2005,1.5
,,2005 - 2006,0.77
,,2006 - 2007,
,,2008 - 2009,0.8
,,2010 - 2011,0.8
,,2011 - 2012,0.8
,,2012 - 2013,0.85
,,2013 - 2014,0.89
,,2014 - 2015,0.95
,,2015 - 2016,1.05
,,2016 - 2017,1.19
,,2017 - 2018,1.19
,,2018 - 2019,1.19
,,2019 - 2020,1.19
,,2020 - 2021,1.19
,East khasi hills,2000 - 2001,0.63
,,2001 - 2002,0.66
,,2002 - 2003,0.69
,,2003 - 2004,0.66
,,2004 - 2005,0.72
,,2005 - 2006,0.72
,,2006 - 2007,
,,2008 - 2009,1.77
,,2010 - 2011,2.09
,,2011 - 2012,2.1
,,2012 - 2013,2.22
,,2013 - 2014,2.31
,,2014 - 2015,2.42
,,2015 - 2016,2.48
,,2016 - 2017,2.79
,,2017 - 2018,2.8
,,2018 - 2019,2.8
,,2019 - 2020,2.8
,,2020 - 2021,2.8
,North garo hills,2013 - 2014,0.57
,,2014 - 2015,0.59
,,2015 - 2016,0.64
,,2016 - 2017,0.75
,,2017 - 2018,0.76
,,2018 - 2019,0.76
,,2019 - 2020,0.76
,,2020 - 2021,0.76
,Ri bhoi,2000 - 2001,0.78
,,2001 - 2002,0.8
,,2002 - 2003,0.51
,,2003 - 2004,0.83
,,2004 - 2005,1.3
,,2005 - 2006,1.57
,,2006 - 2007,
,,2008 - 2009,1.56
,,2010 - 2011,1.53
,,2011 - 2012,1.55
,,2012 - 2013,1.63
,,2013 - 2014,1.69
,,2014 - 2015,1.76
,,2015 - 2016,1.9
,,2016 - 2017,2.03
,,2017 - 2018,2.03
,,2018 - 2019,2.03
,,2019 - 2020,2.03
,,2020 - 2021,1.87
,South garo hills,2000 - 2001,0.63
,,2001 - 2002,0.64
,,2002 - 2003,0.63
,,2003 - 2004,0.7
,,2004 - 2005,0.59
,,2005 - 2006,0.62
,,2006 - 2007,
,,2008 - 2009,0.61
,,2010 - 2011,0.61
,,2011 - 2012,0.62
,,2012 - 2013,0.65
,,2013 - 2014,0.67
,,2014 - 2015,0.69
,,2015 - 2016,0.73
,,2016 - 2017,0.76
,,2017 - 2018,0.76
,,2018 - 2019,0.76
,,2019 - 2020,0.76
,,2020 - 2021,0.76
,South west garo hills,2013 - 2014,0.7
,,2014 - 2015,0.74
,,2015 - 2016,0.78
,,2016 - 2017,0.82
,,2017 - 2018,0.83
,,2018 - 2019,0.83
,,2019 - 2020,0.83
,,2020 - 2021,0.83
,South west khasi hills,2013 - 2014,1.15
,,2014 - 2015,1.19
,,2015 - 2016,1.23
,,2016 - 2017,1.3
,,2017 - 2018,1.3
,,2018 - 2019,1.3
,,2019 - 2020,1.3
,,2020 - 2021,1.3
,West garo hills,2000 - 2001,0.62
,,2001 - 2002,0.62
,,2002 - 2003,0.62
,,2003 - 2004,0.62
,,2004 - 2005,0.62
,,2005 - 2006,0.62
,,2006 - 2007,
,,2008 - 2009,0.64
,,2010 - 2011,0.63
,,2011 - 2012,0.65
,,2012 - 2013,0.68
,,2013 - 2014,0.71
,,2014 - 2015,0.72
,,2015 - 2016,0.74
,,2016 - 2017,0.82
,,2017 - 2018,0.82
,,2018 - 2019,0.82
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,West jaintia hills,2013 - 2014,0.9
,,2014 - 2015,0.95
,,2015 - 2016,1.02
,,2016 - 2017,1.14
,,2017 - 2018,1.14
,,2018 - 2019,1.14
,,2019 - 2020,1.14
,,2020 - 2021,1.14
,West khasi hills,2000 - 2001,0.51
,,2001 - 2002,0.5
,,2002 - 2003,0.51
,,2003 - 2004,0.52
,,2004 - 2005,0.58
,,2005 - 2006,0.71
,,2006 - 2007,
,,2008 - 2009,0.81
,,2010 - 2011,0.96
,,2011 - 2012,0.98
,,2012 - 2013,1.0
,,2013 - 2014,0.97
,,2014 - 2015,0.98
,,2015 - 2016,1.02
,,2016 - 2017,1.05
,,2017 - 2018,1.05
,,2018 - 2019,1.05
,,2019 - 2020,1.05
,,2020 - 2021,1.05
Nagaland,Dimapur,2007 - 2008,
,,2008 - 2009,
,Kiphire,2008 - 2009,
,Kohima,2007 - 2008,
,,2008 - 2009,
,Longleng,2008 - 2009,
,Mokokchung,2007 - 2008,
,,2008 - 2009,
,Mon,2007 - 2008,
,,2008 - 2009,
,Peren,2008 - 2009,
,Phek,2007 - 2008,
,,2008 - 2009,
,Tuensang,2007 - 2008,
,,2008 - 2009,
,Wokha,2007 - 2008,
,,2008 - 2009,
,Zunheboto,2007 - 2008,
,,2008 - 2009,
Odisha,Anugul,2000 - 2001,0.85
,,2001 - 2002,0.85
,,2002 - 2003,0.85
,,2003 - 2004,0.85
,,2004 - 2005,0.85
,,2019 - 2020,
,Balangir,2000 - 2001,0.78
,,2001 - 2002,0.77
,,2002 - 2003,0.77
,,2003 - 2004,0.8
,,2004 - 2005,0.8
,,2019 - 2020,
,Baleshwar,2000 - 2001,0.86
,,2001 - 2002,0.85
,,2002 - 2003,0.86
,,2003 - 2004,0.86
,,2004 - 2005,0.86
,,2019 - 2020,
,Bargarh,2000 - 2001,0.85
,,2001 - 2002,0.84
,,2002 - 2003,0.84
,,2003 - 2004,0.86
,,2004 - 2005,0.86
,,2019 - 2020,
,Bhadrak,2000 - 2001,0.8
,,2001 - 2002,0.84
,,2002 - 2003,0.81
,,2003 - 2004,0.81
,,2004 - 2005,0.81
,,2019 - 2020,
,Boudh,2000 - 2001,0.8
,,2001 - 2002,0.83
,,2002 - 2003,0.76
,,2003 - 2004,0.77
,,2004 - 2005,0.77
,,2019 - 2020,
,Cuttack,2000 - 2001,0.88
,,2001 - 2002,0.86
,,2002 - 2003,0.85
,,2003 - 2004,0.85
,,2004 - 2005,0.85
,,2019 - 2020,
,Deogarh,2000 - 2001,0.8
,,2001 - 2002,0.81
,,2002 - 2003,0.84
,,2003 - 2004,0.86
,,2004 - 2005,0.86
,,2019 - 2020,
,Dhenkanal,2000 - 2001,0.85
,,2001 - 2002,0.85
,,2002 - 2003,0.85
,,2003 - 2004,0.85
,,2004 - 2005,0.85
,,2019 - 2020,
,Gajapati,2000 - 2001,0.77
,,2001 - 2002,0.79
,,2002 - 2003,0.85
,,2003 - 2004,0.85
,,2004 - 2005,0.85
,,2019 - 2020,
,Ganjam,2000 - 2001,0.87
,,2001 - 2002,0.87
,,2002 - 2003,0.88
,,2003 - 2004,0.88
,,2004 - 2005,0.88
,,2019 - 2020,
,Jagatsinghapur,2000 - 2001,0.87
,,2001 - 2002,0.89
,,2002 - 2003,0.85
,,2003 - 2004,0.85
,,2004 - 2005,0.85
,,2019 - 2020,
,Jajapur,2000 - 2001,0.84
,,2001 - 2002,0.86
,,2002 - 2003,0.84
,,2003 - 2004,0.84
,,2004 - 2005,0.84
,,2019 - 2020,
,Jharsuguda,2000 - 2001,0.83
,,2001 - 2002,0.78
,,2002 - 2003,0.83
,,2003 - 2004,0.86
,,2004 - 2005,0.86
,,2019 - 2020,
,Kalahandi,2000 - 2001,0.88
,,2001 - 2002,0.78
,,2002 - 2003,0.78
,,2003 - 2004,0.78
,,2004 - 2005,0.78
,,2019 - 2020,
,Kandhamal,2000 - 2001,0.82
,,2001 - 2002,0.8
,,2002 - 2003,0.71
,,2003 - 2004,0.75
,,2004 - 2005,0.75
,,2019 - 2020,
,Kendrapara,2000 - 2001,0.85
,,2001 - 2002,0.85
,,2002 - 2003,0.85
,,2003 - 2004,0.85
,,2004 - 2005,0.85
,,2019 - 2020,
,Kendujhar,2000 - 2001,0.86
,,2001 - 2002,0.88
,,2002 - 2003,0.88
,,2003 - 2004,0.87
,,2004 - 2005,0.88
,,2019 - 2020,
,Khordha,2000 - 2001,0.8
,,2001 - 2002,0.85
,,2002 - 2003,0.85
,,2003 - 2004,0.85
,,2004 - 2005,0.86
,,2019 - 2020,
,Koraput,2000 - 2001,0.88
,,2001 - 2002,0.88
,,2002 - 2003,0.79
,,2003 - 2004,0.79
,,2004 - 2005,0.79
,,2019 - 2020,
,Malkangiri,2000 - 2001,0.85
,,2001 - 2002,0.85
,,2002 - 2003,0.86
,,2003 - 2004,0.86
,,2004 - 2005,0.86
,,2019 - 2020,
,Mayurbhanj,2000 - 2001,0.88
,,2001 - 2002,0.88
,,2002 - 2003,0.88
,,2003 - 2004,0.88
,,2004 - 2005,0.88
,,2019 - 2020,
,Nabarangpur,2000 - 2001,0.82
,,2001 - 2002,0.88
,,2002 - 2003,0.85
,,2003 - 2004,0.85
,,2004 - 2005,0.85
,,2019 - 2020,
,Nayagarh,2000 - 2001,0.79
,,2001 - 2002,0.86
,,2002 - 2003,0.85
,,2003 - 2004,0.84
,,2004 - 2005,0.84
,,2019 - 2020,
,Nuapada,2000 - 2001,0.85
,,2001 - 2002,0.88
,,2002 - 2003,0.79
,,2003 - 2004,0.79
,,2004 - 2005,0.53
,,2019 - 2020,
,Puri,2000 - 2001,0.83
,,2001 - 2002,0.88
,,2002 - 2003,0.87
,,2003 - 2004,0.84
,,2004 - 2005,0.85
,,2019 - 2020,
,Rayagada,2000 - 2001,0.83
,,2001 - 2002,0.79
,,2002 - 2003,0.88
,,2003 - 2004,0.88
,,2004 - 2005,0.88
,,2019 - 2020,
,Sambalpur,2000 - 2001,0.84
,,2001 - 2002,0.88
,,2002 - 2003,0.84
,,2003 - 2004,0.86
,,2004 - 2005,0.86
,,2019 - 2020,
,Sonepur,2000 - 2001,0.83
,,2001 - 2002,0.83
,,2002 - 2003,0.82
,,2003 - 2004,0.83
,,2004 - 2005,0.82
,,2019 - 2020,
,Sundargarh,2000 - 2001,0.88
,,2001 - 2002,0.88
,,2002 - 2003,0.85
,,2003 - 2004,0.85
,,2004 - 2005,0.85
,,2019 - 2020,
Puducherry,Karaikal,2000 - 2001,2.0
,,2003 - 2004,2.0
,,2004 - 2005,2.0
,,2005 - 2006,2.0
,,2006 - 2007,
,,2007 - 2008,
,Mahe,2000 - 2001,2.0
,Pondicherry,2000 - 2001,3.71
,,2002 - 2003,2.57
,,2003 - 2004,3.0
,,2004 - 2005,2.73
,,2005 - 2006,2.14
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yanam,2000 - 2001,3.0
,,2003 - 2004,2.0
,,2004 - 2005,1.5
Rajasthan,Ajmer,2000 - 2001,0.27
,,2001 - 2002,0.82
,,2002 - 2003,0.09
,,2003 - 2004,1.05
,,2004 - 2005,1.01
,,2005 - 2006,0.56
,,2006 - 2007,0.66
,,2007 - 2008,0.57
,,2008 - 2009,0.75
,,2009 - 2010,0.27
,,2010 - 2011,0.79
,,2011 - 2012,0.92
,,2012 - 2013,0.95
,,2013 - 2014,1.31
,,2014 - 2015,1.19
,,2015 - 2016,1.16
,,2016 - 2017,1.37
,,2017 - 2018,2.05
,,2018 - 2019,1.45
,,2019 - 2020,1.67
,,2020 - 2021,1.3
,,2021 - 2022,1.35
,Alwar,2000 - 2001,0.83
,,2001 - 2002,0.5
,,2002 - 2003,0.11
,,2003 - 2004,1.68
,,2004 - 2005,1.33
,,2005 - 2006,1.38
,,2006 - 2007,2.9
,,2007 - 2008,1.77
,,2008 - 2009,1.68
,,2009 - 2010,1.2
,,2010 - 2011,1.35
,,2011 - 2012,1.48
,,2012 - 2013,1.12
,,2013 - 2014,1.13
,,2014 - 2015,1.12
,,2015 - 2016,0.86
,,2016 - 2017,0.86
,,2017 - 2018,0.98
,,2018 - 2019,0.94
,,2019 - 2020,0.95
,,2020 - 2021,0.91
,,2021 - 2022,1.05
,Banswara,2000 - 2001,0.09
,,2001 - 2002,0.37
,,2002 - 2003,0.25
,,2003 - 2004,0.56
,,2004 - 2005,0.26
,,2005 - 2006,0.32
,,2006 - 2007,0.05
,,2007 - 2008,0.56
,,2008 - 2009,0.3
,,2009 - 2010,0.09
,,2010 - 2011,0.36
,,2011 - 2012,0.44
,,2012 - 2013,0.45
,,2013 - 2014,0.2
,,2014 - 2015,0.25
,,2015 - 2016,0.17
,,2016 - 2017,0.75
,,2017 - 2018,0.91
,,2018 - 2019,0.7
,,2019 - 2020,0.24
,,2020 - 2021,1.09
,,2021 - 2022,1.1
,Baran,2000 - 2001,0.85
,,2001 - 2002,0.71
,,2002 - 2003,0.55
,,2003 - 2004,1.27
,,2004 - 2005,2.08
,,2005 - 2006,0.88
,,2006 - 2007,0.88
,,2007 - 2008,0.66
,,2008 - 2009,1.09
,,2009 - 2010,1.18
,,2010 - 2011,0.95
,,2011 - 2012,0.9
,,2012 - 2013,1.1
,,2013 - 2014,3.62
,,2014 - 2015,0.67
,,2015 - 2016,0.47
,,2016 - 2017,2.41
,,2018 - 2019,1.59
,,2019 - 2020,0.23
,,2020 - 2021,1.1
,,2021 - 2022,0.86
,Barmer,2000 - 2001,0.15
,,2001 - 2002,0.93
,,2002 - 2003,0.95
,,2003 - 2004,0.49
,,2004 - 2005,0.83
,,2006 - 2007,0.52
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,0.68
,,2010 - 2011,0.41
,,2011 - 2012,0.31
,,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.03
,,2015 - 2016,0.24
,,2016 - 2017,0.63
,,2017 - 2018,3.75
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,Bharatpur,2000 - 2001,1.81
,,2001 - 2002,3.32
,,2002 - 2003,1.07
,,2003 - 2004,2.49
,,2004 - 2005,4.75
,,2005 - 2006,4.7
,,2006 - 2007,3.5
,,2007 - 2008,3.06
,,2008 - 2009,5.49
,,2009 - 2010,4.45
,,2010 - 2011,2.28
,,2011 - 2012,2.78
,,2012 - 2013,3.99
,,2013 - 2014,2.19
,,2014 - 2015,3.28
,,2015 - 2016,3.62
,,2016 - 2017,5.32
,,2017 - 2018,5.17
,,2018 - 2019,4.73
,,2019 - 2020,2.39
,,2020 - 2021,2.91
,,2021 - 2022,1.65
,Bhilwara,2000 - 2001,0.51
,,2001 - 2002,0.97
,,2002 - 2003,0.22
,,2003 - 2004,0.68
,,2004 - 2005,0.61
,,2005 - 2006,0.28
,,2006 - 2007,0.65
,,2007 - 2008,1.3
,,2008 - 2009,0.67
,,2009 - 2010,0.6
,,2010 - 2011,1.35
,,2011 - 2012,1.99
,,2012 - 2013,2.16
,,2013 - 2014,2.12
,,2014 - 2015,1.98
,,2015 - 2016,1.53
,,2016 - 2017,2.1
,,2017 - 2018,2.21
,,2018 - 2019,1.39
,,2019 - 2020,1.37
,,2020 - 2021,1.2
,,2021 - 2022,1.96
,Bikaner,2000 - 2001,0.45
,,2001 - 2002,0.57
,,2002 - 2003,0.0
,,2003 - 2004,0.5
,,2004 - 2005,0.54
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,Bundi,2000 - 2001,1.5
,,2001 - 2002,0.81
,,2002 - 2003,0.87
,,2003 - 2004,0.99
,,2004 - 2005,1.09
,,2005 - 2006,1.2
,,2006 - 2007,1.01
,,2007 - 2008,1.17
,,2008 - 2009,1.72
,,2009 - 2010,0.69
,,2010 - 2011,1.27
,,2011 - 2012,1.17
,,2012 - 2013,0.86
,,2013 - 2014,0.36
,,2014 - 2015,0.67
,,2015 - 2016,0.89
,,2016 - 2017,1.22
,,2017 - 2018,0.0
,,2018 - 2019,0.77
,,2019 - 2020,0.19
,,2020 - 2021,0.82
,,2021 - 2022,3.0
,Chittorgarh,2000 - 2001,1.25
,,2001 - 2002,1.38
,,2002 - 2003,0.44
,,2003 - 2004,0.73
,,2004 - 2005,0.59
,,2005 - 2006,0.55
,,2006 - 2007,0.41
,,2007 - 2008,0.45
,,2008 - 2009,0.75
,,2009 - 2010,0.64
,,2010 - 2011,0.76
,,2011 - 2012,0.66
,,2012 - 2013,0.95
,,2013 - 2014,0.89
,,2014 - 2015,1.36
,,2015 - 2016,1.13
,,2016 - 2017,0.99
,,2017 - 2018,0.96
,,2018 - 2019,1.08
,,2019 - 2020,0.67
,,2020 - 2021,1.24
,,2021 - 2022,0.97
,Churu,2000 - 2001,0.33
,,2001 - 2002,0.17
,,2002 - 2003,1.0
,,2003 - 2004,0.0
,,2004 - 2005,1.0
,,2015 - 2016,0.0
,,2019 - 2020,0.67
,Dausa,2000 - 2001,2.58
,,2001 - 2002,0.72
,,2002 - 2003,0.86
,,2003 - 2004,0.94
,,2004 - 2005,0.6
,,2005 - 2006,0.75
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.12
,,2009 - 2010,0.0
,,2010 - 2011,2.0
,,2011 - 2012,1.17
,,2012 - 2013,2.04
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,0.75
,,2016 - 2017,1.0
,Dholpur,2000 - 2001,5.19
,,2001 - 2002,4.93
,,2002 - 2003,1.63
,,2003 - 2004,0.72
,,2004 - 2005,1.4
,,2005 - 2006,1.6
,,2006 - 2007,1.65
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,1.44
,,2010 - 2011,1.04
,,2011 - 2012,0.8
,,2012 - 2013,1.56
,,2013 - 2014,0.8
,,2014 - 2015,0.8
,,2015 - 2016,0.75
,,2016 - 2017,3.97
,,2017 - 2018,3.89
,,2018 - 2019,3.22
,,2019 - 2020,3.28
,,2020 - 2021,3.5
,,2021 - 2022,2.9
,Dungarpur,2000 - 2001,0.09
,,2001 - 2002,0.09
,,2002 - 2003,0.14
,,2003 - 2004,0.8
,,2004 - 2005,0.15
,,2005 - 2006,0.11
,,2006 - 2007,0.04
,,2007 - 2008,0.8
,,2008 - 2009,0.03
,,2009 - 2010,0.03
,,2010 - 2011,0.47
,,2011 - 2012,0.2
,,2012 - 2013,0.77
,,2013 - 2014,0.23
,,2014 - 2015,0.21
,,2015 - 2016,0.1
,,2016 - 2017,0.8
,,2017 - 2018,0.79
,,2018 - 2019,0.8
,,2019 - 2020,0.07
,,2020 - 2021,0.79
,,2021 - 2022,0.74
,Ganganagar,2000 - 2001,3.0
,,2001 - 2002,3.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.02
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,0.98
,,2009 - 2010,0.82
,,2010 - 2011,0.88
,,2011 - 2012,0.88
,,2012 - 2013,0.0
,,2013 - 2014,0.57
,,2014 - 2015,0.0
,,2015 - 2016,40.0
,,2016 - 2017,1.59
,,2017 - 2018,2.5
,,2018 - 2019,11.75
,,2019 - 2020,7.0
,,2020 - 2021,10.93
,,2021 - 2022,12.55
,Hanumangarh,2000 - 2001,1.0
