State,District,Year,Rice,,,,,,,,,,,,,,,,,
,,,Kharif,,,Autumn,,,Rabi,,,Summer,,,Winter,,,Whole Year,,
,,2019 - 2020,"1,42,284.00","4,09,067.00",2.88,,,,,,,"4,831.00","13,889.00",2.87,,,,,,
,,2020 - 2021,"1,40,933.00","4,48,731.00",3.18,,,,,,,"6,110.00","21,165.00",3.46,,,,,,
,,2021 - 2022,"1,45,243.00","4,08,859.00",2.81,,,,,,,"9,150.00","30,689.00",3.35,,,,,,
,,2022 - 2023,"1,42,022.00","3,86,016.00",2.72,,,,,,,"7,576.00","26,054.00",3.44,,,,,,
,63. Saharanpur,2000 - 2001,"71,743.00","1,70,555.00",2.38,,,,,,,"1,396.00","3,162.00",2.27,,,,,,
,,2001 - 2002,"64,769.00","1,46,049.00",2.25,,,,,,,,,,,,,,,
,,2002 - 2003,"57,907.00","1,34,817.00",2.33,,,,,,,,,,,,,,,
,,2003 - 2004,"57,924.00","1,19,053.00",2.06,,,,,,,3,6,2,,,,,,
,,2004 - 2005,"59,988.00","1,34,030.00",2.23,,,,,,,,,,,,,,,
,,2005 - 2006,"50,264.00","1,15,205.00",2.29,,,,,,,,,,,,,,,
,,2006 - 2007,"56,475.00","1,27,803.00",2.26,,,,,,,,,,,,,,,
,,2007 - 2008,"49,206.00","1,12,879.00",2.29,,,,,,,,,,,,,,,
,,2008 - 2009,"47,858.00","1,06,580.00",2.23,,,,,,,,,,,,,,,
,,2009 - 2010,"51,884.00","1,18,140.00",2.28,,,,,,,,,,,,,,,
,,2010 - 2011,"54,830.00","1,20,023.00",2.19,,,,,,,,,,,,,,,
,,2011 - 2012,"52,344.00","1,19,920.00",2.29,,,,,,,2,5,2.5,,,,,,
,,2012 - 2013,"54,042.00","1,41,428.00",2.62,,,,,,,,,,,,,,,
,,2013 - 2014,"57,786.00","1,41,345.00",2.45,,,,,,,,,,,,,,,
,,2014 - 2015,"62,552.00","1,55,629.00",2.49,,,,,,,,,,,,,,,
,,2015 - 2016,"72,546.00","1,65,623.00",2.28,,,,,,,,,,,,,,,
,,2016 - 2017,"57,538.00","1,42,176.00",2.47,,,,,,,,,,,,,,,
,,2017 - 2018,"57,090.00","1,52,659.00",2.67,,,,,,,,,,,,,,,
,,2018 - 2019,"58,734.00","1,48,068.00",2.52,,,,,,,,,,,,,,,
,,2019 - 2020,"59,700.00","1,61,369.00",2.7,,,,,,,20,54,2.7,,,,,,
,,2020 - 2021,"58,334.00","1,65,785.00",2.84,,,,,,,,,,,,,,,
,,2021 - 2022,"58,256.00","1,61,486.00",2.77,,,,,,,,,,,,,,,
,,2022 - 2023,"57,811.00","1,42,273.00",2.46,,,,,,,101,347,3.44,,,,,,
,64. Sambhal,2012 - 2013,"35,823.00","86,262.00",2.41,,,,,,,,,,,,,,,
,,2013 - 2014,"40,134.00","92,388.00",2.3,,,,,,,,,,,,,,,
,,2014 - 2015,"35,060.00","76,746.00",2.19,,,,,,,,,,,,,,,
,,2015 - 2016,"34,112.00","78,492.00",2.3,,,,,,,,,,,,,,,
,,2016 - 2017,"37,130.00","83,283.00",2.24,,,,,,,,,,,,,,,
,,2017 - 2018,"37,703.00","97,462.00",2.58,,,,,,,,,,,,,,,
,,2018 - 2019,"38,227.00","98,052.00",2.56,,,,,,,,,,,,,,,
,,2019 - 2020,"39,632.00","1,07,759.00",2.72,,,,,,,,,,,,,,,
,,2020 - 2021,"43,628.00","1,29,183.00",2.96,,,,,,,,,,,,,,,
,,2021 - 2022,"41,211.00","1,11,888.00",2.72,,,,,,,,,,,,,,,
,,2022 - 2023,"48,838.00","1,35,525.00",2.77,,,,,,,155,533,3.44,,,,,,
,65. Sant kabeer nagar,2000 - 2001,"85,220.00","1,74,596.00",2.05,,,,,,,5,10,2,,,,,,
,,2001 - 2002,"89,102.00","1,96,191.00",2.2,,,,,,,10,22,2.2,,,,,,
,,2002 - 2003,"89,895.00","89,921.00",1,,,,,,,74,74,1,,,,,,
,,2003 - 2004,"89,836.00","2,05,872.00",2.29,,,,,,,10,23,2.3,,,,,,
,,2004 - 2005,"91,204.00","1,28,752.00",1.41,,,,,,,,,,,,,,,
,,2005 - 2006,"86,338.00","1,58,258.00",1.83,,,,,,,,,,,,,,,
,,2006 - 2007,"85,996.00","1,21,168.00",1.41,,,,,,,77,108,1.4,,,,,,
,,2007 - 2008,"92,217.00","1,72,907.00",1.88,,,,,,,,,,,,,,,
,,2008 - 2009,"1,08,544.00","2,10,033.00",1.94,,,,,,,65,126,1.94,,,,,,
,,2009 - 2010,"86,158.00","1,66,113.00",1.93,,,,,,,63,121,1.92,,,,,,
,,2010 - 2011,"90,035.00","1,73,768.00",1.93,,,,,,,,,,,,,,,
,,2011 - 2012,"90,665.00","1,90,578.00",2.1,,,,,,,65,137,2.11,,,,,,
,,2012 - 2013,"87,731.00","2,00,202.00",2.28,,,,,,,65,148,2.28,,,,,,
,,2013 - 2014,"89,987.00","2,08,230.00",2.31,,,,,,,67,155,2.31,,,,,,
,,2014 - 2015,"90,918.00","1,62,561.00",1.79,,,,,,,60,107,1.78,,,,,,
,,2015 - 2016,"79,542.00","1,39,596.00",1.75,,,,,,,,,,,,,,,
,,2016 - 2017,"97,780.00","2,02,405.00",2.07,,,,,,,67,139,2.07,,,,,,
,,2017 - 2018,"91,911.00","1,93,565.00",2.11,,,,,,,67,141,2.1,,,,,,
,,2018 - 2019,"92,487.00","2,04,581.00",2.21,,,,,,,67,148,2.21,,,,,,
,,2019 - 2020,"90,619.00","2,84,816.00",3.14,,,,,,,284,893,3.14,,,,,,
,,2020 - 2021,"91,435.00","2,73,848.00",3,,,,,,,905,"3,135.00",3.46,,,,,,
,,2021 - 2022,"91,781.00","2,72,590.00",2.97,,,,,,,79,258,3.27,,,,,,
,,2022 - 2023,"91,435.00","2,62,144.00",2.87,,,,,,,287,987,3.44,,,,,,
,66. Sant ravidas nagar,2000 - 2001,"27,806.00","56,897.00",2.05,,,,,,,,,,,,,,,
,,2001 - 2002,"28,129.00","58,604.00",2.08,,,,,,,,,,,,,,,
,,2002 - 2003,"28,652.00","65,832.00",2.3,,,,,,,,,,,,,,,
,,2003 - 2004,"29,014.00","78,633.00",2.71,,,,,,,,,,,,,,,
,,2004 - 2005,"26,519.00","16,851.00",0.64,,,,,,,,,,,,,,,
,,2005 - 2006,"30,057.00","49,895.00",1.66,,,,,,,,,,,,,,,
,,2006 - 2007,"33,388.00","52,553.00",1.57,,,,,,,,,,,,,,,
,,2007 - 2008,"25,758.00","43,016.00",1.67,,,,,,,,,,,,,,,
,,2008 - 2009,"27,762.00","55,274.00",1.99,,,,,,,,,,,,,,,
,,2009 - 2010,"22,857.00","44,320.00",1.94,,,,,,,,,,,,,,,
,,2010 - 2011,"22,116.00","44,918.00",2.03,,,,,,,,,,,,,,,
,,2011 - 2012,"27,635.00","67,098.00",2.43,,,,,,,,,,,,,,,
,,2012 - 2013,"23,422.00","59,750.00",2.55,,,,,,,,,,,,,,,
,,2013 - 2014,"27,721.00","70,938.00",2.56,,,,,,,,,,,,,,,
,,2014 - 2015,"27,981.00","61,950.00",2.21,,,,,,,,,,,,,,,
,,2015 - 2016,"28,180.00","58,502.00",2.08,,,,,,,,,,,,,,,
,,2016 - 2017,"30,104.00","83,960.00",2.79,,,,,,,,,,,,,,,
,,2017 - 2018,"28,105.00","89,430.00",3.18,,,,,,,,,,,,,,,
,,2018 - 2019,"28,888.00","90,188.00",3.12,,,,,,,,,,,,,,,
,,2019 - 2020,"27,050.00","83,179.00",3.08,,,,,,,427,"1,313.00",3.07,,,,,,
,,2020 - 2021,"27,549.00","83,942.00",3.05,,,,,,,192,665,3.46,,,,,,
,,2021 - 2022,"27,768.00","85,220.00",3.07,,,,,,,,,,,,,,,
,,2022 - 2023,"28,305.00","89,189.00",3.15,,,,,,,,,,,,,,,
,67. Shahjahanpur,2000 - 2001,"1,95,853.00","4,43,656.00",2.27,,,,,,,,,,,,,,,
,,2001 - 2002,"2,13,911.00","5,09,203.00",2.38,,,,,,,"1,258.00","2,994.00",2.38,,,,,,
,,2002 - 2003,"1,41,350.00","2,93,162.00",2.07,,,,,,,"1,839.00","3,814.00",2.07,,,,,,
,,2003 - 2004,"1,86,774.00","4,21,045.00",2.25,,,,,,,"4,167.00","9,392.00",2.25,,,,,,
,,2004 - 2005,"2,04,915.00","4,83,179.00",2.36,,,,,,,,,,,,,,,
,,2005 - 2006,"1,91,956.00","4,08,482.00",2.13,,,,,,,,,,,,,,,
,,2006 - 2007,"2,04,915.00","4,59,829.00",2.24,,,,,,,"6,258.00","14,043.00",2.24,,,,,,
,,2007 - 2008,"1,83,655.00","4,42,792.00",2.41,,,,,,,"6,077.00","14,652.00",2.41,,,,,,
,,2008 - 2009,"2,17,806.00","4,90,281.00",2.25,,,,,,,"5,295.00","11,919.00",2.25,,,,,,
,,2009 - 2010,"1,62,992.00","4,25,246.00",2.61,,,,,,,"6,535.00","19,010.00",2.91,,,,,,
,,2010 - 2011,"2,11,075.00","4,30,171.00",2.04,,,,,,,"5,949.00","12,124.00",2.04,,,,,,
,,2011 - 2012,"1,91,093.00","5,00,281.00",2.62,,,,,,,"5,679.00","14,868.00",2.62,,,,,,
,,2012 - 2013,"2,15,646.00","5,79,441.00",2.69,,,,,,,"5,581.00","14,996.00",2.69,,,,,,
,,2013 - 2014,"1,98,105.00","5,31,714.00",2.68,,,,,,,"5,320.00","14,279.00",2.68,,,,,,
,,2014 - 2015,"2,03,946.00","5,72,069.00",2.81,,,,,,,"5,379.00","15,088.00",2.8,,,,,,
,,2015 - 2016,"1,50,292.00","4,73,270.00",3.15,,,,,,,"5,701.00","17,952.00",3.15,,,,,,
,,2016 - 2017,"2,05,666.00","6,11,651.00",2.97,,,,,,,"5,182.00","15,411.00",2.97,,,,,,
,,2017 - 2018,"2,04,931.00","6,67,870.00",3.26,,,,,,,"5,834.00","19,013.00",3.26,,,,,,
,,2018 - 2019,"1,84,441.00","5,73,427.00",3.11,,,,,,,"5,417.00","16,841.00",3.11,,,,,,
,,2019 - 2020,"2,09,521.00","7,40,657.00",3.54,,,,,,,"9,566.00","33,816.00",3.54,,,,,,
,,2020 - 2021,"2,04,346.00","7,82,441.00",3.83,,,,,,,"5,326.00","18,449.00",3.46,,,,,,
,,2021 - 2022,"2,17,333.00","7,17,851.00",3.3,,,,,,,"5,910.00","19,332.00",3.27,,,,,,
,,2022 - 2023,"2,06,540.00","6,87,572.00",3.33,,,,,,,"5,102.00","17,546.00",3.44,,,,,,
,68. Shamli,2012 - 2013,"20,766.00","53,639.00",2.58,,,,,,,25,65,2.6,,,,,,
,,2013 - 2014,"19,778.00","52,234.00",2.64,,,,,,,78,206,2.64,,,,,,
,,2014 - 2015,"22,666.00","59,952.00",2.65,,,,,,,257,680,2.65,,,,,,
,,2015 - 2016,"19,078.00","47,657.00",2.5,,,,,,,650,"1,624.00",2.5,,,,,,
,,2016 - 2017,"20,441.00","57,623.00",2.82,,,,,,,155,437,2.82,,,,,,
,,2017 - 2018,"20,105.00","60,295.00",3,,,,,,,59,177,3,,,,,,
,,2018 - 2019,"20,271.00","53,860.00",2.66,,,,,,,83,221,2.66,,,,,,
,,2019 - 2020,"20,815.00","71,062.00",3.41,,,,,,,94,321,3.41,,,,,,
,,2020 - 2021,"21,015.00","64,831.00",3.08,,,,,,,278,963,3.46,,,,,,
,,2021 - 2022,"20,941.00","60,938.00",2.91,,,,,,,82,268,3.27,,,,,,
,,2022 - 2023,"20,648.00","53,499.00",2.59,,,,,,,326,"1,121.00",3.44,,,,,,
,69. Shravasti,2000 - 2001,"77,496.00","1,38,415.00",1.79,,,,,,,,,,,,,,,
,,2001 - 2002,"73,835.00","1,42,250.00",1.93,,,,,,,,,,,,,,,
,,2002 - 2003,"68,489.00","62,505.00",0.91,,,,,,,,,,,,,,,
,,2003 - 2004,"66,303.00","1,25,715.00",1.9,,,,,,,,,,,,,,,
,,2004 - 2005,"69,819.00","1,12,400.00",1.61,,,,,,,,,,,,,,,
,,2005 - 2006,"72,030.00","1,29,294.00",1.8,,,,,,,,,,,,,,,
,,2006 - 2007,"66,170.00","95,152.00",1.44,,,,,,,,,,,,,,,
,,2007 - 2008,"69,358.00","1,29,561.00",1.87,,,,,,,,,,,,,,,
,,2008 - 2009,"71,092.00","1,62,801.00",2.29,,,,,,,12,27,2.25,,,,,,
,,2009 - 2010,"68,558.00","1,47,125.00",2.15,,,,,,,,,,,,,,,
,,2010 - 2011,"71,137.00","1,35,658.00",1.91,,,,,,,,,,,,,,,
,,2011 - 2012,"74,974.00","1,39,452.00",1.86,,,,,,,,,,,,,,,
,,2012 - 2013,"73,500.00","1,63,832.00",2.23,,,,,,,,,,,,,,,
,,2013 - 2014,"75,337.00","1,55,119.00",2.06,,,,,,,,,,,,,,,
,,2014 - 2015,"79,949.00","1,73,889.00",2.17,,,,,,,,,,,,,,,
,,2015 - 2016,"72,532.00","1,41,437.00",1.95,,,,,,,,,,,,,,,
,,2016 - 2017,"72,247.00","1,88,854.00",2.61,,,,,,,,,,,,,,,
,,2017 - 2018,"75,183.00","1,93,596.00",2.57,,,,,,,,,,,,,,,
,,2018 - 2019,"78,797.00","1,99,908.00",2.54,,,,,,,,,,,,,,,
,,2019 - 2020,"77,399.00","1,88,080.00",2.43,,,,,,,,,,,,,,,
,,2020 - 2021,"74,772.00","1,96,277.00",2.63,,,,,,,,,,,,,,,
,,2021 - 2022,"84,628.00","1,64,771.00",1.95,,,,,,,,,,,,,,,
,,2022 - 2023,"84,628.00","1,83,135.00",2.16,,,,,,,,,,,,,,,
,70. Siddharth nagar,2000 - 2001,"1,65,059.00","2,73,971.00",1.66,,,,,,,48,80,1.67,,,,,,
,,2001 - 2002,"1,52,097.00","2,80,586.00",1.84,,,,,,,20,37,1.85,,,,,,
,,2002 - 2003,"1,69,559.00","1,37,859.00",0.81,,,,,,,,,,,,,,,
,,2003 - 2004,"1,73,147.00","3,62,578.00",2.09,,,,,,,,,,,,,,,
,,2004 - 2005,"1,69,257.00","1,49,191.00",0.88,,,,,,,,,,,,,,,
,,2005 - 2006,"1,73,147.00","2,88,290.00",1.67,,,,,,,,,,,,,,,
,,2006 - 2007,"1,70,011.00","2,36,995.00",1.39,,,,,,,,,,,,,,,
,,2007 - 2008,"1,87,537.00","3,91,390.00",2.09,,,,,,,,,,,,,,,
,,2008 - 2009,"1,71,877.00","4,05,973.00",2.36,,,,,,,,,,,,,,,
,,2009 - 2010,"1,72,893.00","3,63,940.00",2.11,,,,,,,,,,,,,,,
,,2010 - 2011,"1,75,157.00","4,15,297.00",2.37,,,,,,,,,,,,,,,
,,2011 - 2012,"1,69,824.00","4,35,429.00",2.56,,,,,,,,,,,,,,,
,,2012 - 2013,"1,60,991.00","4,11,332.00",2.55,,,,,,,,,,,,,,,
,,2013 - 2014,"1,73,903.00","4,77,016.00",2.74,,,,,,,,,,,,,,,
,,2014 - 2015,"1,70,404.00","4,14,082.00",2.43,,,,,,,,,,,,,,,
,,2015 - 2016,"1,84,234.00","4,16,737.00",2.26,,,,,,,,,,,,,,,
,,2016 - 2017,"1,73,507.00","4,03,751.00",2.33,,,,,,,,,,,,,,,
,,2017 - 2018,"1,73,507.00","4,49,210.00",2.59,,,,,,,,,,,,,,,
,,2018 - 2019,"1,74,713.00","5,51,045.00",3.15,,,,,,,,,,,,,,,
,,2019 - 2020,"1,72,254.00","4,92,302.00",2.86,,,,,,,"1,681.00","4,804.00",2.86,,,,,,
,,2020 - 2021,"1,73,507.00","4,95,015.00",2.85,,,,,,,,,,,,,,,
,,2021 - 2022,"1,74,300.00","4,58,060.00",2.63,,,,,,,55,180,3.27,,,,,,
,,2022 - 2023,"1,74,025.00","4,04,434.00",2.32,,,,,,,201,691,3.44,,,,,,
,71. Sitapur,2000 - 2001,"1,63,309.00","2,32,696.00",1.42,,,,,,,,,,,,,,,
,,2001 - 2002,"1,60,975.00","2,76,372.00",1.72,,,,,,,,,,,,,,,
,,2002 - 2003,"1,19,808.00","1,88,830.00",1.58,,,,,,,,,,,,,,,
,,2003 - 2004,"1,40,773.00","2,62,915.00",1.87,,,,,,,,,,,,,,,
,,2004 - 2005,"1,58,642.00","2,41,358.00",1.52,,,,,,,,,,,,,,,
,,2005 - 2006,"1,33,490.00","2,21,860.00",1.66,,,,,,,,,,,,,,,
,,2006 - 2007,"1,58,642.00","2,57,317.00",1.62,,,,,,,10,16,1.6,,,,,,
,,2007 - 2008,"1,49,280.00","2,60,494.00",1.75,,,,,,,15,26,1.73,,,,,,
,,2008 - 2009,"1,48,440.00","2,57,098.00",1.73,,,,,,,62,107,1.73,,,,,,
,,2009 - 2010,"1,48,649.00","2,75,595.00",1.85,,,,,,,25,46,1.84,,,,,,
,,2010 - 2011,"1,56,947.00","3,10,441.00",1.98,,,,,,,29,57,1.97,,,,,,
,,2011 - 2012,"1,55,655.00","3,46,177.00",2.22,,,,,,,26,58,2.23,,,,,,
,,2012 - 2013,"1,62,205.00","3,88,481.00",2.4,,,,,,,26,63,2.42,,,,,,
,,2013 - 2014,"1,69,741.00","4,13,998.00",2.44,,,,,,,44,107,2.43,,,,,,
,,2014 - 2015,"1,64,128.00","3,82,911.00",2.33,,,,,,,75,175,2.33,,,,,,
,,2015 - 2016,"1,60,459.00","3,46,271.00",2.16,,,,,,,64,138,2.16,,,,,,
,,2016 - 2017,"1,67,913.00","3,91,237.00",2.33,,,,,,,61,142,2.33,,,,,,
,,2017 - 2018,"1,63,813.00","3,83,978.00",2.34,,,,,,,53,124,2.34,,,,,,
,,2018 - 2019,"1,58,977.00","3,92,832.00",2.47,,,,,,,57,141,2.47,,,,,,
,,2019 - 2020,"1,59,960.00","4,68,043.00",2.93,,,,,,,57,167,2.93,,,,,,
,,2020 - 2021,"1,66,882.00","4,74,279.00",2.84,,,,,,,132,457,3.46,,,,,,
,,2021 - 2022,"1,67,121.00","4,60,418.00",2.75,,,,,,,,,,,,,,,
,,2022 - 2023,"1,64,645.00","3,48,718.00",2.12,,,,,,,26,89,3.42,,,,,,
,72. Sonbhadra,2000 - 2001,"86,337.00","1,25,793.00",1.46,,,,,,,,,,,,,,,
,,2001 - 2002,"89,244.00","1,81,172.00",2.03,,,,,,,,,,,,,,,
,,2002 - 2003,"79,557.00","1,13,616.00",1.43,,,,,,,,,,,,,,,
,,2003 - 2004,"96,168.00","1,82,495.00",1.9,,,,,,,,,,,,,,,
,,2004 - 2005,"68,909.00","34,420.00",0.5,,,,,,,,,,,,,,,
,,2005 - 2006,"82,683.00","83,841.00",1.01,,,,,,,,,,,,,,,
,,2006 - 2007,"82,060.00","1,20,218.00",1.47,,,,,,,,,,,,,,,
,,2007 - 2008,"30,582.00","31,408.00",1.03,,,,,,,,,,,,,,,
,,2008 - 2009,"27,301.00","37,703.00",1.38,,,,,,,,,,,,,,,
,,2009 - 2010,"17,327.00","21,399.00",1.24,,,,,,,,,,,,,,,
,,2010 - 2011,"27,442.00","42,014.00",1.53,,,,,,,,,,,,,,,
,,2011 - 2012,"32,987.00","67,260.00",2.04,,,,,,,,,,,,,,,
,,2012 - 2013,"35,344.00","73,586.00",2.08,,,,,,,,,,,,,,,
,,2013 - 2014,"30,842.00","66,680.00",2.16,,,,,,,,,,,,,,,
,,2014 - 2015,"29,426.00","52,290.00",1.78,,,,,,,,,,,,,,,
,,2015 - 2016,"42,653.00","63,425.00",1.49,,,,,,,,,,,,,,,
,,2016 - 2017,"32,582.00","84,583.00",2.6,,,,,,,,,,,,,,,
,,2017 - 2018,"38,874.00","1,05,698.00",2.72,,,,,,,,,,,,,,,
,,2018 - 2019,"32,700.00","94,307.00",2.88,,,,,,,,,,,,,,,
,,2019 - 2020,"29,917.00","87,178.00",2.91,,,,,,,,,,,,,,,
,,2020 - 2021,"33,788.00","99,472.00",2.94,,,,,,,,,,,,,,,
,,2021 - 2022,"31,948.00","99,838.00",3.13,,,,,,,,,,,,,,,
,,2022 - 2023,"31,627.00","86,595.00",2.74,,,,,,,,,,,,,,,
,73. Sultanpur,2000 - 2001,"1,60,083.00","3,29,111.00",2.06,,,,,,,7,14,2,,,,,,
,,2001 - 2002,"1,60,521.00","3,58,439.00",2.23,,,,,,,17,38,2.24,,,,,,
,,2002 - 2003,"1,27,534.00","2,63,269.00",2.06,,,,,,,,,,,,,,,
,,2003 - 2004,"1,57,553.00","3,58,923.00",2.28,,,,,,,,,,,,,,,
,,2004 - 2005,"1,55,041.00","3,15,565.00",2.04,,,,,,,,,,,,,,,
,,2005 - 2006,"1,56,578.00","3,33,041.00",2.13,,,,,,,,,,,,,,,
,,2006 - 2007,"1,57,713.00","2,81,833.00",1.79,,,,,,,,,,,,,,,
,,2007 - 2008,"1,56,243.00","3,20,923.00",2.05,,,,,,,,,,,,,,,
,,2008 - 2009,"1,73,487.00","3,80,110.00",2.19,,,,,,,,,,,,,,,
,,2009 - 2010,"1,33,285.00","3,03,223.00",2.27,,,,,,,,,,,,,,,
,,2010 - 2011,"90,048.00","2,16,836.00",2.41,,,,,,,,,,,,,,,
,,2011 - 2012,"93,636.00","2,27,161.00",2.43,,,,,,,,,,,,,,,
,,2012 - 2013,"93,861.00","2,36,060.00",2.51,,,,,,,,,,,,,,,
,,2013 - 2014,"93,449.00","2,27,735.00",2.44,,,,,,,,,,,,,,,
,,2014 - 2015,"85,103.00","1,51,568.00",1.78,,,,,,,,,,,,,,,
,,2015 - 2016,"99,552.00","2,06,770.00",2.08,,,,,,,,,,,,,,,
,,2016 - 2017,"96,002.00","2,22,629.00",2.32,,,,,,,,,,,,,,,
,,2017 - 2018,"95,969.00","3,06,621.00",3.2,,,,,,,,,,,,,,,
,,2018 - 2019,"94,804.00","3,34,753.00",3.53,,,,,,,,,,,,,,,
,,2019 - 2020,"91,730.00","2,86,198.00",3.12,,,,,,,,,,,,,,,
,,2020 - 2021,"92,290.00","2,75,763.00",2.99,,,,,,,,,,,,,,,
,,2021 - 2022,"94,627.00","2,76,784.00",2.93,,,,,,,,,,,,,,,
,,2022 - 2023,"94,627.00","2,62,874.00",2.78,,,,,,,,,,,,,,,
,74. Unnao,2000 - 2001,"93,204.00","1,05,622.00",1.13,,,,,,,,,,,,,,,
,,2001 - 2002,"99,276.00","1,55,812.00",1.57,,,,,,,,,,,,,,,
,,2002 - 2003,"59,042.00","84,666.00",1.43,,,,,,,,,,,,,,,
,,2003 - 2004,"87,407.00","1,69,705.00",1.94,,,,,,,1,2,2,,,,,,
,,2004 - 2005,"94,154.00","1,64,546.00",1.75,,,,,,,,,,,,,,,
,,2005 - 2006,"87,407.00","1,50,078.00",1.72,,,,,,,,,,,,,,,
,,2006 - 2007,"89,698.00","1,29,883.00",1.45,,,,,,,,,,,,,,,
,,2007 - 2008,"90,658.00","1,71,525.00",1.89,,,,,,,,,,,,,,,
,,2008 - 2009,"91,689.00","1,93,922.00",2.11,,,,,,,,,,,,,,,
,,2009 - 2010,"56,056.00","1,00,452.00",1.79,,,,,,,,,,,,,,,
,,2010 - 2011,"81,000.00","1,38,186.00",1.71,,,,,,,11,19,1.73,,,,,,
,,2011 - 2012,"96,881.00","1,73,708.00",1.79,,,,,,,,,,,,,,,
,,2012 - 2013,"98,269.00","1,92,804.00",1.96,,,,,,,11,22,2,,,,,,
,,2013 - 2014,"1,02,455.00","2,18,229.00",2.13,,,,,,,,,,,,,,,
,,2014 - 2015,"96,435.00","1,61,818.00",1.68,,,,,,,1,2,2,,,,,,
,,2015 - 2016,"87,261.00","1,38,221.00",1.58,,,,,,,2,3,1.5,,,,,,
,,2016 - 2017,"99,887.00","1,93,981.00",1.94,,,,,,,,,,,,,,,
,,2017 - 2018,"94,990.00","1,99,194.00",2.1,,,,,,,,,,,,,,,
,,2018 - 2019,"1,02,500.00","1,87,473.00",1.83,,,,,,,,,,,,,,,
,,2019 - 2020,"96,540.00","2,54,286.00",2.63,,,,,,,,,,,,,,,
,,2020 - 2021,"99,011.00","2,31,686.00",2.34,,,,,,,,,,,,,,,
,,2021 - 2022,"98,060.00","2,21,125.00",2.25,,,,,,,,,,,,,,,
,,2022 - 2023,"96,337.00","2,27,644.00",2.36,,,,,,,,,,,,,,,
,75. Varanasi,2000 - 2001,"50,174.00","1,20,656.00",2.4,,,,,,,,,,,,,,,
,,2001 - 2002,"50,666.00","1,26,909.00",2.5,,,,,,,,,,,,,,,
,,2002 - 2003,"49,582.00","89,166.00",1.8,,,,,,,,,,,,,,,
,,2003 - 2004,"50,096.00","1,33,775.00",2.67,,,,,,,,,,,,,,,
,,2004 - 2005,"48,948.00","28,319.00",0.58,,,,,,,,,,,,,,,
,,2005 - 2006,"47,369.00","72,048.00",1.52,,,,,,,,,,,,,,,
,,2006 - 2007,"60,959.00","95,645.00",1.57,,,,,,,,,,,,,,,
,,2007 - 2008,"50,910.00","86,343.00",1.7,,,,,,,,,,,,,,,
,,2008 - 2009,"51,740.00","1,11,034.00",2.15,,,,,,,,,,,,,,,
,,2009 - 2010,"39,295.00","58,274.00",1.48,,,,,,,,,,,,,,,
,,2010 - 2011,"42,021.00","84,882.00",2.02,,,,,,,,,,,,,,,
,,2011 - 2012,"50,950.00","1,12,854.00",2.21,,,,,,,,,,,,,,,
,,2012 - 2013,"42,757.00","1,03,814.00",2.43,,,,,,,,,,,,,,,
,,2013 - 2014,"46,938.00","1,00,964.00",2.15,,,,,,,,,,,,,,,
,,2014 - 2015,"43,862.00","1,01,848.00",2.32,,,,,,,,,,,,,,,
,,2015 - 2016,"45,770.00","94,240.00",2.06,,,,,,,,,,,,,,,
,,2016 - 2017,"50,288.00","1,23,457.00",2.45,,,,,,,,,,,,,,,
,,2017 - 2018,"51,719.00","1,31,832.00",2.55,,,,,,,,,,,,,,,
,,2018 - 2019,"48,013.00","1,21,425.00",2.53,,,,,,,,,,,,,,,
,,2019 - 2020,"47,540.00","1,26,266.00",2.66,,,,,,,,,,,,,,,
,,2020 - 2021,"50,974.00","1,34,011.00",2.63,,,,,,,,,,,,,,,
,,2021 - 2022,"48,057.00","1,31,724.00",2.74,,,,,,,,,,,,,,,
,,2022 - 2023,"48,019.00","1,35,558.00",2.82,,,,,,,,,,,,,,,
35. Uttarakhand,1. Almora,2000 - 2001,"21,297.00","21,003.00",0.99,,,,,,,,,,,,,,,
,,2001 - 2002,"20,696.00","25,969.00",1.25,,,,,,,,,,,,,,,
,,2002 - 2003,"23,828.00","15,941.00",0.67,,,,,,,,,,,,,,,
,,2003 - 2004,"20,137.00","20,615.00",1.02,,,,,,,,,,,,,,,
,,2004 - 2005,"21,444.00","21,008.00",0.98,,,,,,,,,,,,,,,
,,2005 - 2006,"21,212.00","22,000.00",1.04,,,,,,,,,,,,,,,
,,2006 - 2007,"23,031.00","28,882.00",1.25,,,,,,,,,,,,,,,
,,2007 - 2008,"22,299.00","25,409.00",1.14,,,,,,,,,,,,,,,
,,2008 - 2009,"20,493.00","20,160.00",0.98,,,,,,,,,,,,,,,
,,2009 - 2010,"21,069.00","20,655.00",0.98,,,,,,,,,,,,,,,
,,2010 - 2011,"19,294.00","19,886.00",1.03,,,,,,,,,,,,,,,
,,2011 - 2012,"18,736.00","21,252.00",1.13,,,,,,,,,,,,,,,
,,2012 - 2013,"18,288.00","19,656.00",1.07,,,,,,,,,,,,,,,
,,2013 - 2014,"15,597.00","18,545.00",1.19,,,,,,,,,,,,,,,
,,2014 - 2015,"16,897.00","19,776.00",1.17,,,,,,,,,,,,,,,
,,2015 - 2016,"17,526.00","19,096.00",1.09,,,,,,,,,,,,,,,
,,2016 - 2017,"15,643.00","20,035.00",1.28,,,,,,,,,,,,,,,
,,2017 - 2018,"14,389.00","17,563.00",1.22,,,,,,,,,,,,,,,
,,2018 - 2019,"12,452.00","15,578.00",1.25,,,,,,,,,,,,,,,
