State,District,Year,Arecanut,,,,,,,,
,,2006 - 2007,,,,"14,910.00","35,289.00",2.37,,,
,,2007 - 2008,,,,"15,060.00","43,474.00",2.89,,,
,,2008 - 2009,,,,"14,927.00","37,446.00",2.51,,,
,,2009 - 2010,,,,"15,256.00","27,680.00",1.81,,,
,,2010 - 2011,,,,"18,038.61","30,036.14",1.67,,,
,,2011 - 2012,,,,"19,551.82","38,142.91",1.95,,,
,,2012 - 2013,,,,"18,937.00","36,797.00",1.94,,,
,,2013 - 2014,,,,"19,488.00","33,652.00",1.73,,,
,,2014 - 2015,,,,"18,733.00","51,406.00",2.74,,,
,,2015 - 2016,,,,"19,680.77","53,142.67",2.7,,,
,,2016 - 2017,,,,"19,478.00","51,807.00",2.66,,,
,,2017 - 2018,,,,"20,192.00","47,323.00",2.34,,,
,,2018 - 2019,,,,"20,764.06","44,591.00",2.15,,,
,,2019 - 2020,,,,"21,074.00","44,814.00",2.13,,,
,,2020 - 2021,,,,"20,080.88","40,734.56",2.03,,,
,,2021 - 2022,,,,"18,496.00","46,383.00",2.51,,,
,,2022 - 2023,,,,"21,477.81","46,121.70",2.15,,,
,6. Kollam,2000 - 2001,,,,"2,442.00","1,144.00",0.47,,,
,,2001 - 2002,,,,"2,382.00","1,321.00",0.55,,,
,,2002 - 2003,,,,"2,502.00","1,710.00",0.68,,,
,,2003 - 2004,,,,"2,322.00","1,380.00",0.59,,,
,,2004 - 2005,,,,"2,525.00","1,392.00",0.55,,,
,,2005 - 2006,,,,"2,485.00","1,794.00",0.72,,,
,,2006 - 2007,,,,"2,398.00","1,699.00",0.71,,,
,,2007 - 2008,,,,"2,297.00","1,382.00",0.6,,,
,,2008 - 2009,,,,"2,236.00","1,686.00",0.75,,,
,,2009 - 2010,,,,"2,122.00","1,587.00",0.75,,,
,,2010 - 2011,,,,"2,006.87","1,164.48",0.58,,,
,,2011 - 2012,,,,"2,443.60","2,005.80",0.82,,,
,,2012 - 2013,,,,"2,377.00","1,453.00",0.61,,,
,,2013 - 2014,,,,"1,913.00","1,251.00",0.65,,,
,,2014 - 2015,,,,"1,906.00","1,443.00",0.76,,,
,,2015 - 2016,,,,"1,930.63","1,070.07",0.55,,,
,,2016 - 2017,,,,"1,866.00","1,135.00",0.61,,,
,,2017 - 2018,,,,"1,635.00","1,063.00",0.65,,,
,,2018 - 2019,,,,"1,619.84","1,045.00",0.65,,,
,,2019 - 2020,,,,"1,570.00",818,0.52,,,
,,2020 - 2021,,,,"1,645.24","1,110.26",0.67,,,
,,2021 - 2022,,,,"1,651.00","1,090.00",0.66,,,
,,2022 - 2023,,,,"1,477.79",835.39,0.57,,,
,7. Kottayam,2000 - 2001,,,,"1,443.00",808,0.56,,,
,,2001 - 2002,,,,"1,587.00",725,0.46,,,
,,2002 - 2003,,,,"1,767.00","1,085.00",0.61,,,
,,2003 - 2004,,,,"1,952.00","1,259.00",0.64,,,
,,2004 - 2005,,,,"2,109.00","1,257.00",0.6,,,
,,2005 - 2006,,,,"2,081.00","1,201.00",0.58,,,
,,2006 - 2007,,,,"1,940.00","1,455.00",0.75,,,
,,2007 - 2008,,,,"1,917.00","1,621.00",0.85,,,
,,2008 - 2009,,,,"1,854.00","1,346.00",0.73,,,
,,2009 - 2010,,,,"1,731.00","1,333.00",0.77,,,
,,2010 - 2011,,,,"1,681.22","1,239.36",0.74,,,
,,2011 - 2012,,,,"1,747.49","1,271.58",0.73,,,
,,2012 - 2013,,,,"1,650.00","1,074.00",0.65,,,
,,2013 - 2014,,,,"1,581.00","1,103.00",0.7,,,
,,2014 - 2015,,,,"1,579.00","1,214.00",0.77,,,
,,2015 - 2016,,,,"1,614.49","1,121.15",0.69,,,
,,2016 - 2017,,,,"1,483.00","1,051.00",0.71,,,
,,2017 - 2018,,,,"1,409.00","1,072.00",0.76,,,
,,2018 - 2019,,,,"1,391.97","1,081.00",0.78,,,
,,2019 - 2020,,,,"1,350.00",641,0.47,,,
,,2020 - 2021,,,,"1,374.43","1,088.13",0.79,,,
,,2021 - 2022,,,,"1,406.00","1,014.00",0.72,,,
,,2022 - 2023,,,,"1,369.10",964.61,0.7,,,
,8. Kozhikode,2000 - 2001,,,,"10,692.00","15,285.00",1.43,,,
,,2001 - 2002,,,,"11,189.00","12,830.00",1.15,,,
,,2002 - 2003,,,,"10,584.00","15,584.00",1.47,,,
,,2003 - 2004,,,,"11,499.00","14,316.00",1.24,,,
,,2004 - 2005,,,,"12,173.00","13,042.00",1.07,,,
,,2005 - 2006,,,,"12,478.00","14,522.00",1.16,,,
,,2006 - 2007,,,,"12,340.00","12,020.00",0.97,,,
,,2007 - 2008,,,,"12,258.00","13,373.00",1.09,,,
,,2008 - 2009,,,,"11,616.00","16,243.00",1.4,,,
,,2009 - 2010,,,,"10,054.00","12,710.00",1.26,,,
,,2010 - 2011,,,,"9,661.57","8,774.34",0.91,,,
,,2011 - 2012,,,,"10,458.76","11,177.47",1.07,,,
,,2012 - 2013,,,,"10,247.00","9,883.00",0.96,,,
,,2013 - 2014,,,,"9,897.00","8,875.00",0.9,,,
,,2014 - 2015,,,,"9,966.00","11,279.00",1.13,,,
,,2015 - 2016,,,,"10,134.43","10,346.63",1.02,,,
,,2016 - 2017,,,,"10,261.00","7,386.00",0.72,,,
,,2017 - 2018,,,,"9,445.00","9,468.00",1,,,
,,2018 - 2019,,,,"10,037.84","8,473.00",0.84,,,
,,2019 - 2020,,,,"9,735.00","6,170.00",0.63,,,
,,2020 - 2021,,,,"9,894.70","9,405.03",0.95,,,
,,2021 - 2022,,,,"9,663.00","7,866.00",0.81,,,
,,2022 - 2023,,,,"9,786.72","7,613.57",0.78,,,
,9. Malappuram,2000 - 2001,,,,"16,123.00","9,909.00",0.61,,,
,,2001 - 2002,,,,"17,735.00","11,085.00",0.63,,,
,,2002 - 2003,,,,"19,622.00","17,527.00",0.89,,,
,,2003 - 2004,,,,"20,476.00","15,986.00",0.78,,,
,,2004 - 2005,,,,"19,979.00","17,152.00",0.86,,,
,,2005 - 2006,,,,"20,022.00","15,623.00",0.78,,,
,,2006 - 2007,,,,"16,900.00","16,001.00",0.95,,,
,,2007 - 2008,,,,"17,517.00","17,550.00",1,,,
,,2008 - 2009,,,,"16,587.00","19,472.00",1.17,,,
,,2009 - 2010,,,,"19,994.00","25,542.00",1.28,,,
,,2010 - 2011,,,,"19,619.88","17,290.68",0.88,,,
,,2011 - 2012,,,,"19,977.85","23,233.34",1.16,,,
,,2012 - 2013,,,,"19,411.00","27,126.00",1.4,,,
,,2013 - 2014,,,,"18,644.00","18,838.00",1.01,,,
,,2014 - 2015,,,,"18,352.00","22,073.00",1.2,,,
,,2015 - 2016,,,,"17,894.54","23,358.66",1.31,,,
,,2016 - 2017,,,,"18,379.00","16,519.00",0.9,,,
,,2017 - 2018,,,,"17,929.00","15,997.00",0.89,,,
,,2018 - 2019,,,,"17,955.92","14,521.00",0.81,,,
,,2019 - 2020,,,,"19,018.00","12,565.00",0.66,,,
,,2020 - 2021,,,,"19,064.38","14,998.08",0.79,,,
,,2021 - 2022,,,,"18,769.00","18,052.00",0.96,,,
,,2022 - 2023,,,,"17,459.10","15,630.30",0.9,,,
,10. Palakkad,2000 - 2001,,,,"4,241.00","2,859.00",0.67,,,
,,2001 - 2002,,,,"4,026.00","4,007.00",1,,,
,,2002 - 2003,,,,"4,936.00","5,706.00",1.16,,,
,,2003 - 2004,,,,"5,963.00","6,615.00",1.11,,,
,,2004 - 2005,,,,"6,464.00","6,248.00",0.97,,,
,,2005 - 2006,,,,"6,466.00","6,290.00",0.97,,,
,,2006 - 2007,,,,"8,003.00","5,766.00",0.72,,,
,,2007 - 2008,,,,"7,551.00","5,231.00",0.69,,,
,,2008 - 2009,,,,"8,195.00","10,595.00",1.29,,,
,,2009 - 2010,,,,"10,202.00","11,554.00",1.13,,,
,,2010 - 2011,,,,"9,683.13","9,338.21",0.96,,,
,,2011 - 2012,,,,"9,589.08","12,032.54",1.25,,,
,,2012 - 2013,,,,"9,601.00","8,946.00",0.93,,,
,,2013 - 2014,,,,"9,562.00","8,402.00",0.88,,,
,,2014 - 2015,,,,"9,062.00","8,561.00",0.94,,,
,,2015 - 2016,,,,"8,900.40","8,850.42",0.99,,,
,,2016 - 2017,,,,"9,033.00","7,459.00",0.83,,,
,,2017 - 2018,,,,"7,283.00","6,146.00",0.84,,,
,,2018 - 2019,,,,"7,960.69","6,346.00",0.8,,,
,,2019 - 2020,,,,"7,619.00","5,706.00",0.75,,,
,,2020 - 2021,,,,"8,069.05","6,312.54",0.78,,,
,,2021 - 2022,,,,"9,629.00","6,740.00",0.7,,,
,,2022 - 2023,,,,"9,639.08","6,605.97",0.69,,,
,11. Pathanamthitta,2000 - 2001,,,,"1,269.00","1,071.00",0.84,,,
,,2001 - 2002,,,,"1,345.00","1,071.00",0.8,,,
,,2002 - 2003,,,,"1,343.00","1,317.00",0.98,,,
,,2003 - 2004,,,,"1,488.00","1,289.00",0.87,,,
,,2004 - 2005,,,,"1,467.00","1,216.00",0.83,,,
,,2005 - 2006,,,,"1,462.00","1,637.00",1.12,,,
,,2006 - 2007,,,,"1,346.00","1,003.00",0.75,,,
,,2007 - 2008,,,,"1,212.00",593,0.49,,,
,,2008 - 2009,,,,"1,082.00",555,0.51,,,
,,2009 - 2010,,,,"1,104.00",615,0.56,,,
,,2010 - 2011,,,,"1,118.41",674.23,0.6,,,
,,2011 - 2012,,,,"1,219.11",754.1,0.62,,,
,,2012 - 2013,,,,"1,197.00",766,0.64,,,
,,2013 - 2014,,,,"1,210.00",833,0.69,,,
,,2014 - 2015,,,,"1,182.00",840,0.71,,,
,,2015 - 2016,,,,"1,113.92",696.98,0.63,,,
,,2016 - 2017,,,,"1,067.00",578,0.54,,,
,,2017 - 2018,,,,"1,053.00",643,0.61,,,
,,2018 - 2019,,,,987.66,623,0.63,,,
,,2019 - 2020,,,,"1,032.00",571,0.55,,,
,,2020 - 2021,,,,973.84,680.35,0.7,,,
,,2021 - 2022,,,,"1,006.00",701,0.7,,,
,,2022 - 2023,,,,"1,030.61",616.32,0.6,,,
,12. Thiruvananthapuram,2000 - 2001,,,,"1,104.00",538,0.49,,,
,,2001 - 2002,,,,"1,106.00",493,0.45,,,
,,2002 - 2003,,,,"1,216.00",520,0.43,,,
,,2003 - 2004,,,,"1,220.00",491,0.4,,,
,,2004 - 2005,,,,"1,263.00",547,0.43,,,
,,2005 - 2006,,,,"1,249.00",690,0.55,,,
,,2006 - 2007,,,,"1,074.00",789,0.73,,,
,,2007 - 2008,,,,"1,077.00",579,0.54,,,
,,2008 - 2009,,,,999,601,0.6,,,
,,2009 - 2010,,,,890,460,0.52,,,
,,2010 - 2011,,,,922.45,555.85,0.6,,,
,,2011 - 2012,,,,968.24,494.22,0.51,,,
,,2012 - 2013,,,,"1,024.00",577,0.56,,,
,,2013 - 2014,,,,"1,001.00",476,0.48,,,
,,2014 - 2015,,,,"1,033.00",596,0.58,,,
,,2015 - 2016,,,,"1,035.53",643.49,0.62,,,
,,2016 - 2017,,,,"1,004.00",599,0.6,,,
,,2017 - 2018,,,,891,495,0.56,,,
,,2018 - 2019,,,,901.14,462,0.51,,,
,,2019 - 2020,,,,859,342,0.4,,,
,,2020 - 2021,,,,792.27,286.2,0.36,,,
,,2021 - 2022,,,,765,281,0.37,,,
,,2022 - 2023,,,,931.65,337.6,0.36,,,
,13. Thrissur,2000 - 2001,,,,"7,099.00","6,281.00",0.88,,,
,,2001 - 2002,,,,"7,179.00","6,584.00",0.92,,,
,,2002 - 2003,,,,"7,526.00","6,903.00",0.92,,,
,,2003 - 2004,,,,"8,052.00","7,267.00",0.9,,,
,,2004 - 2005,,,,"8,071.00","7,730.00",0.96,,,
,,2005 - 2006,,,,"8,116.00","10,661.00",1.31,,,
,,2006 - 2007,,,,"7,279.00","5,390.00",0.74,,,
,,2007 - 2008,,,,"7,069.00","4,687.00",0.66,,,
,,2008 - 2009,,,,"7,209.00","7,240.00",1,,,
,,2009 - 2010,,,,"7,163.00","7,095.00",0.99,,,
,,2010 - 2011,,,,"6,310.76","4,307.83",0.68,,,
,,2011 - 2012,,,,"7,055.17","4,700.74",0.67,,,
,,2012 - 2013,,,,"6,419.00","5,173.00",0.81,,,
,,2013 - 2014,,,,"6,424.00","4,268.00",0.66,,,
,,2014 - 2015,,,,"6,351.00","4,861.00",0.77,,,
,,2015 - 2016,,,,"6,270.89","6,098.39",0.97,,,
,,2016 - 2017,,,,"6,096.00","4,861.00",0.8,,,
,,2017 - 2018,,,,"5,925.00","4,610.00",0.78,,,
,,2018 - 2019,,,,"5,643.66","4,759.00",0.84,,,
,,2019 - 2020,,,,"5,479.00","4,157.00",0.76,,,
,,2020 - 2021,,,,"5,592.36","4,200.10",0.75,,,
,,2021 - 2022,,,,"5,799.00","4,219.00",0.73,,,
,,2022 - 2023,,,,"5,386.44","3,886.48",0.72,,,
,14. Wayanad,2000 - 2001,,,,"6,033.00","2,699.00",0.45,,,
,,2001 - 2002,,,,"6,636.00","2,682.00",0.4,,,
,,2002 - 2003,,,,"7,201.00","3,237.00",0.45,,,
,,2003 - 2004,,,,"8,689.00","4,192.00",0.48,,,
,,2004 - 2005,,,,"10,204.00","5,711.00",0.56,,,
,,2005 - 2006,,,,"10,499.00","6,035.00",0.57,,,
,,2006 - 2007,,,,"12,737.00","5,617.00",0.44,,,
,,2007 - 2008,,,,"12,213.00","4,627.00",0.38,,,
,,2008 - 2009,,,,"11,734.00","5,518.00",0.47,,,
,,2009 - 2010,,,,"10,862.00","5,385.00",0.5,,,
,,2010 - 2011,,,,"10,444.97","7,061.85",0.68,,,
,,2011 - 2012,,,,"11,581.77","6,078.91",0.52,,,
,,2012 - 2013,,,,"11,553.00","5,796.00",0.5,,,
,,2013 - 2014,,,,"12,181.00","3,985.00",0.33,,,
,,2014 - 2015,,,,"11,613.00","6,071.00",0.52,,,
,,2015 - 2016,,,,"13,460.68","7,427.84",0.55,,,
,,2016 - 2017,,,,"12,079.00","7,241.00",0.6,,,
,,2017 - 2018,,,,"12,147.00","4,916.00",0.4,,,
,,2018 - 2019,,,,"11,852.21","3,679.00",0.31,,,
,,2019 - 2020,,,,"12,258.00","5,328.00",0.43,,,
,,2020 - 2021,,,,"12,551.18","11,665.58",0.93,,,
,,2021 - 2022,,,,"11,090.00","4,002.00",0.36,,,
,,2022 - 2023,,,,"10,220.93","3,383.04",0.33,,,
7. Meghalaya,1. East garo hills,2000 - 2001,,,,831,929,1.12,,,
,,2001 - 2002,,,,846,943,1.11,,,
,,2003 - 2004,,,,787,885,1.12,,,
,,2004 - 2005,,,,802,905,1.13,,,
,,2005 - 2006,,,,"1,020.00","1,153.00",1.13,,,
,,2006 - 2007,,,,,,,"1,035.00","1,174.00",1.13
,,2008 - 2009,,,,"1,107.00","1,258.00",1.14,,,
,,2009 - 2010,,,,"1,140.00","1,295.00",1.14,,,
,,2010 - 2011,,,,"1,250.00","1,412.00",1.13,,,
,,2011 - 2012,,,,"2,061.00","2,362.00",1.15,,,
,,2012 - 2013,,,,"2,142.00","2,539.00",1.19,,,
,,2013 - 2014,,,,"1,261.00","1,506.00",1.19,,,
,,2014 - 2015,,,,"1,268.00","1,568.00",1.24,,,
,,2015 - 2016,,,,,,,"1,287.00","1,629.00",1.27
,,2016 - 2017,,,,,,,"1,489.00","1,678.00",1.13
,,2017 - 2018,,,,,,,"1,490.00","1,682.00",1.13
,,2018 - 2019,,,,,,,"1,491.00","1,683.00",1.13
,,2019 - 2020,,,,,,,"1,492.00","1,685.00",1.13
,,2020 - 2021,,,,,,,"1,493.00","1,687.00",1.13
,,2022 - 2023,,,,,,,"7,000.00","7,896.00",1.13
,2. East jaintia hills,2000 - 2001,,,,"1,560.00","3,104.00",1.99,,,
,,2001 - 2002,,,,"1,580.00","3,161.00",2,,,
,,2003 - 2004,,,,"1,591.00","3,188.00",2,,,
,,2004 - 2005,,,,"1,594.00","3,193.00",2,,,
,,2005 - 2006,,,,"1,599.00","3,207.00",2.01,,,
,,2006 - 2007,,,,,,,"1,635.00","3,207.00",1.96
,,2008 - 2009,,,,"1,668.00","2,924.00",1.75,,,
,,2009 - 2010,,,,"1,703.00","2,924.00",1.72,,,
,,2010 - 2011,,,,"1,706.00","2,462.00",1.44,,,
,,2011 - 2012,,,,"1,708.00","2,492.00",1.46,,,
,,2012 - 2013,,,,"1,775.00","2,667.00",1.5,,,
,,2013 - 2014,,,,256,303,1.18,,,
,,2014 - 2015,,,,257,301,1.17,,,
,,2015 - 2016,,,,,,,264,326,1.23
,,2016 - 2017,,,,,,,255,270,1.06
,,2017 - 2018,,,,,,,256,271,1.06
,,2018 - 2019,,,,,,,257,273,1.06
,,2019 - 2020,,,,,,,258,274,1.06
,,2020 - 2021,,,,,,,259,275,1.06
,,2022 - 2023,,,,,,,263,279,1.06
,3. East khasi hills,2000 - 2001,,,,"4,602.00","4,524.00",0.98,,,
,,2001 - 2002,,,,"4,459.00","4,672.00",1.05,,,
,,2003 - 2004,,,,"4,510.00","4,764.00",1.06,,,
,,2004 - 2005,,,,"4,511.00","4,757.00",1.05,,,
,,2005 - 2006,,,,"4,512.00","4,758.00",1.05,,,
,,2006 - 2007,,,,,,,"4,510.00","4,754.00",1.05
,,2008 - 2009,,,,"4,514.00","4,760.00",1.05,,,
,,2009 - 2010,,,,"4,515.00","4,762.00",1.05,,,
,,2010 - 2011,,,,"4,516.00","4,729.00",1.05,,,
,,2011 - 2012,,,,"4,521.00","4,824.00",1.07,,,
,,2012 - 2013,,,,"4,699.00","5,172.00",1.1,,,
,,2013 - 2014,,,,"4,879.00","5,564.00",1.14,,,
,,2014 - 2015,,,,"4,886.00","5,788.00",1.18,,,
,,2015 - 2016,,,,,,,"4,924.00","5,936.00",1.21
,,2016 - 2017,,,,,,,"5,431.00","4,846.00",0.89
,,2017 - 2018,,,,,,,"5,433.00","4,855.00",0.89
,,2018 - 2019,,,,,,,"5,434.00","4,856.00",0.89
,,2019 - 2020,,,,,,,"5,435.00","4,865.00",0.9
,,2020 - 2021,,,,,,,"5,436.00","4,869.00",0.9
,,2022 - 2023,,,,,,,"4,428.00","4,986.00",1.13
,4. North garo hills,2013 - 2014,,,,963,"1,229.00",1.28,,,
,,2014 - 2015,,,,967,"1,251.00",1.29,,,
,,2015 - 2016,,,,,,,983,"1,296.00",1.32
,,2016 - 2017,,,,,,,"1,035.00","1,364.00",1.32
,,2017 - 2018,,,,,,,"1,037.00","1,369.00",1.32
,,2018 - 2019,,,,,,,"1,038.00","1,370.00",1.32
,,2019 - 2020,,,,,,,"1,039.00","1,372.00",1.32
,,2020 - 2021,,,,,,,"1,040.00","1,374.00",1.32
,,2022 - 2023,,,,,,,"2,120.00","2,438.00",1.15
,5. Ri bhoi,2000 - 2001,,,,92,58,0.63,,,
,,2001 - 2002,,,,120,59,0.49,,,
,,2003 - 2004,,,,124,68,0.55,,,
,,2004 - 2005,,,,130,74,0.57,,,
,,2005 - 2006,,,,131,74,0.56,,,
,,2006 - 2007,,,,,,,133,74,0.56
,,2008 - 2009,,,,145,90,0.62,,,
,,2009 - 2010,,,,149,93,0.62,,,
,,2010 - 2011,,,,142,87,0.61,,,
,,2011 - 2012,,,,151,93,0.62,,,
,,2012 - 2013,,,,164,102,0.62,,,
,,2013 - 2014,,,,170,110,0.65,,,
,,2014 - 2015,,,,176,123,0.7,,,
,,2015 - 2016,,,,,,,182,130,0.71
,,2016 - 2017,,,,,,,190,106,0.56
,,2017 - 2018,,,,,,,192,108,0.56
,,2018 - 2019,,,,,,,193,109,0.56
,,2019 - 2020,,,,,,,194,110,0.57
,,2020 - 2021,,,,,,,195,111,0.57
,,2022 - 2023,,,,,,,214,102,0.48
,6. South garo hills,2000 - 2001,,,,253,347,1.37,,,
,,2001 - 2002,,,,260,356,1.37,,,
,,2003 - 2004,,,,271,369,1.36,,,
,,2004 - 2005,,,,273,293,1.07,,,
,,2005 - 2006,,,,278,381,1.37,,,
,,2006 - 2007,,,,,,,284,390,1.37
,,2008 - 2009,,,,300,410,1.37,,,
,,2009 - 2010,,,,320,439,1.37,,,
,,2010 - 2011,,,,326,446,1.37,,,
,,2011 - 2012,,,,332,475,1.43,,,
,,2012 - 2013,,,,344,507,1.47,,,
,,2013 - 2014,,,,357,543,1.52,,,
,,2014 - 2015,,,,380,684,1.8,,,
,,2015 - 2016,,,,,,,386,689,1.78
,,2016 - 2017,,,,,,,387,690,1.78
,,2017 - 2018,,,,,,,389,695,1.79
,,2018 - 2019,,,,,,,390,697,1.79
,,2019 - 2020,,,,,,,391,699,1.79
,,2020 - 2021,,,,,,,392,701,1.79
,,2022 - 2023,,,,,,,"4,468.00","8,502.00",1.9
,7. South west garo hills,2013 - 2014,,,,"1,373.00","2,650.00",1.93,,,
,,2014 - 2015,,,,"1,385.00","2,682.00",1.94,,,
,,2015 - 2016,,,,,,,"1,404.00","2,854.00",2.03
,,2016 - 2017,,,,,,,"1,455.00","2,582.00",1.77
,,2017 - 2018,,,,,,,"1,457.00","2,587.00",1.78
,,2018 - 2019,,,,,,,"1,458.00","2,589.00",1.78
,,2019 - 2020,,,,,,,"1,459.00","2,592.00",1.78
,,2020 - 2021,,,,,,,"1,460.00","2,595.00",1.78
,,2022 - 2023,,,,,,,"3,273.00","5,515.00",1.68
,8. South west khasi hills,2013 - 2014,,,,556,568,1.02,,,
,,2014 - 2015,,,,573,602,1.05,,,
,,2015 - 2016,,,,,,,598,754,1.26
,,2016 - 2017,,,,,,,611,753,1.23
,,2017 - 2018,,,,,,,613,756,1.23
,,2018 - 2019,,,,,,,614,757,1.23
,,2019 - 2020,,,,,,,615,759,1.23
,,2020 - 2021,,,,,,,616,761,1.24
,,2022 - 2023,,,,,,,712,"1,045.00",1.47
,9. West garo hills,2000 - 2001,,,,"2,672.00","3,964.00",1.48,,,
,,2001 - 2002,,,,"2,687.00","3,973.00",1.48,,,
,,2003 - 2004,,,,"2,724.00","4,032.00",1.48,,,
,,2004 - 2005,,,,"2,736.00","3,995.00",1.46,,,
,,2005 - 2006,,,,"2,767.00","4,992.00",1.8,,,
,,2006 - 2007,,,,,,,"3,276.00","5,850.00",1.79
,,2008 - 2009,,,,"3,685.00","6,847.00",1.86,,,
,,2009 - 2010,,,,"4,573.00","8,747.00",1.91,,,
,,2010 - 2011,,,,"5,447.00","10,200.00",1.87,,,
,,2011 - 2012,,,,"5,448.00","10,308.00",1.89,,,
,,2012 - 2013,,,,"5,662.00","11,052.00",1.95,,,
,,2013 - 2014,,,,"4,505.00","9,245.00",2.05,,,
,,2014 - 2015,,,,"4,514.00","9,312.00",2.06,,,
,,2015 - 2016,,,,,,,"4,547.00","9,563.00",2.1
,,2016 - 2017,,,,,,,"4,998.00","8,188.00",1.64
,,2017 - 2018,,,,,,,"5,000.00","8,199.00",1.64
,,2018 - 2019,,,,,,,"5,001.00","8,200.00",1.64
,,2019 - 2020,,,,,,,"5,002.00","8,205.00",1.64
,,2020 - 2021,,,,,,,"5,003.00","8,210.00",1.64
,,2022 - 2023,,,,,,,"9,510.00","17,321.00",1.82
,10. West jaintia hills,2013 - 2014,,,,"1,589.00","2,565.00",1.61,,,
,,2014 - 2015,,,,"1,570.00","2,517.00",1.6,,,
,,2015 - 2016,,,,,,,"1,607.00","2,657.00",1.65
,,2016 - 2017,,,,,,,"1,550.00","2,480.00",1.6
,,2017 - 2018,,,,,,,"1,552.00","2,487.00",1.6
,,2018 - 2019,,,,,,,"1,553.00","2,488.00",1.6
,,2019 - 2020,,,,,,,"1,554.00","2,492.00",1.6
,,2020 - 2021,,,,,,,"1,555.00","2,495.00",1.6
,,2022 - 2023,,,,,,,"1,555.00","2,495.00",1.6
,11. West khasi hills,2000 - 2001,,,,"1,174.00",795,0.68,,,
,,2001 - 2002,,,,"1,176.00",937,0.8,,,
,,2003 - 2004,,,,"1,182.00",938,0.79,,,
,,2004 - 2005,,,,"1,187.00",952,0.8,,,
,,2005 - 2006,,,,"1,200.00",965,0.8,,,
,,2006 - 2007,,,,,,,"1,208.00","1,112.00",0.92
,,2008 - 2009,,,,"1,213.00","1,111.00",0.92,,,
,,2009 - 2010,,,,"1,221.00","1,136.00",0.93,,,
,,2010 - 2011,,,,"1,224.00","1,165.00",0.95,,,
,,2011 - 2012,,,,"1,227.00","1,197.00",0.98,,,
,,2012 - 2013,,,,"1,276.00","1,292.00",1.01,,,
,,2013 - 2014,,,,769,831,1.08,,,
,,2014 - 2015,,,,771,897,1.16,,,
,,2015 - 2016,,,,,,,783,968,1.24
,,2016 - 2017,,,,,,,789,974,1.23
,,2017 - 2018,,,,,,,790,976,1.24
,,2018 - 2019,,,,,,,791,977,1.24
,,2019 - 2020,,,,,,,792,979,1.24
,,2020 - 2021,,,,,,,793,981,1.24
,,2022 - 2023,,,,,,,867,"1,071.00",1.24
8. Puducherry,1. Mahe,2000 - 2001,,,,65,130,2,,,
,,2001 - 2002,,,,65,137,2.11,,,
,,2003 - 2004,,,,64,77,1.2,,,
,,2006 - 2007,63,82,1.3,63,82,1.3,,,
,,2007 - 2008,61,78,1.28,,,,,,
,,2008 - 2009,61,79,1.3,,,,,,
,,2009 - 2010,61,77,1.26,,,,,,
,,2010 - 2011,60,78,1.3,,,,,,
,,2011 - 2012,60,77,1.28,,,,,,
,,2015 - 2016,55,83,1.51,,,,,,
,,2016 - 2017,53,93,1.75,,,,,,
,,2017 - 2018,52,78,1.5,,,,,,
,,2018 - 2019,52,78,1.5,,,,,,
,,2019 - 2020,52,78,1.5,,,,,,
,,2020 - 2021,52,78,1.5,,,,,,
,,2022 - 2023,53,80,1.51,,,,,,
9. Tamil Nadu,1. Ariyalur,2018 - 2019,,,,1,2,2,,,
,,2019 - 2020,,,,1,2,2,,,
,,2022 - 2023,,,,4,9,2.25,,,
,2. Coimbatore,2002 - 2003,,,,"1,589.00",,0,,,
,,2003 - 2004,,,,"1,577.00",,0,,,
,,2004 - 2005,,,,"1,574.00","1,844.00",1.17,,,
,,2005 - 2006,,,,"1,556.00","4,469.00",2.87,,,
,,2006 - 2007,,,,"1,602.00","3,828.00",2.39,,,
,,2007 - 2008,,,,"1,678.00","3,192.00",1.9,,,
,,2008 - 2009,,,,"1,608.00","3,305.00",2.06,,,
,,2009 - 2010,,,,"1,651.00","3,324.00",2.01,,,
,,2011 - 2012,,,,"1,732.00","3,280.00",1.89,,,
,,2013 - 2014,,,,"1,817.00","3,686.00",2.03,,,
,,2014 - 2015,,,,"1,798.00",790,0.44,,,
,,2015 - 2016,,,,"1,769.00","2,264.00",1.28,,,
,,2016 - 2017,,,,"1,826.00","2,456.00",1.35,,,
,,2017 - 2018,,,,"1,813.00","3,245.00",1.79,,,
,,2018 - 2019,,,,"2,074.00","4,305.00",2.08,,,
,,2019 - 2020,,,,"2,074.00","4,305.00",2.08,,,
,,2020 - 2021,,,,"2,282.00","1,912.00",0.84,,,
,,2021 - 2022,,,,"2,488.00","2,594.00",1.04,,,
,,2022 - 2023,,,,"2,781.00","3,880.00",1.4,,,
,3. Cuddalore,2005 - 2006,,,,2,2,1,,,
,,2006 - 2007,,,,1,1,1,,,
,,2007 - 2008,,,,1,2,2,,,
,,2008 - 2009,,,,1,2,2,,,
,,2009 - 2010,,,,1,2,2,,,
,,2011 - 2012,,,,1,2,2,,,
,,2017 - 2018,,,,1,2,2,,,
,,2018 - 2019,,,,1,2,2,,,
,,2019 - 2020,,,,1,2,2,,,
,,2020 - 2021,,,,1,2,2,,,
,4. Dharmapuri,2002 - 2003,,,,203,,0,,,
,,2003 - 2004,,,,308,,0,,,
,,2004 - 2005,,,,308,393,1.28,,,
,,2005 - 2006,,,,308,471,1.53,,,
,,2006 - 2007,,,,337,"1,018.00",3.02,,,
