State,District,Year,Cotton(lint),,,,,,,,,,,
,,2015 - 2016,78,145,1.86,"5,069.00","17,742.00",3.5,,,,,,
,,2016 - 2017,91,117,1.29,"6,139.00","1,242.00",0.2,,,,,,
,,2017 - 2018,43,,0,"6,497.00",14,0,,,,,,
,,2018 - 2019,2,4,2,"6,149.00","11,452.00",1.86,,,,,,
,,2019 - 2020,53,130,2.45,"7,707.00","14,922.00",1.94,,,,,,
,,2020 - 2021,147,285,1.94,"4,975.00","4,136.00",0.83,,,,,,
,,2021 - 2022,691,"1,117.00",1.62,"4,814.00","7,137.00",1.48,,,,,,
,,2022 - 2023,250,475,1.9,"8,312.00","5,474.00",0.66,,,,,,
,30. Tiruchirappalli,2000 - 2001,"7,083.00","12,300.00",1.74,,,,,,,,,
,,2001 - 2002,"9,508.00","10,880.00",1.14,,,,,,,,,
,,2002 - 2003,"1,558.00","2,581.00",1.66,,,,,,,,,
,,2003 - 2004,"2,767.00","3,580.00",1.29,,,,,,,,,
,,2004 - 2005,"2,715.00","3,812.00",1.4,,,,,,,,,
,,2005 - 2006,"3,299.00","4,847.00",1.47,,,,,,,,,
,,2006 - 2007,,,,,,,"5,508.00","13,742.00",2.49,,,
,,2007 - 2008,,,,,,,"6,677.00","16,364.00",2.45,,,
,,2008 - 2009,,,,,,,"10,976.00","5,338.00",0.49,,,
,,2009 - 2010,,,,,,,"9,319.00","32,202.00",3.46,,,
,,2010 - 2011,"14,479.00","28,519.00",1.97,,,,,,,,,
,,2011 - 2012,"14,056.00","36,772.00",2.62,317,872,2.75,,,,,,
,,2012 - 2013,"16,928.00","17,539.00",1.04,,,,,,,,,
,,2013 - 2014,"16,272.00","35,173.00",2.16,190,594,3.13,,,,,,
,,2014 - 2015,"16,895.00","28,140.00",1.67,389,"1,327.00",3.41,,,,,,
,,2015 - 2016,"14,518.00","17,592.00",1.21,459,"1,361.00",2.97,,,,,,
,,2016 - 2017,"10,655.00","13,194.00",1.24,980,"1,445.00",1.47,,,,,,
,,2017 - 2018,"14,197.00",29,0,690,2,0,,,,,,
,,2018 - 2019,"5,361.00","12,017.00",2.24,"3,502.00","9,095.00",2.6,,,,,,
,,2019 - 2020,"11,428.00","24,692.00",2.16,"2,046.00","5,137.00",2.51,,,,,,
,,2020 - 2021,"8,051.00","13,992.00",1.74,625,"1,509.00",2.41,,,,,,
,,2021 - 2022,"9,138.00","13,030.00",1.43,"2,282.00","5,443.00",2.39,,,,,,
,,2022 - 2023,"10,339.00","17,906.00",1.73,"2,563.00","4,587.00",1.79,,,,,,
,31. Tirunelveli,2000 - 2001,"15,262.00","30,562.00",2,,,,,,,,,
,,2001 - 2002,"6,716.00","10,020.00",1.49,,,,,,,,,
,,2002 - 2003,"3,904.00","6,739.00",1.73,,,,,,,,,
,,2003 - 2004,"4,301.00","7,050.00",1.64,,,,,,,,,
,,2004 - 2005,"6,625.00","14,854.00",2.24,,,,,,,,,
,,2005 - 2006,"4,938.00","10,777.00",2.18,,,,,,,,,
,,2006 - 2007,,,,,,,"4,373.00","10,745.00",2.46,,,
,,2007 - 2008,,,,,,,"3,250.00","5,943.00",1.83,,,
,,2008 - 2009,,,,,,,"2,512.00","6,107.00",2.43,,,
,,2009 - 2010,,,,,,,"2,574.00","7,100.00",2.76,,,
,,2010 - 2011,"2,432.00","7,151.00",2.94,,,,,,,,,
,,2011 - 2012,"1,667.00","5,470.00",3.28,"1,055.00","3,063.00",2.9,,,,,,
,,2012 - 2013,"2,510.00","5,135.00",2.05,,,,,,,,,
,,2013 - 2014,"1,105.00","2,187.00",1.98,"2,379.00","1,617.00",0.68,,,,,,
,,2014 - 2015,"3,247.00","10,642.00",3.28,"2,809.00","13,382.00",4.76,,,,,,
,,2015 - 2016,"1,220.00","4,744.00",3.89,"2,922.00","11,911.00",4.08,,,,,,
,,2016 - 2017,"1,055.00","3,248.00",3.08,"2,607.00","2,182.00",0.84,,,,,,
,,2017 - 2018,"1,220.00",4,0,"2,333.00",4,0,,,,,,
,,2018 - 2019,821,"1,955.00",2.38,"3,139.00","4,896.00",1.56,,,,,,
,,2019 - 2020,985,"2,398.00",2.43,"3,452.00","4,805.00",1.39,,,,,,
,,2020 - 2021,630,"1,228.00",1.95,226,546,2.42,,,,,,
,,2021 - 2022,561,909,1.62,185,441,2.38,,,,,,
,,2022 - 2023,845,"1,610.00",1.91,298,533,1.79,,,,,,
,32. Tirupathur,2020 - 2021,"2,200.00","4,627.00",2.1,,,,,,,,,
,,2021 - 2022,"3,101.00","4,183.00",1.35,5,12,2.4,,,,,,
,,2022 - 2023,"3,305.00","8,106.00",2.45,136,243,1.79,,,,,,
,33. Tiruppur,2008 - 2009,,,,,,,429,,0,,,
,,2009 - 2010,,,,,,,335,"2,081.00",6.21,,,
,,2010 - 2011,398,973,2.44,,,,,,,,,
,,2011 - 2012,361,"1,031.00",2.86,292,803,2.75,,,,,,
,,2012 - 2013,371,684,1.84,,,,,,,,,
,,2013 - 2014,137,393,2.87,194,466,2.4,,,,,,
,,2014 - 2015,381,"1,195.00",3.14,479,"1,634.00",3.41,,,,,,
,,2015 - 2016,277,517,1.87,692,"2,052.00",2.97,,,,,,
,,2016 - 2017,272,352,1.29,621,914,1.47,,,,,,
,,2017 - 2018,191,,0,717,2,0,,,,,,
,,2018 - 2019,113,244,2.16,"1,039.00","2,696.00",2.59,,,,,,
,,2019 - 2020,222,541,2.44,984,"3,769.00",3.83,,,,,,
,,2020 - 2021,163,318,1.95,768,"3,011.00",3.92,,,,,,
,,2021 - 2022,156,254,1.63,928,"3,914.00",4.22,,,,,,
,,2022 - 2023,433,824,1.9,840,"2,697.00",3.21,,,,,,
,34. Tiruvannamalai,2000 - 2001,"2,777.00","6,034.00",2.17,,,,,,,,,
,,2001 - 2002,"2,782.00","2,830.00",1.02,,,,,,,,,
,,2002 - 2003,555,936,1.69,,,,,,,,,
,,2003 - 2004,"2,610.00","5,872.00",2.25,,,,,,,,,
,,2004 - 2005,"2,576.00","5,271.00",2.05,,,,,,,,,
,,2005 - 2006,"1,712.00","4,462.00",2.61,,,,,,,,,
,,2006 - 2007,,,,,,,"1,689.00","4,784.00",2.83,,,
,,2007 - 2008,,,,,,,869,"2,451.00",2.82,,,
,,2008 - 2009,,,,,,,954,"2,425.00",2.54,,,
,,2009 - 2010,,,,,,,785,"2,320.00",2.96,,,
,,2010 - 2011,"1,191.00","2,544.00",2.14,,,,,,,,,
,,2011 - 2012,370,"1,056.00",2.85,391,"1,076.00",2.75,,,,,,
,,2012 - 2013,506,961,1.9,,,,,,,,,
,,2013 - 2014,138,260,1.88,157,357,2.27,,,,,,
,,2014 - 2015,148,464,3.14,242,623,2.57,,,,,,
,,2015 - 2016,247,461,1.87,83,246,2.96,,,,,,
,,2016 - 2017,163,211,1.29,90,132,1.47,,,,,,
,,2017 - 2018,226,1,0,361,1,0,,,,,,
,,2018 - 2019,239,518,2.17,346,898,2.6,,,,,,
,,2019 - 2020,396,965,2.44,487,"1,219.00",2.5,,,,,,
,,2020 - 2021,282,549,1.95,353,854,2.42,,,,,,
,,2021 - 2022,292,472,1.62,"1,058.00","2,525.00",2.39,,,,,,
,,2022 - 2023,238,463,1.95,"1,946.00","3,479.00",1.79,,,,,,
,35. Vellore,2000 - 2001,"4,965.00","5,906.00",1.19,,,,,,,,,
,,2001 - 2002,"6,779.00","6,380.00",0.94,,,,,,,,,
,,2002 - 2003,389,446,1.15,,,,,,,,,
,,2003 - 2004,"1,124.00","3,174.00",2.82,,,,,,,,,
,,2004 - 2005,"1,885.00","5,114.00",2.71,,,,,,,,,
,,2005 - 2006,"7,013.00","9,585.00",1.37,,,,,,,,,
,,2006 - 2007,,,,,,,"5,765.00","15,143.00",2.63,,,
,,2007 - 2008,,,,,,,"6,625.00","14,510.00",2.19,,,
,,2008 - 2009,,,,,,,"6,689.00","11,651.00",1.74,,,
,,2009 - 2010,,,,,,,"6,928.00","13,158.00",1.9,,,
,,2010 - 2011,"5,713.00","13,102.00",2.29,,,,,,,,,
,,2011 - 2012,"6,995.00","13,714.00",1.96,146,402,2.75,,,,,,
,,2012 - 2013,"7,725.00","18,118.00",2.35,,,,,,,,,
,,2013 - 2014,"6,125.00","16,476.00",2.69,345,828,2.4,,,,,,
,,2014 - 2015,"8,503.00","23,200.00",2.73,140,478,3.41,,,,,,
,,2015 - 2016,"8,016.00","13,769.00",1.72,95,282,2.97,,,,,,
,,2016 - 2017,"6,021.00","10,374.00",1.72,89,131,1.47,,,,,,
,,2017 - 2018,"6,206.00",18,0,135,,0,,,,,,
,,2018 - 2019,"3,205.00","6,307.00",1.97,,,,,,,,,
,,2019 - 2020,"5,062.00","14,293.00",2.82,,,,,,,,,
,,2020 - 2021,19,59,3.11,,,,,,,,,
,,2021 - 2022,16,51,3.19,10,24,2.4,,,,,,
,,2022 - 2023,46,146,3.17,4,7,1.75,,,,,,
,36. Villupuram,2000 - 2001,"11,442.00","23,259.00",2.03,,,,,,,,,
,,2001 - 2002,"5,486.00","11,100.00",2.02,,,,,,,,,
,,2002 - 2003,"1,878.00","3,687.00",1.96,,,,,,,,,
,,2003 - 2004,"4,922.00","11,337.00",2.3,,,,,,,,,
,,2004 - 2005,"5,215.00","9,582.00",1.84,,,,,,,,,
,,2005 - 2006,"5,023.00","7,423.00",1.48,,,,,,,,,
,,2006 - 2007,,,,,,,"5,557.00","12,263.00",2.21,,,
,,2007 - 2008,,,,,,,"7,014.00","20,178.00",2.88,,,
,,2008 - 2009,,,,,,,"8,609.00","19,032.00",2.21,,,
,,2009 - 2010,,,,,,,"6,519.00","11,611.00",1.78,,,
,,2010 - 2011,"5,489.00","13,300.00",2.42,,,,,,,,,
,,2011 - 2012,"6,126.00","12,728.00",2.08,94,308,3.28,,,,,,
,,2012 - 2013,"6,944.00","17,145.00",2.47,,,,,,,,,
,,2013 - 2014,"9,322.00","21,093.00",2.26,267,631,2.36,,,,,,
,,2014 - 2015,"9,024.00","22,702.00",2.52,861,"2,938.00",3.41,,,,,,
,,2015 - 2016,"7,459.00","9,433.00",1.26,"1,540.00","4,566.00",2.96,,,,,,
,,2016 - 2017,"4,884.00","7,557.00",1.55,876,"1,290.00",1.47,,,,,,
,,2017 - 2018,"7,920.00",19,0,483,1,0,,,,,,
,,2018 - 2019,"4,503.00","9,104.00",2.02,601,"1,559.00",2.59,,,,,,
,,2019 - 2020,"7,902.00","20,187.00",2.55,264,662,2.51,,,,,,
,,2020 - 2021,117,228,1.95,28,67,2.39,,,,,,
,,2021 - 2022,63,102,1.62,89,211,2.37,,,,,,
,,2022 - 2023,104,198,1.9,88,158,1.8,,,,,,
,37. Virudhunagar,2000 - 2001,"26,955.00","33,925.00",1.26,,,,,,,,,
,,2001 - 2002,"21,257.00","28,670.00",1.35,,,,,,,,,
,,2002 - 2003,"17,934.00","18,312.00",1.02,,,,,,,,,
,,2003 - 2004,"17,883.00","13,734.00",0.77,,,,,,,,,
,,2004 - 2005,"17,439.00","16,648.00",0.95,,,,,,,,,
,,2005 - 2006,"13,867.00","15,753.00",1.14,,,,,,,,,
,,2006 - 2007,,,,,,,"11,535.00","21,908.00",1.9,,,
,,2007 - 2008,,,,,,,"8,723.00","13,722.00",1.57,,,
,,2008 - 2009,,,,,,,"8,705.00","12,033.00",1.38,,,
,,2009 - 2010,,,,,,,"7,876.00","10,922.00",1.39,,,
,,2010 - 2011,"7,904.00","14,022.00",1.77,,,,,,,,,
,,2011 - 2012,"4,746.00","12,075.00",2.54,"4,893.00","11,251.00",2.3,,,,,,
,,2012 - 2013,"8,209.00","11,859.00",1.44,,,,,,,,,
,,2013 - 2014,"3,818.00","9,248.00",2.42,"5,904.00","14,203.00",2.41,,,,,,
,,2014 - 2015,"2,577.00","4,344.00",1.69,"10,680.00","26,066.00",2.44,,,,,,
,,2015 - 2016,"1,536.00","2,205.00",1.44,"11,962.00","33,634.00",2.81,,,,,,
,,2016 - 2017,"1,437.00",822,0.57,"14,016.00","15,524.00",1.11,,,,,,
,,2017 - 2018,"6,810.00",9,0,"10,375.00",19,0,,,,,,
,,2018 - 2019,"2,067.00","2,167.00",1.05,"17,375.00","30,649.00",1.76,,,,,,
,,2019 - 2020,"3,642.00","6,556.00",1.8,"18,043.00","29,221.00",1.62,,,,,,
,,2020 - 2021,"3,283.00","5,286.00",1.61,"13,384.00","33,030.00",2.47,,,,,,
,,2021 - 2022,"2,758.00","4,495.00",1.63,"17,100.00","26,469.00",1.55,,,,,,
,,2022 - 2023,"3,706.00","4,338.00",1.17,"17,401.00","23,625.00",1.36,,,,,,
21. Telangana,1. Adilabad,2000 - 2001,"1,69,332.00","1,04,587.00",0.62,,,,,,,,,
,,2001 - 2002,"1,75,552.00","2,70,557.00",1.54,,,,,,,,,
,,2002 - 2003,"1,62,008.00","1,71,538.00",1.06,,,,,,,,,
,,2003 - 2004,"1,45,297.00","2,88,030.00",1.98,,,,,,,,,
,,2004 - 2005,"1,77,911.00","2,36,517.00",1.33,,,,,,,,,
,,2005 - 2006,"1,59,415.00","2,69,130.00",1.69,,,,,,,,,
,,2006 - 2007,"1,78,770.00","3,60,695.00",2.02,,,,,,,,,
,,2007 - 2008,"2,11,000.00","6,43,000.00",3.05,,,,,,,,,
,,2008 - 2009,"2,79,353.00","6,16,220.00",2.21,,,,,,,,,
,,2009 - 2010,"2,80,536.00","5,52,821.00",1.97,,,,,,,,,
,,2010 - 2011,"3,24,981.00","6,59,520.00",2.03,,,,,,,,,
,,2011 - 2012,"3,61,169.00","5,29,006.00",1.46,,,,,,,,,
,,2012 - 2013,"3,70,000.00","7,23,000.00",1.95,,,,,,,,,
,,2013 - 2014,"3,02,845.00","6,57,994.00",2.17,,,,,,,,,
,,2014 - 2015,"3,04,424.00","5,73,033.00",1.88,,,,,,,,,
,,2015 - 2016,"3,36,448.00","8,38,679.00",2.49,,,,,,,,,
,,2016 - 2017,"1,05,746.00","2,88,002.00",2.72,,,,,,,,,
,,2017 - 2018,"1,42,058.00","4,47,065.00",3.15,,,,,,,,,
,,2018 - 2019,"1,42,447.00","3,62,821.00",2.55,,,,,,,,,
,,2019 - 2020,"1,40,332.00","6,64,975.00",4.74,,,,,,,,,
,,2020 - 2021,"1,71,507.00","4,58,698.00",2.67,,,,,,,,,
,,2021 - 2022,"1,56,685.00","4,01,848.00",2.56,,,,,,,,,
,,2022 - 2023,"1,50,384.00","4,76,806.00",3.17,9,29,3.22,,,,,,
,2. Bhadradri,2016 - 2017,"37,975.00","1,28,445.00",3.38,,,,,,,,,
,,2017 - 2018,"46,097.00","1,79,236.00",3.89,,,,,,,,,
,,2018 - 2019,"48,246.00","1,17,209.00",2.43,,,,,,,,,
,,2019 - 2020,"48,548.00","1,65,831.00",3.42,,,,,,,,,
,,2020 - 2021,"52,424.00","1,60,794.00",3.07,,,,,,,,,
,,2021 - 2022,"64,971.00","2,48,048.00",3.82,,,,,,,,,
,,2022 - 2023,"68,275.00","2,36,954.00",3.47,59,205,3.47,,,,,,
,3. Jagitial,2016 - 2017,"13,052.00","41,766.00",3.2,,,,,,,,,
,,2017 - 2018,"10,809.00","20,982.00",1.94,,,,,,,,,
,,2018 - 2019,"8,291.00","23,215.00",2.8,,,,,,,,,
,,2019 - 2020,"11,291.00","38,405.00",3.4,,,,,,,,,
,,2020 - 2021,"11,946.00","39,593.00",3.31,,,,,,,,,
,,2021 - 2022,"8,598.00","25,238.00",2.94,,,,,,,,,
,,2022 - 2023,"8,645.00","25,376.00",2.94,2,6,3,,,,,,
,4. Jangoan,2016 - 2017,"56,065.00","1,69,844.00",3.03,,,,,,,,,
,,2017 - 2018,"78,259.00","2,47,206.00",3.16,,,,,,,,,
,,2018 - 2019,"64,566.00","1,41,286.00",2.19,,,,,,,,,
,,2019 - 2020,"68,824.00","1,98,078.00",2.88,,,,,,,,,
,,2020 - 2021,"74,215.00","1,86,625.00",2.51,,,,,,,,,
,,2021 - 2022,"59,252.00","1,37,325.00",2.32,,,,,,,,,
,,2022 - 2023,"60,282.00","1,87,229.00",3.11,86,267,3.1,,,,,,
,5. Jayashankar,2016 - 2017,"60,981.00","1,84,737.00",3.03,,,,,,,,,
,,2017 - 2018,"65,999.00","1,66,550.00",2.52,,,,,,,,,
,,2018 - 2019,"52,864.00","1,54,549.00",2.92,,,,,,,,,
,,2019 - 2020,"52,386.00","1,85,795.00",3.55,,,,,,,,,
,,2020 - 2021,"50,028.00","1,37,441.00",2.75,,,,,,,,,
,,2021 - 2022,"36,304.00","1,08,698.00",2.99,,,,,,,,,
,,2022 - 2023,"40,889.00","1,64,037.00",4.01,13,52,4,,,,,,
,6. Jogulamba,2016 - 2017,"38,428.00","67,362.00",1.75,,,,,,,,,
,,2017 - 2018,"59,363.00","1,30,249.00",2.19,,,,,,,,,
,,2018 - 2019,"59,265.00","1,16,787.00",1.97,,,,,,,,,
,,2019 - 2020,"76,386.00","2,34,280.00",3.07,,,,,,,,,
,,2020 - 2021,"89,474.00","2,27,603.00",2.54,,,,,,,,,
,,2021 - 2022,"77,408.00","2,02,622.00",2.62,,,,,,,,,
,,2022 - 2023,"95,408.00","2,01,479.00",2.11,28,59,2.11,,,,,,
,7. Kamareddy,2016 - 2017,"7,864.00","18,133.00",2.31,,,,,,,,,
,,2017 - 2018,"17,808.00","45,044.00",2.53,,,,,,,,,
,,2018 - 2019,"18,253.00","66,355.00",3.64,,,,,,,,,
,,2019 - 2020,"19,206.00","61,975.00",3.23,,,,,,,,,
,,2020 - 2021,"23,672.00","45,420.00",1.92,,,,,,,,,
,,2021 - 2022,"11,168.00","31,927.00",2.86,,,,,,,,,
,,2022 - 2023,"11,974.00","40,219.00",3.36,15,50,3.33,,,,,,
,8. Karimnagar,2000 - 2001,"66,576.00","1,66,048.00",2.49,,,,,,,,,
,,2001 - 2002,"80,520.00","1,03,729.00",1.29,,,,,,,,,
,,2002 - 2003,"46,302.00","71,087.00",1.54,,,,,,,,,
,,2003 - 2004,"48,689.00","1,06,829.00",2.19,,,,,,,,,
,,2004 - 2005,"1,00,110.00","1,24,843.00",1.25,,,,,,,,,
,,2005 - 2006,"1,17,500.00","2,69,559.00",2.29,,,,,,,,,
,,2006 - 2007,"1,17,151.00","2,23,276.00",1.91,,,,,,,,,
,,2007 - 2008,"1,37,000.00","4,52,000.00",3.3,,,,,,,,,
,,2008 - 2009,"1,80,127.00","4,25,947.00",2.36,,,,,,,,,
,,2009 - 2010,"1,99,553.00","4,61,320.00",2.31,,,,,,,,,
,,2010 - 2011,"2,35,396.00","5,02,640.00",2.14,,,,,,,,,
,,2011 - 2012,"2,35,245.00","2,93,364.00",1.25,,,,,,,,,
,,2012 - 2013,"2,51,000.00","5,00,000.00",1.99,,,,,,,,,
,,2013 - 2014,"2,31,378.00","6,69,212.00",2.89,,,,,,,,,
,,2014 - 2015,"2,14,586.00","5,85,694.00",2.73,,,,,,,,,
,,2015 - 2016,"2,01,244.00","5,48,269.00",2.72,,,,,,,,,
,,2016 - 2017,"47,541.00","1,52,131.00",3.2,,,,,,,,,
,,2017 - 2018,"53,366.00","1,85,839.00",3.48,,,,,,,,,
,,2018 - 2019,"42,918.00","93,915.00",2.19,,,,,,,,,
,,2019 - 2020,"36,762.00","1,11,148.00",3.02,,,,,,,,,
,,2020 - 2021,"30,345.00","93,077.00",3.07,,,,,,,,,
,,2021 - 2022,"19,168.00","60,658.00",3.16,,,,,,,,,
,,2022 - 2023,"20,928.00","75,341.00",3.6,48,173,3.6,,,,,,
,9. Khammam,2000 - 2001,"82,875.00","1,92,075.00",2.32,,,,,,,,,
,,2001 - 2002,"99,040.00","2,08,567.00",2.11,,,,,,,,,
,,2002 - 2003,"70,138.00","1,17,172.00",1.67,,,,,,,,,
,,2003 - 2004,"76,338.00","1,76,475.00",2.31,,,,,,,,,
,,2004 - 2005,"1,05,398.00","2,42,415.00",2.3,,,,,,,,,
,,2005 - 2006,"1,09,752.00","2,20,150.00",2.01,,,,,,,,,
,,2006 - 2007,"1,10,101.00","2,49,346.00",2.26,,,,,,,,,
,,2007 - 2008,"1,19,000.00","3,79,000.00",3.18,,,,,,,,,
,,2008 - 2009,"1,24,516.00","3,17,150.00",2.55,,,,,,,,,
,,2009 - 2010,"1,31,900.00","3,00,266.00",2.28,,,,,,,,,
,,2010 - 2011,"1,48,645.00","4,06,489.00",2.73,,,,,,,,,
,,2011 - 2012,"1,71,684.00","2,11,070.00",1.23,,,,,,,,,
,,2012 - 2013,"1,85,000.00","5,05,000.00",2.73,,,,,,,,,
,,2013 - 2014,"1,75,049.00","5,48,747.00",3.13,,,,,,,,,
,,2014 - 2015,"1,57,416.00","4,84,286.00",3.08,,,,,,,,,
,,2015 - 2016,"1,54,994.00","4,64,001.00",2.99,,,,,,,,,
,,2016 - 2017,"83,018.00","2,80,796.00",3.38,,,,,,,,,
,,2017 - 2018,"97,801.00","3,89,478.00",3.98,,,,,,,,,
,,2018 - 2019,"97,134.00","2,17,694.00",2.24,,,,,,,,,
,,2019 - 2020,"1,00,370.00","3,51,605.00",3.5,,,,,,,,,
,,2020 - 2021,"1,02,772.00","2,24,077.00",2.18,,,,,,,,,
,,2021 - 2022,"78,817.00","2,22,545.00",2.82,,,,,,,,,
,,2022 - 2023,"94,628.00","2,81,101.00",2.97,59,175,2.97,,,,,,
,10. Komaram bheem asifabad,2016 - 2017,"71,072.00","1,93,567.00",2.72,,,,,,,,,
,,2017 - 2018,"83,197.00","1,76,182.00",2.12,,,,,,,,,
,,2018 - 2019,"91,992.00","2,16,452.00",2.35,,,,,,,,,
,,2019 - 2020,"1,24,884.00","4,08,435.00",3.27,,,,,,,,,
,,2020 - 2021,"1,24,040.00","3,66,010.00",2.95,,,,,,,,,
,,2021 - 2022,"1,26,410.00","3,42,794.00",2.71,,,,,,,,,
,,2022 - 2023,"1,29,158.00","4,09,507.00",3.17,15,48,3.2,,,,,,
,11. Mahabubabad,2016 - 2017,"30,249.00","91,637.00",3.03,,,,,,,,,
,,2017 - 2018,"42,476.00","1,05,690.00",2.49,,,,,,,,,
,,2018 - 2019,"36,495.00","91,882.00",2.52,,,,,,,,,
,,2019 - 2020,"40,779.00","90,689.00",2.22,,,,,,,,,
,,2020 - 2021,"44,774.00","1,01,528.00",2.27,,,,,,,,,
,,2021 - 2022,"29,491.00","80,490.00",2.73,,,,,,,,,
,,2022 - 2023,"39,058.00","1,18,093.00",3.02,23,70,3.04,,,,,,
,12. Mahbubnagar,2000 - 2001,"40,492.00","60,976.00",1.51,,,,,,,,,
,,2001 - 2002,"63,422.00","77,226.00",1.22,,,,,,,,,
,,2002 - 2003,"43,266.00","57,518.00",1.33,,,,,,,,,
,,2003 - 2004,"34,979.00","57,407.00",1.64,,,,,,,,,
,,2004 - 2005,"50,841.00","71,476.00",1.41,,,,,,,,,
,,2005 - 2006,"47,634.00","67,248.00",1.41,,,,,,,,,
,,2006 - 2007,"46,844.00","58,417.00",1.25,,,,,,,,,
,,2007 - 2008,"69,000.00","1,47,000.00",2.13,,,,,,,,,
,,2008 - 2009,"90,300.00","1,03,048.00",1.14,,,,,,,,,
,,2009 - 2010,"1,18,702.00","1,50,123.00",1.26,,,,,,,,,
,,2010 - 2011,"1,60,252.00","3,13,905.00",1.96,,,,,,,,,
,,2011 - 2012,"1,85,291.00","2,19,079.00",1.18,,,,,,,,,
,,2012 - 2013,"2,23,000.00","5,00,000.00",2.24,,,,,,,,,
,,2013 - 2014,"2,30,606.00","4,77,929.00",2.07,,,,,,,,,
,,2014 - 2015,"2,37,683.00","4,64,509.00",1.95,,,,,,,,,
,,2015 - 2016,"2,73,989.00","2,62,561.00",0.96,,,,,,,,,
,,2016 - 2017,"34,499.00","60,475.00",1.75,,,,,,,,,
,,2017 - 2018,"73,982.00","1,21,418.00",1.64,,,,,,,,,
,,2018 - 2019,"35,870.00","46,209.00",1.29,,,,,,,,,
,,2019 - 2020,"39,210.00","1,24,818.00",3.18,,,,,,,,,
,,2020 - 2021,"52,415.00","1,04,378.00",1.99,,,,,,,,,
,,2021 - 2022,"32,557.00","86,372.00",2.65,,,,,,,,,
,,2022 - 2023,"42,574.00","1,10,192.00",2.59,3,8,2.67,,,,,,
,13. Mancherial,2016 - 2017,"48,282.00","1,31,497.00",2.72,,,,,,,,,
,,2017 - 2018,"56,470.00","1,93,991.00",3.44,,,,,,,,,
,,2018 - 2019,"60,229.00","1,96,630.00",3.26,,,,,,,,,
,,2019 - 2020,"73,114.00","2,10,425.00",2.88,,,,,,,,,
,,2020 - 2021,"76,116.00","1,82,557.00",2.4,,,,,,,,,
,,2021 - 2022,"64,935.00","1,59,659.00",2.46,,,,,,,,,
,,2022 - 2023,"67,599.00","1,79,734.00",2.66,67,178,2.66,,,,,,
,14. Medak,2000 - 2001,"10,571.00","17,038.00",1.61,,,,,,,,,
,,2001 - 2002,"16,399.00","24,791.00",1.51,,,,,,,,,
,,2002 - 2003,"6,960.00","8,843.00",1.27,,,,,,,,,
,,2003 - 2004,"5,761.00","13,318.00",2.31,,,,,,,,,
,,2004 - 2005,"13,733.00","33,363.00",2.43,,,,,,,,,
,,2005 - 2006,"15,994.00","41,208.00",2.58,,,,,,,,,
,,2006 - 2007,"19,247.00","51,401.00",2.67,,,,,,,,,
,,2007 - 2008,"29,000.00","1,01,000.00",3.48,,,,,,,,,
,,2008 - 2009,"49,124.00","1,17,609.00",2.39,,,,,,,,,
,,2009 - 2010,"66,019.00","53,980.00",0.82,,,,,,,,,
,,2010 - 2011,"78,392.00","1,27,733.00",1.63,,,,,,,,,
,,2011 - 2012,"93,076.00","1,63,157.00",1.75,,,,,,,,,
,,2012 - 2013,"1,29,000.00","4,46,000.00",3.46,,,,,,,,,
,,2013 - 2014,"1,22,299.00","2,99,547.00",2.45,,,,,,,,,
,,2014 - 2015,"1,33,703.00","2,33,587.00",1.75,,,,,,,,,
,,2015 - 2016,"1,34,239.00","2,26,183.00",1.68,,,,,,,,,
,,2016 - 2017,"7,605.00","16,284.00",2.14,,,,,,,,,
,,2017 - 2018,"12,347.00","60,282.00",4.88,,,,,,,,,
,,2018 - 2019,"13,991.00","34,566.00",2.47,,,,,,,,,
,,2019 - 2020,"29,698.00","89,789.00",3.02,,,,,,,,,
,,2020 - 2021,"34,628.00","89,099.00",2.57,,,,,,,,,
,,2021 - 2022,"21,548.00","53,743.00",2.49,,,,,,,,,
,,2022 - 2023,"17,917.00","48,060.00",2.68,16,43,2.69,,,,,,
,15. Medchal,2016 - 2017,79,126,1.59,,,,,,,,,
,,2017 - 2018,150,411,2.74,,,,,,,,,
,,2018 - 2019,110,235,2.14,,,,,,,,,
,,2019 - 2020,174,559,3.21,,,,,,,,,
,,2020 - 2021,401,985,2.46,,,,,,,,,
,,2021 - 2022,108,274,2.54,,,,,,,,,
,,2022 - 2023,82,239,2.91,6,17,2.83,,,,,,
,16. Mulugu,2018 - 2019,"12,068.00","5,998.00",0.5,,,,,,,,,
,,2019 - 2020,"11,604.00","42,844.00",3.69,,,,,,,,,
,,2020 - 2021,"10,684.00","20,035.00",1.88,,,,,,,,,
,,2021 - 2022,"9,415.00","31,180.00",3.31,,,,,,,,,
,,2022 - 2023,"11,162.00","32,370.00",2.9,20,58,2.9,,,,,,
,17. Nagarkurnool,2016 - 2017,"67,350.00","1,18,061.00",1.75,,,,,,,,,
,,2017 - 2018,"1,27,009.00","1,94,249.00",1.53,,,,,,,,,
,,2018 - 2019,"1,19,059.00","1,05,752.00",0.89,,,,,,,,,
,,2019 - 2020,"1,42,192.00","4,77,438.00",3.36,,,,,,,,,
,,2020 - 2021,"1,84,648.00","4,37,486.00",2.37,,,,,,,,,
,,2021 - 2022,"1,42,692.00","2,94,615.00",2.06,,,,,,,,,
,,2022 - 2023,"1,41,458.00","3,27,850.00",2.32,91,211,2.32,,,,,,
