state,district,year,onion_whole_year_yield_tonne_per_hectare
,,2006 - 2007,14.42
,,2007 - 2008,10.7
,,2008 - 2009,13.04
,,2009 - 2010,12.56
,,2010 - 2011,13.68
,,2011 - 2012,19.14
,,2012 - 2013,17.88
,,2013 - 2014,16.32
,,2015 - 2016,15.0
,,2016 - 2017,24.36
,,2017 - 2018,24.36
,,2018 - 2019,24.35
,,2019 - 2020,25.0
,Gwalior,2000 - 2001,16.66
,,2001 - 2002,17.82
,,2002 - 2003,16.03
,,2003 - 2004,10.6
,,2004 - 2005,16.06
,,2005 - 2006,14.71
,,2006 - 2007,11.5
,,2007 - 2008,9.28
,,2008 - 2009,9.42
,,2009 - 2010,13.1
,,2010 - 2011,10.89
,,2011 - 2012,12.44
,,2012 - 2013,13.93
,,2013 - 2014,11.03
,,2015 - 2016,21.0
,,2016 - 2017,20.0
,,2017 - 2018,21.0
,,2018 - 2019,21.0
,,2019 - 2020,21.0
,Harda,2000 - 2001,17.98
,,2001 - 2002,14.76
,,2002 - 2003,13.41
,,2003 - 2004,12.79
,,2004 - 2005,14.61
,,2005 - 2006,22.83
,,2006 - 2007,22.96
,,2007 - 2008,18.48
,,2008 - 2009,15.0
,,2009 - 2010,15.3
,,2010 - 2011,21.14
,,2011 - 2012,26.51
,,2012 - 2013,25.34
,,2013 - 2014,17.31
,,2015 - 2016,22.0
,,2016 - 2017,22.24
,,2017 - 2018,22.25
,,2018 - 2019,22.25
,,2019 - 2020,22.25
,Hoshangabad,2000 - 2001,16.63
,,2001 - 2002,16.92
,,2002 - 2003,13.41
,,2003 - 2004,12.79
,,2004 - 2005,17.43
,,2005 - 2006,14.52
,,2006 - 2007,19.93
,,2007 - 2008,12.83
,,2008 - 2009,13.03
,,2009 - 2010,13.28
,,2010 - 2011,16.44
,,2011 - 2012,18.08
,,2012 - 2013,19.72
,,2013 - 2014,16.18
,,2015 - 2016,26.0
,,2016 - 2017,25.5
,,2017 - 2018,25.47
,,2018 - 2019,23.89
,,2019 - 2020,23.89
,Indore,2000 - 2001,14.21
,,2001 - 2002,12.19
,,2002 - 2003,11.71
,,2003 - 2004,12.79
,,2004 - 2005,12.77
,,2005 - 2006,12.21
,,2006 - 2007,16.37
,,2007 - 2008,11.68
,,2008 - 2009,12.58
,,2009 - 2010,13.03
,,2010 - 2011,14.94
,,2011 - 2012,15.96
,,2012 - 2013,15.85
,,2013 - 2014,13.57
,,2015 - 2016,29.87
,,2016 - 2017,31.0
,,2017 - 2018,32.0
,,2018 - 2019,32.0
,,2019 - 2020,32.0
,Jabalpur,2000 - 2001,25.02
,,2001 - 2002,25.35
,,2002 - 2003,24.96
,,2003 - 2004,26.5
,,2004 - 2005,30.86
,,2005 - 2006,32.79
,,2006 - 2007,35.1
,,2007 - 2008,24.59
,,2008 - 2009,22.8
,,2009 - 2010,23.95
,,2010 - 2011,31.56
,,2011 - 2012,38.06
,,2012 - 2013,39.7
,,2013 - 2014,30.87
,,2015 - 2016,20.0
,,2016 - 2017,20.36
,,2017 - 2018,22.0
,,2018 - 2019,22.0
,,2019 - 2020,22.0
,Jhabua,2000 - 2001,5.26
,,2001 - 2002,9.28
,,2002 - 2003,10.5
,,2003 - 2004,9.65
,,2004 - 2005,11.44
,,2005 - 2006,11.03
,,2006 - 2007,11.63
,,2007 - 2008,10.06
,,2008 - 2009,9.9
,,2009 - 2010,10.58
,,2010 - 2011,11.02
,,2011 - 2012,13.25
,,2012 - 2013,14.25
,,2013 - 2014,15.17
,,2015 - 2016,30.0
,,2016 - 2017,30.0
,,2017 - 2018,33.92
,,2018 - 2019,35.0
,,2019 - 2020,35.0
,Katni,2000 - 2001,16.78
,,2001 - 2002,18.39
,,2002 - 2003,24.97
,,2003 - 2004,15.39
,,2004 - 2005,19.58
,,2005 - 2006,15.79
,,2006 - 2007,27.39
,,2007 - 2008,10.19
,,2008 - 2009,12.75
,,2009 - 2010,13.96
,,2010 - 2011,12.45
,,2011 - 2012,17.18
,,2012 - 2013,19.26
,,2013 - 2014,26.38
,,2015 - 2016,18.19
,,2016 - 2017,25.8
,,2017 - 2018,25.8
,,2018 - 2019,25.8
,,2019 - 2020,25.81
,Khandwa,2000 - 2001,19.09
,,2001 - 2002,21.18
,,2002 - 2003,24.73
,,2003 - 2004,18.67
,,2004 - 2005,24.78
,,2005 - 2006,26.14
,,2006 - 2007,30.68
,,2007 - 2008,30.33
,,2008 - 2009,30.78
,,2009 - 2010,31.9
,,2010 - 2011,29.11
,,2011 - 2012,31.1
,,2012 - 2013,30.88
,,2013 - 2014,40.31
,,2015 - 2016,24.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,20.25
,,2019 - 2020,20.25
,Khargone,2000 - 2001,7.96
,,2001 - 2002,8.56
,,2002 - 2003,8.79
,,2003 - 2004,7.3
,,2004 - 2005,8.19
,,2005 - 2006,7.1
,,2006 - 2007,8.36
,,2007 - 2008,7.82
,,2008 - 2009,6.16
,,2009 - 2010,6.38
,,2010 - 2011,7.88
,,2011 - 2012,7.43
,,2012 - 2013,10.45
,,2013 - 2014,3.92
,,2015 - 2016,24.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Mandla,2000 - 2001,14.7
,,2001 - 2002,14.7
,,2002 - 2003,14.13
,,2003 - 2004,15.22
,,2004 - 2005,17.73
,,2005 - 2006,14.17
,,2006 - 2007,13.08
,,2007 - 2008,11.32
,,2008 - 2009,12.31
,,2009 - 2010,11.69
,,2010 - 2011,14.19
,,2011 - 2012,12.77
,,2012 - 2013,13.33
,,2013 - 2014,18.29
,,2015 - 2016,22.73
,,2016 - 2017,22.6
,,2017 - 2018,22.66
,,2018 - 2019,22.84
,,2019 - 2020,22.94
,Mandsaur,2000 - 2001,9.69
,,2001 - 2002,9.86
,,2002 - 2003,7.58
,,2003 - 2004,9.16
,,2004 - 2005,10.5
,,2005 - 2006,9.88
,,2006 - 2007,11.79
,,2007 - 2008,9.91
,,2008 - 2009,8.87
,,2009 - 2010,9.96
,,2010 - 2011,11.26
,,2011 - 2012,19.18
,,2012 - 2013,21.12
,,2013 - 2014,19.42
,,2015 - 2016,20.0
,,2016 - 2017,20.39
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,20.0
,Morena,2000 - 2001,8.62
,,2001 - 2002,8.31
,,2002 - 2003,5.98
,,2003 - 2004,7.05
,,2004 - 2005,9.21
,,2005 - 2006,8.18
,,2006 - 2007,7.95
,,2007 - 2008,5.16
,,2008 - 2009,5.24
,,2009 - 2010,7.24
,,2010 - 2011,6.35
,,2011 - 2012,4.84
,,2012 - 2013,7.56
,,2013 - 2014,7.49
,,2015 - 2016,20.25
,,2016 - 2017,20.5
,,2017 - 2018,20.61
,,2018 - 2019,20.64
,,2019 - 2020,20.69
,Narsinghpur,2000 - 2001,20.27
,,2001 - 2002,20.29
,,2002 - 2003,18.69
,,2003 - 2004,17.99
,,2004 - 2005,20.95
,,2005 - 2006,21.7
,,2006 - 2007,21.83
,,2007 - 2008,18.89
,,2008 - 2009,18.9
,,2009 - 2010,19.49
,,2010 - 2011,23.18
,,2011 - 2012,26.52
,,2012 - 2013,21.48
,,2013 - 2014,26.99
,,2015 - 2016,17.28
,,2016 - 2017,19.64
,,2017 - 2018,19.87
,,2018 - 2019,19.37
,,2019 - 2020,19.51
,Neemuch,2000 - 2001,12.15
,,2001 - 2002,12.33
,,2002 - 2003,11.21
,,2003 - 2004,10.64
,,2004 - 2005,13.25
,,2005 - 2006,11.12
,,2006 - 2007,13.26
,,2007 - 2008,11.14
,,2008 - 2009,9.98
,,2009 - 2010,11.21
,,2010 - 2011,10.11
,,2011 - 2012,14.33
,,2012 - 2013,23.78
,,2013 - 2014,12.15
,,2015 - 2016,20.02
,,2016 - 2017,20.13
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,20.0
,Panna,2000 - 2001,8.0
,,2001 - 2002,8.17
,,2002 - 2003,7.84
,,2003 - 2004,8.64
,,2004 - 2005,7.55
,,2005 - 2006,8.38
,,2006 - 2007,8.43
,,2007 - 2008,7.29
,,2008 - 2009,7.4
,,2009 - 2010,7.67
,,2010 - 2011,6.35
,,2011 - 2012,6.78
,,2012 - 2013,9.83
,,2013 - 2014,23.24
,,2015 - 2016,17.51
,,2016 - 2017,17.51
,,2017 - 2018,17.51
,,2018 - 2019,17.51
,,2019 - 2020,17.51
,Raisen,2000 - 2001,12.06
,,2001 - 2002,12.07
,,2002 - 2003,11.6
,,2003 - 2004,11.84
,,2004 - 2005,13.79
,,2005 - 2006,13.33
,,2006 - 2007,15.64
,,2007 - 2008,11.6
,,2008 - 2009,11.78
,,2009 - 2010,14.23
,,2010 - 2011,14.23
,,2011 - 2012,20.74
,,2012 - 2013,16.01
,,2013 - 2014,16.03
,,2015 - 2016,24.26
,,2016 - 2017,26.17
,,2017 - 2018,24.71
,,2018 - 2019,24.6
,,2019 - 2020,24.5
,Rajgarh,2000 - 2001,10.29
,,2001 - 2002,8.5
,,2002 - 2003,8.32
,,2003 - 2004,10.72
,,2004 - 2005,13.0
,,2005 - 2006,11.56
,,2006 - 2007,12.12
,,2007 - 2008,10.49
,,2008 - 2009,10.93
,,2009 - 2010,11.78
,,2010 - 2011,13.82
,,2011 - 2012,15.75
,,2012 - 2013,19.54
,,2013 - 2014,13.61
,,2015 - 2016,15.49
,,2016 - 2017,20.2
,,2017 - 2018,20.2
,,2018 - 2019,20.2
,,2019 - 2020,20.2
,Ratlam,2000 - 2001,26.88
,,2001 - 2002,26.9
,,2002 - 2003,29.53
,,2003 - 2004,28.67
,,2004 - 2005,32.18
,,2005 - 2006,24.95
,,2006 - 2007,29.78
,,2007 - 2008,25.4
,,2008 - 2009,29.88
,,2009 - 2010,30.97
,,2010 - 2011,31.5
,,2011 - 2012,48.78
,,2012 - 2013,48.43
,,2013 - 2014,25.3
,,2015 - 2016,16.55
,,2016 - 2017,19.74
,,2017 - 2018,19.96
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Rewa,2000 - 2001,8.3
,,2001 - 2002,8.17
,,2002 - 2003,6.93
,,2003 - 2004,6.49
,,2004 - 2005,8.55
,,2005 - 2006,12.07
,,2006 - 2007,11.92
,,2007 - 2008,10.5
,,2008 - 2009,9.52
,,2009 - 2010,11.83
,,2010 - 2011,10.85
,,2011 - 2012,13.53
,,2012 - 2013,16.88
,,2013 - 2014,15.17
,,2015 - 2016,25.93
,,2016 - 2017,26.0
,,2017 - 2018,26.0
,,2018 - 2019,26.0
,,2019 - 2020,26.0
,Sagar,2000 - 2001,18.28
,,2001 - 2002,15.25
,,2002 - 2003,14.65
,,2003 - 2004,16.72
,,2004 - 2005,19.16
,,2005 - 2006,14.42
,,2006 - 2007,14.51
,,2007 - 2008,12.55
,,2008 - 2009,11.35
,,2009 - 2010,13.2
,,2010 - 2011,9.62
,,2011 - 2012,18.28
,,2012 - 2013,13.61
,,2013 - 2014,17.85
,,2015 - 2016,29.0
,,2016 - 2017,25.0
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,20.0
,Satna,2000 - 2001,7.04
,,2001 - 2002,6.91
,,2002 - 2003,7.56
,,2003 - 2004,7.2
,,2004 - 2005,8.24
,,2005 - 2006,6.94
,,2006 - 2007,5.93
,,2007 - 2008,4.43
,,2008 - 2009,5.62
,,2009 - 2010,6.77
,,2010 - 2011,6.15
,,2011 - 2012,7.19
,,2012 - 2013,8.16
,,2013 - 2014,7.97
,,2015 - 2016,25.21
,,2016 - 2017,24.5
,,2017 - 2018,24.6
,,2018 - 2019,24.63
,,2019 - 2020,24.55
,Sehore,2000 - 2001,12.06
,,2001 - 2002,12.07
,,2002 - 2003,11.59
,,2003 - 2004,10.84
,,2004 - 2005,12.63
,,2005 - 2006,12.11
,,2006 - 2007,14.22
,,2007 - 2008,10.54
,,2008 - 2009,10.7
,,2009 - 2010,15.34
,,2010 - 2011,15.29
,,2011 - 2012,19.6
,,2012 - 2013,23.35
,,2013 - 2014,15.97
,,2015 - 2016,25.32
,,2016 - 2017,24.08
,,2017 - 2018,24.1
,,2018 - 2019,24.1
,,2019 - 2020,24.08
,Seoni,2000 - 2001,24.96
,,2001 - 2002,24.98
,,2002 - 2003,23.99
,,2003 - 2004,23.09
,,2004 - 2005,26.15
,,2005 - 2006,23.34
,,2006 - 2007,23.48
,,2007 - 2008,20.31
,,2008 - 2009,20.62
,,2009 - 2010,21.37
,,2010 - 2011,24.74
,,2011 - 2012,26.43
,,2012 - 2013,26.24
,,2013 - 2014,31.68
,,2015 - 2016,27.54
,,2016 - 2017,27.6
,,2017 - 2018,26.93
,,2018 - 2019,26.77
,,2019 - 2020,26.75
,Shahdol,2000 - 2001,8.75
,,2001 - 2002,8.76
,,2002 - 2003,8.42
,,2003 - 2004,7.89
,,2004 - 2005,7.65
,,2005 - 2006,6.39
,,2006 - 2007,6.42
,,2007 - 2008,5.55
,,2008 - 2009,5.64
,,2009 - 2010,6.31
,,2010 - 2011,5.89
,,2011 - 2012,6.3
,,2012 - 2013,6.25
,,2013 - 2014,9.39
,,2015 - 2016,29.01
,,2016 - 2017,28.76
,,2017 - 2018,26.1
,,2018 - 2019,28.15
,,2019 - 2020,28.2
,Shajapur,2000 - 2001,10.53
,,2001 - 2002,12.02
,,2002 - 2003,10.13
,,2003 - 2004,12.32
,,2004 - 2005,13.91
,,2005 - 2006,12.47
,,2006 - 2007,13.72
,,2007 - 2008,11.87
,,2008 - 2009,10.33
,,2009 - 2010,12.49
,,2010 - 2011,14.34
,,2011 - 2012,14.75
,,2012 - 2013,14.64
,,2013 - 2014,12.86
,,2015 - 2016,18.0
,,2016 - 2017,23.0
,,2017 - 2018,23.23
,,2018 - 2019,23.25
,,2019 - 2020,25.0
,Sheopur,2000 - 2001,8.12
,,2001 - 2002,8.31
,,2002 - 2003,6.5
,,2003 - 2004,7.06
,,2004 - 2005,9.17
,,2005 - 2006,8.68
,,2006 - 2007,8.45
,,2007 - 2008,7.36
,,2008 - 2009,5.56
,,2009 - 2010,7.67
,,2010 - 2011,7.58
,,2011 - 2012,8.5
,,2012 - 2013,8.42
,,2013 - 2014,7.16
,,2015 - 2016,20.0
,,2016 - 2017,21.94
,,2017 - 2018,21.94
,,2018 - 2019,21.93
,,2019 - 2020,21.93
,Shivpuri,2000 - 2001,11.8
,,2001 - 2002,12.32
,,2002 - 2003,10.34
,,2003 - 2004,11.24
,,2004 - 2005,12.72
,,2005 - 2006,12.37
,,2006 - 2007,13.34
,,2007 - 2008,9.23
,,2008 - 2009,10.15
,,2009 - 2010,10.84
,,2010 - 2011,11.23
,,2011 - 2012,12.58
,,2012 - 2013,12.68
,,2013 - 2014,10.18
,,2015 - 2016,22.0
,,2016 - 2017,28.0
,,2017 - 2018,28.0
,,2018 - 2019,28.01
,,2019 - 2020,21.82
,Sidhi,2000 - 2001,6.93
,,2001 - 2002,6.53
,,2002 - 2003,7.84
,,2003 - 2004,6.36
,,2004 - 2005,7.26
,,2005 - 2006,5.8
,,2006 - 2007,5.84
,,2007 - 2008,5.05
,,2008 - 2009,5.02
,,2009 - 2010,5.41
,,2010 - 2011,4.57
,,2011 - 2012,5.16
,,2012 - 2013,5.87
,,2013 - 2014,6.46
,,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.1
,,2019 - 2020,25.1
,Singrauli,2008 - 2009,5.02
,,2009 - 2010,7.29
,,2010 - 2011,59.82
,,2011 - 2012,58.59
,,2012 - 2013,74.04
,,2013 - 2014,56.86
,,2015 - 2016,21.0
,,2016 - 2017,21.1
,,2017 - 2018,21.5
,,2018 - 2019,22.0
,,2019 - 2020,24.0
,Tikamgarh,2000 - 2001,9.32
,,2001 - 2002,8.75
,,2002 - 2003,8.4
,,2003 - 2004,7.2
,,2004 - 2005,7.63
,,2005 - 2006,6.66
,,2006 - 2007,6.7
,,2007 - 2008,5.8
,,2008 - 2009,7.06
,,2009 - 2010,7.32
,,2010 - 2011,5.43
,,2011 - 2012,6.27
,,2012 - 2013,9.22
,,2013 - 2014,4.51
,,2015 - 2016,20.0
,,2016 - 2017,20.0
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,20.0
,Ujjain,2000 - 2001,10.21
,,2001 - 2002,8.59
,,2002 - 2003,8.44
,,2003 - 2004,13.05
,,2004 - 2005,15.2
,,2005 - 2006,18.68
,,2006 - 2007,19.32
,,2007 - 2008,15.8
,,2008 - 2009,15.33
,,2009 - 2010,16.61
,,2010 - 2011,16.94
,,2011 - 2012,20.77
,,2012 - 2013,23.56
,,2013 - 2014,22.62
,,2015 - 2016,21.1
,,2016 - 2017,21.12
,,2017 - 2018,22.4
,,2018 - 2019,22.66
,,2019 - 2020,22.73
,Umaria,2000 - 2001,7.43
,,2001 - 2002,8.76
,,2002 - 2003,8.45
,,2003 - 2004,7.89
,,2004 - 2005,9.8
,,2005 - 2006,7.6
,,2006 - 2007,6.87
,,2007 - 2008,6.28
,,2008 - 2009,6.25
,,2009 - 2010,6.36
,,2010 - 2011,6.49
,,2011 - 2012,6.7
,,2012 - 2013,6.89
,,2013 - 2014,9.97
,,2015 - 2016,19.0
,,2016 - 2017,28.51
,,2017 - 2018,16.98
,,2018 - 2019,16.96
,,2019 - 2020,16.9
,Vidisha,2000 - 2001,9.96
,,2001 - 2002,10.61
,,2002 - 2003,10.04
,,2003 - 2004,8.96
,,2004 - 2005,11.11
,,2005 - 2006,10.75
,,2006 - 2007,10.81
,,2007 - 2008,8.81
,,2008 - 2009,8.13
,,2009 - 2010,8.85
,,2010 - 2011,10.75
,,2011 - 2012,13.12
,,2012 - 2013,26.05
,,2013 - 2014,8.88
,,2015 - 2016,23.0
,,2016 - 2017,21.0
,,2017 - 2018,21.01
,,2018 - 2019,21.23
,,2019 - 2020,22.18
Maharashtra,Ahilyanagar,2003 - 2004,9.89
,Akola,2003 - 2004,23.84
,Amravati,2003 - 2004,18.24
,Beed,2003 - 2004,4.76
,Bhandara,2003 - 2004,12.47
,Buldhana,2003 - 2004,21.61
,Chandrapur,2003 - 2004,12.47
,Chhatrapati Sambhajinagar,2003 - 2004,5.98
,Dharashiv,2003 - 2004,5.39
,Dhule,2003 - 2004,14.22
,Gadchiroli,2003 - 2004,12.47
,Gondia,2003 - 2004,12.48
,Jalgaon,2003 - 2004,11.74
,Jalna,2003 - 2004,5.52
,Kolhapur,2003 - 2004,9.92
,Nagpur,2003 - 2004,12.47
,Nandurbar,2003 - 2004,13.39
,Nashik,2003 - 2004,13.1
,Parbhani,2003 - 2004,9.17
,Pune,2003 - 2004,14.42
,Sangli,2003 - 2004,9.92
,Satara,2003 - 2004,9.13
,Solapur,2003 - 2004,5.37
,Wardha,2003 - 2004,12.47
,Washim,2003 - 2004,21.61
,Yavatmal,2003 - 2004,21.61
Manipur,Bishnupur,2000 - 2001,2.11
,,2001 - 2002,2.1
,,2002 - 2003,2.0
,,2003 - 2004,2.13
,,2004 - 2005,2.1
,,2005 - 2006,2.2
,,2006 - 2007,2.17
,,2007 - 2008,2.17
,Imphal east,2000 - 2001,2.17
,,2001 - 2002,2.25
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,2.14
,,2007 - 2008,2.2
,Imphal west,2000 - 2001,2.0
,,2001 - 2002,2.25
,,2002 - 2003,2.14
,,2003 - 2004,2.0
,,2004 - 2005,2.09
,,2005 - 2006,2.11
,,2006 - 2007,2.0
,,2007 - 2008,2.0
,Senapati,2000 - 2001,2.11
,,2001 - 2002,2.09
,,2002 - 2003,2.13
,,2003 - 2004,2.15
,,2004 - 2005,2.0
,,2005 - 2006,2.12
,,2006 - 2007,2.12
,,2007 - 2008,2.12
,Thoubal,2000 - 2001,2.11
,,2001 - 2002,2.11
,,2002 - 2003,2.2
,,2003 - 2004,2.13
,,2004 - 2005,2.14
,,2005 - 2006,2.13
,,2006 - 2007,2.15
,,2007 - 2008,2.17
,Ukhrul,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2007 - 2008,2.0
Meghalaya,East garo hills,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,8.14
,East khasi hills,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,10.64
,North garo hills,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,8.47
,Ri bhoi,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,11.49
,South garo hills,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,9.26
,South west garo hills,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,8.31
,South west khasi hills,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,8.0
,West garo hills,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,9.33
,West jaintia hills,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,2.91
,West khasi hills,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,7.82
Mizoram,Aizawl,2010 - 2011,
,,2011 - 2012,
,,2017 - 2018,
,Champhai,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Kolasib,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Lawngtlai,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2022 - 2023,
,Lunglei,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Saitual,2020 - 2021,
,Serchhip,2017 - 2018,
Odisha,Anugul,2000 - 2001,10.71
,,2001 - 2002,10.7
,,2002 - 2003,10.7
,,2003 - 2004,10.71
,,2004 - 2005,10.7
,,2019 - 2020,
,Balangir,2000 - 2001,11.01
,,2001 - 2002,7.6
,,2002 - 2003,9.5
,,2003 - 2004,9.52
,,2004 - 2005,9.5
,,2019 - 2020,
,Baleshwar,2000 - 2001,9.49
,,2001 - 2002,9.47
,,2002 - 2003,9.48
,,2003 - 2004,9.23
,,2004 - 2005,9.26
,,2019 - 2020,
,Bargarh,2000 - 2001,4.05
,,2001 - 2002,8.32
,,2002 - 2003,8.33
,,2003 - 2004,8.3
,,2004 - 2005,8.33
,,2019 - 2020,
,Bhadrak,2000 - 2001,7.0
,,2001 - 2002,8.84
,,2002 - 2003,8.83
,,2003 - 2004,8.97
,,2004 - 2005,12.41
,,2019 - 2020,
,Boudh,2000 - 2001,10.81
,,2001 - 2002,10.7
,,2002 - 2003,10.69
,,2003 - 2004,10.75
,,2004 - 2005,10.7
,,2019 - 2020,
,Cuttack,2000 - 2001,8.0
,,2001 - 2002,8.0
,,2002 - 2003,8.0
,,2003 - 2004,8.0
,,2004 - 2005,8.0
,,2019 - 2020,
,Deogarh,2000 - 2001,6.19
,,2001 - 2002,10.7
,,2002 - 2003,10.71
,,2003 - 2004,10.61
,,2004 - 2005,10.7
,,2019 - 2020,
,Dhenkanal,2000 - 2001,8.5
,,2001 - 2002,7.6
,,2002 - 2003,7.58
,,2003 - 2004,7.59
,,2004 - 2005,7.59
,,2019 - 2020,
,Gajapati,2000 - 2001,6.46
,,2001 - 2002,10.29
,,2002 - 2003,10.32
,,2003 - 2004,10.35
,,2004 - 2005,10.3
,,2019 - 2020,
,Ganjam,2000 - 2001,6.51
,,2001 - 2002,7.59
,,2002 - 2003,7.59
,,2003 - 2004,7.54
,,2004 - 2005,7.56
,,2019 - 2020,
,Jagatsinghapur,2000 - 2001,6.2
,,2001 - 2002,10.67
,,2002 - 2003,9.5
,,2003 - 2004,9.49
,,2004 - 2005,9.5
,,2019 - 2020,
,Jajapur,2000 - 2001,5.29
,,2001 - 2002,6.5
,,2002 - 2003,6.5
,,2003 - 2004,6.49
,,2004 - 2005,6.5
,Jharsuguda,2000 - 2001,5.31
,,2001 - 2002,7.58
,,2002 - 2003,7.58
,,2003 - 2004,7.7
,,2004 - 2005,7.59
,,2019 - 2020,
,Kalahandi,2000 - 2001,9.4
,,2001 - 2002,10.7
,,2002 - 2003,10.7
,,2003 - 2004,10.7
,,2004 - 2005,10.7
,,2019 - 2020,
,Kandhamal,2000 - 2001,3.78
,,2001 - 2002,6.5
,,2002 - 2003,6.5
,,2003 - 2004,6.58
,,2004 - 2005,6.5
,,2019 - 2020,
,Kendrapara,2000 - 2001,8.8
,,2001 - 2002,8.8
,,2002 - 2003,8.8
,,2003 - 2004,8.81
,,2004 - 2005,8.8
,,2019 - 2020,
,Kendujhar,2000 - 2001,9.71
,,2001 - 2002,11.26
,,2002 - 2003,9.7
,,2003 - 2004,9.7
,,2004 - 2005,9.7
,,2019 - 2020,
,Khordha,2000 - 2001,4.61
,,2001 - 2002,6.5
,,2002 - 2003,6.54
,,2003 - 2004,6.55
,,2004 - 2005,6.52
,,2019 - 2020,
,Koraput,2000 - 2001,9.48
,,2001 - 2002,9.7
,,2002 - 2003,9.71
,,2003 - 2004,9.66
,,2004 - 2005,9.7
,,2019 - 2020,
,Malkangiri,2000 - 2001,9.47
,,2001 - 2002,9.0
,,2002 - 2003,9.0
,,2003 - 2004,8.8
,,2004 - 2005,9.0
,,2019 - 2020,
,Mayurbhanj,2000 - 2001,7.8
,,2001 - 2002,7.8
,,2002 - 2003,7.8
,,2003 - 2004,7.77
,,2004 - 2005,7.8
,,2019 - 2020,
,Nabarangpur,2000 - 2001,8.56
,,2001 - 2002,9.47
,,2002 - 2003,18.12
,,2003 - 2004,18.15
,,2004 - 2005,18.11
,,2019 - 2020,
,Nayagarh,2000 - 2001,5.0
,,2001 - 2002,6.5
,,2002 - 2003,6.53
,,2003 - 2004,6.51
,,2004 - 2005,6.53
,,2019 - 2020,
,Nuapada,2000 - 2001,8.35
,,2001 - 2002,8.35
,,2002 - 2003,8.35
,,2003 - 2004,8.38
,,2004 - 2005,8.35
,,2019 - 2020,
,Puri,2000 - 2001,3.76
,,2001 - 2002,10.71
,,2002 - 2003,6.5
,,2003 - 2004,6.45
,,2004 - 2005,6.52
,,2019 - 2020,
,Rayagada,2000 - 2001,3.72
,,2001 - 2002,5.61
,,2002 - 2003,6.04
,,2003 - 2004,6.11
,,2004 - 2005,6.05
,,2019 - 2020,
,Sambalpur,2000 - 2001,7.59
,,2001 - 2002,7.58
,,2002 - 2003,7.59
,,2003 - 2004,7.59
,,2004 - 2005,7.59
,,2019 - 2020,
,Sonepur,2000 - 2001,8.51
,,2001 - 2002,10.8
,,2002 - 2003,10.8
,,2003 - 2004,10.77
,,2004 - 2005,10.8
,,2019 - 2020,
,Sundargarh,2000 - 2001,7.5
,,2001 - 2002,7.59
,,2002 - 2003,7.59
,,2003 - 2004,7.59
,,2004 - 2005,7.59
,,2019 - 2020,
