state,district,year,khesari_rabi_area_hectare,khesari_rabi_production_tonne,khesari_rabi_yield_tonne_per_hectare,khesari_whole_year_area_hectare,khesari_whole_year_production_tonne,khesari_whole_year_yield_tonne_per_hectare,khesari_kharif_area_hectare,khesari_kharif_production_tonne,khesari_kharif_yield_tonne_per_hectare
,,2022 - 2023,,,1.01,,,,,,
,Coochbehar,2000 - 2001,,,1.07,,,,,,
,,2001 - 2002,,839.0,0.39,,,,,,
,,2002 - 2003,,,0.72,,,,,,
,,2003 - 2004,,825.0,0.81,,,,,,
,,2004 - 2005,,601.0,0.55,,,,,,
,,2005 - 2006,,615.0,0.36,,,,,,
,,2006 - 2007,958.0,692.0,0.72,,,,,,
,,2007 - 2008,569.0,250.0,0.44,,,,,,
,,2008 - 2009,404.0,360.0,0.89,,,,,,
,,2009 - 2010,236.0,267.0,1.13,,,,,,
,,2010 - 2011,549.0,586.0,1.07,,,,,,
,,2011 - 2012,261.0,278.0,1.07,,,,,,
,,2012 - 2013,265.0,166.0,0.63,,,,,,
,,2013 - 2014,316.0,333.0,1.05,,,,,,
,,2014 - 2015,307.0,296.0,0.96,,,,,,
,,2015 - 2016,852.0,634.0,0.74,,,,,,
,,2016 - 2017,520.0,630.0,1.21,,,,,,
,,2017 - 2018,,,0.97,,,,,,
,,2018 - 2019,,,0.85,,,,,,
,,2019 - 2020,,,1.12,,,,,,
,,2020 - 2021,,,1.29,,,,,,
,,2021 - 2022,,,1.1,,,,,,
,,2022 - 2023,,,1.27,,,,,,
,Darjeeling,2003 - 2004,46.0,41.0,0.89,,,,,,
,,2004 - 2005,14.0,7.0,0.5,,,,,,
,,2005 - 2006,17.0,11.0,0.65,,,,,,
,,2006 - 2007,18.0,14.0,0.78,,,,,,
,,2007 - 2008,16.0,13.0,0.81,,,,,,
,,2008 - 2009,3.0,2.0,0.67,,,,,,
,,2009 - 2010,4.0,4.0,1.0,,,,,,
,,2010 - 2011,10.0,10.0,1.0,,,,,,
,,2011 - 2012,8.0,8.0,1.0,,,,,,
,,2012 - 2013,30.0,35.0,1.17,,,,,,
,,2013 - 2014,38.0,35.0,0.92,,,,,,
,,2014 - 2015,10.0,10.0,1.0,,,,,,
,,2015 - 2016,168.0,135.0,0.8,,,,,,
,,2016 - 2017,80.0,97.0,1.21,,,,,,
,,2017 - 2018,55.0,53.0,0.96,,,,,,
,,2018 - 2019,158.0,134.0,0.85,,,,,,
,,2019 - 2020,96.0,108.0,1.13,,,,,,
,,2020 - 2021,92.0,119.0,1.29,,,,,,
,,2021 - 2022,93.0,102.0,1.1,,,,,,
,,2022 - 2023,101.0,128.0,1.27,,,,,,
,Dinajpur dakshin,2000 - 2001,109.0,120.0,1.1,,,,,,
,,2001 - 2002,17.0,10.0,0.59,,,,,,
,,2002 - 2003,59.0,62.0,1.05,,,,,,
,,2003 - 2004,146.0,130.0,0.89,,,,,,
,,2004 - 2005,54.0,22.0,0.41,,,,,,
,,2005 - 2006,20.0,12.0,0.6,,,,,,
,,2006 - 2007,7.0,1.0,0.14,,,,,,
,,2007 - 2008,5.0,4.0,0.8,,,,,,
,,2008 - 2009,135.0,29.0,0.21,,,,,,
,,2009 - 2010,17.0,17.0,1.0,,,,,,
,,2010 - 2011,3.0,3.0,1.0,,,,,,
,,2013 - 2014,98.0,60.0,0.61,,,,,,
,,2015 - 2016,66.0,53.0,0.8,,,,,,
,,2016 - 2017,48.0,57.0,1.19,,,,,,
,,2017 - 2018,,,0.9,,,,,,
,,2018 - 2019,,,0.92,,,,,,
,,2019 - 2020,,,1.06,,,,,,
,,2020 - 2021,,,1.14,,,,,,
,,2021 - 2022,,,0.9,,,,,,
,,2022 - 2023,,,1.03,,,,,,
,Dinajpur uttar,2000 - 2001,100.0,100.0,1.0,,,,,,
,,2001 - 2002,210.0,166.0,0.79,,,,,,
,,2002 - 2003,185.0,172.0,0.93,,,,,,
,,2003 - 2004,290.0,116.0,0.4,,,,,,
,,2004 - 2005,214.0,109.0,0.51,,,,,,
,,2005 - 2006,191.0,119.0,0.62,,,,,,
,,2006 - 2007,174.0,134.0,0.77,,,,,,
,,2007 - 2008,93.0,51.0,0.55,,,,,,
,,2008 - 2009,287.0,14.0,0.05,,,,,,
,,2009 - 2010,261.0,186.0,0.71,,,,,,
,,2010 - 2011,187.0,151.0,0.81,,,,,,
,,2011 - 2012,4.0,4.0,1.0,,,,,,
,,2012 - 2013,11.0,13.0,1.18,,,,,,
,,2015 - 2016,91.0,73.0,0.8,,,,,,
,,2016 - 2017,56.0,67.0,1.2,,,,,,
,,2017 - 2018,,,0.9,,,,,,
,,2018 - 2019,971.0,891.0,0.92,,,,,,
,,2019 - 2020,,,1.06,,,,,,
,,2020 - 2021,953.0,,1.15,,,,,,
,,2021 - 2022,845.0,758.0,0.9,,,,,,
,,2022 - 2023,851.0,873.0,1.03,,,,,,
,Hooghly,2000 - 2001,42.0,20.0,0.48,,,,,,
,,2004 - 2005,4.0,5.0,1.25,,,,,,
,,2006 - 2007,170.0,210.0,1.24,,,,,,
,,2016 - 2017,14.0,14.0,1.0,,,,,,
,,2017 - 2018,403.0,391.0,0.97,,,,,,
,,2018 - 2019,241.0,196.0,0.81,,,,,,
,,2019 - 2020,441.0,496.0,1.12,,,,,,
,,2020 - 2021,352.0,178.0,0.51,,,,,,
,,2021 - 2022,421.0,436.0,1.04,,,,,,
,,2022 - 2023,378.0,404.0,1.07,,,,,,
,Howrah,2000 - 2001,299.0,340.0,1.14,,,,,,
,,2001 - 2002,64.0,71.0,1.11,,,,,,
,,2002 - 2003,202.0,216.0,1.07,,,,,,
,,2003 - 2004,97.0,103.0,1.06,,,,,,
,,2004 - 2005,25.0,21.0,0.84,,,,,,
,,2005 - 2006,298.0,241.0,0.81,,,,,,
,,2006 - 2007,471.0,362.0,0.77,,,,,,
,,2007 - 2008,398.0,342.0,0.86,,,,,,
,,2008 - 2009,621.0,587.0,0.95,,,,,,
,,2009 - 2010,194.0,203.0,1.05,,,,,,
,,2010 - 2011,150.0,166.0,1.11,,,,,,
,,2011 - 2012,463.0,178.0,0.38,,,,,,
,,2012 - 2013,611.0,936.0,1.53,,,,,,
,,2013 - 2014,727.0,,1.55,,,,,,
,,2014 - 2015,920.0,788.0,0.86,,,,,,
,,2015 - 2016,995.0,973.0,0.98,,,,,,
,,2016 - 2017,,,1.01,,,,,,
,,2017 - 2018,,,1.19,,,,,,
,,2018 - 2019,,,0.62,,,,,,
,,2019 - 2020,,869.0,0.43,,,,,,
,,2020 - 2021,,,0.79,,,,,,
,,2021 - 2022,,,0.82,,,,,,
,,2022 - 2023,,,1.23,,,,,,
,Jalpaiguri,2000 - 2001,,,1.14,,,,,,
,,2001 - 2002,447.0,424.0,0.95,,,,,,
,,2002 - 2003,584.0,507.0,0.87,,,,584.0,507.0,0.87
,,2003 - 2004,662.0,465.0,0.7,,,,,,
,,2004 - 2005,628.0,412.0,0.66,,,,,,
,,2005 - 2006,493.0,412.0,0.84,,,,,,
,,2006 - 2007,452.0,332.0,0.73,,,,,,
,,2007 - 2008,486.0,370.0,0.76,,,,,,
,,2008 - 2009,470.0,330.0,0.7,,,,,,
,,2009 - 2010,482.0,198.0,0.41,,,,,,
,,2010 - 2011,407.0,380.0,0.93,,,,,,
,,2011 - 2012,518.0,369.0,0.71,,,,,,
,,2012 - 2013,403.0,371.0,0.92,,,,,,
,,2013 - 2014,442.0,379.0,0.86,,,,,,
,,2014 - 2015,612.0,537.0,0.88,,,,,,
,,2015 - 2016,932.0,836.0,0.9,,,,,,
,,2016 - 2017,145.0,157.0,1.08,,,,,,
,,2017 - 2018,,,0.97,,,,,,
,,2018 - 2019,935.0,794.0,0.85,,,,,,
,,2019 - 2020,,,1.12,,,,,,
,,2020 - 2021,,,1.29,,,,,,
,,2021 - 2022,,,1.1,,,,,,
,,2022 - 2023,,,1.27,,,,,,
,Jhargram,2016 - 2017,154.0,220.0,1.43,,,,,,
,,2017 - 2018,372.0,426.0,1.15,,,,,,
,,2018 - 2019,,,0.81,,,,,,
,,2019 - 2020,,,1.1,,,,,,
,,2020 - 2021,,,1.25,,,,,,
,,2021 - 2022,,,1.1,,,,,,
,,2022 - 2023,,,1.26,,,,,,
,Maldah,2000 - 2001,,,1.08,,,,,,
,,2001 - 2002,,,0.39,,,,,,
,,2002 - 2003,,,0.77,,,,,,
,,2003 - 2004,,,0.9,,,,,,
,,2004 - 2005,,,0.53,,,,,,
,,2005 - 2006,,,0.93,,,,,,
,,2006 - 2007,,,1.01,,,,,,
,,2007 - 2008,,,1.14,,,,,,
,,2008 - 2009,,,1.0,,,,,,
,,2009 - 2010,,,1.3,,,,,,
,,2010 - 2011,,,1.12,,,,,,
,,2011 - 2012,,,1.12,,,,,,
,,2012 - 2013,,,1.45,,,,,,
,,2013 - 2014,,,1.17,,,,,,
,,2014 - 2015,,,1.17,,,,,,
,,2015 - 2016,,,0.99,,,,,,
,,2016 - 2017,,,1.23,,,,,,
,,2017 - 2018,,,1.06,,,,,,
,,2018 - 2019,,,1.19,,,,,,
,,2019 - 2020,,,1.45,,,,,,
,,2020 - 2021,,,1.24,,,,,,
,,2021 - 2022,,,1.52,,,,,,
,,2022 - 2023,,,1.32,,,,,,
,Medinipur east,2001 - 2002,,,1.29,,,,,,
,,2002 - 2003,,,1.54,,,,,,
,,2003 - 2004,,,1.57,,,,,,
,,2004 - 2005,,,1.27,,,,,,
,,2005 - 2006,,,1.11,,,,,,
,,2006 - 2007,,,1.23,,,,,,
,,2007 - 2008,,,0.78,,,,,,
,,2008 - 2009,,599.0,0.07,,,,,,
,,2009 - 2010,,723.0,0.08,,,,,,
,,2010 - 2011,,,1.37,,,,,,
,,2011 - 2012,,,1.37,,,,,,
,,2012 - 2013,,,1.69,,,,,,
,,2013 - 2014,,,1.5,,,,,,
,,2014 - 2015,,,1.71,,,,,,
,,2015 - 2016,,,1.17,,,,,,
,,2016 - 2017,,,1.44,,,,,,
,,2017 - 2018,,,1.21,,,,,,
,,2018 - 2019,,,0.69,,,,,,
,,2019 - 2020,,,0.99,,,,,,
,,2020 - 2021,,,1.2,,,,,,
,,2021 - 2022,,,0.99,,,,,,
,,2022 - 2023,,,1.13,,,,,,
,Medinipur west,2000 - 2001,,,1.33,,,,,,
,,2001 - 2002,270.0,372.0,1.38,,,,,,
,,2002 - 2003,952.0,767.0,0.81,,,,,,
,,2003 - 2004,648.0,724.0,1.12,,,,,,
,,2004 - 2005,,918.0,0.91,,,,,,
,,2005 - 2006,250.0,218.0,0.87,,,,,,
,,2006 - 2007,87.0,50.0,0.57,,,,,,
,,2007 - 2008,108.0,71.0,0.66,,,,,,
,,2008 - 2009,27.0,2.0,0.07,,,,,,
,,2009 - 2010,12.0,1.0,0.08,,,,,,
,,2010 - 2011,54.0,70.0,1.3,,,,,,
,,2011 - 2012,98.0,124.0,1.27,,,,,,
,,2012 - 2013,113.0,172.0,1.52,,,,,,
,,2013 - 2014,130.0,200.0,1.54,,,,,,
,,2014 - 2015,58.0,114.0,1.97,,,,,,
,,2015 - 2016,793.0,923.0,1.16,,,,,,
,,2016 - 2017,,,1.43,,,,,,
,,2017 - 2018,905.0,,1.14,,,,,,
,,2018 - 2019,,,0.81,,,,,,
,,2019 - 2020,,,1.1,,,,,,
,,2020 - 2021,,,1.25,,,,,,
,,2021 - 2022,,,1.1,,,,,,
,,2022 - 2023,,,0.82,,,,,,
,Murshidabad,2000 - 2001,,,1.02,,,,,,
,,2001 - 2002,,,0.83,,,,,,
,,2002 - 2003,,,0.44,,,,,,
,,2003 - 2004,,,1.3,,,,,,
,,2004 - 2005,,,0.81,,,,,,
,,2005 - 2006,,,0.76,,,,,,
,,2006 - 2007,,,0.66,,,,,,
,,2007 - 2008,,,0.8,,,,,,
,,2008 - 2009,,,0.83,,,,,,
,,2009 - 2010,,,0.97,,,,,,
,,2010 - 2011,,,0.96,,,,,,
,,2011 - 2012,,,0.91,,,,,,
,,2012 - 2013,,,0.94,,,,,,
,,2013 - 2014,,,1.13,,,,,,
,,2014 - 2015,,,0.89,,,,,,
,,2015 - 2016,,,0.66,,,,,,
,,2016 - 2017,,,1.2,,,,,,
,,2017 - 2018,,,0.9,,,,,,
,,2018 - 2019,,,0.85,,,,,,
,,2019 - 2020,,,0.98,,,,,,
,,2020 - 2021,,,1.11,,,,,,
,,2021 - 2022,,,0.8,,,,,,
,,2022 - 2023,,,0.99,,,,,,
,Nadia,2000 - 2001,,,0.67,,,,,,
,,2001 - 2002,,,0.44,,,,,,
,,2002 - 2003,,,0.79,,,,,,
,,2003 - 2004,,,0.82,,,,,,
,,2004 - 2005,,,0.75,,,,,,
,,2005 - 2006,,,0.77,,,,,,
,,2006 - 2007,,,0.72,,,,,,
,,2007 - 2008,887.0,732.0,0.83,,,,,,
,,2008 - 2009,,859.0,0.72,,,,,,
,,2009 - 2010,,,0.89,,,,,,
,,2010 - 2011,,,1.07,,,,,,
,,2011 - 2012,,,0.83,,,,,,
,,2012 - 2013,,,1.01,,,,,,
,,2013 - 2014,,845.0,0.8,,,,,,
,,2014 - 2015,,,0.99,,,,,,
,,2015 - 2016,,,0.73,,,,,,
,,2016 - 2017,,,0.98,,,,,,
,,2017 - 2018,,,0.93,,,,,,
,,2018 - 2019,,,0.64,,,,,,
,,2019 - 2020,,,0.46,,,,,,
,,2020 - 2021,,,1.4,,,,,,
,,2021 - 2022,,,0.62,,,,,,
,,2022 - 2023,,,0.97,,,,,,
,Paschim bardhaman,2016 - 2017,12.0,12.0,1.0,,,,,,
,,2017 - 2018,230.0,223.0,0.97,,,,,,
,,2018 - 2019,368.0,337.0,0.92,,,,,,
,,2019 - 2020,,,1.12,,,,,,
,,2020 - 2021,,,1.24,,,,,,
,,2021 - 2022,865.0,895.0,1.03,,,,,,
,,2022 - 2023,722.0,772.0,1.07,,,,,,
,Purba bardhaman,2000 - 2001,876.0,,1.21,,,,,,
,,2001 - 2002,650.0,346.0,0.53,,,,,,
,,2002 - 2003,388.0,344.0,0.89,,,,,,
,,2003 - 2004,521.0,454.0,0.87,,,,,,
,,2004 - 2005,116.0,145.0,1.25,,,,,,
,,2005 - 2006,213.0,196.0,0.92,,,,,,
,,2006 - 2007,568.0,241.0,0.42,,,,,,
,,2007 - 2008,284.0,60.0,0.21,,,,,,
,,2008 - 2009,502.0,130.0,0.26,,,,,,
,,2009 - 2010,185.0,121.0,0.65,,,,,,
,,2010 - 2011,510.0,664.0,1.3,,,,,,
,,2011 - 2012,154.0,197.0,1.28,,,,,,
,,2012 - 2013,4.0,6.0,1.5,,,,,,
,,2013 - 2014,124.0,112.0,0.9,,,,,,
,,2014 - 2015,335.0,308.0,0.92,,,,,,
,,2015 - 2016,410.0,477.0,1.16,,,,,,
,,2016 - 2017,350.0,345.0,0.99,,,,,,
,,2017 - 2018,,,0.97,,,,,,
,,2018 - 2019,,,0.82,,,,,,
,,2019 - 2020,,,1.12,,,,,,
,,2020 - 2021,,,1.24,,,,,,
,,2021 - 2022,,,1.03,,,,,,
,,2022 - 2023,,,1.45,,,,,,
,Purulia,2000 - 2001,396.0,360.0,0.91,,,,,,
,,2001 - 2002,131.0,97.0,0.74,,,,,,
,,2002 - 2003,68.0,30.0,0.44,,,,,,
,,2003 - 2004,213.0,121.0,0.57,,,,,,
,,2004 - 2005,165.0,84.0,0.51,,,,,,
,,2005 - 2006,167.0,63.0,0.38,,,,,,
,,2006 - 2007,63.0,21.0,0.33,,,,,,
,,2007 - 2008,139.0,58.0,0.42,,,,,,
,,2008 - 2009,2.0,,0.0,,,,,,
,,2009 - 2010,21.0,8.0,0.38,,,,,,
,,2010 - 2011,25.0,33.0,1.32,,,,,,
,,2012 - 2013,54.0,62.0,1.15,,,,,,
,,2013 - 2014,146.0,125.0,0.86,,,,,,
,,2014 - 2015,146.0,126.0,0.86,,,,,,
,,2015 - 2016,184.0,135.0,0.73,,,,,,
,,2016 - 2017,210.0,237.0,1.13,,,,,,
,,2017 - 2018,,,0.83,,,,,,
,,2018 - 2019,,,1.03,,,,,,
,,2019 - 2020,,,1.55,,,,,,
,,2020 - 2021,,,1.01,,,,,,
,,2021 - 2022,,,1.17,,,,,,
,,2022 - 2023,,,1.44,,,,,,
