state,district,year,small_millets_kharif_area_hectare,small_millets_kharif_production_tonne,small_millets_kharif_yield_tonne_per_hectare,small_millets_rabi_area_hectare,small_millets_rabi_production_tonne,small_millets_rabi_yield_tonne_per_hectare,small_millets_whole_year_area_hectare,small_millets_whole_year_production_tonne,small_millets_whole_year_yield_tonne_per_hectare,small_millets_summer_area_hectare,small_millets_summer_production_tonne,small_millets_summer_yield_tonne_per_hectare,small_millets_autumn_area_hectare,small_millets_autumn_production_tonne,small_millets_autumn_yield_tonne_per_hectare
,,2015 - 2016,5.0,4.0,0.8,,,,,,,,,,,,
,,2018 - 2019,,,,16.0,16.0,1.0,,,,,,,,,
,,2019 - 2020,66.0,113.0,1.71,,,,,,,,,,,,
,,2020 - 2021,6.0,3.0,0.5,,,,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,,,,,,,
,Medchal,2020 - 2021,8.0,5.0,0.63,,,,,,,,,,,,
,,2021 - 2022,,,,2.0,1.0,0.5,,,,,,,,,
,Nagarkurnool,2016 - 2017,502.0,471.0,0.94,,,,,,,,,,,,
,,2017 - 2018,218.0,289.0,1.33,,,,,,,,,,,,
,,2018 - 2019,58.0,63.0,1.09,,,,,,,,,,,,
,,2019 - 2020,116.0,238.0,2.05,1.0,2.0,2.0,,,,,,,,,
,,2020 - 2021,78.0,53.0,0.68,2.0,2.0,1.0,,,,,,,,,
,,2021 - 2022,4.0,3.0,0.75,2.0,1.0,0.5,,,,,,,,,
,,2022 - 2023,6.0,6.0,1.0,,,,,,,,,,,,
,Nalgonda,2003 - 2004,3.0,2.0,0.67,,,,,,,,,,,,
,,2019 - 2020,16.0,27.0,1.69,,,,,,,,,,,,
,,2020 - 2021,10.0,6.0,0.6,,,,,,,,,,,,
,,2021 - 2022,6.0,4.0,0.67,,,,,,,,,,,,
,Narayanapet,2019 - 2020,34.0,58.0,1.71,,,,,,,,,,,,
,,2020 - 2021,17.0,10.0,0.59,,,,,,,,,,,,
,,2021 - 2022,3.0,2.0,0.67,,,,,,,,,,,,
,Nirmal,2019 - 2020,6.0,10.0,1.67,,,,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
,Nizamabad,2000 - 2001,3.0,3.0,1.0,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.57,,,,,,,,,
,,2019 - 2020,2.0,3.0,1.5,,,,,,,,,,,,
,,2020 - 2021,2.0,1.0,0.5,,,,,,,,,,,,
,Peddapalli,2019 - 2020,10.0,17.0,1.7,,,,,,,,,,,,
,Rajanna,2020 - 2021,,,,1.0,1.0,1.0,,,,,,,,,
,Rangareddi,2000 - 2001,328.0,197.0,0.6,,,,,,,,,,,,
,,2001 - 2002,248.0,64.0,0.26,,,,,,,,,,,,
,,2002 - 2003,153.0,56.0,0.37,,,,,,,,,,,,
,,2003 - 2004,39.0,12.0,0.31,,,,,,,,,,,,
,,2004 - 2005,35.0,13.0,0.37,,,,,,,,,,,,
,,2005 - 2006,42.0,22.0,0.52,,,,,,,,,,,,
,,2006 - 2007,21.0,10.0,0.48,,,,,,,,,,,,
,,2008 - 2009,23.0,13.0,0.57,,,,,,,,,,,,
,,2009 - 2010,8.0,4.0,0.5,,,,,,,,,,,,
,,2010 - 2011,22.0,22.0,1.0,,,,,,,,,,,,
,,2011 - 2012,13.0,8.0,0.62,,,,,,,,,,,,
,,2019 - 2020,37.0,63.0,1.7,,,,,,,,,,,,
,,2020 - 2021,30.0,16.0,0.53,,,,,,,,,,,,
,,2021 - 2022,4.0,3.0,0.75,,,,,,,,,,,,
,Sangareddy,2018 - 2019,,,,1.0,1.0,1.0,,,,,,,,,
,,2019 - 2020,14.0,24.0,1.71,,,,,,,,,,,,
,,2020 - 2021,10.0,5.0,0.5,,,,,,,,,,,,
,,2021 - 2022,31.0,23.0,0.74,,,,,,,,,,,,
,,2022 - 2023,7.0,7.0,1.0,,,,,,,,,,,,
,Siddipet,2020 - 2021,4.0,2.0,0.5,,,,,,,,,,,,
,Suryapet,2018 - 2019,,,,1.0,1.0,1.0,,,,,,,,,
,,2019 - 2020,10.0,17.0,1.7,,,,,,,,,,,,
,,2022 - 2023,,,,4.0,4.0,1.0,,,,,,,,,
,Vikarabad,2020 - 2021,63.0,34.0,0.54,,,,,,,,,,,,
,,2021 - 2022,13.0,10.0,0.77,4.0,3.0,0.75,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,,,,,,,
,Wanaparthy,2016 - 2017,22.0,21.0,0.95,,,,,,,,,,,,
,,2019 - 2020,52.0,89.0,1.71,,,,,,,,,,,,
,,2020 - 2021,19.0,10.0,0.53,1.0,1.0,1.0,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
,,2022 - 2023,11.0,12.0,1.09,3.0,3.0,1.0,,,,,,,,,
,Warangal,2019 - 2020,11.0,19.0,1.73,,,,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,,,,,,,
,Warangal urban,2019 - 2020,11.0,19.0,1.73,,,,,,,,,,,,
,,2021 - 2022,3.0,2.0,0.67,,,,,,,,,,,,
,Yadadri,2018 - 2019,,,,6.0,6.0,1.0,,,,,,,,,
,,2019 - 2020,149.0,255.0,1.71,5.0,9.0,1.8,,,,,,,,,
,,2020 - 2021,14.0,8.0,0.57,,,,,,,,,,,,
Tripura,Dhalai,2016 - 2017,104.0,83.0,0.8,,,,,,,,,,,,
,,2017 - 2018,187.0,153.0,0.82,,,,,,,,,,,,
,,2018 - 2019,189.0,158.0,0.84,,,,,,,,,,,,
,,2019 - 2020,142.0,118.69,0.84,,,,,,,,,,,,
,,2020 - 2021,223.0,177.0,0.79,74.0,63.0,0.85,,,,,,,,,
,,2021 - 2022,361.0,295.0,0.82,91.0,78.0,0.86,,,,,,,,,
,,2022 - 2023,396.0,392.0,0.99,,,,,,,,,,,,
,Gomati,2016 - 2017,49.0,39.0,0.8,,,,,,,,,,,,
,,2017 - 2018,61.0,49.0,0.8,,,,,,,,,,,,
,,2018 - 2019,74.0,45.0,0.61,,,,,,,,,,,,
,,2019 - 2020,62.0,51.04,0.82,,,,,,,,,,,,
,,2020 - 2021,247.0,195.0,0.79,129.0,110.0,0.85,,,,,,,,,
,,2021 - 2022,187.0,148.0,0.79,124.0,105.0,0.85,,,,,,,,,
,,2022 - 2023,188.0,188.0,1.0,,,,,,,,,,,,
,Khowai,2016 - 2017,45.0,37.0,0.82,,,,,,,,,,,,
,,2017 - 2018,74.0,60.0,0.81,,,,,,,,,,,,
,,2018 - 2019,84.0,71.0,0.85,,,,,,,,,,,,
,,2019 - 2020,70.0,59.12,0.84,,,,,,,,,,,,
,,2020 - 2021,200.0,156.0,0.78,92.0,78.0,0.85,,,,,,,,,
,,2021 - 2022,105.0,84.0,0.8,42.0,35.0,0.83,,,,,,,,,
,,2022 - 2023,138.0,136.0,0.99,,,,,,,,,,,,
,North tripura,2016 - 2017,42.0,33.0,0.79,,,,,,,,,,,,
,,2017 - 2018,42.0,34.0,0.81,,,,,,,,,,,,
,,2018 - 2019,95.0,79.0,0.83,,,,,,,,,,,,
,,2019 - 2020,85.0,71.43,0.84,,,,,,,,,,,,
,,2020 - 2021,75.0,59.0,0.79,32.0,28.0,0.88,,,,,,,,,
,,2021 - 2022,141.0,117.0,0.83,29.0,25.0,0.86,,,,,,,,,
,,2022 - 2023,93.0,88.0,0.95,,,,,,,,,,,,
,Sepahijala,2016 - 2017,39.0,32.0,0.82,,,,,,,,,,,,
,,2017 - 2018,31.0,25.0,0.81,,,,,,,,,,,,
,,2018 - 2019,3.0,3.0,1.0,,,,,,,,,,,,
,,2019 - 2020,22.0,17.59,0.8,,,,,,,,,,,,
,,2020 - 2021,74.0,56.0,0.76,,,,,,,,,,,,
,,2021 - 2022,57.0,43.0,0.75,66.0,57.0,0.86,,,,,,,,,
,,2022 - 2023,20.0,20.0,1.0,,,,,,,,,,,,
,South tripura,2016 - 2017,39.0,31.0,0.79,,,,,,,,,,,,
,,2017 - 2018,71.0,43.0,0.61,,,,,,,,,,,,
,,2018 - 2019,67.0,53.0,0.79,,,,,,,,,,,,
,,2019 - 2020,44.0,34.7,0.79,,,,,,,,,,,,
,,2020 - 2021,127.0,98.0,0.77,51.0,42.0,0.82,,,,,,,,,
,,2021 - 2022,140.0,108.0,0.77,60.0,50.0,0.83,,,,,,,,,
,,2022 - 2023,153.0,147.0,0.96,,,,,,,,,,,,
,Unakoti,2016 - 2017,14.0,11.0,0.79,,,,,,,,,,,,
,,2017 - 2018,9.0,7.0,0.78,,,,,,,,,,,,
,,2018 - 2019,5.0,5.0,1.0,,,,,,,,,,,,
,,2019 - 2020,20.0,17.04,0.85,,,,,,,,,,,,
,,2020 - 2021,71.0,55.0,0.77,28.0,24.0,0.86,,,,,,,,,
,,2021 - 2022,30.0,23.0,0.77,45.0,39.0,0.87,,,,,,,,,
,,2022 - 2023,16.0,16.0,1.0,,,,,,,,,,,,
,West tripura,2016 - 2017,20.0,16.0,0.8,,,,,,,,,,,,
,,2017 - 2018,18.0,15.0,0.83,,,,,,,,,,,,
,,2018 - 2019,66.0,52.0,0.79,,,,,,,,,,,,
,,2019 - 2020,13.0,9.94,0.76,,,,,,,,,,,,
,,2020 - 2021,102.0,77.0,0.75,92.0,79.0,0.86,,,,,,,,,
,,2021 - 2022,112.0,83.0,0.74,47.0,40.0,0.85,,,,,,,,,
,,2022 - 2023,48.0,48.0,1.0,,,,,,,,,,,,
Uttar Pradesh,Allahabad,2000 - 2001,310.0,209.0,0.67,,,,,,,,,,,,
,,2001 - 2002,238.0,167.0,0.7,,,,,,,,,,,,
,,2002 - 2003,68.0,42.0,0.62,,,,,,,,,,,,
,,2004 - 2005,80.0,28.0,0.35,,,,,,,,,,,,
,,2006 - 2007,84.0,50.0,0.6,,,,,,,,,,,,
,,2007 - 2008,47.0,28.0,0.6,,,,,,,,,,,,
,,2008 - 2009,10.0,6.0,0.6,,,,,,,,,,,,
,,2009 - 2010,25.0,10.0,0.4,,,,,,,,,,,,
,,2010 - 2011,32.0,27.0,0.84,,,,,,,,,,,,
,,2015 - 2016,10.0,7.0,0.7,,,,,,,,,,,,
,,2016 - 2017,25.0,9.0,0.36,,,,,,,,,,,,
,,2017 - 2018,25.0,16.0,0.64,,,,,,,,,,,,
,,2018 - 2019,25.0,20.0,0.8,,,,,,,,,,,,
,,2019 - 2020,25.0,15.0,0.6,,,,,,,,,,,,
,,2020 - 2021,25.0,21.0,0.84,,,,,,,,,,,,
,,2021 - 2022,,,,,,,,,,48.0,44.0,0.92,,,
,,2022 - 2023,,,,,,,,,,48.0,52.0,1.08,,,
,Ambedkar nagar,2000 - 2001,3.0,2.0,0.67,,,,,,,,,,,,
,,2001 - 2002,2.0,1.0,0.5,,,,,,,,,,,,
,,2002 - 2003,5.0,2.0,0.4,,,,,,,,,,,,
,,2004 - 2005,1.0,,0.0,,,,,,,,,,,,
,Amethi,2011 - 2012,110.0,102.0,0.93,,,,,,,,,,,,
,,2012 - 2013,94.0,95.0,1.01,,,,,,,,,,,,
,,2013 - 2014,63.0,48.0,0.76,,,,,,,,,,,,
,,2014 - 2015,94.0,71.0,0.76,,,,,,,,,,,,
,,2015 - 2016,85.0,58.0,0.68,,,,,,,,,,,,
,,2016 - 2017,85.0,40.0,0.47,,,,,,,,,,,,
,,2017 - 2018,85.0,55.0,0.65,,,,,,,,,,,,
,,2018 - 2019,85.0,66.0,0.78,,,,,,,,,,,,
,,2019 - 2020,85.0,57.0,0.67,,,,,,,3.0,3.0,1.0,,,
,,2020 - 2021,85.0,69.0,0.81,,,,,,,,,,,,
,,2022 - 2023,114.0,86.0,0.75,,,,,,,,,,,,
,Auraiya,2001 - 2002,4.0,3.0,0.75,,,,,,,,,,,,
,Azamgarh,2000 - 2001,101.0,76.0,0.75,,,,,,,,,,,,
,,2001 - 2002,113.0,87.0,0.77,,,,,,,,,,,,
,,2002 - 2003,112.0,121.0,1.08,,,,,,,,,,,,
,,2004 - 2005,54.0,20.0,0.37,,,,,,,,,,,,
,,2005 - 2006,42.0,27.0,0.64,,,,,,,,,,,,
,,2006 - 2007,55.0,35.0,0.64,,,,,,,,,,,,
,,2007 - 2008,93.0,56.0,0.6,,,,,,,,,,,,
,,2008 - 2009,38.0,24.0,0.63,,,,,,,,,,,,
,,2009 - 2010,37.0,18.0,0.49,,,,,,,,,,,,
,,2010 - 2011,14.0,10.0,0.71,,,,,,,,,,,,
,,2011 - 2012,7.0,6.0,0.86,,,,,,,,,,,,
,,2012 - 2013,10.0,9.0,0.9,,,,,,,,,,,,
,,2013 - 2014,12.0,9.0,0.75,,,,,,,,,,,,
,,2014 - 2015,103.0,78.0,0.76,,,,,,,,,,,,
,,2015 - 2016,5.0,3.0,0.6,,,,,,,,,,,,
,,2016 - 2017,11.0,6.0,0.55,,,,,,,,,,,,
,,2017 - 2018,12.0,6.0,0.5,,,,,,,,,,,,
,,2018 - 2019,9.0,6.0,0.67,,,,,,,,,,,,
,,2019 - 2020,11.0,8.0,0.73,,,,,,,,,,,,
,,2020 - 2021,9.0,7.0,0.78,,,,,,,,,,,,
,,2022 - 2023,13.0,10.0,0.77,,,,,,,,,,,,
,Baghpat,2002 - 2003,122.0,70.0,0.57,,,,,,,,,,,,
,Bahraich,2000 - 2001,,780.0,0.67,,,,,,,,,,,,
,,2001 - 2002,840.0,650.0,0.77,,,,,,,,,,,,
,,2002 - 2003,654.0,323.0,0.49,,,,,,,,,,,,
,,2004 - 2005,172.0,58.0,0.34,,,,,,,,,,,,
,,2005 - 2006,163.0,126.0,0.77,,,,,,,,,,,,
,,2006 - 2007,152.0,91.0,0.6,,,,,,,,,,,,
,,2007 - 2008,190.0,113.0,0.59,,,,,,,,,,,,
,,2008 - 2009,219.0,131.0,0.6,,,,,,,,,,,,
,,2009 - 2010,151.0,64.0,0.42,,,,,,,,,,,,
,,2010 - 2011,289.0,242.0,0.84,,,,,,,,,,,,
,,2011 - 2012,54.0,50.0,0.93,,,,,,,,,,,,
,,2012 - 2013,33.0,35.0,1.06,,,,,,,,,,,,
,,2013 - 2014,36.0,26.0,0.72,,,,,,,,,,,,
,,2016 - 2017,33.0,12.0,0.36,,,,,,,,,,,,
,,2017 - 2018,33.0,22.0,0.67,,,,,,,,,,,,
,,2018 - 2019,33.0,27.0,0.82,,,,,,,,,,,,
,,2019 - 2020,33.0,20.0,0.61,,,,,,,,,,,,
,,2020 - 2021,33.0,28.0,0.85,,,,,,,,,,,,
,,2022 - 2023,83.0,65.0,0.78,,,,,,,,,,,,
,Ballia,2000 - 2001,131.0,90.0,0.69,,,,,,,,,,,,
,,2001 - 2002,123.0,95.0,0.77,,,,,,,,,,,,
,,2002 - 2003,665.0,528.0,0.79,,,,,,,,,,,,
,,2004 - 2005,117.0,40.0,0.34,,,,,,,,,,,,
,,2005 - 2006,126.0,86.0,0.68,,,,,,,,,,,,
,,2006 - 2007,46.0,29.0,0.63,,,,,,,,,,,,
,,2007 - 2008,81.0,49.0,0.6,,,,,,,,,,,,
,,2008 - 2009,52.0,33.0,0.63,,,,,,,,,,,,
,,2010 - 2011,16.0,11.0,0.69,,,,,,,,,,,,
,,2012 - 2013,,,,,,,,,,38.0,53.0,1.39,,,
,,2013 - 2014,8.0,7.0,0.88,,,,,,,41.0,57.0,1.39,,,
,,2014 - 2015,,,,,,,,,,40.0,38.0,0.95,,,
,,2015 - 2016,4.0,2.0,0.5,,,,,,,43.0,41.0,0.95,,,
,,2016 - 2017,10.0,7.0,0.7,,,,,,,75.0,69.0,0.92,,,
,,2017 - 2018,10.0,6.0,0.6,,,,,,,41.0,36.0,0.88,,,
,,2018 - 2019,10.0,7.0,0.7,,,,,,,59.0,53.0,0.9,,,
,,2019 - 2020,10.0,8.0,0.8,,,,,,,,,,,,
,,2020 - 2021,10.0,7.0,0.7,,,,,,,41.0,36.0,0.88,,,
,,2021 - 2022,,,,,,,,,,480.0,435.0,0.91,,,
,,2022 - 2023,,,,,,,,,,480.0,519.0,1.08,,,
,Balrampur,2000 - 2001,,993.0,0.67,,,,,,,,,,,,
,,2001 - 2002,,907.0,0.77,,,,,,,,,,,,
,,2002 - 2003,97.0,50.0,0.52,,,,,,,,,,,,
,,2004 - 2005,89.0,30.0,0.34,,,,,,,,,,,,
,,2005 - 2006,237.0,181.0,0.76,,,,,,,,,,,,
,,2006 - 2007,113.0,69.0,0.61,,,,,,,,,,,,
,,2007 - 2008,79.0,47.0,0.59,,,,,,,,,,,,
,,2008 - 2009,73.0,44.0,0.6,,,,,,,,,,,,
,,2009 - 2010,58.0,24.0,0.41,,,,,,,,,,,,
,,2011 - 2012,32.0,30.0,0.94,,,,,,,,,,,,
,,2012 - 2013,31.0,32.0,1.03,,,,,,,,,,,,
,,2013 - 2014,33.0,24.0,0.73,,,,,,,,,,,,
,,2014 - 2015,32.0,24.0,0.75,,,,,,,,,,,,
,,2015 - 2016,32.0,23.0,0.72,,,,,,,,,,,,
,,2016 - 2017,33.0,12.0,0.36,,,,,,,,,,,,
,,2017 - 2018,33.0,21.0,0.64,,,,,,,,,,,,
,,2018 - 2019,33.0,26.0,0.79,,,,,,,,,,,,
,,2019 - 2020,33.0,20.0,0.61,,,,,,,,,,,,
,,2022 - 2023,38.0,33.0,0.87,,,,,,,,,,,,
,Banda,2000 - 2001,179.0,108.0,0.6,,,,,,,,,,,,
,,2001 - 2002,151.0,82.0,0.54,,,,,,,,,,,,
,,2002 - 2003,95.0,57.0,0.6,,,,,,,,,,,,
,,2004 - 2005,117.0,43.0,0.37,,,,,,,,,,,,
,,2005 - 2006,69.0,39.0,0.57,,,,,,,,,,,,
,,2006 - 2007,161.0,99.0,0.61,,,,,,,,,,,,
,,2007 - 2008,71.0,42.0,0.59,,,,,,,,,,,,
,,2008 - 2009,233.0,143.0,0.61,,,,,,,,,,,,
,,2009 - 2010,41.0,25.0,0.61,,,,,,,,,,,,
,,2010 - 2011,53.0,38.0,0.72,,,,,,,,,,,,
,,2011 - 2012,62.0,77.0,1.24,,,,,,,,,,,,
,,2012 - 2013,39.0,36.0,0.92,,,,,,,,,,,,
,,2013 - 2014,8.0,6.0,0.75,,,,,,,,,,,,
,,2014 - 2015,11.0,8.0,0.73,,,,,,,,,,,,
,,2015 - 2016,1.0,1.0,1.0,,,,,,,,,,,,
,,2016 - 2017,21.0,13.0,0.62,,,,,,,,,,,,
,,2017 - 2018,21.0,13.0,0.62,,,,,,,,,,,,
,,2018 - 2019,21.0,16.0,0.76,,,,,,,,,,,,
,,2019 - 2020,21.0,15.0,0.71,,,,,,,,,,,,
,,2020 - 2021,21.0,16.0,0.76,,,,,,,,,,,,
,,2022 - 2023,7.0,5.0,0.71,,,,,,,,,,,,
,Barabanki,2000 - 2001,706.0,536.0,0.76,,,,,,,,,,,,
,,2001 - 2002,652.0,506.0,0.78,,,,,,,,,,,,
,,2002 - 2003,629.0,254.0,0.4,,,,,,,,,,,,
,,2004 - 2005,619.0,209.0,0.34,,,,,,,,,,,,
,,2005 - 2006,555.0,407.0,0.73,,,,,,,,,,,,
,,2006 - 2007,567.0,361.0,0.64,,,,,,,,,,,,
,,2007 - 2008,436.0,260.0,0.6,,,,,,,,,,,,
,,2008 - 2009,162.0,98.0,0.6,,,,,,,,,,,,
,,2009 - 2010,147.0,63.0,0.43,,,,,,,,,,,,
,,2010 - 2011,83.0,70.0,0.84,,,,,,,,,,,,
,,2011 - 2012,28.0,26.0,0.93,,,,,,,,,,,,
,,2012 - 2013,373.0,391.0,1.05,,,,,,,,,,,,
,,2013 - 2014,9.0,7.0,0.78,,,,,,,,,,,,
,,2014 - 2015,38.0,29.0,0.76,,,,,,,,,,,,
,,2015 - 2016,21.0,15.0,0.71,,,,,,,,,,,,
,,2016 - 2017,30.0,11.0,0.37,,,,,,,,,,,,
,,2017 - 2018,22.0,15.0,0.68,,,,,,,,,,,,
,,2018 - 2019,30.0,24.0,0.8,,,,,,,,,,,,
,,2019 - 2020,24.0,15.0,0.63,,,,,,,,,,,,
,,2020 - 2021,30.0,25.0,0.83,,,,,,,,,,,,
,,2022 - 2023,66.0,51.0,0.77,,,,,,,,,,,,
,Bareilly,2000 - 2001,3.0,4.0,1.33,,,,,,,,,,,,
,,2001 - 2002,7.0,8.0,1.14,,,,,,,,,,,,
,,2002 - 2003,1.0,1.0,1.0,,,,,,,,,,,,
,Basti,2000 - 2001,16.0,11.0,0.69,,,,,,,,,,,,
,,2001 - 2002,60.0,33.0,0.55,,,,,,,,,,,,
,,2002 - 2003,50.0,33.0,0.66,,,,,,,,,,,,
,,2004 - 2005,17.0,6.0,0.35,,,,,,,,,,,,
,,2005 - 2006,16.0,9.0,0.56,,,,,,,,,,,,
,,2006 - 2007,16.0,10.0,0.63,,,,,,,,,,,,
,,2008 - 2009,14.0,9.0,0.64,,,,,,,,,,,,
,,2009 - 2010,13.0,9.0,0.69,,,,,,,,,,,,
,Bijnor,2004 - 2005,1.0,,0.0,,,,,,,,,,,,
,,2005 - 2006,1.0,1.0,1.0,,,,,,,,,,,,
,Budaun,2000 - 2001,1.0,1.0,1.0,,,,,,,,,,,,
,Bulandshahr,2022 - 2023,,,,,,,,,,2.0,2.0,1.0,,,
,Chandauli,2000 - 2001,22.0,17.0,0.77,,,,,,,,,,,,
,,2001 - 2002,2.0,3.0,1.5,,,,,,,,,,,,
,,2002 - 2003,2.0,1.0,0.5,,,,,,,,,,,,
,,2004 - 2005,1.0,,0.0,,,,,,,,,,,,
,,2006 - 2007,1.0,1.0,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,,,,,,,34.0,31.0,0.91,,,
,,2022 - 2023,,,,,,,,,,34.0,37.0,1.09,,,
,Chitrakoot,2000 - 2001,,,0.65,,,,,,,,,,,,
,,2001 - 2002,,,0.69,,,,,,,,,,,,
,,2002 - 2003,743.0,353.0,0.48,,,,,,,,,,,,
,,2004 - 2005,960.0,342.0,0.36,,,,,,,,,,,,
,,2005 - 2006,774.0,518.0,0.67,,,,,,,,,,,,
,,2006 - 2007,,,0.61,,,,,,,,,,,,
,,2007 - 2008,860.0,520.0,0.6,,,,,,,,,,,,
,,2008 - 2009,656.0,403.0,0.61,,,,,,,,,,,,
,,2009 - 2010,410.0,208.0,0.51,,,,,,,,,,,,
,,2010 - 2011,307.0,240.0,0.78,,,,,,,,,,,,
,,2011 - 2012,726.0,767.0,1.06,,,,,,,,,,,,
,,2012 - 2013,274.0,277.0,1.01,,,,,,,,,,,,
,,2013 - 2014,164.0,120.0,0.73,,,,,,,,,,,,
,,2015 - 2016,32.0,18.0,0.56,,,,,,,,,,,,
,,2016 - 2017,363.0,141.0,0.39,,,,,,,,,,,,
,,2017 - 2018,363.0,238.0,0.66,,,,,,,,,,,,
,,2018 - 2019,363.0,289.0,0.8,,,,,,,,,,,,
,,2020 - 2021,363.0,303.0,0.83,,,,,,,,,,,,
,,2022 - 2023,349.0,226.0,0.65,,,,,,,,,,,,
,Deoria,2000 - 2001,328.0,233.0,0.71,,,,,,,,,,,,
,,2001 - 2002,185.0,157.0,0.85,,,,,,,,,,,,
,,2002 - 2003,157.0,99.0,0.63,,,,,,,,,,,,
,,2004 - 2005,46.0,15.0,0.33,,,,,,,,,,,,
,,2005 - 2006,169.0,129.0,0.76,,,,,,,,,,,,
,,2006 - 2007,52.0,31.0,0.6,,,,,,,,,,,,
,,2009 - 2010,16.0,7.0,0.44,,,,,,,,,,,,
,,2011 - 2012,1.0,1.0,1.0,,,,,,,,,,,,
,,2012 - 2013,13.0,14.0,1.08,,,,,,,,,,,,
,Etah,2001 - 2002,28.0,38.0,1.36,,,,,,,,,,,,
,,2020 - 2021,4.0,3.0,0.75,,,,,,,,,,,,
,,2022 - 2023,,,,,,,,,,1.0,1.0,1.0,,,
,Faizabad,2000 - 2001,214.0,158.0,0.74,,,,,,,,,,,,
,,2001 - 2002,176.0,129.0,0.73,,,,,,,,,,,,
,,2002 - 2003,196.0,86.0,0.44,,,,,,,,,,,,
,,2004 - 2005,5.0,2.0,0.4,,,,,,,,,,,,
,,2005 - 2006,2.0,1.0,0.5,,,,,,,,,,,,
,,2006 - 2007,3.0,2.0,0.67,,,,,,,,,,,,
,,2007 - 2008,6.0,3.0,0.5,,,,,,,,,,,,
,,2008 - 2009,73.0,45.0,0.62,,,,,,,,,,,,
,,2010 - 2011,70.0,58.0,0.83,,,,,,,,,,,,
,,2011 - 2012,1.0,1.0,1.0,,,,,,,,,,,,
,,2015 - 2016,1.0,1.0,1.0,,,,,,,,,,,,
,,2016 - 2017,10.0,4.0,0.4,,,,,,,,,,,,
,,2017 - 2018,3.0,2.0,0.67,,,,,,,,,,,,
,,2018 - 2019,3.0,2.0,0.67,,,,,,,,,,,,
,,2019 - 2020,3.0,2.0,0.67,,,,,,,,,,,,
,,2020 - 2021,3.0,3.0,1.0,,,,,,,,,,,,
,,2022 - 2023,4.0,3.0,0.75,,,,,,,4.0,4.0,1.0,,,
,Farrukhabad,2022 - 2023,,,,,,,,,,23.0,25.0,1.09,,,
,Fatehpur,2000 - 2001,58.0,34.0,0.59,,,,,,,,,,,,
,,2001 - 2002,36.0,21.0,0.58,,,,,,,,,,,,
,,2002 - 2003,22.0,13.0,0.59,,,,,,,,,,,,
,,2004 - 2005,13.0,5.0,0.38,,,,,,,,,,,,
,,2005 - 2006,24.0,18.0,0.75,,,,,,,,,,,,
,,2006 - 2007,19.0,12.0,0.63,,,,,,,,,,,,
,,2007 - 2008,8.0,5.0,0.63,,,,,,,,,,,,
,,2015 - 2016,1.0,1.0,1.0,,,,,,,,,,,,
,Firozabad,2022 - 2023,,,,,,,,,,53.0,57.0,1.08,,,
,Ghaziabad,2002 - 2003,1.0,1.0,1.0,,,,,,,,,,,,
,Ghazipur,2000 - 2001,14.0,9.0,0.64,,,,,,,,,,,,
,,2001 - 2002,9.0,6.0,0.67,,,,,,,,,,,,
,,2002 - 2003,19.0,25.0,1.32,,,,,,,,,,,,
,,2005 - 2006,5.0,3.0,0.6,,,,,,,,,,,,
,,2015 - 2016,1.0,1.0,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,,,,,,,52.0,47.0,0.9,,,
,,2022 - 2023,,,,,,,,,,52.0,56.0,1.08,,,
,Gonda,2000 - 2001,273.0,282.0,1.03,,,,,,,,,,,,
,,2001 - 2002,64.0,50.0,0.78,,,,,,,,,,,,
,,2002 - 2003,38.0,17.0,0.45,,,,,,,,,,,,
,,2005 - 2006,6.0,3.0,0.5,,,,,,,,,,,,
,Gorakhpur,2000 - 2001,224.0,151.0,0.67,,,,,,,,,,,,
,,2001 - 2002,210.0,156.0,0.74,,,,,,,,,,,,
,,2002 - 2003,112.0,94.0,0.84,,,,,,,,,,,,
,,2004 - 2005,11.0,4.0,0.36,,,,,,,,,,,,
,,2005 - 2006,40.0,29.0,0.73,,,,,,,,,,,,
,,2006 - 2007,10.0,6.0,0.6,,,,,,,,,,,,
,,2007 - 2008,5.0,3.0,0.6,,,,,,,,,,,,
,,2008 - 2009,2.0,1.0,0.5,,,,,,,,,,,,
,,2009 - 2010,12.0,5.0,0.42,,,,,,,,,,,,
,,2011 - 2012,6.0,6.0,1.0,,,,,,,,,,,,
,,2012 - 2013,28.0,29.0,1.04,,,,,,,,,,,,
,,2013 - 2014,14.0,10.0,0.71,,,,,,,,,,,,
,,2014 - 2015,38.0,29.0,0.76,,,,,,,,,,,,
,,2015 - 2016,29.0,21.0,0.72,,,,,,,10.0,9.0,0.9,,,
,,2016 - 2017,14.0,5.0,0.36,,,,,,,,,,,,
,,2017 - 2018,18.0,12.0,0.67,,,,,,,,,,,,
