state,district,year,ragi_kharif_area_hectare,ragi_kharif_production_tonne,ragi_kharif_yield_tonne_per_hectare,ragi_rabi_area_hectare,ragi_rabi_production_tonne,ragi_rabi_yield_tonne_per_hectare,ragi_autumn_area_hectare,ragi_autumn_production_tonne,ragi_autumn_yield_tonne_per_hectare,ragi_summer_area_hectare,ragi_summer_production_tonne,ragi_summer_yield_tonne_per_hectare,ragi_whole_year_area_hectare,ragi_whole_year_production_tonne,ragi_whole_year_yield_tonne_per_hectare,ragi_winter_area_hectare,ragi_winter_production_tonne,ragi_winter_yield_tonne_per_hectare
,,2022 - 2023,37.0,96.0,2.59,6.0,25.0,4.17,,,,,,,,,,,,
,Dharmapuri,2000 - 2001,,,1.81,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.58,,,,,,,,,,,,,,,
,,2002 - 2003,,,1.17,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.35,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.45,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.44,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,2.06,,,
,,2007 - 2008,,,,,,,,,,,,,,,2.23,,,
,,2008 - 2009,,,,,,,,,,,,,,,2.2,,,
,,2009 - 2010,,,,,,,,,,,,,,,1.95,,,
,,2010 - 2011,,,1.73,,,,,,,,,,,,,,,
,,2011 - 2012,,,2.95,,,3.25,,,,,,,,,,,,
,,2012 - 2013,,,2.4,,,,,,,,,,,,,,,
,,2013 - 2014,,,2.97,,,4.17,,,,,,,,,,,,
,,2014 - 2015,,,2.97,,,4.88,,,,,,,,,,,,
,,2015 - 2016,,,2.98,,,4.13,,,,,,,,,,,,
,,2016 - 2017,,,2.04,938.0,,2.72,,,,,,,,,,,,
,,2017 - 2018,,,3.2,,,4.63,,,,,,,,,,,,
,,2018 - 2019,,,2.26,,,4.6,,,,,,,,,,,,
,,2019 - 2020,,,3.5,,,4.51,,,,,,,,,,,,
,,2020 - 2021,,,3.33,,,4.06,,,,,,,,,,,,
,,2021 - 2022,,,2.67,,,4.85,,,,,,,,,,,,
,,2022 - 2023,,,2.68,,,4.18,,,,,,,,,,,,
,Dindigul,2000 - 2001,604.0,,1.81,,,,,,,,,,,,,,,
,,2001 - 2002,286.0,550.0,1.92,,,,,,,,,,,,,,,
,,2002 - 2003,369.0,522.0,1.41,,,,,,,,,,,,,,,
,,2003 - 2004,233.0,342.0,1.47,,,,,,,,,,,,,,,
,,2004 - 2005,112.0,163.0,1.46,,,,,,,,,,,,,,,
,,2005 - 2006,76.0,98.0,1.29,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,79.0,133.0,1.68,,,
,,2007 - 2008,,,,,,,,,,,,,48.0,104.0,2.17,,,
,,2008 - 2009,,,,,,,,,,,,,18.0,35.0,1.94,,,
,,2009 - 2010,,,,,,,,,,,,,268.0,836.0,3.12,,,
,,2010 - 2011,9.0,19.0,2.11,,,,,,,,,,,,,,,
,,2011 - 2012,7.0,18.0,2.57,1.0,3.0,3.0,,,,,,,,,,,,
,,2012 - 2013,2.0,5.0,2.5,,,,,,,,,,,,,,,
,,2013 - 2014,5.0,14.0,2.8,11.0,44.0,4.0,,,,,,,,,,,,
,,2014 - 2015,43.0,129.0,3.0,7.0,29.0,4.14,,,,,,,,,,,,
,,2015 - 2016,5.0,15.0,3.0,9.0,33.0,3.67,,,,,,,,,,,,
,,2016 - 2017,,,,2.0,6.0,3.0,,,,,,,,,,,,
,,2017 - 2018,9.0,31.0,3.44,9.0,40.0,4.44,,,,,,,,,,,,
,,2018 - 2019,1.0,4.0,4.0,9.0,31.0,3.44,,,,,,,,,,,,
,,2019 - 2020,1.0,4.0,4.0,15.0,59.0,3.93,,,,,,,,,,,,
,,2020 - 2021,7.0,23.0,3.29,10.0,40.0,4.0,,,,,,,,,,,,
,,2021 - 2022,3.0,6.0,2.0,8.0,31.0,3.88,,,,,,,,,,,,
,,2022 - 2023,,,,3.0,16.0,5.33,,,,,,,,,,,,
,Erode,2000 - 2001,,,0.83,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.12,,,,,,,,,,,,,,,
,,2002 - 2003,,,1.11,,,,,,,,,,,,,,,
,,2003 - 2004,,,0.81,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.17,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.0,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,1.77,,,
,,2007 - 2008,,,,,,,,,,,,,,,0.94,,,
,,2008 - 2009,,,,,,,,,,,,,,,1.37,,,
,,2009 - 2010,,,,,,,,,,,,,,,1.24,,,
,,2010 - 2011,,,1.54,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.94,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.83,,,,,,,,,,,,,,,
,,2013 - 2014,,,2.39,,,,,,,,,,,,,,,
,,2014 - 2015,,,2.28,277.0,,4.2,,,,,,,,,,,,
,,2015 - 2016,,,2.69,612.0,,3.62,,,,,,,,,,,,
,,2016 - 2017,,662.0,0.21,167.0,522.0,3.13,,,,,,,,,,,,
,,2017 - 2018,,,2.91,30.0,134.0,4.47,,,,,,,,,,,,
,,2018 - 2019,,,3.05,,,3.55,,,,,,,,,,,,
,,2019 - 2020,,,2.54,3.0,11.0,3.67,,,,,,,,,,,,
,,2020 - 2021,,,3.66,44.0,183.0,4.16,,,,,,,,,,,,
,,2021 - 2022,,,3.85,6.0,23.0,3.83,,,,,,,,,,,,
,,2022 - 2023,,,3.35,1.0,5.0,5.0,,,,,,,,,,,,
,Kallakurichi,2020 - 2021,53.0,171.0,3.23,90.0,372.0,4.13,,,,,,,,,,,,
,,2021 - 2022,24.0,68.0,2.83,116.0,472.0,4.07,,,,,,,,,,,,
,,2022 - 2023,76.0,201.0,2.64,38.0,157.0,4.13,,,,,,,,,,,,
,Kanchipuram,2000 - 2001,,,1.99,,,,,,,,,,,,,,,
,,2001 - 2002,844.0,,3.64,,,,,,,,,,,,,,,
,,2002 - 2003,929.0,,1.89,,,,,,,,,,,,,,,
,,2003 - 2004,,,2.23,,,,,,,,,,,,,,,
,,2004 - 2005,855.0,,1.85,,,,,,,,,,,,,,,
,,2005 - 2006,603.0,993.0,1.65,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,197.0,398.0,2.02,,,
,,2007 - 2008,,,,,,,,,,,,,157.0,329.0,2.1,,,
,,2008 - 2009,,,,,,,,,,,,,52.0,138.0,2.65,,,
,,2009 - 2010,,,,,,,,,,,,,55.0,156.0,2.84,,,
,,2010 - 2011,324.0,990.0,3.06,,,,,,,,,,,,,,,
,,2011 - 2012,75.0,198.0,2.64,55.0,171.0,3.11,,,,,,,,,,,,
,,2012 - 2013,58.0,116.0,2.0,,,,,,,,,,,,,,,
,,2013 - 2014,213.0,583.0,2.74,294.0,,3.97,,,,,,,,,,,,
,,2014 - 2015,73.0,219.0,3.0,142.0,596.0,4.2,,,,,,,,,,,,
,,2015 - 2016,102.0,304.0,2.98,124.0,449.0,3.62,,,,,,,,,,,,
,,2016 - 2017,198.0,326.0,1.65,132.0,412.0,3.12,,,,,,,,,,,,
,,2017 - 2018,75.0,257.0,3.43,97.0,433.0,4.46,,,,,,,,,,,,
,,2018 - 2019,46.0,146.0,3.17,168.0,593.0,3.53,,,,,,,,,,,,
,,2019 - 2020,41.0,125.0,3.05,90.0,364.0,4.04,,,,,,,,,,,,
,,2020 - 2021,36.0,117.0,3.25,18.0,74.0,4.11,,,,,,,,,,,,
,,2021 - 2022,19.0,53.0,2.79,8.0,33.0,4.13,,,,,,,,,,,,
,,2022 - 2023,24.0,63.0,2.63,10.0,41.0,4.1,,,,,,,,,,,,
,Karur,2001 - 2002,14.0,40.0,2.86,,,,,,,,,,,,,,,
,,2002 - 2003,11.0,22.0,2.0,,,,,,,,,,,,,,,
,,2003 - 2004,17.0,40.0,2.35,,,,,,,,,,,,,,,
,,2004 - 2005,16.0,37.0,2.31,,,,,,,,,,,,,,,
,,2005 - 2006,12.0,23.0,1.92,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,3.0,9.0,3.0,,,
,,2007 - 2008,,,,,,,,,,,,,1.0,3.0,3.0,,,
,,2008 - 2009,,,,,,,,,,,,,3.0,9.0,3.0,,,
,,2009 - 2010,,,,,,,,,,,,,10.0,27.0,2.7,,,
,,2010 - 2011,7.0,15.0,2.14,,,,,,,,,,,,,,,
,,2012 - 2013,9.0,17.0,1.89,,,,,,,,,,,,,,,
,,2013 - 2014,12.0,33.0,2.75,,,,,,,,,,,,,,,
,,2014 - 2015,124.0,372.0,3.0,26.0,109.0,4.19,,,,,,,,,,,,
,,2015 - 2016,6.0,18.0,3.0,51.0,185.0,3.63,,,,,,,,,,,,
,,2017 - 2018,2.0,7.0,3.5,11.0,49.0,4.45,,,,,,,,,,,,
,,2018 - 2019,1.0,4.0,4.0,1.0,4.0,4.0,,,,,,,,,,,,
,,2019 - 2020,,,,2.0,6.0,3.0,,,,,,,,,,,,
,,2020 - 2021,,,,3.0,14.0,4.67,,,,,,,,,,,,
,,2021 - 2022,1.0,4.0,4.0,6.0,24.0,4.0,,,,,,,,,,,,
,Krishnagiri,2004 - 2005,,,1.27,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.13,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,1.15,,,
,,2007 - 2008,,,,,,,,,,,,,,,1.87,,,
,,2008 - 2009,,,,,,,,,,,,,,,1.7,,,
,,2009 - 2010,,,,,,,,,,,,,,,2.03,,,
,,2010 - 2011,,,2.34,,,,,,,,,,,,,,,
,,2011 - 2012,,,2.67,,,2.54,,,,,,,,,,,,
,,2012 - 2013,,,1.81,,,,,,,,,,,,,,,
,,2013 - 2014,,,2.58,,,3.62,,,,,,,,,,,,
,,2014 - 2015,,,2.86,,,3.22,,,,,,,,,,,,
,,2015 - 2016,,,3.01,,,3.73,,,,,,,,,,,,
,,2016 - 2017,,,1.65,,,3.12,,,,,,,,,,,,
,,2017 - 2018,,,3.7,,,5.23,,,,,,,,,,,,
,,2018 - 2019,,,3.55,,,3.32,,,,,,,,,,,,
,,2019 - 2020,,,2.9,,,4.35,,,,,,,,,,,,
,,2020 - 2021,,,3.21,,,4.99,,,,,,,,,,,,
,,2021 - 2022,,,2.76,,,4.23,,,,,,,,,,,,
,,2022 - 2023,,,2.55,,,3.91,,,,,,,,,,,,
,Madurai,2000 - 2001,156.0,237.0,1.52,,,,,,,,,,,,,,,
,,2001 - 2002,134.0,270.0,2.01,,,,,,,,,,,,,,,
,,2002 - 2003,209.0,312.0,1.49,,,,,,,,,,,,,,,
,,2003 - 2004,178.0,274.0,1.54,,,,,,,,,,,,,,,
,,2004 - 2005,122.0,187.0,1.53,,,,,,,,,,,,,,,
,,2005 - 2006,237.0,330.0,1.39,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,163.0,229.0,1.4,,,
,,2007 - 2008,,,,,,,,,,,,,144.0,269.0,1.87,,,
,,2008 - 2009,,,,,,,,,,,,,63.0,135.0,2.14,,,
,,2009 - 2010,,,,,,,,,,,,,50.0,91.0,1.82,,,
,,2010 - 2011,51.0,118.0,2.31,,,,,,,,,,,,,,,
,,2011 - 2012,69.0,182.0,2.64,1.0,3.0,3.0,,,,,,,,,,,,
,,2012 - 2013,12.0,23.0,1.92,,,,,,,,,,,,,,,
,,2013 - 2014,44.0,120.0,2.73,16.0,63.0,3.94,,,,,,,,,,,,
,,2014 - 2015,10.0,30.0,3.0,3.0,13.0,4.33,,,,,,,,,,,,
,,2015 - 2016,22.0,66.0,3.0,7.0,25.0,3.57,,,,,,,,,,,,
,,2016 - 2017,1.0,2.0,2.0,45.0,141.0,3.13,,,,,,,,,,,,
,,2017 - 2018,8.0,27.0,3.38,2.0,9.0,4.5,,,,,,,,,,,,
,,2018 - 2019,13.0,39.0,3.0,5.0,19.0,3.8,,,,,,,,,,,,
,,2019 - 2020,9.0,28.0,3.11,11.0,41.0,3.73,,,,,,,,,,,,
,,2020 - 2021,27.0,86.0,3.19,7.0,29.0,4.14,,,,,,,,,,,,
,,2021 - 2022,6.0,18.0,3.0,4.0,15.0,3.75,,,,,,,,,,,,
,,2022 - 2023,3.0,7.0,2.33,6.0,25.0,4.17,,,,,,,,,,,,
,Mayiladuthurai,2020 - 2021,10.0,32.0,3.2,2.0,8.0,4.0,,,,,,,,,,,,
,,2021 - 2022,,,,8.0,31.0,3.88,,,,,,,,,,,,
,Nagapattinam,2003 - 2004,2.0,5.0,2.5,,,,,,,,,,,,,,,
,,2016 - 2017,,,,1.0,3.0,3.0,,,,,,,,,,,,
,,2017 - 2018,,,,1.0,4.0,4.0,,,,,,,,,,,,
,,2019 - 2020,,,,2.0,6.0,3.0,,,,,,,,,,,,
,,2021 - 2022,,,,1.0,3.0,3.0,,,,,,,,,,,,
,,2022 - 2023,2.0,6.0,3.0,,,,,,,,,,,,,,,
,Namakkal,2000 - 2001,,,1.72,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.7,,,,,,,,,,,,,,,
,,2002 - 2003,850.0,,1.66,,,,,,,,,,,,,,,
,,2003 - 2004,595.0,,1.84,,,,,,,,,,,,,,,
,,2004 - 2005,132.0,247.0,1.87,,,,,,,,,,,,,,,
,,2005 - 2006,260.0,782.0,3.01,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,193.0,493.0,2.55,,,
,,2007 - 2008,,,,,,,,,,,,,277.0,660.0,2.38,,,
,,2008 - 2009,,,,,,,,,,,,,216.0,382.0,1.77,,,
,,2009 - 2010,,,,,,,,,,,,,245.0,442.0,1.8,,,
,,2010 - 2011,274.0,573.0,2.09,,,,,,,,,,,,,,,
,,2011 - 2012,190.0,501.0,2.64,1.0,3.0,3.0,,,,,,,,,,,,
,,2012 - 2013,104.0,219.0,2.11,,,,,,,,,,,,,,,
,,2013 - 2014,80.0,219.0,2.74,101.0,401.0,3.97,,,,,,,,,,,,
,,2014 - 2015,294.0,883.0,3.0,81.0,340.0,4.2,,,,,,,,,,,,
,,2015 - 2016,378.0,,2.98,97.0,351.0,3.62,,,,,,,,,,,,
,,2016 - 2017,499.0,821.0,1.65,14.0,44.0,3.14,,,,,,,,,,,,
,,2017 - 2018,408.0,,3.42,130.0,580.0,4.46,,,,,,,,,,,,
,,2018 - 2019,446.0,,3.15,40.0,142.0,3.55,,,,,,,,,,,,
,,2019 - 2020,324.0,970.0,2.99,35.0,141.0,4.03,,,,,,,,,,,,
,,2020 - 2021,328.0,,3.24,137.0,569.0,4.15,,,,,,,,,,,,
,,2021 - 2022,320.0,900.0,2.81,36.0,146.0,4.06,,,,,,,,,,,,
,,2022 - 2023,320.0,846.0,2.64,79.0,329.0,4.16,,,,,,,,,,,,
,Perambalur,2000 - 2001,535.0,793.0,1.48,,,,,,,,,,,,,,,
,,2001 - 2002,77.0,160.0,2.08,,,,,,,,,,,,,,,
,,2002 - 2003,76.0,107.0,1.41,,,,,,,,,,,,,,,
,,2003 - 2004,153.0,225.0,1.47,,,,,,,,,,,,,,,
,,2004 - 2005,79.0,116.0,1.47,,,,,,,,,,,,,,,
,,2005 - 2006,51.0,72.0,1.41,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,117.0,208.0,1.78,,,
,,2007 - 2008,,,,,,,,,,,,,59.0,117.0,1.98,,,
,,2008 - 2009,,,,,,,,,,,,,4.0,39.0,9.75,,,
,,2009 - 2010,,,,,,,,,,,,,10.0,24.0,2.4,,,
,,2010 - 2011,2.0,4.0,2.0,,,,,,,,,,,,,,,
,,2011 - 2012,8.0,21.0,2.63,8.0,25.0,3.13,,,,,,,,,,,,
,,2012 - 2013,4.0,7.0,1.75,,,,,,,,,,,,,,,
,,2013 - 2014,1.0,3.0,3.0,,,,,,,,,,,,,,,
,,2014 - 2015,5.0,15.0,3.0,2.0,8.0,4.0,,,,,,,,,,,,
,,2015 - 2016,5.0,15.0,3.0,1.0,4.0,4.0,,,,,,,,,,,,
,,2016 - 2017,3.0,5.0,1.67,,,,,,,,,,,,,,,
,,2017 - 2018,2.0,7.0,3.5,,,,,,,,,,,,,,,
,,2018 - 2019,2.0,4.0,2.0,,,,,,,,,,,,,,,
,,2019 - 2020,7.0,18.0,2.57,,,,,,,,,,,,,,,
,,2020 - 2021,3.0,8.0,2.67,,,,,,,,,,,,,,,
,,2021 - 2022,3.0,10.0,3.33,,,,,,,,,,,,,,,
,,2022 - 2023,2.0,4.0,2.0,,,,,,,,,,,,,,,
,Pudukkottai,2000 - 2001,689.0,877.0,1.27,,,,,,,,,,,,,,,
,,2001 - 2002,278.0,620.0,2.23,,,,,,,,,,,,,,,
,,2002 - 2003,276.0,394.0,1.43,,,,,,,,,,,,,,,
,,2003 - 2004,203.0,349.0,1.72,,,,,,,,,,,,,,,
,,2004 - 2005,356.0,574.0,1.61,,,,,,,,,,,,,,,
,,2005 - 2006,181.0,275.0,1.52,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,213.0,493.0,2.31,,,
,,2007 - 2008,,,,,,,,,,,,,63.0,112.0,1.78,,,
,,2008 - 2009,,,,,,,,,,,,,61.0,112.0,1.84,,,
,,2009 - 2010,,,,,,,,,,,,,24.0,47.0,1.96,,,
,,2010 - 2011,38.0,80.0,2.11,,,,,,,,,,,,,,,
,,2011 - 2012,37.0,98.0,2.65,3.0,9.0,3.0,,,,,,,,,,,,
,,2012 - 2013,22.0,41.0,1.86,,,,,,,,,,,,,,,
,,2013 - 2014,32.0,88.0,2.75,3.0,12.0,4.0,,,,,,,,,,,,
,,2014 - 2015,37.0,111.0,3.0,3.0,13.0,4.33,,,,,,,,,,,,
,,2015 - 2016,6.0,18.0,3.0,10.0,36.0,3.6,,,,,,,,,,,,
,,2016 - 2017,11.0,18.0,1.64,8.0,25.0,3.13,,,,,,,,,,,,
,,2017 - 2018,9.0,31.0,3.44,4.0,18.0,4.5,,,,,,,,,,,,
,,2018 - 2019,14.0,45.0,3.21,16.0,58.0,3.63,,,,,,,,,,,,
,,2019 - 2020,52.0,157.0,3.02,9.0,34.0,3.78,,,,,,,,,,,,
,,2020 - 2021,72.0,230.0,3.19,9.0,36.0,4.0,,,,,,,,,,,,
,,2021 - 2022,25.0,69.0,2.76,1.0,7.0,7.0,,,,,,,,,,,,
,,2022 - 2023,10.0,26.0,2.6,1.0,4.0,4.0,,,,,,,,,,,,
,Ramanathapuram,2000 - 2001,641.0,561.0,0.88,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.79,,,,,,,,,,,,,,,
,,2002 - 2003,,,1.34,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.55,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.67,,,,,,,,,,,,,,,
,,2005 - 2006,,,0.65,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,1.36,,,
,,2007 - 2008,,,,,,,,,,,,,877.0,,1.5,,,
,,2008 - 2009,,,,,,,,,,,,,671.0,,1.89,,,
,,2009 - 2010,,,,,,,,,,,,,544.0,899.0,1.65,,,
,,2010 - 2011,370.0,529.0,1.43,,,,,,,,,,,,,,,
,,2011 - 2012,2.0,5.0,2.5,284.0,484.0,1.7,,,,,,,,,,,,
,,2012 - 2013,291.0,128.0,0.44,,,,,,,,,,,,,,,
,,2013 - 2014,,,,401.0,402.0,1.0,,,,,,,,,,,,
,,2014 - 2015,1.0,3.0,3.0,498.0,,3.04,,,,,,,,,,,,
,,2015 - 2016,,,,270.0,555.0,2.06,,,,,,,,,,,,
,,2016 - 2017,,,,152.0,475.0,3.13,,,,,,,,,,,,
,,2017 - 2018,1.0,3.0,3.0,329.0,,4.46,,,,,,,,,,,,
,,2018 - 2019,,,,515.0,,3.56,,,,,,,,,,,,
,,2019 - 2020,,,,706.0,,4.02,,,,,,,,,,,,
,,2020 - 2021,2.0,7.0,3.5,352.0,,4.15,,,,,,,,,,,,
,,2021 - 2022,,,,202.0,822.0,4.07,,,,,,,,,,,,
,,2022 - 2023,,,,154.0,640.0,4.16,,,,,,,,,,,,
,Ranipet,2020 - 2021,74.0,242.0,3.27,554.0,,4.14,,,,,,,,,,,,
,,2021 - 2022,79.0,225.0,2.85,617.0,,4.06,,,,,,,,,,,,
,,2022 - 2023,192.0,540.0,2.81,612.0,,4.15,,,,,,,,,,,,
,Salem,2000 - 2001,,,1.79,,,,,,,,,,,,,,,
,,2001 - 2002,,,2.92,,,,,,,,,,,,,,,
,,2002 - 2003,,,1.65,,,,,,,,,,,,,,,
,,2003 - 2004,,,1.68,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.73,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.91,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,1.77,,,
,,2007 - 2008,,,,,,,,,,,,,,,1.58,,,
,,2008 - 2009,,,,,,,,,,,,,,,2.05,,,
,,2009 - 2010,,,,,,,,,,,,,,,1.73,,,
,,2010 - 2011,,,2.71,,,,,,,,,,,,,,,
,,2011 - 2012,,,2.42,,,3.58,,,,,,,,,,,,
,,2012 - 2013,,,1.98,,,,,,,,,,,,,,,
,,2013 - 2014,,,3.07,,,4.7,,,,,,,,,,,,
,,2014 - 2015,,,4.54,,,5.03,,,,,,,,,,,,
,,2015 - 2016,,,2.98,,,3.74,,,,,,,,,,,,
,,2016 - 2017,,,1.61,902.0,,3.25,,,,,,,,,,,,
,,2017 - 2018,,,2.87,,,4.6,,,,,,,,,,,,
,,2018 - 2019,,,2.38,,,3.32,,,,,,,,,,,,
,,2019 - 2020,,,3.31,,,3.72,,,,,,,,,,,,
,,2020 - 2021,,,3.29,,,4.73,,,,,,,,,,,,
,,2021 - 2022,,,2.94,,,4.34,,,,,,,,,,,,
,,2022 - 2023,,,2.88,,,4.83,,,,,,,,,,,,
,Sivaganga,2000 - 2001,796.0,,1.5,,,,,,,,,,,,,,,
,,2001 - 2002,218.0,420.0,1.93,,,,,,,,,,,,,,,
,,2002 - 2003,312.0,457.0,1.46,,,,,,,,,,,,,,,
,,2003 - 2004,376.0,616.0,1.64,,,,,,,,,,,,,,,
,,2004 - 2005,706.0,,1.62,,,,,,,,,,,,,,,
,,2005 - 2006,241.0,368.0,1.53,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,131.0,204.0,1.56,,,
,,2007 - 2008,,,,,,,,,,,,,108.0,210.0,1.94,,,
,,2008 - 2009,,,,,,,,,,,,,54.0,107.0,1.98,,,
,,2009 - 2010,,,,,,,,,,,,,61.0,131.0,2.15,,,
,,2010 - 2011,62.0,191.0,3.08,,,,,,,,,,,,,,,
,,2011 - 2012,45.0,119.0,2.64,18.0,56.0,3.11,,,,,,,,,,,,
,,2012 - 2013,50.0,110.0,2.2,,,,,,,,,,,,,,,
,,2013 - 2014,29.0,79.0,2.72,109.0,432.0,3.96,,,,,,,,,,,,
,,2014 - 2015,67.0,201.0,3.0,205.0,861.0,4.2,,,,,,,,,,,,
,,2015 - 2016,13.0,39.0,3.0,105.0,380.0,3.62,,,,,,,,,,,,
,,2016 - 2017,17.0,28.0,1.65,25.0,78.0,3.12,,,,,,,,,,,,
,,2017 - 2018,49.0,168.0,3.43,35.0,156.0,4.46,,,,,,,,,,,,
,,2018 - 2019,19.0,61.0,3.21,123.0,436.0,3.54,,,,,,,,,,,,
,,2019 - 2020,445.0,,2.99,423.0,,4.02,,,,,,,,,,,,
,,2020 - 2021,159.0,518.0,3.26,166.0,691.0,4.16,,,,,,,,,,,,
,,2021 - 2022,82.0,232.0,2.83,114.0,463.0,4.06,,,,,,,,,,,,
,,2022 - 2023,75.0,200.0,2.67,93.0,387.0,4.16,,,,,,,,,,,,
,Thanjavur,2000 - 2001,5.0,14.0,2.8,,,,,,,,,,,,,,,
,,2001 - 2002,3.0,10.0,3.33,,,,,,,,,,,,,,,
,,2002 - 2003,9.0,19.0,2.11,,,,,,,,,,,,,,,
,,2003 - 2004,20.0,48.0,2.4,,,,,,,,,,,,,,,
,,2004 - 2005,35.0,80.0,2.29,,,,,,,,,,,,,,,
,,2005 - 2006,5.0,10.0,2.0,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,2.0,6.0,3.0,,,
,,2007 - 2008,,,,,,,,,,,,,4.0,10.0,2.5,,,
,,2008 - 2009,,,,,,,,,,,,,4.0,8.0,2.0,,,
,,2009 - 2010,,,,,,,,,,,,,3.0,10.0,3.33,,,
,,2010 - 2011,4.0,8.0,2.0,,,,,,,,,,,,,,,
,,2011 - 2012,1.0,3.0,3.0,,,,,,,,,,,,,,,
,,2012 - 2013,17.0,35.0,2.06,,,,,,,,,,,,,,,
,,2013 - 2014,8.0,22.0,2.75,,,,,,,,,,,,,,,
,,2015 - 2016,5.0,15.0,3.0,,,,,,,,,,,,,,,
,,2016 - 2017,4.0,7.0,1.75,1.0,3.0,3.0,,,,,,,,,,,,
,,2017 - 2018,2.0,7.0,3.5,1.0,4.0,4.0,,,,,,,,,,,,
,,2018 - 2019,1.0,3.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,
,,2019 - 2020,,,,3.0,12.0,4.0,,,,,,,,,,,,
,,2020 - 2021,5.0,15.0,3.0,5.0,19.0,3.8,,,,,,,,,,,,
,,2021 - 2022,,,,4.0,17.0,4.25,,,,,,,,,,,,
,,2022 - 2023,44.0,116.0,2.64,62.0,256.0,4.13,,,,,,,,,,,,
,The nilgiris,2000 - 2001,59.0,68.0,1.15,,,,,,,,,,,,,,,
,,2001 - 2002,39.0,60.0,1.54,,,,,,,,,,,,,,,
,,2002 - 2003,31.0,35.0,1.13,,,,,,,,,,,,,,,
,,2003 - 2004,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,10.0,14.0,1.4,,,
,,2007 - 2008,,,,,,,,,,,,,1.0,2.0,2.0,,,
,,2008 - 2009,,,,,,,,,,,,,1.0,2.0,2.0,,,
,,2009 - 2010,,,,,,,,,,,,,4.0,7.0,1.75,,,
,,2012 - 2013,1.0,2.0,2.0,,,,,,,,,,,,,,,
,,2019 - 2020,1.0,2.0,2.0,,,,,,,,,,,,,,,
,,2020 - 2021,44.0,145.0,3.3,1.0,5.0,5.0,,,,,,,,,,,,
,,2021 - 2022,2.0,4.0,2.0,,,,,,,,,,,,,,,
,,2022 - 2023,3.0,7.0,2.33,1.0,4.0,4.0,,,,,,,,,,,,
,Theni,2000 - 2001,336.0,573.0,1.71,,,,,,,,,,,,,,,
,,2001 - 2002,174.0,430.0,2.47,,,,,,,,,,,,,,,
,,2002 - 2003,175.0,304.0,1.74,,,,,,,,,,,,,,,
,,2003 - 2004,104.0,183.0,1.76,,,,,,,,,,,,,,,
,,2004 - 2005,74.0,123.0,1.66,,,,,,,,,,,,,,,
,,2005 - 2006,70.0,108.0,1.54,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,93.0,148.0,1.59,,,
,,2007 - 2008,,,,,,,,,,,,,34.0,73.0,2.15,,,
,,2008 - 2009,,,,,,,,,,,,,33.0,72.0,2.18,,,
,,2009 - 2010,,,,,,,,,,,,,115.0,259.0,2.25,,,
,,2010 - 2011,44.0,96.0,2.18,,,,,,,,,,,,,,,
,,2011 - 2012,32.0,84.0,2.63,2.0,6.0,3.0,,,,,,,,,,,,
,,2012 - 2013,69.0,173.0,2.51,,,,,,,,,,,,,,,
,,2013 - 2014,22.0,60.0,2.73,80.0,317.0,3.96,,,,,,,,,,,,
,,2014 - 2015,12.0,36.0,3.0,11.0,46.0,4.18,,,,,,,,,,,,
,,2015 - 2016,22.0,66.0,3.0,4.0,14.0,3.5,,,,,,,,,,,,
