state,district,year,ginger_whole_year_area_hectare,ginger_whole_year_production_tonne,ginger_whole_year_yield_tonne_per_hectare,ginger_rabi_area_hectare,ginger_rabi_production_tonne,ginger_rabi_yield_tonne_per_hectare,ginger_kharif_area_hectare,ginger_kharif_production_tonne,ginger_kharif_yield_tonne_per_hectare,ginger_summer_area_hectare,ginger_summer_production_tonne,ginger_summer_yield_tonne_per_hectare
,,2021 - 2022,,,,,,,700.0,,9.44,,,
,,2022 - 2023,,,,,,,620.0,,10.05,,,
,Phek,2006 - 2007,,,,,,,440.0,,8.93,,,
,,2007 - 2008,,,,,,,690.0,,7.29,,,
,,2008 - 2009,,,,,,,640.0,,9.06,,,
,,2011 - 2012,,,,,,,340.0,,9.12,,,
,,2012 - 2013,,,,,,,350.0,,9.11,,,
,,2013 - 2014,,,,,,,350.0,,9.11,,,
,,2014 - 2015,,,,,,,360.0,,9.11,,,
,,2015 - 2016,,,,,,,360.0,,9.11,,,
,,2016 - 2017,,,,,,,380.0,,9.13,,,
,,2017 - 2018,,,,,,,380.0,,9.18,,,
,,2018 - 2019,,,,,,,390.0,,9.15,,,
,,2019 - 2020,,,,,,,396.0,,9.15,,,
,,2020 - 2021,,,,,,,402.0,,9.44,,,
,,2021 - 2022,,,,,,,860.0,,8.0,,,
,,2022 - 2023,,,,,,,761.0,,10.45,,,
,Shamator,2022 - 2023,,,,,,,151.0,,10.66,,,
,Tseminyu,2022 - 2023,,,,,,,203.0,,10.22,,,
,Tuensang,2006 - 2007,,,,,,,190.0,,8.79,,,
,,2007 - 2008,,,,,,,410.0,,6.1,,,
,,2008 - 2009,,,,,,,620.0,,9.45,,,
,,2011 - 2012,,,,,,,250.0,,9.12,,,
,,2012 - 2013,,,,,,,290.0,,9.1,,,
,,2013 - 2014,,,,,,,310.0,,9.13,,,
,,2014 - 2015,,,,,,,320.0,,9.13,,,
,,2015 - 2016,,,,,,,320.0,,9.13,,,
,,2016 - 2017,,,,,,,330.0,,9.12,,,
,,2017 - 2018,,,,,,,340.0,,9.15,,,
,,2018 - 2019,,,,,,,340.0,,9.15,,,
,,2019 - 2020,,,,,,,345.0,,9.15,,,
,,2020 - 2021,,,,,,,350.0,,9.44,,,
,,2021 - 2022,,,,,,,500.0,,9.0,,,
,,2022 - 2023,,,,,,,292.0,,10.7,,,
,Wokha,2006 - 2007,,,,,,,510.0,,9.12,,,
,,2007 - 2008,,,,,,,640.0,,8.78,,,
,,2008 - 2009,,,,,,,380.0,,9.42,,,
,,2011 - 2012,,,,,,,280.0,,9.11,,,
,,2012 - 2013,,,,,,,300.0,,9.1,,,
,,2013 - 2014,,,,,,,310.0,,9.13,,,
,,2014 - 2015,,,,,,,320.0,,9.13,,,
,,2015 - 2016,,,,,,,330.0,,9.12,,,
,,2016 - 2017,,,,,,,350.0,,9.09,,,
,,2017 - 2018,,,,,,,360.0,,9.17,,,
,,2018 - 2019,,,,,,,370.0,,9.16,,,
,,2019 - 2020,,,,,,,375.0,,9.18,,,
,,2020 - 2021,,,,,,,381.0,,9.46,,,
,,2021 - 2022,,,,,,,274.0,,7.59,,,
,,2022 - 2023,,,,,,,263.0,,10.52,,,
,Zunheboto,2006 - 2007,,,,,,,260.0,,8.46,,,
,,2007 - 2008,,,,,,,510.0,,7.06,,,
,,2008 - 2009,,,,,,,260.0,,9.31,,,
,,2011 - 2012,,,,,,,190.0,,9.11,,,
,,2012 - 2013,,,,,,,230.0,,9.13,,,
,,2013 - 2014,,,,,,,250.0,,9.12,,,
,,2014 - 2015,,,,,,,270.0,,9.15,,,
,,2015 - 2016,,,,,,,280.0,,9.11,,,
,,2016 - 2017,,,,,,,290.0,,9.17,,,
,,2017 - 2018,,,,,,,300.0,,9.13,,,
,,2018 - 2019,,,,,,,300.0,,9.13,,,
,,2019 - 2020,,,,,,,305.0,,9.12,,,
,,2020 - 2021,,,,,,,310.0,,9.43,,,
,,2021 - 2022,,,,,,,250.0,,9.21,,,
,,2022 - 2023,,,,,,,241.0,,10.5,,,
Odisha,Anugul,2000 - 2001,,,,,,,470.0,980.0,2.09,,,
,,2001 - 2002,,,,,,,470.0,940.0,2.0,,,
,,2002 - 2003,,,,,,,470.0,590.0,1.26,,,
,,2003 - 2004,,,,,,,420.0,540.0,1.29,,,
,,2004 - 2005,,,,,,,450.0,575.0,1.28,,,
,,2019 - 2020,,,,,,,460.0,,13.39,,,
,Balangir,2000 - 2001,,,,,,,190.0,230.0,1.21,,,
,,2001 - 2002,,,,,,,260.0,320.0,1.23,,,
,,2002 - 2003,,,,,,,220.0,270.0,1.23,,,
,,2003 - 2004,,,,,,,40.0,50.0,1.25,,,
,,2004 - 2005,,,,,,,47.0,58.0,1.23,,,
,,2019 - 2020,,,,,,,200.0,,14.0,,,
,Baleshwar,2000 - 2001,,,,,,,670.0,,2.07,,,
,,2001 - 2002,,,,,,,590.0,,2.07,,,
,,2002 - 2003,,,,,,,770.0,,2.06,,,
,,2003 - 2004,,,,,,,660.0,,2.06,,,
,,2004 - 2005,,,,,,,682.0,,2.06,,,
,,2019 - 2020,,,,,,,390.0,,13.41,,,
,Bargarh,2000 - 2001,,,,,,,340.0,700.0,2.06,,,
,,2001 - 2002,,,,,,,410.0,840.0,2.05,,,
,,2002 - 2003,,,,,,,620.0,,2.03,,,
,,2003 - 2004,,,,,,,650.0,,2.05,,,
,,2004 - 2005,,,,,,,669.0,,2.04,,,
,,2019 - 2020,,,,,,,240.0,,14.58,,,
,Bhadrak,2000 - 2001,,,,,,,130.0,230.0,1.77,,,
,,2001 - 2002,,,,,,,160.0,290.0,1.81,,,
,,2002 - 2003,,,,,,,90.0,180.0,2.0,,,
,,2003 - 2004,,,,,,,100.0,210.0,2.1,,,
,,2004 - 2005,,,,,,,103.0,212.0,2.06,,,
,,2019 - 2020,,,,,,,200.0,,14.0,,,
,Boudh,2001 - 2002,,,,,,,80.0,10.0,0.13,,,
,,2002 - 2003,,,,,,,200.0,410.0,2.05,,,
,,2003 - 2004,,,,,,,120.0,240.0,2.0,,,
,,2004 - 2005,,,,,,,135.0,275.0,2.04,,,
,,2019 - 2020,,,,,,,530.0,,13.21,,,
,Cuttack,2000 - 2001,,,,,,,750.0,,1.85,,,
,,2001 - 2002,,,,,,,410.0,760.0,1.85,,,
,,2002 - 2003,,,,,,,350.0,650.0,1.86,,,
,,2003 - 2004,,,,,,,650.0,,1.85,,,
,,2004 - 2005,,,,,,,461.0,852.0,1.85,,,
,,2019 - 2020,,,,,,,310.0,,11.9,,,
,Deogarh,2000 - 2001,,,,,,,100.0,190.0,1.9,,,
,,2001 - 2002,,,,,,,370.0,510.0,1.38,,,
,,2002 - 2003,,,,,,,140.0,200.0,1.43,,,
,,2003 - 2004,,,,,,,150.0,210.0,1.4,,,
,,2004 - 2005,,,,,,,164.0,231.0,1.41,,,
,,2019 - 2020,,,,,,,400.0,,14.0,,,
,Dhenkanal,2000 - 2001,,,,,,,240.0,420.0,1.75,,,
,,2001 - 2002,,,,,,,270.0,490.0,1.81,,,
,,2002 - 2003,,,,,,,270.0,490.0,1.81,,,
,,2003 - 2004,,,,,,,280.0,500.0,1.79,,,
,,2004 - 2005,,,,,,,295.0,531.0,1.8,,,
,,2019 - 2020,,,,,,,,,13.56,,,
,Gajapati,2000 - 2001,,,,,,,610.0,,2.05,,,
,,2001 - 2002,,,,,,,640.0,,2.05,,,
,,2002 - 2003,,,,,,,430.0,870.0,2.02,,,
,,2003 - 2004,,,,,,,450.0,910.0,2.02,,,
,,2004 - 2005,,,,,,,443.0,891.0,2.01,,,
,,2019 - 2020,,,,,,,460.0,,13.63,,,
,Ganjam,2000 - 2001,,,,,,,620.0,,2.05,,,
,,2001 - 2002,,,,,,,780.0,,2.05,,,
,,2002 - 2003,,,,,,,90.0,190.0,2.11,,,
,,2003 - 2004,,,,,,,120.0,250.0,2.08,,,
,,2004 - 2005,,,,,,,113.0,233.0,2.06,,,
,,2019 - 2020,,,,,,,800.0,,12.5,,,
,Jagatsinghapur,2000 - 2001,,,,,,,250.0,440.0,1.76,,,
,,2001 - 2002,,,,,,,140.0,250.0,1.79,,,
,,2002 - 2003,,,,,,,270.0,500.0,1.85,,,
,,2003 - 2004,,,,,,,230.0,430.0,1.87,,,
,,2004 - 2005,,,,,,,310.0,578.0,1.86,,,
,,2019 - 2020,,,,,,,270.0,,13.04,,,
,Jajapur,2000 - 2001,,,,,,,190.0,340.0,1.79,,,
,,2001 - 2002,,,,,,,190.0,340.0,1.79,,,
,,2002 - 2003,,,,,,,250.0,470.0,1.88,,,
,,2003 - 2004,,,,,,,250.0,470.0,1.88,,,
,,2004 - 2005,,,,,,,246.0,461.0,1.87,,,
,Jharsuguda,2000 - 2001,,,,,,,400.0,740.0,1.85,,,
,,2001 - 2002,,,,,,,580.0,,1.84,,,
,,2002 - 2003,,,,,,,520.0,960.0,1.85,,,
,,2003 - 2004,,,,,,,620.0,,1.85,,,
,,2004 - 2005,,,,,,,636.0,,1.85,,,
,,2019 - 2020,,,,,,,580.0,,14.22,,,
,Kalahandi,2000 - 2001,,,,,,,90.0,160.0,1.78,,,
,,2001 - 2002,,,,,,,220.0,380.0,1.73,,,
,,2002 - 2003,,,,,,,50.0,90.0,1.8,,,
,,2003 - 2004,,,,,,,80.0,150.0,1.88,,,
,,2004 - 2005,,,,,,,72.0,132.0,1.83,,,
,,2019 - 2020,,,,,,,100.0,,15.7,,,
,Kandhamal,2000 - 2001,,,,,,,,,2.07,,,
,,2001 - 2002,,,,,,,,,2.05,,,
,,2002 - 2003,,,,,,,,,2.06,,,
,,2003 - 2004,,,,,,,,,2.06,,,
,,2004 - 2005,,,,,,,,,2.06,,,
,,2019 - 2020,,,,,,,,,13.97,,,
,Kendrapara,2000 - 2001,,,,,,,420.0,750.0,1.79,,,
,,2001 - 2002,,,,,,,240.0,420.0,1.75,,,
,,2002 - 2003,,,,,,,380.0,710.0,1.87,,,
,,2003 - 2004,,,,,,,390.0,720.0,1.85,,,
,,2004 - 2005,,,,,,,318.0,590.0,1.86,,,
,,2019 - 2020,,,,,,,300.0,,13.33,,,
,Kendujhar,2000 - 2001,,,,,,,710.0,,2.04,,,
,,2001 - 2002,,,,,,,730.0,,2.04,,,
,,2002 - 2003,,,,,,,,,2.04,,,
,,2003 - 2004,,,,,,,,,2.04,,,
,,2004 - 2005,,,,,,,,,2.04,,,
,,2019 - 2020,,,,,,,720.0,,12.08,,,
,Khordha,2000 - 2001,,,,,,,10.0,20.0,2.0,,,
,,2001 - 2002,,,,,,,20.0,40.0,2.0,,,
,,2002 - 2003,,,,,,,550.0,,1.82,,,
,,2003 - 2004,,,,,,,350.0,640.0,1.83,,,
,,2004 - 2005,,,,,,,367.0,668.0,1.82,,,
,,2019 - 2020,,,,,,,350.0,,10.86,,,
,Koraput,2000 - 2001,,,,,,,,,2.07,,,
,,2001 - 2002,,,,,,,,,2.06,,,
,,2002 - 2003,,,,,,,,,2.02,,,
,,2003 - 2004,,,,,,,,,2.01,,,
,,2004 - 2005,,,,,,,,,2.01,,,
,,2019 - 2020,,,,,,,,,12.99,,,
,Malkangiri,2000 - 2001,,,,,,,130.0,230.0,1.77,,,
,,2001 - 2002,,,,,,,250.0,450.0,1.8,,,
,,2002 - 2003,,,,,,,250.0,470.0,1.88,,,
,,2003 - 2004,,,,,,,180.0,340.0,1.89,,,
,,2004 - 2005,,,,,,,244.0,461.0,1.89,,,
,,2019 - 2020,,,,,,,250.0,,10.24,,,
,Mayurbhanj,2000 - 2001,,,,,,,,,2.06,,,
,,2001 - 2002,,,,,,,890.0,,2.07,,,
,,2002 - 2003,,,,,,,600.0,,1.78,,,
,,2003 - 2004,,,,,,,550.0,980.0,1.78,,,
,,2004 - 2005,,,,,,,585.0,,1.78,,,
,,2019 - 2020,,,,,,,470.0,,12.26,,,
,Nabarangpur,2000 - 2001,,,,,,,100.0,190.0,1.9,,,
,,2001 - 2002,,,,,,,220.0,410.0,1.86,,,
,,2002 - 2003,,,,,,,140.0,260.0,1.86,,,
,,2003 - 2004,,,,,,,140.0,260.0,1.86,,,
,,2004 - 2005,,,,,,,129.0,239.0,1.85,,,
,,2019 - 2020,,,,,,,280.0,,13.93,,,
,Nayagarh,2000 - 2001,,,,,,,130.0,230.0,1.77,,,
,,2001 - 2002,,,,,,,150.0,270.0,1.8,,,
,,2002 - 2003,,,,,,,860.0,,1.83,,,
,,2003 - 2004,,,,,,,460.0,840.0,1.83,,,
,,2004 - 2005,,,,,,,486.0,889.0,1.83,,,
,,2019 - 2020,,,,,,,80.0,,13.38,,,
,Nuapada,2000 - 2001,,,,,,,40.0,70.0,1.75,,,
,,2001 - 2002,,,,,,,80.0,130.0,1.63,,,
,,2002 - 2003,,,,,,,80.0,140.0,1.75,,,
,,2003 - 2004,,,,,,,160.0,290.0,1.81,,,
,,2004 - 2005,,,,,,,125.0,225.0,1.8,,,
,,2019 - 2020,,,,,,,130.0,,13.54,,,
,Puri,2000 - 2001,,,,,,,20.0,80.0,4.0,,,
,,2001 - 2002,,,,,,,20.0,40.0,2.0,,,
,,2002 - 2003,,,,,,,20.0,40.0,2.0,,,
,,2003 - 2004,,,,,,,30.0,40.0,1.33,,,
,,2004 - 2005,,,,,,,33.0,57.0,1.73,,,
,,2019 - 2020,,,,,,,50.0,700.0,14.0,,,
,Rayagada,2000 - 2001,,,,,,,260.0,470.0,1.81,,,
,,2001 - 2002,,,,,,,480.0,860.0,1.79,,,
,,2002 - 2003,,,,,,,480.0,910.0,1.9,,,
,,2003 - 2004,,,,,,,250.0,470.0,1.88,,,
,,2004 - 2005,,,,,,,294.0,555.0,1.89,,,
,,2019 - 2020,,,,,,,630.0,,14.21,,,
,Sambalpur,2000 - 2001,,,,,,,410.0,790.0,1.93,,,
,,2001 - 2002,,,,,,,430.0,830.0,1.93,,,
,,2002 - 2003,,,,,,,580.0,,1.9,,,
,,2003 - 2004,,,,,,,600.0,,1.88,,,
,,2004 - 2005,,,,,,,697.0,,1.89,,,
,,2019 - 2020,,,,,,,390.0,,15.0,,,
,Sonepur,2001 - 2002,,,,,,,80.0,150.0,1.88,,,
,,2002 - 2003,,,,,,,10.0,10.0,1.0,,,
,,2003 - 2004,,,,,,,20.0,20.0,1.0,,,
,,2004 - 2005,,,,,,,22.0,26.0,1.18,,,
,,2019 - 2020,,,,,,,50.0,760.0,15.2,,,
,Sundargarh,2000 - 2001,,,,,,,590.0,,2.0,,,
,,2001 - 2002,,,,,,,610.0,,2.02,,,
,,2002 - 2003,,,,,,,730.0,,1.89,,,
,,2003 - 2004,,,,,,,530.0,,1.89,,,
,,2004 - 2005,,,,,,,552.0,,1.89,,,
,,2019 - 2020,,,,,,,800.0,,14.0,,,
Puducherry,Karaikal,2000 - 2001,,,,,,,103.0,52.0,0.5,,,
,,2001 - 2002,,,,,,,38.0,4.0,0.11,,,
,,2003 - 2004,,,,,,,38.0,4.0,0.11,,,
,Mahe,2000 - 2001,,,,,,,21.0,13.0,0.62,,,
,Pondicherry,2000 - 2001,,,,,,,103.0,52.0,0.5,,,
,,2001 - 2002,,,,,,,133.0,85.0,0.64,,,
,,2003 - 2004,,,,,,,149.0,152.0,1.02,,,
Rajasthan,Ajmer,2021 - 2022,4.0,10.0,2.5,,,,,,,,,
,Alwar,2003 - 2004,,,,,,,1.0,1.0,1.0,,,
,,2020 - 2021,10.0,20.0,2.0,,,,,,,,,
,Banswara,2001 - 2002,,,,,,,2.0,1.0,0.5,,,
,,2007 - 2008,,,,,,,1.0,,0.0,,,
,,2008 - 2009,,,,,,,13.0,4.0,0.31,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,,,,
,Baran,2000 - 2001,,,,,,,1.0,1.0,1.0,,,
,,2001 - 2002,,,,,,,5.0,5.0,1.0,,,
,,2002 - 2003,,,,,,,4.0,2.0,0.5,,,
,,2003 - 2004,,,,,,,2.0,4.0,2.0,,,
,,2004 - 2005,,,,,,,4.0,16.0,4.0,,,
,,2005 - 2006,,,,,,,10.0,33.0,3.3,,,
,,2006 - 2007,,,,,,,24.0,63.0,2.63,,,
,,2007 - 2008,,,,,,,17.0,37.0,2.18,,,
,,2008 - 2009,,,,,,,9.0,25.0,2.78,,,
,,2009 - 2010,,,,,,,9.0,30.0,3.33,,,
,,2010 - 2011,,,,,,,27.0,33.0,1.22,,,
,,2011 - 2012,,,,,,,12.0,20.0,1.67,,,
,,2012 - 2013,,,,,,,5.0,4.0,0.8,,,
,,2013 - 2014,,,,,,,3.0,4.0,1.33,,,
,,2014 - 2015,,,,,,,1.0,,0.0,,,
,,2021 - 2022,4.0,8.0,2.0,,,,,,,,,
,,2022 - 2023,3.0,0.0,0.0,,,,,,,,,
,Bhilwara,2013 - 2014,,,,,,,1.0,,0.0,,,
,Chittorgarh,2006 - 2007,,,,,,,1.0,,0.0,,,
,,2014 - 2015,,,,,,,1.0,1.0,1.0,,,
,,2015 - 2016,1.0,2.0,2.0,,,,,,,,,
,,2016 - 2017,1.0,2.0,2.0,,,,,,,,,
,Dungarpur,2000 - 2001,,,,,,,14.0,9.0,0.64,,,
,,2001 - 2002,,,,,,,2.0,12.0,6.0,,,
,,2002 - 2003,,,,,,,4.0,24.0,6.0,,,
,,2003 - 2004,,,,,,,2.0,12.0,6.0,,,
,,2004 - 2005,,,,,,,3.0,18.0,6.0,,,
,,2006 - 2007,,,,,,,1.0,6.0,6.0,,,
,,2008 - 2009,,,,,,,25.0,126.0,5.04,,,
,,2009 - 2010,,,,,,,25.0,126.0,5.04,,,
,,2010 - 2011,,,,,,,24.0,144.0,6.0,,,
,,2011 - 2012,,,,,,,9.0,42.0,4.67,,,
,,2012 - 2013,,,,,,,10.0,60.0,6.0,,,
,,2013 - 2014,,,,,,,13.0,72.0,5.54,,,
,,2014 - 2015,,,,,,,10.0,60.0,6.0,,,
,,2015 - 2016,19.0,114.0,6.0,,,,,,,,,
,,2016 - 2017,16.0,96.0,6.0,,,,,,,,,
,,2017 - 2018,12.0,72.0,6.0,,,,,,,,,
,,2018 - 2019,47.0,282.0,6.0,,,,,,,,,
,,2019 - 2020,28.0,120.0,4.29,,,,,,,,,
,,2020 - 2021,38.0,228.0,6.0,,,,,,,,,
,,2021 - 2022,36.0,186.0,5.17,,,,,,,,,
,,2022 - 2023,10.0,18.0,1.8,,,,,,,,,
,Jhalawar,2000 - 2001,,,,,,,1.0,1.0,1.0,,,
,,2001 - 2002,,,,,,,1.0,1.0,1.0,,,
,,2005 - 2006,,,,,,,1.0,1.0,1.0,,,
,,2006 - 2007,,,,,,,1.0,1.0,1.0,,,
,,2015 - 2016,1.0,,0.0,,,,,,,,,
,,2021 - 2022,2.0,0.0,0.0,,,,,,,,,
,Kota,2003 - 2004,,,,,,,3.0,5.0,1.67,,,
,,2014 - 2015,,,,,,,5.0,15.0,3.0,,,
,,2021 - 2022,1.0,0.0,0.0,,,,,,,,,
,Pratapgarh,2008 - 2009,,,,,,,2.0,,0.0,,,
,,2016 - 2017,8.0,12.0,1.5,,,,,,,,,
,,2017 - 2018,10.0,15.0,1.5,,,,,,,,,
,,2018 - 2019,8.0,12.0,1.5,,,,,,,,,
,,2019 - 2020,8.0,5.0,0.63,,,,,,,,,
,,2020 - 2021,15.0,23.0,1.53,,,,,,,,,
,,2021 - 2022,4.0,6.0,1.5,,,,,,,,,
,,2022 - 2023,3.0,3.0,1.0,,,,,,,,,
,Rajsamand,2012 - 2013,,,,,,,1.0,1.0,1.0,,,
,Sawai madhopur,2007 - 2008,,,,,,,1.0,,0.0,,,
,Udaipur,2000 - 2001,,,,,,,345.0,970.0,2.81,,,
,,2001 - 2002,,,,,,,251.0,,4.31,,,
,,2002 - 2003,,,,,,,173.0,614.0,3.55,,,
,,2003 - 2004,,,,,,,127.0,561.0,4.42,,,
,,2004 - 2005,,,,,,,79.0,140.0,1.77,,,
,,2005 - 2006,,,,,,,94.0,175.0,1.86,,,
,,2006 - 2007,,,,,,,122.0,107.0,0.88,,,
,,2007 - 2008,,,,,,,112.0,224.0,2.0,,,
,,2008 - 2009,,,,,,,114.0,207.0,1.82,,,
,,2009 - 2010,,,,,,,133.0,316.0,2.38,,,
,,2010 - 2011,,,,,,,159.0,282.0,1.77,,,
,,2011 - 2012,,,,,,,185.0,,0.0,,,
,,2012 - 2013,,,,,,,148.0,251.0,1.7,,,
,,2013 - 2014,,,,,,,106.0,170.0,1.6,,,
,,2014 - 2015,,,,,,,103.0,154.0,1.5,,,
,,2015 - 2016,109.0,173.0,1.59,,,,,,,,,
,,2016 - 2017,84.0,155.0,1.85,,,,,,,,,
,,2017 - 2018,91.0,182.0,2.0,,,,,,,,,
,,2018 - 2019,82.0,166.0,2.02,,,,,,,,,
,,2019 - 2020,71.0,248.0,3.49,,,,,,,,,
,,2020 - 2021,31.0,48.0,1.55,,,,,,,,,
,,2021 - 2022,63.0,124.0,1.97,,,,,,,,,
,,2022 - 2023,54.0,75.0,1.39,,,,,,,,,
Tamil Nadu,Chengalpattu,2021 - 2022,0.1,3.0,30.0,,,,,,,,,
,Coimbatore,2004 - 2005,,,,,,,1.0,19.0,19.0,,,
,,2008 - 2009,2.0,40.0,20.0,,,,,,,,,
,,2009 - 2010,2.0,32.0,16.0,,,,,,,,,
,,2011 - 2012,1.0,11.0,11.0,,,,,,,,,
,,2014 - 2015,5.0,21.0,4.2,,,,,,,,,
,,2015 - 2016,4.0,35.0,8.75,,,,,,,,,
,,2016 - 2017,2.0,43.0,21.5,,,,,,,,,
,,2017 - 2018,12.0,234.0,19.5,,,,,,,,,
,,2018 - 2019,12.0,232.0,19.33,,,,,,,,,
,,2019 - 2020,15.0,231.0,15.4,,,,,,,,,
,,2020 - 2021,22.0,411.0,18.68,,,,,,,,,
,,2021 - 2022,16.0,593.0,37.06,,,,,,,,,
,,2022 - 2023,11.0,347.0,31.55,,,,,,,,,
,Dharmapuri,2002 - 2003,1.0,16.0,16.0,,,,,,,,,
,,2015 - 2016,1.0,9.0,9.0,,,,,,,,,
,Dindigul,2000 - 2001,,,,,,,27.0,715.0,26.48,,,
,,2002 - 2003,2.0,32.0,16.0,,,,,,,,,
,,2003 - 2004,,,,,,,5.0,71.0,14.2,,,
,,2004 - 2005,,,,,,,3.0,58.0,19.33,,,
,,2005 - 2006,,,,,,,2.0,39.0,19.5,,,
,,2006 - 2007,2.0,37.0,18.5,,,,,,,,,
,,2007 - 2008,3.0,56.0,18.67,,,,,,,,,
,,2008 - 2009,16.0,320.0,20.0,,,,,,,,,
,,2009 - 2010,17.0,273.0,16.06,,,,,,,,,
,,2011 - 2012,1.0,11.0,11.0,,,,,,,,,
,,2016 - 2017,1.0,26.0,26.0,,,,,,,,,
,,2017 - 2018,1.0,20.0,20.0,,,,,,,,,
,,2018 - 2019,1.0,25.0,25.0,,,,,,,,,
,,2020 - 2021,5.0,90.0,18.0,,,,,,,,,
,,2021 - 2022,5.0,118.0,23.6,,,,,,,,,
,,2022 - 2023,5.0,120.0,24.0,,,,,,,,,
,Erode,2000 - 2001,,,,,,,4.0,106.0,26.5,,,
,,2005 - 2006,,,,,,,3.0,58.0,19.33,,,
,,2006 - 2007,11.0,205.0,18.64,,,,,,,,,
,,2007 - 2008,14.0,267.0,19.07,,,,,,,,,
,,2008 - 2009,5.0,100.0,20.0,,,,,,,,,
,,2009 - 2010,3.0,48.0,16.0,,,,,,,,,
,,2011 - 2012,4.0,44.0,11.0,,,,,,,,,
,,2013 - 2014,3.0,21.0,7.0,,,,,,,,,
,,2014 - 2015,11.0,47.0,4.27,,,,,,,,,
,,2015 - 2016,11.0,97.0,8.82,,,,,,,,,
,,2016 - 2017,7.0,108.0,15.43,,,,,,,,,
,,2017 - 2018,8.0,156.0,19.5,,,,,,,,,
,,2018 - 2019,21.0,398.0,18.95,,,,,,,,,
,,2019 - 2020,17.0,262.0,15.41,,,,,,,,,
,,2020 - 2021,38.0,718.0,18.89,,,,,,,,,
,,2021 - 2022,42.0,,26.14,,,,,,,,,
,,2022 - 2023,19.0,459.0,24.16,,,,,,,,,
,Kanniyakumari,2000 - 2001,,,,,,,2.0,53.0,26.5,,,
,,2002 - 2003,17.0,273.0,16.06,,,,,,,,,
,,2003 - 2004,,,,,,,13.0,184.0,14.15,,,
,,2004 - 2005,,,,,,,5.0,97.0,19.4,,,
,,2005 - 2006,,,,,,,11.0,212.0,19.27,,,
,,2006 - 2007,9.0,168.0,18.67,,,,,,,,,
,,2007 - 2008,15.0,286.0,19.07,,,,,,,,,
,,2008 - 2009,73.0,,20.0,,,,,,,,,
,,2009 - 2010,14.0,225.0,16.07,,,,,,,,,
,,2011 - 2012,10.0,110.0,11.0,,,,,,,,,
,,2013 - 2014,5.0,35.0,7.0,,,,,,,,,
,,2014 - 2015,7.0,30.0,4.29,,,,,,,,,
,,2015 - 2016,6.0,53.0,8.83,,,,,,,,,
,,2016 - 2017,6.0,144.0,24.0,,,,,,,,,
,,2017 - 2018,4.0,78.0,19.5,,,,,,,,,
,,2018 - 2019,2.0,37.0,18.5,,,,,,,,,
,,2019 - 2020,3.0,34.0,11.33,,,,,,,,,
,,2020 - 2021,2.0,41.0,20.5,,,,,,,,,
,,2021 - 2022,3.0,69.0,23.0,,,,,,,,,
,,2022 - 2023,1.0,48.0,48.0,,,,,,,,,
,Krishnagiri,2002 - 2003,2.0,32.0,16.0,,,,,,,,,
,,2004 - 2005,,,,,,,2.0,39.0,19.5,,,
,,2005 - 2006,,,,,,,2.0,39.0,19.5,,,
,,2006 - 2007,1.0,19.0,19.0,,,,,,,,,
,,2007 - 2008,1.0,19.0,19.0,,,,,,,,,
,,2008 - 2009,1.0,20.0,20.0,,,,,,,,,
,,2014 - 2015,1.0,4.0,4.0,,,,,,,,,
,,2015 - 2016,1.0,9.0,9.0,,,,,,,,,
,,2020 - 2021,3.0,57.0,19.0,,,,,,,,,
,,2021 - 2022,2.0,50.0,25.0,,,,,,,,,
,,2022 - 2023,2.0,48.0,24.0,,,,,,,,,
,Mayiladuthurai,2021 - 2022,0.44,11.0,25.0,,,,,,,,,
,Namakkal,2002 - 2003,10.0,160.0,16.0,,,,,,,,,
,,2003 - 2004,,,,,,,11.0,156.0,14.18,,,
,,2006 - 2007,32.0,596.0,18.63,,,,,,,,,
,,2011 - 2012,186.0,,11.04,,,,,,,,,
,,2015 - 2016,1.0,9.0,9.0,,,,,,,,,
,Pudukkottai,2021 - 2022,0.13,3.0,23.08,,,,,,,,,
,Salem,2002 - 2003,1.0,16.0,16.0,,,,,,,,,
,,2008 - 2009,1.0,20.0,20.0,,,,,,,,,
,,2011 - 2012,1.0,11.0,11.0,,,,,,,,,
,,2015 - 2016,2.0,18.0,9.0,,,,,,,,,
,,2016 - 2017,1.0,22.0,22.0,,,,,,,,,
,,2018 - 2019,1.0,19.0,19.0,,,,,,,,,
,,2019 - 2020,1.0,16.0,16.0,,,,,,,,,
,,2020 - 2021,16.0,306.0,19.13,,,,,,,,,
,,2021 - 2022,2.0,33.0,16.5,,,,,,,,,
,,2022 - 2023,11.0,263.0,23.91,,,,,,,,,
,Thanjavur,2002 - 2003,2.0,32.0,16.0,,,,,,,,,
,,2003 - 2004,,,,,,,1.0,14.0,14.0,,,
,,2004 - 2005,,,,,,,1.0,19.0,19.0,,,
,,2005 - 2006,,,,,,,12.0,232.0,19.33,,,
,,2006 - 2007,3.0,56.0,18.67,,,,,,,,,
,,2007 - 2008,3.0,57.0,19.0,,,,,,,,,
,,2008 - 2009,5.0,100.0,20.0,,,,,,,,,
,,2011 - 2012,6.0,66.0,11.0,,,,,,,,,
,,2013 - 2014,2.0,14.0,7.0,,,,,,,,,
,,2014 - 2015,1.0,4.0,4.0,,,,,,,,,
,,2015 - 2016,7.0,62.0,8.86,,,,,,,,,
