state,district,year,sannhamp_whole_year_area_hectare,sannhamp_whole_year_production_tonne,sannhamp_whole_year_yield_tonne_per_hectare,sannhamp_kharif_area_hectare,sannhamp_kharif_production_tonne,sannhamp_kharif_yield_tonne_per_hectare,sannhamp_rabi_area_hectare,sannhamp_rabi_production_tonne,sannhamp_rabi_yield_tonne_per_hectare,sannhamp_winter_area_hectare,sannhamp_winter_production_tonne,sannhamp_winter_yield_tonne_per_hectare
,,2003 - 2004,212.0,428.0,2.02,,,,,,,,,
,,2007 - 2008,,,,168.0,372.0,2.21,,,,,,
,,2008 - 2009,,,,148.0,61.0,0.41,,,,,,
,,2009 - 2010,127.0,52.0,0.41,,,,,,,,,
,,2010 - 2011,132.0,300.0,2.27,,,,,,,,,
,,2011 - 2012,,,,80.0,139.0,1.74,,,,,,
,,2012 - 2013,,,,62.0,144.0,2.32,,,,,,
,,2013 - 2014,,,,71.0,217.0,3.06,,,,,,
,Dindori,2000 - 2001,32.0,33.0,1.03,,,,,,,,,
,,2001 - 2002,36.0,56.0,1.56,,,,,,,,,
,,2002 - 2003,38.0,50.0,1.32,,,,,,,,,
,,2003 - 2004,35.0,44.0,1.26,,,,,,,,,
,,2007 - 2008,,,,6.0,1.0,0.17,,,,,,
,,2008 - 2009,,,,15.0,3.0,0.2,,,,,,
,,2009 - 2010,12.0,2.0,0.17,,,,,,,,,
,,2010 - 2011,16.0,17.0,1.06,,,,,,,,,
,,2011 - 2012,,,,10.0,6.0,0.6,,,,,,
,,2012 - 2013,,,,7.0,6.0,0.86,,,,,,
,,2013 - 2014,,,,15.0,22.0,1.47,,,,,,
,Guna,2000 - 2001,13.0,33.0,2.54,,,,,,,,,
,,2001 - 2002,9.0,22.0,2.44,,,,,,,,,
,,2002 - 2003,10.0,11.0,1.1,,,,,,,,,
,,2003 - 2004,9.0,22.0,2.44,,,,,,,,,
,,2007 - 2008,,,,5.0,2.0,0.4,,,,,,
,,2008 - 2009,,,,18.0,7.0,0.39,,,,,,
,Gwalior,2000 - 2001,10.0,28.0,2.8,,,,,,,,,
,,2003 - 2004,5.0,17.0,3.4,,,,,,,,,
,,2008 - 2009,,,,2.0,1.0,0.5,,,,,,
,,2013 - 2014,,,,5.0,5.0,1.0,,,,,,
,Harda,2000 - 2001,1.0,,0.0,,,,,,,,,
,,2001 - 2002,2.0,5.0,2.5,,,,,,,,,
,,2002 - 2003,3.0,6.0,2.0,,,,,,,,,
,Hoshangabad,2000 - 2001,6.0,11.0,1.83,,,,,,,,,
,,2001 - 2002,6.0,11.0,1.83,,,,,,,,,
,,2002 - 2003,31.0,72.0,2.32,,,,,,,,,
,,2003 - 2004,6.0,17.0,2.83,,,,,,,,,
,,2009 - 2010,2.0,1.0,0.5,,,,,,,,,
,Indore,2000 - 2001,8.0,6.0,0.75,,,,,,,,,
,,2002 - 2003,5.0,11.0,2.2,,,,,,,,,
,,2011 - 2012,,,,5.0,6.0,1.2,,,,,,
,,2012 - 2013,,,,1.0,,0.0,,,,,,
,Jabalpur,2000 - 2001,43.0,67.0,1.56,,,,,,,,,
,,2001 - 2002,54.0,11.0,0.2,,,,,,,,,
,,2002 - 2003,39.0,89.0,2.28,,,,,,,,,
,,2003 - 2004,41.0,95.0,2.32,,,,,,,,,
,,2007 - 2008,,,,32.0,9.0,0.28,,,,,,
,,2008 - 2009,,,,32.0,16.0,0.5,,,,,,
,,2009 - 2010,31.0,14.0,0.45,,,,,,,,,
,,2010 - 2011,21.0,50.0,2.38,,,,,,,,,
,,2011 - 2012,,,,20.0,44.0,2.2,,,,,,
,,2012 - 2013,,,,15.0,39.0,2.6,,,,,,
,,2013 - 2014,,,,8.0,17.0,2.13,,,,,,
,Jhabua,2000 - 2001,133.0,272.0,2.05,,,,,,,,,
,,2001 - 2002,152.0,222.0,1.46,,,,,,,,,
,,2002 - 2003,159.0,144.0,0.91,,,,,,,,,
,,2003 - 2004,212.0,450.0,2.12,,,,,,,,,
,,2007 - 2008,,,,150.0,267.0,1.78,,,,,,
,,2008 - 2009,,,,73.0,34.0,0.47,,,,,,
,,2009 - 2010,81.0,31.0,0.38,,,,,,,,,
,,2010 - 2011,75.0,172.0,2.29,,,,,,,,,
,,2011 - 2012,,,,59.0,94.0,1.59,,,,,,
,,2012 - 2013,,,,51.0,94.0,1.84,,,,,,
,,2013 - 2014,,,,42.0,78.0,1.86,,,,,,
,Katni,2000 - 2001,10.0,17.0,1.7,,,,,,,,,
,,2001 - 2002,13.0,27.0,2.08,,,,,,,,,
,,2002 - 2003,8.0,17.0,2.13,,,,,,,,,
,,2003 - 2004,6.0,11.0,1.83,,,,,,,,,
,,2007 - 2008,,,,1.0,,0.0,,,,,,
,,2008 - 2009,,,,2.0,,0.0,,,,,,
,,2013 - 2014,,,,5.0,5.0,1.0,,,,,,
,Khandwa,2000 - 2001,467.0,511.0,1.09,,,,,,,,,
,,2001 - 2002,283.0,378.0,1.34,,,,,,,,,
,,2002 - 2003,298.0,500.0,1.68,,,,,,,,,
,,2003 - 2004,210.0,422.0,2.01,,,,,,,,,
,,2007 - 2008,,,,122.0,344.0,2.82,,,,,,
,,2008 - 2009,,,,137.0,58.0,0.42,,,,,,
,,2009 - 2010,117.0,46.0,0.39,,,,,,,,,
,,2010 - 2011,122.0,244.0,2.0,,,,,,,,,
,,2011 - 2012,,,,86.0,161.0,1.87,,,,,,
,,2012 - 2013,,,,64.0,100.0,1.56,,,,,,
,,2013 - 2014,,,,31.0,50.0,1.61,,,,,,
,Khargone,2000 - 2001,573.0,539.0,0.94,,,,,,,,,
,,2001 - 2002,574.0,883.0,1.54,,,,,,,,,
,,2002 - 2003,567.0,,2.01,,,,,,,,,
,,2003 - 2004,521.0,994.0,1.91,,,,,,,,,
,,2007 - 2008,,,,409.0,928.0,2.27,,,,,,
,,2008 - 2009,,,,401.0,128.0,0.32,,,,,,
,,2009 - 2010,367.0,125.0,0.34,,,,,,,,,
,,2010 - 2011,291.0,556.0,1.91,,,,,,,,,
,,2011 - 2012,,,,121.0,128.0,1.06,,,,,,
,,2012 - 2013,,,,100.0,139.0,1.39,,,,,,
,,2013 - 2014,,,,129.0,211.0,1.64,,,,,,
,Mandla,2000 - 2001,234.0,189.0,0.81,,,,,,,,,
,,2001 - 2002,244.0,367.0,1.5,,,,,,,,,
,,2002 - 2003,233.0,344.0,1.48,,,,,,,,,
,,2003 - 2004,367.0,578.0,1.57,,,,,,,,,
,,2007 - 2008,,,,268.0,77.0,0.29,,,,,,
,,2008 - 2009,,,,270.0,78.0,0.29,,,,,,
,,2009 - 2010,238.0,64.0,0.27,,,,,,,,,
,,2010 - 2011,261.0,439.0,1.68,,,,,,,,,
,,2011 - 2012,,,,361.0,389.0,1.08,,,,,,
,,2012 - 2013,,,,219.0,394.0,1.8,,,,,,
,,2013 - 2014,,,,190.0,411.0,2.16,,,,,,
,Mandsaur,2000 - 2001,23.0,34.0,1.48,,,,,,,,,
,,2001 - 2002,8.0,17.0,2.13,,,,,,,,,
,,2002 - 2003,8.0,11.0,1.38,,,,,,,,,
,,2003 - 2004,2.0,6.0,3.0,,,,,,,,,
,,2012 - 2013,,,,5.0,17.0,3.4,,,,,,
,Morena,2000 - 2001,21.0,44.0,2.1,,,,,,,,,
,,2001 - 2002,7.0,17.0,2.43,,,,,,,,,
,,2002 - 2003,33.0,56.0,1.7,,,,,,,,,
,,2003 - 2004,3.0,5.0,1.67,,,,,,,,,
,,2007 - 2008,,,,4.0,1.0,0.25,,,,,,
,Narsinghpur,2000 - 2001,47.0,128.0,2.72,,,,,,,,,
,,2001 - 2002,41.0,133.0,3.24,,,,,,,,,
,,2002 - 2003,18.0,39.0,2.17,,,,,,,,,
,,2003 - 2004,19.0,61.0,3.21,,,,,,,,,
,,2007 - 2008,,,,11.0,6.0,0.55,,,,,,
,,2008 - 2009,,,,22.0,11.0,0.5,,,,,,
,,2009 - 2010,17.0,10.0,0.59,,,,,,,,,
,,2010 - 2011,3.0,11.0,3.67,,,,,,,,,
,,2011 - 2012,,,,3.0,6.0,2.0,,,,,,
,,2012 - 2013,,,,15.0,45.0,3.0,,,,,,
,,2013 - 2014,,,,3.0,11.0,3.67,,,,,,
,Neemuch,2000 - 2001,19.0,39.0,2.05,,,,,,,,,
,,2001 - 2002,34.0,78.0,2.29,,,,,,,,,
,,2002 - 2003,15.0,22.0,1.47,,,,,,,,,
,,2003 - 2004,15.0,44.0,2.93,,,,,,,,,
,,2007 - 2008,,,,7.0,3.0,0.43,,,,,,
,,2008 - 2009,,,,14.0,6.0,0.43,,,,,,
,,2009 - 2010,3.0,1.0,0.33,,,,,,,,,
,,2010 - 2011,6.0,11.0,1.83,,,,,,,,,
,,2011 - 2012,,,,7.0,11.0,1.57,,,,,,
,,2012 - 2013,,,,2.0,5.0,2.5,,,,,,
,,2013 - 2014,,,,2.0,6.0,3.0,,,,,,
,Panna,2000 - 2001,126.0,155.0,1.23,,,,,,,,,
,,2001 - 2002,61.0,111.0,1.82,,,,,,,,,
,,2002 - 2003,81.0,78.0,0.96,,,,,,,,,
,,2003 - 2004,54.0,100.0,1.85,,,,,,,,,
,,2007 - 2008,,,,108.0,25.0,0.23,,,,,,
,,2008 - 2009,,,,89.0,29.0,0.33,,,,,,
,,2009 - 2010,43.0,14.0,0.33,,,,,,,,,
,,2010 - 2011,47.0,111.0,2.36,,,,,,,,,
,,2011 - 2012,,,,71.0,100.0,1.41,,,,,,
,,2012 - 2013,,,,90.0,128.0,1.42,,,,,,
,,2013 - 2014,,,,78.0,311.0,3.99,,,,,,
,Raisen,2000 - 2001,19.0,45.0,2.37,,,,,,,,,
,,2001 - 2002,23.0,39.0,1.7,,,,,,,,,
,,2002 - 2003,19.0,33.0,1.74,,,,,,,,,
,,2003 - 2004,11.0,22.0,2.0,,,,,,,,,
,,2007 - 2008,,,,39.0,13.0,0.33,,,,,,
,,2008 - 2009,,,,21.0,7.0,0.33,,,,,,
,,2009 - 2010,32.0,11.0,0.34,,,,,,,,,
,,2010 - 2011,7.0,11.0,1.57,,,,,,,,,
,,2011 - 2012,,,,4.0,5.0,1.25,,,,,,
,,2012 - 2013,,,,5.0,6.0,1.2,,,,,,
,Rajgarh,2000 - 2001,89.0,83.0,0.93,,,,,,,,,
,,2001 - 2002,78.0,128.0,1.64,,,,,,,,,
,,2002 - 2003,80.0,72.0,0.9,,,,,,,,,
,,2003 - 2004,60.0,133.0,2.22,,,,,,,,,
,,2007 - 2008,,,,44.0,20.0,0.45,,,,,,
,,2008 - 2009,,,,36.0,15.0,0.42,,,,,,
,,2009 - 2010,26.0,10.0,0.38,,,,,,,,,
,,2010 - 2011,26.0,67.0,2.58,,,,,,,,,
,,2011 - 2012,,,,22.0,39.0,1.77,,,,,,
,,2012 - 2013,,,,16.0,45.0,2.81,,,,,,
,,2013 - 2014,,,,13.0,5.0,0.38,,,,,,
,Ratlam,2000 - 2001,15.0,33.0,2.2,,,,,,,,,
,,2001 - 2002,9.0,11.0,1.22,,,,,,,,,
,,2002 - 2003,10.0,11.0,1.1,,,,,,,,,
,,2003 - 2004,10.0,22.0,2.2,,,,,,,,,
,,2007 - 2008,,,,3.0,1.0,0.33,,,,,,
,,2008 - 2009,,,,14.0,6.0,0.43,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,5.0,11.0,2.2,,,,,,
,,2012 - 2013,,,,2.0,6.0,3.0,,,,,,
,,2013 - 2014,,,,3.0,11.0,3.67,,,,,,
,Rewa,2000 - 2001,126.0,244.0,1.94,,,,,,,,,
,,2001 - 2002,114.0,222.0,1.95,,,,,,,,,
,,2002 - 2003,131.0,256.0,1.95,,,,,,,,,
,,2003 - 2004,121.0,189.0,1.56,,,,,,,,,
,,2007 - 2008,,,,98.0,34.0,0.35,,,,,,
,,2008 - 2009,,,,104.0,39.0,0.38,,,,,,
,,2009 - 2010,89.0,31.0,0.35,,,,,,,,,
,,2010 - 2011,53.0,122.0,2.3,,,,,,,,,
,,2011 - 2012,,,,41.0,56.0,1.37,,,,,,
,,2012 - 2013,,,,35.0,56.0,1.6,,,,,,
,,2013 - 2014,,,,27.0,55.0,2.04,,,,,,
,Sagar,2000 - 2001,132.0,283.0,2.14,,,,,,,,,
,,2001 - 2002,134.0,261.0,1.95,,,,,,,,,
,,2002 - 2003,67.0,100.0,1.49,,,,,,,,,
,,2003 - 2004,108.0,233.0,2.16,,,,,,,,,
,,2007 - 2008,,,,35.0,13.0,0.37,,,,,,
,,2008 - 2009,,,,41.0,16.0,0.39,,,,,,
,,2009 - 2010,38.0,19.0,0.5,,,,,,,,,
,,2010 - 2011,21.0,50.0,2.38,,,,,,,,,
,,2011 - 2012,,,,29.0,44.0,1.52,,,,,,
,,2012 - 2013,,,,30.0,72.0,2.4,,,,,,
,,2013 - 2014,,,,19.0,67.0,3.53,,,,,,
,Satna,2000 - 2001,57.0,106.0,1.86,,,,,,,,,
,,2001 - 2002,59.0,128.0,2.17,,,,,,,,,
,,2002 - 2003,72.0,111.0,1.54,,,,,,,,,
,,2003 - 2004,74.0,133.0,1.8,,,,,,,,,
,,2007 - 2008,,,,90.0,24.0,0.27,,,,,,
,,2008 - 2009,,,,82.0,24.0,0.29,,,,,,
,,2009 - 2010,84.0,24.0,0.29,,,,,,,,,
,,2010 - 2011,51.0,95.0,1.86,,,,,,,,,
,,2011 - 2012,,,,38.0,44.0,1.16,,,,,,
,,2012 - 2013,,,,15.0,28.0,1.87,,,,,,
,,2013 - 2014,,,,11.0,11.0,1.0,,,,,,
,Sehore,2000 - 2001,71.0,128.0,1.8,,,,,,,,,
,,2001 - 2002,74.0,150.0,2.03,,,,,,,,,
,,2002 - 2003,58.0,161.0,2.78,,,,,,,,,
,,2003 - 2004,66.0,183.0,2.77,,,,,,,,,
,,2007 - 2008,,,,28.0,6.0,0.21,,,,,,
,,2008 - 2009,,,,32.0,16.0,0.5,,,,,,
,,2009 - 2010,31.0,18.0,0.58,,,,,,,,,
,,2010 - 2011,31.0,122.0,3.94,,,,,,,,,
,,2011 - 2012,,,,37.0,117.0,3.16,,,,,,
,,2012 - 2013,,,,27.0,83.0,3.07,,,,,,
,,2013 - 2014,,,,26.0,56.0,2.15,,,,,,
,Seoni,2000 - 2001,473.0,283.0,0.6,,,,,,,,,
,,2001 - 2002,576.0,,2.1,,,,,,,,,
,,2002 - 2003,524.0,872.0,1.66,,,,,,,,,
,,2003 - 2004,371.0,783.0,2.11,,,,,,,,,
,,2007 - 2008,,,,277.0,97.0,0.35,,,,,,
,,2008 - 2009,,,,272.0,88.0,0.32,,,,,,
,,2009 - 2010,191.0,62.0,0.32,,,,,,,,,
,,2010 - 2011,143.0,255.0,1.78,,,,,,,,,
,,2011 - 2012,,,,103.0,144.0,1.4,,,,,,
,,2012 - 2013,,,,123.0,222.0,1.8,,,,,,
,,2013 - 2014,,,,97.0,172.0,1.77,,,,,,
,Shahdol,2000 - 2001,160.0,183.0,1.14,,,,,,,,,
,,2001 - 2002,113.0,189.0,1.67,,,,,,,,,
,,2002 - 2003,90.0,128.0,1.42,,,,,,,,,
,,2003 - 2004,25.0,45.0,1.8,,,,,,,,,
,,2007 - 2008,,,,23.0,7.0,0.3,,,,,,
,,2008 - 2009,,,,27.0,8.0,0.3,,,,,,
,,2009 - 2010,18.0,5.0,0.28,,,,,,,,,
,,2010 - 2011,27.0,50.0,1.85,,,,,,,,,
,,2011 - 2012,,,,29.0,33.0,1.14,,,,,,
,,2012 - 2013,,,,9.0,22.0,2.44,,,,,,
,,2013 - 2014,,,,87.0,284.0,3.26,,,,,,
,Shajapur,2000 - 2001,79.0,122.0,1.54,,,,,,,,,
,,2001 - 2002,58.0,72.0,1.24,,,,,,,,,
,,2002 - 2003,81.0,100.0,1.23,,,,,,,,,
,,2003 - 2004,68.0,122.0,1.79,,,,,,,,,
,,2007 - 2008,,,,14.0,4.0,0.29,,,,,,
,,2008 - 2009,,,,23.0,6.0,0.26,,,,,,
,,2009 - 2010,26.0,7.0,0.27,,,,,,,,,
,,2010 - 2011,13.0,22.0,1.69,,,,,,,,,
,,2011 - 2012,,,,21.0,28.0,1.33,,,,,,
,,2012 - 2013,,,,27.0,39.0,1.44,,,,,,
,Sheopur,2000 - 2001,1.0,,0.0,,,,,,,,,
,,2002 - 2003,1.0,,0.0,,,,,,,,,
,,2003 - 2004,6.0,17.0,2.83,,,,,,,,,
,,2007 - 2008,,,,1.0,,0.0,,,,,,
,,2008 - 2009,,,,3.0,1.0,0.33,,,,,,
,,2009 - 2010,5.0,2.0,0.4,,,,,,,,,
,Shivpuri,2000 - 2001,129.0,250.0,1.94,,,,,,,,,
,,2001 - 2002,147.0,294.0,2.0,,,,,,,,,
,,2002 - 2003,98.0,50.0,0.51,,,,,,,,,
,,2003 - 2004,136.0,305.0,2.24,,,,,,,,,
,,2007 - 2008,,,,71.0,15.0,0.21,,,,,,
,,2008 - 2009,,,,94.0,30.0,0.32,,,,,,
,,2009 - 2010,62.0,22.0,0.35,,,,,,,,,
,,2010 - 2011,84.0,150.0,1.79,,,,,,,,,
,,2011 - 2012,,,,40.0,50.0,1.25,,,,,,
,,2012 - 2013,,,,12.0,16.0,1.33,,,,,,
,,2013 - 2014,,,,14.0,17.0,1.21,,,,,,
,Sidhi,2000 - 2001,631.0,,1.97,,,,,,,,,
,,2001 - 2002,647.0,,2.21,,,,,,,,,
,,2002 - 2003,600.0,,2.06,,,,,,,,,
,,2003 - 2004,577.0,,2.44,,,,,,,,,
,,2007 - 2008,,,,522.0,203.0,0.39,,,,,,
,,2008 - 2009,,,,31.0,14.0,0.45,,,,,,
,,2009 - 2010,25.0,10.0,0.4,,,,,,,,,
,,2010 - 2011,17.0,39.0,2.29,,,,,,,,,
,,2011 - 2012,,,,15.0,22.0,1.47,,,,,,
,,2012 - 2013,,,,17.0,50.0,2.94,,,,,,
,,2013 - 2014,,,,20.0,78.0,3.9,,,,,,
,Singrauli,2008 - 2009,,,,507.0,235.0,0.46,,,,,,
,,2009 - 2010,478.0,242.0,0.51,,,,,,,,,
,,2010 - 2011,494.0,,3.05,,,,,,,,,
,,2011 - 2012,,,,499.0,983.0,1.97,,,,,,
,,2012 - 2013,,,,520.0,,2.28,,,,,,
,,2013 - 2014,,,,586.0,,2.78,,,,,,
,Tikamgarh,2000 - 2001,91.0,256.0,2.81,,,,,,,,,
,,2001 - 2002,60.0,184.0,3.07,,,,,,,,,
,,2002 - 2003,65.0,89.0,1.37,,,,,,,,,
,,2003 - 2004,74.0,195.0,2.64,,,,,,,,,
,,2007 - 2008,,,,34.0,10.0,0.29,,,,,,
,,2008 - 2009,,,,18.0,7.0,0.39,,,,,,
,,2009 - 2010,9.0,3.0,0.33,,,,,,,,,
,,2010 - 2011,5.0,6.0,1.2,,,,,,,,,
,,2011 - 2012,,,,6.0,6.0,1.0,,,,,,
,,2012 - 2013,,,,5.0,6.0,1.2,,,,,,
,,2013 - 2014,,,,7.0,5.0,0.71,,,,,,
,Ujjain,2000 - 2001,2.0,,0.0,,,,,,,,,
,,2001 - 2002,7.0,11.0,1.57,,,,,,,,,
,,2003 - 2004,4.0,11.0,2.75,,,,,,,,,
,,2007 - 2008,,,,2.0,1.0,0.5,,,,,,
,,2008 - 2009,,,,6.0,3.0,0.5,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,,,,
,Umaria,2000 - 2001,36.0,45.0,1.25,,,,,,,,,
,,2001 - 2002,33.0,50.0,1.52,,,,,,,,,
,,2002 - 2003,37.0,56.0,1.51,,,,,,,,,
,,2003 - 2004,20.0,33.0,1.65,,,,,,,,,
,,2007 - 2008,,,,17.0,6.0,0.35,,,,,,
,,2008 - 2009,,,,13.0,4.0,0.31,,,,,,
,,2009 - 2010,10.0,3.0,0.3,,,,,,,,,
,,2010 - 2011,7.0,11.0,1.57,,,,,,,,,
,,2011 - 2012,,,,12.0,11.0,0.92,,,,,,
,,2012 - 2013,,,,6.0,11.0,1.83,,,,,,
,,2013 - 2014,,,,6.0,11.0,1.83,,,,,,
,Vidisha,2000 - 2001,65.0,117.0,1.8,,,,,,,,,
,,2001 - 2002,47.0,89.0,1.89,,,,,,,,,
,,2002 - 2003,42.0,61.0,1.45,,,,,,,,,
,,2003 - 2004,51.0,95.0,1.86,,,,,,,,,
,,2007 - 2008,,,,25.0,8.0,0.32,,,,,,
,,2008 - 2009,,,,24.0,9.0,0.38,,,,,,
,,2009 - 2010,10.0,4.0,0.4,,,,,,,,,
,,2010 - 2011,16.0,33.0,2.06,,,,,,,,,
,,2011 - 2012,,,,7.0,11.0,1.57,,,,,,
,,2012 - 2013,,,,8.0,11.0,1.38,,,,,,
,,2013 - 2014,,,,2.0,28.0,14.0,,,,,,
Odisha,Anugul,2000 - 2001,20.0,70.0,3.5,,,,,,,,,
,Balangir,2000 - 2001,,,3.61,,,,,,,,,
,,2019 - 2020,,,,440.0,,5.45,,,,,,
,Baleshwar,2000 - 2001,,,4.33,,,,,,,,,
,Bargarh,2000 - 2001,120.0,420.0,3.5,,,,,,,,,
,,2019 - 2020,,,,10.0,50.0,5.0,,,,,,
,Bhadrak,2000 - 2001,10.0,80.0,8.0,,,,,,,,,
,Deogarh,2000 - 2001,100.0,300.0,3.0,,,,,,,,,
,,2019 - 2020,,,,50.0,210.0,4.2,,,,,,
,Dhenkanal,2000 - 2001,70.0,370.0,5.29,,,,,,,,,
,Gajapati,2000 - 2001,60.0,190.0,3.17,,,,,,,,,
,,2019 - 2020,,,,130.0,520.0,4.0,,,,,,
,Ganjam,2000 - 2001,,,3.5,,,,,,,,,
,,2019 - 2020,,,,440.0,,5.25,,,,,,
,Kalahandi,2000 - 2001,490.0,,4.55,,,,,,,,,
,,2019 - 2020,,,,440.0,,5.32,,,,,,
,Kandhamal,2000 - 2001,150.0,310.0,2.07,,,,,,,,,
,,2019 - 2020,,,,10.0,50.0,5.0,,,,,,
,Kendujhar,2019 - 2020,,,,10.0,40.0,4.0,,,,,,
,Koraput,2000 - 2001,190.0,,8.47,,,,,,,,,
,,2019 - 2020,,,,290.0,,5.1,,,,,,
,Mayurbhanj,2000 - 2001,,,3.57,,,,,,,,,
,,2019 - 2020,,,,220.0,,4.95,,,,,,
,Nabarangpur,2000 - 2001,300.0,,4.7,,,,,,,,,
,,2019 - 2020,,,,80.0,400.0,5.0,,,,,,
,Nayagarh,2000 - 2001,80.0,370.0,4.63,,,,,,,,,
,,2019 - 2020,,,,200.0,,5.05,,,,,,
,Nuapada,2000 - 2001,510.0,990.0,1.94,,,,,,,,,
,,2019 - 2020,,,,200.0,,5.2,,,,,,
,Rayagada,2000 - 2001,330.0,980.0,2.97,,,,,,,,,
,,2019 - 2020,,,,,,5.35,,,,,,
,Sambalpur,2000 - 2001,10.0,30.0,3.0,,,,,,,,,
,Sonepur,2000 - 2001,120.0,300.0,2.5,,,,,,,,,
,Sundargarh,2000 - 2001,620.0,,5.15,,,,,,,,,
,,2019 - 2020,,,,390.0,,5.44,,,,,,
Rajasthan,Ajmer,2002 - 2003,3.0,,0.0,,,,,,,,,
,,2003 - 2004,1.0,0.0,0.0,,,,,,,,,
,,2011 - 2012,26.0,26.0,1.0,,,,,,,,,
,,2016 - 2017,,,,3.0,3.0,1.0,,,,,,
,,2020 - 2021,,,,1.0,2.0,2.0,,,,,,
,,2021 - 2022,,,,1.0,0.0,0.0,,,,,,
,Alwar,2000 - 2001,63.0,27.0,0.43,,,,,,,,,
,,2001 - 2002,51.0,17.0,0.33,,,,,,,,,
,,2002 - 2003,30.0,,0.0,,,,,,,,,
,,2003 - 2004,65.0,86.0,1.32,,,,,,,,,
,,2004 - 2005,47.0,24.0,0.51,,,,,,,,,
,,2005 - 2006,32.0,14.0,0.44,,,,,,,,,
,,2006 - 2007,18.0,6.0,0.33,,,,,,,,,
,,2007 - 2008,21.0,29.0,1.38,,,,,,,,,
,,2008 - 2009,59.0,61.0,1.03,,,,,,,,,
,,2009 - 2010,36.0,8.0,0.22,,,,,,,,,
,,2010 - 2011,15.0,2.0,0.13,,,,,,,,,
,,2011 - 2012,15.0,18.0,1.2,,,,,,,,,
,,2012 - 2013,14.0,11.0,0.79,,,,,,,,,
,,2013 - 2014,26.0,20.0,0.77,,,,,,,,,
,,2015 - 2016,,,,8.0,6.0,0.75,,,,,,
,,2016 - 2017,,,,33.0,17.0,0.52,,,,,,
,,2018 - 2019,,,,1.0,1.0,1.0,,,,,,
,,2019 - 2020,,,,24.0,24.0,1.0,,,,,,
,Banswara,2000 - 2001,509.0,23.0,0.05,,,,,,,,,
,,2001 - 2002,455.0,85.0,0.19,,,,,,,,,
,,2002 - 2003,388.0,50.0,0.13,,,,,,,,,
,,2003 - 2004,487.0,136.0,0.28,,,,,,,,,
,,2004 - 2005,468.0,75.0,0.16,,,,,,,,,
,,2005 - 2006,410.0,87.0,0.21,,,,,,,,,
,,2006 - 2007,424.0,26.0,0.06,,,,,,,,,
,,2007 - 2008,434.0,122.0,0.28,,,,,,,,,
,,2008 - 2009,342.0,80.0,0.23,,,,,,,,,
,,2009 - 2010,374.0,31.0,0.08,,,,,,,,,
,,2010 - 2011,320.0,40.0,0.13,,,,,,,,,
,,2011 - 2012,337.0,48.0,0.14,,,,,,,,,
,,2012 - 2013,298.0,41.0,0.14,,,,,,,,,
,,2013 - 2014,294.0,38.0,0.13,,,,,,,,,
,,2015 - 2016,,,,221.0,26.0,0.12,,,,,,
,,2016 - 2017,,,,185.0,80.0,0.43,,,,,,
,,2017 - 2018,,,,164.0,45.0,0.27,,,,,,
,,2018 - 2019,,,,152.0,46.0,0.3,,,,,,
,,2019 - 2020,,,,67.0,14.0,0.21,,,,,,
,,2020 - 2021,,,,31.0,15.0,0.48,,,,,,
,,2021 - 2022,,,,4.0,2.0,0.5,,,,,,
,,2022 - 2023,,,,30.0,30.0,1.0,,,,,,
,Baran,2000 - 2001,71.0,40.0,0.56,,,,,,,,,
,,2001 - 2002,40.0,23.0,0.58,,,,,,,,,
,,2002 - 2003,58.0,5.0,0.09,,,,,,,,,
,,2003 - 2004,11.0,5.0,0.45,,,,,,,,,
,,2004 - 2005,16.0,9.0,0.56,,,,,,,,,
,,2005 - 2006,9.0,5.0,0.56,,,,,,,,,
,,2006 - 2007,9.0,8.0,0.89,,,,,,,,,
,,2007 - 2008,3.0,2.0,0.67,,,,,,,,,
,,2008 - 2009,2.0,2.0,1.0,,,,,,,,,
,,2009 - 2010,9.0,6.0,0.67,,,,,,,,,
,,2010 - 2011,1.0,,0.0,,,,,,,,,
,,2012 - 2013,1.0,2.0,2.0,,,,,,,,,
,,2013 - 2014,1.0,,0.0,,,,,,,,,
,Bharatpur,2000 - 2001,40.0,21.0,0.53,,,,,,,,,
,,2001 - 2002,15.0,7.0,0.47,,,,,,,,,
,,2002 - 2003,7.0,1.0,0.14,,,,,,,,,
,,2003 - 2004,109.0,22.0,0.2,,,,,,,,,
,,2004 - 2005,33.0,29.0,0.88,,,,,,,,,
,,2005 - 2006,30.0,14.0,0.47,,,,,,,,,
,,2006 - 2007,16.0,15.0,0.94,,,,,,,,,
,,2007 - 2008,15.0,6.0,0.4,,,,,,,,,
,,2008 - 2009,19.0,190.0,10.0,,,,,,,,,
,,2009 - 2010,11.0,110.0,10.0,,,,,,,,,
,,2010 - 2011,2.0,60.0,30.0,,,,,,,,,
,,2012 - 2013,111.0,58.0,0.52,,,,,,,,,
,,2013 - 2014,150.0,92.0,0.61,,,,,,,,,
,,2015 - 2016,,,,48.0,48.0,1.0,,,,,,
,,2017 - 2018,,,,3.0,3.0,1.0,,,,,,
,,2018 - 2019,,,,48.0,48.0,1.0,,,,,,
,,2019 - 2020,,,,95.0,95.0,1.0,,,,,,
,,2021 - 2022,,,,7.0,4.0,0.57,,,,,,
