state,district,year,cowpea_rabi_area_hectare,cowpea_rabi_production_tonne,cowpea_rabi_yield_tonne_per_hectare,cowpea_kharif_area_hectare,cowpea_kharif_production_tonne,cowpea_kharif_yield_tonne_per_hectare,cowpea_summer_area_hectare,cowpea_summer_production_tonne,cowpea_summer_yield_tonne_per_hectare,cowpea_whole_year_area_hectare,cowpea_whole_year_production_tonne,cowpea_whole_year_yield_tonne_per_hectare
,,2022 - 2023,131.0,62.0,0.47,502.0,402.0,0.8,,,,,,
,Salem,2017 - 2018,,,0.8,,,0.76,,,,,,
,,2018 - 2019,,,0.76,,,0.78,,,,,,
,,2019 - 2020,,,0.79,,,0.63,,,,,,
,,2020 - 2021,,,1.0,,,0.95,,,,,,
,,2021 - 2022,,,0.62,,,0.81,,,,,,
,,2022 - 2023,,,0.55,,,0.73,,,,,,
,Sivaganga,2017 - 2018,138.0,89.0,0.64,232.0,166.0,0.72,,,,,,
,,2018 - 2019,158.0,134.0,0.85,234.0,185.0,0.79,,,,,,
,,2019 - 2020,141.0,99.0,0.7,259.0,204.0,0.79,,,,,,
,,2020 - 2021,89.0,59.0,0.66,213.0,180.0,0.85,,,,,,
,,2021 - 2022,99.0,61.0,0.62,133.0,105.0,0.79,,,,,,
,,2022 - 2023,88.0,41.0,0.47,66.0,53.0,0.8,,,,,,
,Theni,2017 - 2018,,,0.62,,,0.73,,,,,,
,,2018 - 2019,,,1.02,,946.0,0.71,,,,,,
,,2019 - 2020,,,0.77,,510.0,0.46,,,,,,
,,2020 - 2021,,,0.59,862.0,,1.27,,,,,,
,,2021 - 2022,,,0.79,897.0,526.0,0.59,,,,,,
,,2022 - 2023,,914.0,0.36,840.0,694.0,0.83,,,,,,
,Thenkasi,2020 - 2021,75.0,50.0,0.67,4.0,3.0,0.75,,,,,,
,,2021 - 2022,44.0,27.0,0.61,5.0,4.0,0.8,,,,,,
,,2022 - 2023,15.0,7.0,0.47,8.0,6.0,0.75,,,,,,
,Thiruvallur,2017 - 2018,1.0,,0.0,27.0,20.0,0.74,,,,,,
,,2018 - 2019,,,,12.0,9.0,0.75,,,,,,
,,2019 - 2020,16.0,11.0,0.69,15.0,11.0,0.73,,,,,,
,,2020 - 2021,8.0,5.0,0.63,5.0,4.0,0.8,,,,,,
,,2021 - 2022,9.0,6.0,0.67,,,,,,,,,
,,2022 - 2023,4.0,2.0,0.5,,,,,,,,,
,Thoothukudi,2017 - 2018,163.0,106.0,0.65,15.0,11.0,0.73,,,,,,
,,2018 - 2019,93.0,79.0,0.85,10.0,8.0,0.8,,,,,,
,,2019 - 2020,64.0,44.0,0.69,,,,,,,,,
,,2020 - 2021,78.0,52.0,0.67,,,,,,,,,
,,2021 - 2022,26.0,16.0,0.62,,,,,,,,,
,,2022 - 2023,20.0,9.0,0.45,,,,,,,,,
,Tiruchirappalli,2017 - 2018,339.0,220.0,0.65,357.0,257.0,0.72,,,,,,
,,2018 - 2019,488.0,415.0,0.85,325.0,256.0,0.79,,,,,,
,,2019 - 2020,591.0,415.0,0.7,417.0,327.0,0.78,,,,,,
,,2020 - 2021,425.0,284.0,0.67,329.0,276.0,0.84,,,,,,
,,2021 - 2022,434.0,268.0,0.62,185.0,145.0,0.78,,,,,,
,,2022 - 2023,417.0,196.0,0.47,161.0,129.0,0.8,,,,,,
,Tirunelveli,2017 - 2018,239.0,155.0,0.65,7.0,5.0,0.71,,,,,,
,,2018 - 2019,308.0,262.0,0.85,9.0,7.0,0.78,,,,,,
,,2019 - 2020,345.0,243.0,0.7,15.0,12.0,0.8,,,,,,
,,2020 - 2021,27.0,18.0,0.67,1.0,1.0,1.0,,,,,,
,,2021 - 2022,22.0,13.0,0.59,2.0,2.0,1.0,,,,,,
,,2022 - 2023,29.0,13.0,0.45,11.0,9.0,0.82,,,,,,
,Tirupathur,2020 - 2021,158.0,106.0,0.67,607.0,511.0,0.84,,,,,,
,,2021 - 2022,319.0,197.0,0.62,888.0,700.0,0.79,,,,,,
,,2022 - 2023,244.0,115.0,0.47,923.0,739.0,0.8,,,,,,
,Tiruppur,2017 - 2018,,614.0,0.45,454.0,326.0,0.72,,,,,,
,,2018 - 2019,,434.0,0.29,159.0,126.0,0.79,,,,,,
,,2019 - 2020,,474.0,0.36,147.0,115.0,0.78,,,,,,
,,2020 - 2021,,877.0,0.7,205.0,172.0,0.84,,,,,,
,,2021 - 2022,,992.0,0.73,124.0,98.0,0.79,,,,,,
,,2022 - 2023,,479.0,0.4,77.0,62.0,0.81,,,,,,
,Tiruvannamalai,2017 - 2018,308.0,201.0,0.65,557.0,400.0,0.72,,,,,,
,,2018 - 2019,880.0,749.0,0.85,719.0,566.0,0.79,,,,,,
,,2019 - 2020,,,0.7,,879.0,0.78,,,,,,
,,2020 - 2021,,774.0,0.67,,,0.84,,,,,,
,,2021 - 2022,,737.0,0.62,,989.0,0.79,,,,,,
,,2022 - 2023,810.0,381.0,0.47,986.0,790.0,0.8,,,,,,
,Vellore,2017 - 2018,135.0,88.0,0.65,,,0.72,,,,,,
,,2018 - 2019,385.0,328.0,0.85,,,0.79,,,,,,
,,2019 - 2020,326.0,228.0,0.7,,,0.78,,,,,,
,,2020 - 2021,5.0,3.0,0.6,725.0,610.0,0.84,,,,,,
,,2021 - 2022,,,,,791.0,0.79,,,,,,
,,2022 - 2023,,,,,804.0,0.8,,,,,,
,Villupuram,2017 - 2018,372.0,242.0,0.65,449.0,322.0,0.72,,,,,,
,,2018 - 2019,98.0,84.0,0.86,,,,,,,,,
,,2019 - 2020,35.0,24.0,0.69,18.0,13.0,0.72,,,,,,
,,2020 - 2021,8.0,6.0,0.75,17.0,15.0,0.88,,,,,,
,,2021 - 2022,3.0,2.0,0.67,16.0,12.0,0.75,,,,,,
,,2022 - 2023,1.0,1.0,1.0,22.0,17.0,0.77,,,,,,
,Virudhunagar,2017 - 2018,213.0,138.0,0.65,150.0,107.0,0.71,,,,,,
,,2018 - 2019,252.0,214.0,0.85,72.0,56.0,0.78,,,,,,
,,2019 - 2020,248.0,174.0,0.7,66.0,51.0,0.77,,,,,,
,,2020 - 2021,212.0,142.0,0.67,108.0,91.0,0.84,,,,,,
,,2021 - 2022,147.0,91.0,0.62,18.0,14.0,0.78,,,,,,
,,2022 - 2023,91.0,43.0,0.47,22.0,17.0,0.77,,,,,,
Telangana,Adilabad,2011 - 2012,22.0,18.0,0.82,143.0,34.0,0.24,,,,,,
,,2013 - 2014,124.0,102.0,0.82,56.0,27.0,0.48,,,,,,
,,2014 - 2015,79.0,78.0,0.99,114.0,105.0,0.92,,,,,,
,,2015 - 2016,52.0,139.0,2.67,131.0,69.0,0.53,,,,,,
,,2016 - 2017,7.0,8.0,1.14,54.0,33.0,0.61,,,,,,
,,2017 - 2018,12.0,16.0,1.33,61.0,62.0,1.02,,,,,,
,,2018 - 2019,35.0,39.0,1.11,97.0,77.0,0.79,,,,,,
,,2019 - 2020,21.0,20.0,0.95,17.0,21.0,1.24,,,,,,
,,2020 - 2021,13.0,14.0,1.08,12.0,8.0,0.67,,,,,,
,,2021 - 2022,18.0,12.0,0.67,14.0,12.0,0.86,,,,,,
,,2022 - 2023,3.0,3.0,1.0,8.0,6.0,0.75,,,,,,
,Bhadradri,2016 - 2017,579.0,907.0,1.57,41.0,25.0,0.61,,,,,,
,,2017 - 2018,468.0,721.0,1.54,28.0,28.0,1.0,,,,,,
,,2018 - 2019,293.0,366.0,1.25,11.0,9.0,0.82,,,,,,
,,2019 - 2020,136.0,132.0,0.97,6.0,4.0,0.67,,,,,,
,,2020 - 2021,174.0,190.0,1.09,29.0,20.0,0.69,,,,,,
,,2021 - 2022,,689.0,0.66,191.0,162.0,0.85,,,,,,
,,2022 - 2023,667.0,665.0,1.0,26.0,31.0,1.19,,,,,,
,Jagitial,2016 - 2017,724.0,,2.16,37.0,6.0,0.16,,,,,,
,,2017 - 2018,567.0,769.0,1.36,16.0,16.0,1.0,,,,,,
,,2018 - 2019,486.0,968.0,1.99,4.0,3.0,0.75,,,,,,
,,2019 - 2020,78.0,96.0,1.23,4.0,3.0,0.75,,,,,,
,,2020 - 2021,140.0,153.0,1.09,10.0,7.0,0.7,,,,,,
,,2021 - 2022,422.0,277.0,0.66,9.0,8.0,0.89,,,,,,
,,2022 - 2023,83.0,75.0,0.9,1.0,1.0,1.0,,,,,,
,Jangoan,2016 - 2017,422.0,211.0,0.5,74.0,49.0,0.66,,,,,,
,,2017 - 2018,228.0,297.0,1.3,53.0,54.0,1.02,,,,,,
,,2018 - 2019,161.0,181.0,1.12,8.0,6.0,0.75,,,,,,
,,2019 - 2020,15.0,15.0,1.0,19.0,13.0,0.68,,,,,,
,,2020 - 2021,128.0,140.0,1.09,44.0,30.0,0.68,,,,,,
,,2021 - 2022,280.0,184.0,0.66,11.0,9.0,0.82,,,,,,
,,2022 - 2023,27.0,24.0,0.89,4.0,3.0,0.75,,,,,,
,Jayashankar,2016 - 2017,446.0,223.0,0.5,3.0,2.0,0.67,,,,,,
,,2017 - 2018,307.0,400.0,1.3,,,,,,,,,
,,2018 - 2019,144.0,162.0,1.13,,,,,,,,,
,,2019 - 2020,51.0,50.0,0.98,,,,,,,,,
,,2020 - 2021,146.0,159.0,1.09,83.0,57.0,0.69,,,,,,
,,2021 - 2022,35.0,23.0,0.66,120.0,72.0,0.6,,,,,,
,,2022 - 2023,36.0,32.0,0.89,81.0,60.0,0.74,,,,,,
,Jogulamba,2016 - 2017,101.0,114.0,1.13,,,,,,,,,
,,2017 - 2018,172.0,224.0,1.3,,,,,,,,,
,,2018 - 2019,436.0,490.0,1.12,,,,,,,,,
,,2019 - 2020,273.0,271.0,0.99,,,,,,,,,
,,2020 - 2021,631.0,,1.88,33.0,23.0,0.7,,,,,,
,,2021 - 2022,,,1.29,12.0,10.0,0.83,,,,,,
,,2022 - 2023,402.0,502.0,1.25,1.0,1.0,1.0,,,,,,
,Kamareddy,2016 - 2017,,,,6.0,4.0,0.67,,,,,,
,,2017 - 2018,,,,13.0,13.0,1.0,,,,,,
,,2019 - 2020,2.0,2.0,1.0,38.0,27.0,0.71,,,,,,
,,2020 - 2021,11.0,12.0,1.09,168.0,61.0,0.36,,,,,,
,,2021 - 2022,16.0,11.0,0.69,43.0,13.0,0.3,,,,,,
,,2022 - 2023,,,,8.0,6.0,0.75,,,,,,
,Karimnagar,2011 - 2012,,,0.8,532.0,126.0,0.24,,,,,,
,,2012 - 2013,,,3.0,,,0.0,,,,,,
,,2013 - 2014,,,1.03,703.0,286.0,0.41,,,,,,
,,2014 - 2015,,,1.72,251.0,365.0,1.45,,,,,,
,,2015 - 2016,,,1.31,306.0,160.0,0.52,,,,,,
,,2016 - 2017,41.0,89.0,2.17,25.0,4.0,0.16,,,,,,
,,2017 - 2018,7.0,9.0,1.29,4.0,4.0,1.0,,,,,,
,,2018 - 2019,28.0,31.0,1.11,,,,,,,,,
,,2019 - 2020,32.0,31.0,0.97,3.0,2.0,0.67,,,,,,
,,2020 - 2021,52.0,57.0,1.1,57.0,39.0,0.68,,,,,,
,,2021 - 2022,158.0,104.0,0.66,21.0,18.0,0.86,,,,,,
,,2022 - 2023,30.0,27.0,0.9,13.0,9.0,0.69,,,,,,
,Khammam,2011 - 2012,,,0.8,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,
,,2013 - 2014,,,0.64,15.0,7.0,0.47,,,,,,
,,2014 - 2015,,,1.41,,,,,,,,,
,,2015 - 2016,959.0,,1.23,,,,,,,,,
,,2016 - 2017,296.0,464.0,1.57,,,,,,,,,
,,2017 - 2018,262.0,341.0,1.3,,,,,,,,,
,,2018 - 2019,222.0,250.0,1.13,,,,,,,,,
,,2019 - 2020,59.0,57.0,0.97,6.0,4.0,0.67,,,,,,
,,2020 - 2021,409.0,446.0,1.09,7.0,5.0,0.71,,,,,,
,,2021 - 2022,377.0,304.0,0.81,7.0,6.0,0.86,,,,,,
,,2022 - 2023,87.0,78.0,0.9,8.0,6.0,0.75,,,,,,
,Komaram bheem asifabad,2016 - 2017,,,,81.0,49.0,0.6,,,,,,
,,2017 - 2018,7.0,9.0,1.29,33.0,26.0,0.79,,,,,,
,,2018 - 2019,10.0,11.0,1.1,78.0,62.0,0.79,,,,,,
,,2019 - 2020,23.0,22.0,0.96,18.0,13.0,0.72,,,,,,
,,2020 - 2021,22.0,24.0,1.09,34.0,23.0,0.68,,,,,,
,,2021 - 2022,50.0,33.0,0.66,23.0,19.0,0.83,,,,,,
,,2022 - 2023,32.0,29.0,0.91,26.0,19.0,0.73,,,,,,
,Mahabubabad,2016 - 2017,488.0,244.0,0.5,,,,,,,,,
,,2017 - 2018,532.0,693.0,1.3,,,,,,,,,
,,2018 - 2019,776.0,669.0,0.86,,,,,,,,,
,,2019 - 2020,733.0,768.0,1.05,,,,,,,,,
,,2020 - 2021,,,0.82,3.0,2.0,0.67,,,,,,
,,2021 - 2022,,814.0,0.33,12.0,10.0,0.83,,,,,,
,,2022 - 2023,838.0,503.0,0.6,22.0,16.0,0.73,,,,,,
,Mahbubnagar,2011 - 2012,41.0,33.0,0.8,200.0,18.0,0.09,,,,,,
,,2013 - 2014,81.0,66.0,0.81,474.0,228.0,0.48,,,,,,
,,2014 - 2015,51.0,50.0,0.98,480.0,253.0,0.53,,,,,,
,,2015 - 2016,311.0,833.0,2.68,625.0,147.0,0.24,,,,,,
,,2016 - 2017,21.0,24.0,1.14,,,,,,,,,
,,2017 - 2018,17.0,22.0,1.29,78.0,79.0,1.01,,,,,,
,,2018 - 2019,14.0,16.0,1.14,,,,,,,,,
,,2019 - 2020,16.0,16.0,1.0,24.0,17.0,0.71,,,,,,
,,2020 - 2021,45.0,49.0,1.09,26.0,18.0,0.69,,,,,,
,,2021 - 2022,77.0,51.0,0.66,14.0,12.0,0.86,,,,,,
,,2022 - 2023,26.0,23.0,0.88,20.0,15.0,0.75,,,,,,
,Mancherial,2016 - 2017,12.0,14.0,1.17,8.0,5.0,0.63,,,,,,
,,2018 - 2019,,,,5.0,4.0,0.8,,,,,,
,,2019 - 2020,5.0,5.0,1.0,2.0,1.0,0.5,,,,,,
,,2020 - 2021,19.0,21.0,1.11,2.0,1.0,0.5,,,,,,
,,2021 - 2022,61.0,40.0,0.66,13.0,11.0,0.85,,,,,,
,,2022 - 2023,4.0,4.0,1.0,4.0,3.0,0.75,,,,,,
,Medak,2011 - 2012,664.0,529.0,0.8,704.0,167.0,0.24,,,,,,
,,2012 - 2013,,,1.0,,,0.0,,,,,,
,,2013 - 2014,623.0,510.0,0.82,581.0,501.0,0.86,,,,,,
,,2014 - 2015,491.0,556.0,1.13,473.0,505.0,1.07,,,,,,
,,2015 - 2016,451.0,405.0,0.9,804.0,602.0,0.75,,,,,,
,,2016 - 2017,35.0,39.0,1.11,38.0,28.0,0.74,,,,,,
,,2017 - 2018,2.0,3.0,1.5,,,,,,,,,
,,2018 - 2019,,,,14.0,11.0,0.79,,,,,,
,,2019 - 2020,2.0,2.0,1.0,5.0,4.0,0.8,,,,,,
,,2020 - 2021,1.0,1.0,1.0,40.0,28.0,0.7,,,,,,
,,2021 - 2022,71.0,47.0,0.66,7.0,6.0,0.86,,,,,,
,,2022 - 2023,3.0,3.0,1.0,2.0,1.0,0.5,,,,,,
,Medchal,2021 - 2022,10.0,7.0,0.7,4.0,3.0,0.75,,,,,,
,,2022 - 2023,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,
,Mulugu,2018 - 2019,141.0,158.0,1.12,,,,,,,,,
,,2019 - 2020,351.0,341.0,0.97,,,,,,,,,
,,2020 - 2021,89.0,122.0,1.37,,,,,,,,,
,,2021 - 2022,131.0,86.0,0.66,60.0,51.0,0.85,,,,,,
,,2022 - 2023,206.0,186.0,0.9,,,,,,,,,
,Nagarkurnool,2016 - 2017,,,,21.0,11.0,0.52,,,,,,
,,2017 - 2018,4.0,5.0,1.25,,,,,,,,,
,,2019 - 2020,36.0,35.0,0.97,1.0,1.0,1.0,,,,,,
,,2020 - 2021,32.0,35.0,1.09,3.0,2.0,0.67,,,,,,
,,2021 - 2022,16.0,11.0,0.69,,,,,,,,,
,,2022 - 2023,38.0,34.0,0.89,1.0,1.0,1.0,,,,,,
,Nalgonda,2011 - 2012,,993.0,0.8,,,,,,,,,
,,2012 - 2013,,,0.67,,,,,,,,,
,,2013 - 2014,894.0,215.0,0.24,,,,,,,,,
,,2014 - 2015,,302.0,0.22,,,,,,,,,
,,2015 - 2016,,314.0,0.27,,,,,,,,,
,,2016 - 2017,128.0,33.0,0.26,,,,,,,,,
,,2017 - 2018,133.0,173.0,1.3,,,,,,,,,
,,2018 - 2019,81.0,91.0,1.12,,,,,,,,,
,,2019 - 2020,84.0,82.0,0.98,,,,,,,,,
,,2020 - 2021,150.0,164.0,1.09,,,,,,,,,
,,2021 - 2022,197.0,129.0,0.65,4.0,3.0,0.75,,,,,,
,,2022 - 2023,204.0,184.0,0.9,,,,,,,,,
,Narayanapet,2018 - 2019,,,,55.0,24.0,0.44,,,,,,
,,2019 - 2020,25.0,24.0,0.96,16.0,11.0,0.69,,,,,,
,,2020 - 2021,144.0,157.0,1.09,47.0,32.0,0.68,,,,,,
,,2021 - 2022,331.0,217.0,0.66,100.0,85.0,0.85,,,,,,
,,2022 - 2023,153.0,138.0,0.9,59.0,54.0,0.92,,,,,,
,Nirmal,2016 - 2017,9.0,10.0,1.11,,,,,,,,,
,,2017 - 2018,,,,62.0,63.0,1.02,,,,,,
,,2018 - 2019,,,,43.0,34.0,0.79,,,,,,
,,2020 - 2021,3.0,3.0,1.0,,,,,,,,,
,,2021 - 2022,36.0,24.0,0.67,1.0,1.0,1.0,,,,,,
,,2022 - 2023,10.0,9.0,0.9,2.0,1.0,0.5,,,,,,
,Nizamabad,2011 - 2012,,,,2.0,,0.0,,,,,,
,,2013 - 2014,,,,13.0,6.0,0.46,,,,,,
,,2015 - 2016,8.0,21.0,2.63,,,,,,,,,
,,2019 - 2020,,,,6.0,4.0,0.67,,,,,,
,,2020 - 2021,3.0,3.0,1.0,11.0,8.0,0.73,,,,,,
,,2021 - 2022,14.0,9.0,0.64,9.0,8.0,0.89,,,,,,
,,2022 - 2023,2.0,2.0,1.0,10.0,7.0,0.7,,,,,,
,Peddapalli,2016 - 2017,105.0,227.0,2.16,25.0,4.0,0.16,,,,,,
,,2017 - 2018,10.0,13.0,1.3,7.0,7.0,1.0,,,,,,
,,2018 - 2019,24.0,27.0,1.13,25.0,20.0,0.8,,,,,,
,,2019 - 2020,11.0,11.0,1.0,14.0,10.0,0.71,,,,,,
,,2020 - 2021,9.0,10.0,1.11,14.0,10.0,0.71,,,,,,
,,2021 - 2022,45.0,30.0,0.67,11.0,9.0,0.82,,,,,,
,,2022 - 2023,7.0,6.0,0.86,1.0,1.0,1.0,,,,,,
,Rajanna,2016 - 2017,15.0,32.0,2.13,28.0,5.0,0.18,,,,,,
,,2017 - 2018,5.0,7.0,1.4,30.0,30.0,1.0,,,,,,
,,2018 - 2019,6.0,7.0,1.17,1.0,1.0,1.0,,,,,,
,,2019 - 2020,3.0,3.0,1.0,10.0,7.0,0.7,,,,,,
,,2020 - 2021,15.0,16.0,1.07,64.0,44.0,0.69,,,,,,
,,2021 - 2022,103.0,68.0,0.66,14.0,12.0,0.86,,,,,,
,,2022 - 2023,5.0,5.0,1.0,10.0,7.0,0.7,,,,,,
,Rangareddi,2011 - 2012,210.0,167.0,0.8,117.0,28.0,0.24,,,,,,
,,2013 - 2014,324.0,265.0,0.82,120.0,58.0,0.48,,,,,,
,,2014 - 2015,142.0,139.0,0.98,89.0,67.0,0.75,,,,,,
,,2015 - 2016,56.0,150.0,2.68,35.0,18.0,0.51,,,,,,
,,2016 - 2017,,,,1.0,1.0,1.0,,,,,,
,,2019 - 2020,3.0,3.0,1.0,4.0,3.0,0.75,,,,,,
,,2020 - 2021,8.0,9.0,1.13,24.0,17.0,0.71,,,,,,
,,2021 - 2022,32.0,21.0,0.66,12.0,10.0,0.83,,,,,,
,,2022 - 2023,1.0,1.0,1.0,6.0,4.0,0.67,,,,,,
,Sangareddy,2019 - 2020,2.0,2.0,1.0,12.0,8.0,0.67,,,,,,
,,2020 - 2021,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,
,,2021 - 2022,34.0,22.0,0.65,,,,,,,,,
,,2022 - 2023,7.0,6.0,0.86,,,,,,,,,
,Siddipet,2016 - 2017,642.0,724.0,1.13,397.0,296.0,0.75,,,,,,
,,2017 - 2018,307.0,434.0,1.41,373.0,576.0,1.54,,,,,,
,,2018 - 2019,309.0,347.0,1.12,290.0,356.0,1.23,,,,,,
,,2019 - 2020,230.0,223.0,0.97,66.0,81.0,1.23,,,,,,
,,2020 - 2021,176.0,97.0,0.55,221.0,296.0,1.34,,,,,,
,,2021 - 2022,536.0,352.0,0.66,79.0,31.0,0.39,,,,,,
,,2022 - 2023,142.0,178.0,1.25,62.0,45.0,0.73,,,,,,
,Suryapet,2016 - 2017,623.0,161.0,0.26,,,,,,,,,
,,2017 - 2018,409.0,358.0,0.88,,,,,,,,,
,,2018 - 2019,502.0,309.0,0.62,,,,,,,,,
,,2019 - 2020,97.0,12.0,0.12,1.0,1.0,1.0,,,,,,
,,2020 - 2021,93.0,101.0,1.09,11.0,8.0,0.73,,,,,,
,,2021 - 2022,139.0,91.0,0.65,5.0,4.0,0.8,,,,,,
,,2022 - 2023,25.0,23.0,0.92,1.0,1.0,1.0,,,,,,
,Vikarabad,2016 - 2017,31.0,35.0,1.13,129.0,79.0,0.61,,,,,,
,,2017 - 2018,61.0,79.0,1.3,585.0,439.0,0.75,,,,,,
,,2018 - 2019,65.0,73.0,1.12,593.0,360.0,0.61,,,,,,
,,2019 - 2020,9.0,9.0,1.0,480.0,295.0,0.61,,,,,,
,,2020 - 2021,17.0,19.0,1.12,525.0,274.0,0.52,,,,,,
,,2021 - 2022,218.0,143.0,0.66,396.0,424.0,1.07,,,,,,
,,2022 - 2023,70.0,63.0,0.9,614.0,424.0,0.69,,,,,,
,Wanaparthy,2016 - 2017,29.0,33.0,1.14,84.0,42.0,0.5,,,,,,
,,2017 - 2018,19.0,25.0,1.32,87.0,53.0,0.61,,,,,,
,,2018 - 2019,62.0,70.0,1.13,47.0,47.0,1.0,,,,,,
,,2019 - 2020,1.0,1.0,1.0,4.0,3.0,0.75,,,,,,
,,2020 - 2021,19.0,21.0,1.11,12.0,8.0,0.67,,,,,,
,,2021 - 2022,29.0,19.0,0.66,2.0,2.0,1.0,,,,,,
,,2022 - 2023,7.0,6.0,0.86,1.0,1.0,1.0,,,,,,
,Warangal,2011 - 2012,,,0.8,134.0,32.0,0.24,,,,,,
,,2012 - 2013,,,0.5,,,,,,,,,
,,2013 - 2014,,,0.82,200.0,96.0,0.48,,,,,,
,,2014 - 2015,,771.0,0.33,235.0,216.0,0.92,,,,,,
,,2015 - 2016,,,8.34,266.0,139.0,0.52,,,,,,
,,2016 - 2017,44.0,22.0,0.5,,,,,,,,,
,,2017 - 2018,78.0,102.0,1.31,72.0,73.0,1.01,,,,,,
,,2018 - 2019,74.0,83.0,1.12,39.0,31.0,0.79,,,,,,
,,2019 - 2020,47.0,46.0,0.98,5.0,4.0,0.8,,,,,,
,,2020 - 2021,232.0,253.0,1.09,7.0,5.0,0.71,,,,,,
,,2021 - 2022,253.0,104.0,0.41,5.0,4.0,0.8,,,,,,
,,2022 - 2023,17.0,15.0,0.88,4.0,3.0,0.75,,,,,,
,Warangal urban,2016 - 2017,99.0,49.0,0.49,6.0,4.0,0.67,,,,,,
,,2017 - 2018,54.0,70.0,1.3,,,,,,,,,
,,2018 - 2019,47.0,53.0,1.13,,,,,,,,,
,,2019 - 2020,30.0,29.0,0.97,15.0,11.0,0.73,,,,,,
,,2020 - 2021,53.0,58.0,1.09,15.0,10.0,0.67,,,,,,
,,2021 - 2022,76.0,50.0,0.66,4.0,3.0,0.75,,,,,,
,,2022 - 2023,11.0,10.0,0.91,,,,,,,,,
,Yadadri,2016 - 2017,3.0,1.0,0.33,,,,,,,,,
,,2017 - 2018,324.0,422.0,1.3,22.0,22.0,1.0,,,,,,
,,2018 - 2019,9.0,10.0,1.11,,,,,,,,,
,,2019 - 2020,3.0,3.0,1.0,5.0,4.0,0.8,,,,,,
,,2020 - 2021,4.0,4.0,1.0,10.0,7.0,0.7,,,,,,
,,2021 - 2022,27.0,18.0,0.67,4.0,3.0,0.75,,,,,,
,,2022 - 2023,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,
Tripura,Dhalai,2015 - 2016,,,,614.0,480.0,0.78,,,,,,
,,2016 - 2017,,,,894.0,588.0,0.66,,,,,,
,,2017 - 2018,,,,892.0,638.0,0.72,,,,,,
,,2018 - 2019,,,,925.0,737.95,0.8,,,,,,
,,2019 - 2020,,,,995.0,806.1,0.81,,,,,,
,,2020 - 2021,,,,731.0,610.0,0.83,,,,,,
,,2021 - 2022,,,,,974.0,0.8,,,,,,
,,2022 - 2023,,,,,,0.83,,,,,,
,Gomati,2015 - 2016,,,,267.0,210.0,0.79,,,,,,
,,2016 - 2017,,,,475.0,290.0,0.61,,,,,,
,,2017 - 2018,,,,512.0,402.0,0.79,,,,,,
,,2018 - 2019,,,,600.0,556.24,0.93,,,,,,
,,2019 - 2020,,,,574.0,534.28,0.93,,,,,,
,,2020 - 2021,,,,514.0,495.0,0.96,,,,,,
,,2021 - 2022,,,,496.0,468.0,0.94,,,,,,
,,2022 - 2023,,,,397.0,375.0,0.94,,,,,,
,Khowai,2015 - 2016,,,,376.0,285.0,0.76,,,,,,
,,2016 - 2017,,,,357.0,250.0,0.7,,,,,,
,,2017 - 2018,,,,426.0,335.0,0.79,,,,,,
,,2018 - 2019,,,,396.0,288.72,0.73,,,,,,
,,2019 - 2020,,,,355.0,263.24,0.74,,,,,,
,,2020 - 2021,,,,400.0,306.0,0.77,,,,,,
,,2021 - 2022,,,,390.0,292.0,0.75,,,,,,
,,2022 - 2023,,,,364.0,281.0,0.77,,,,,,
,North tripura,2015 - 2016,,,,,,0.79,,,,,,
,,2016 - 2017,,,,574.0,373.0,0.65,,,,,,
,,2017 - 2018,,,,814.0,599.0,0.74,,,,,,
,,2018 - 2019,,,,702.0,519.44,0.74,,,,,,
,,2019 - 2020,,,,642.0,481.98,0.75,,,,,,
,,2020 - 2021,,,,460.0,355.0,0.77,,,,,,
,,2021 - 2022,,,,358.0,265.0,0.74,,,,,,
,,2022 - 2023,,,,260.0,206.0,0.79,,,,,,
,Sepahijala,2015 - 2016,,,,117.0,92.0,0.79,,,,,,
,,2016 - 2017,,,,299.0,183.0,0.61,,,,,,
,,2017 - 2018,,,,329.0,222.0,0.67,,,,,,
,,2018 - 2019,,,,319.0,236.9,0.74,,,,,,
,,2019 - 2020,,,,307.0,233.45,0.76,,,,,,
,,2020 - 2021,,,,294.0,227.0,0.77,,,,,,
,,2021 - 2022,,,,259.0,192.0,0.74,,,,,,
,,2022 - 2023,,,,238.0,197.0,0.83,,,,,,
,South tripura,2015 - 2016,,,,286.0,215.0,0.75,,,,,,
,,2016 - 2017,,,,541.0,315.0,0.58,,,,,,
,,2017 - 2018,,,,574.0,376.0,0.66,,,,,,
,,2018 - 2019,,,,432.0,312.22,0.72,,,,,,
,,2019 - 2020,,,,379.0,278.18,0.73,,,,,,
,,2020 - 2021,,,,414.0,317.0,0.77,,,,,,
,,2021 - 2022,,,,368.0,278.0,0.76,,,,,,
,,2022 - 2023,,,,357.0,294.0,0.82,,,,,,
,Unakoti,2015 - 2016,,,,584.0,450.0,0.77,,,,,,
,,2016 - 2017,,,,474.0,294.0,0.62,,,,,,
,,2017 - 2018,,,,536.0,370.0,0.69,,,,,,
,,2018 - 2019,,,,421.0,312.17,0.74,,,,,,
,,2019 - 2020,,,,405.0,305.71,0.75,,,,,,
