state,district,year,coconut_whole_year_area_hectare,coconut_whole_year_production_nuts,coconut_whole_year_yield_tonne_per_hectare,coconut_kharif_area_hectare,coconut_kharif_production_nuts,coconut_kharif_yield_tonne_per_hectare
,,2007 - 2008,926.0,,,,,
,,2008 - 2009,569.0,,,,,
,,2009 - 2010,564.0,,,,,
,,2011 - 2012,560.0,,,,,
,,2013 - 2014,715.0,,,,,
,,2014 - 2015,675.0,,,,,
,,2015 - 2016,701.0,,,,,
,,2016 - 2017,693.0,,,,,
,,2017 - 2018,670.0,,,,,
,,2018 - 2019,675.0,,,,,
,,2019 - 2020,663.0,,,,,
,,2020 - 2021,608.0,,,,,
,,2021 - 2022,623.0,,,,,
,,2022 - 2023,635.0,,,,,
,Pudukkottai,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Ramanathapuram,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Ranipet,2019 - 2020,915.0,,,,,
,,2020 - 2021,938.0,,,,,
,,2021 - 2022,906.0,,,,,
,,2022 - 2023,,,,,,
,Salem,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Sivaganga,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Thanjavur,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,The nilgiris,2003 - 2004,52.0,0.0,0.0,,,
,,2004 - 2005,60.0,,,,,
,,2005 - 2006,60.0,,0.0,,,
,,2006 - 2007,74.0,,,,,
,,2007 - 2008,79.0,,,,,
,,2008 - 2009,80.0,,,,,
,,2009 - 2010,79.0,,,,,
,,2011 - 2012,66.0,,,,,
,,2013 - 2014,55.0,,,,,
,,2014 - 2015,83.0,,,,,
,,2015 - 2016,94.0,,,,,
,,2016 - 2017,56.0,,,,,
,,2017 - 2018,59.0,,,,,
,,2018 - 2019,56.0,,,,,
,,2019 - 2020,51.0,,,,,
,,2020 - 2021,53.0,,,,,
,,2021 - 2022,53.0,,,,,
,,2022 - 2023,51.0,,,,,
,Theni,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Thenkasi,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Thiruvallur,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,971.0,,,,,
,,2014 - 2015,931.0,,,,,
,,2015 - 2016,804.0,,,,,
,,2016 - 2017,724.0,,,,,
,,2017 - 2018,666.0,,,,,
,,2018 - 2019,643.0,,,,,
,,2019 - 2020,602.0,,,,,
,,2020 - 2021,721.0,,,,,
,,2021 - 2022,657.0,,,,,
,,2022 - 2023,685.0,,,,,
,Thiruvarur,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Thoothukudi,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Tiruchirappalli,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Tirunelveli,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Tirupathur,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Tiruppur,2008 - 2009,,,0.0,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Tiruvannamalai,2002 - 2003,,,,,,
,,2003 - 2004,776.0,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,897.0,,,,,
,,2006 - 2007,890.0,,,,,
,,2007 - 2008,792.0,,,,,
,,2008 - 2009,935.0,,,,,
,,2009 - 2010,725.0,,,,,
,,2011 - 2012,803.0,,,,,
,,2013 - 2014,624.0,,,,,
,,2014 - 2015,442.0,,,,,
,,2015 - 2016,479.0,,,,,
,,2016 - 2017,432.0,,,,,
,,2017 - 2018,493.0,,,,,
,,2018 - 2019,504.0,,,,,
,,2019 - 2020,591.0,,,,,
,,2020 - 2021,747.0,,,,,
,,2021 - 2022,883.0,,,,,
,,2022 - 2023,,,,,,
,Vellore,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Villupuram,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
,Virudhunagar,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2011 - 2012,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,,2020 - 2021,,,,,,
,,2021 - 2022,,,,,,
,,2022 - 2023,,,,,,
Telangana,Khammam,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,954.0,,,,,
,,2006 - 2007,819.0,,,,,
,,2008 - 2009,764.0,,,,,
,,2009 - 2010,751.0,,,,,
,,2010 - 2011,707.0,,,,,
,,2011 - 2012,675.0,,,,,
,,2013 - 2014,426.0,,,,,
,,2014 - 2015,437.0,,,,,
,Mahbubnagar,2000 - 2001,17.0,,,,,
,,2001 - 2002,10.0,,,,,
,,2002 - 2003,11.0,,,,,
,,2003 - 2004,12.0,,,,,
,,2004 - 2005,12.0,,,,,
,,2005 - 2006,13.0,,,,,
,,2006 - 2007,9.0,,,,,
,,2008 - 2009,8.0,,,,,
,,2009 - 2010,2.0,,,,,
,,2010 - 2011,4.0,,,,,
,,2011 - 2012,4.0,,,,,
,Medak,2000 - 2001,12.0,,,,,
,,2001 - 2002,2.0,,,,,
,,2002 - 2003,1.0,,,,,
,,2004 - 2005,1.0,,,,,
,,2005 - 2006,1.0,,,,,
,,2006 - 2007,1.0,,,,,
,Nalgonda,2000 - 2001,20.0,,,,,
,,2001 - 2002,18.0,,,,,
,,2002 - 2003,21.0,,,,,
,,2003 - 2004,30.0,,,,,
,,2004 - 2005,26.0,,,,,
,,2005 - 2006,36.0,,,,,
,,2006 - 2007,34.0,,,,,
,,2010 - 2011,3.0,,,,,
,,2011 - 2012,3.0,,,,,
,Nizamabad,2000 - 2001,5.0,,,,,
,,2008 - 2009,12.0,,,,,
,,2009 - 2010,4.0,,,,,
,,2010 - 2011,4.0,,,,,
,,2011 - 2012,2.0,,,,,
,Rangareddi,2000 - 2001,23.0,,,,,
,,2001 - 2002,13.0,,,,,
,,2002 - 2003,13.0,,,,,
,,2003 - 2004,11.0,,,,,
,,2004 - 2005,14.0,,,,,
,,2005 - 2006,13.0,,,,,
,,2006 - 2007,11.0,,,,,
,,2008 - 2009,1.0,,,,,
,,2009 - 2010,2.0,,,,,
,,2010 - 2011,5.0,,,,,
,,2011 - 2012,1.0,,,,,
,,2013 - 2014,2.0,,,,,
,,2014 - 2015,2.0,,,,,
West Bengal,paraganas north,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,paraganas south,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,Alipurduar,2014 - 2015,441.0,,,,,
,,2015 - 2016,444.0,,,,,
,,2016 - 2017,448.0,,,,,
,,2017 - 2018,465.0,,,,,
,,2018 - 2019,475.0,,,,,
,,2019 - 2020,480.0,,,,,
,Bankura,2000 - 2001,164.0,,,,,
,,2001 - 2002,193.0,,,,,
,,2002 - 2003,201.0,,,,,
,,2003 - 2004,229.0,,,,,
,,2004 - 2005,241.0,,,,,
,,2005 - 2006,255.0,,,,,
,,2006 - 2007,271.0,,,,,
,,2007 - 2008,271.0,,,,,
,,2008 - 2009,271.0,,,,,
,,2009 - 2010,271.0,,,,,
,,2010 - 2011,272.0,,,,,
,,2011 - 2012,272.0,,,,,
,,2012 - 2013,275.0,,,,,
,,2013 - 2014,276.0,,,,,
,,2014 - 2015,278.0,,,,,
,,2015 - 2016,275.0,,,,,
,,2016 - 2017,275.0,,,,,
,,2017 - 2018,312.0,,,,,
,,2018 - 2019,318.0,,,,,
,,2019 - 2020,325.0,,,,,
,Birbhum,2000 - 2001,444.0,,,,,
,,2001 - 2002,452.0,,,,,
,,2002 - 2003,467.0,,,,,
,,2003 - 2004,499.0,,,,,
,,2004 - 2005,494.0,,,,,
,,2005 - 2006,499.0,,,,,
,,2006 - 2007,509.0,,,,,
,,2007 - 2008,350.0,,,,,
,,2008 - 2009,382.0,,,,,
,,2009 - 2010,382.0,,,,,
,,2010 - 2011,383.0,,,,,
,,2011 - 2012,384.0,,,,,
,,2012 - 2013,385.0,,,,,
,,2013 - 2014,390.0,,,,,
,,2014 - 2015,391.0,,,,,
,,2015 - 2016,396.0,,,,,
,,2016 - 2017,398.0,,,,,
,,2017 - 2018,406.0,,,,,
,,2018 - 2019,415.0,,,,,
,,2019 - 2020,428.0,,,,,
,Coochbehar,2000 - 2001,525.0,,,,,
,,2001 - 2002,550.0,,,,,
,,2002 - 2003,560.0,,,,,
,,2003 - 2004,575.0,,,,,
,,2004 - 2005,645.0,,,,,
,,2005 - 2006,645.0,,,,,
,,2006 - 2007,750.0,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,Darjeeling,2000 - 2001,133.0,,,,,
,,2001 - 2002,158.0,,,,,
,,2002 - 2003,158.0,,,,,
,,2003 - 2004,149.0,,,,,
,,2004 - 2005,165.0,,,,,
,,2005 - 2006,165.0,,,,,
,,2006 - 2007,168.0,,,,,
,,2007 - 2008,155.0,,,,,
,,2008 - 2009,155.0,,,,,
,,2009 - 2010,153.0,,,,,
,,2010 - 2011,153.0,,,,,
,,2011 - 2012,150.0,,,,,
,,2012 - 2013,148.0,,,,,
,,2013 - 2014,147.0,,,,,
,,2014 - 2015,151.0,,,,,
,,2015 - 2016,152.0,,,,,
,,2016 - 2017,155.0,,,,,
,,2017 - 2018,90.0,,,,,
,,2018 - 2019,95.0,,,,,
,,2019 - 2020,97.0,,,,,
,Dinajpur dakshin,2000 - 2001,160.0,,,,,
,,2001 - 2002,163.0,,,,,
,,2002 - 2003,165.0,,,,,
,,2003 - 2004,166.0,,,,,
,,2004 - 2005,168.0,,,,,
,,2005 - 2006,186.0,,,,,
,,2006 - 2007,192.0,,,,,
,,2007 - 2008,197.0,,,,,
,,2008 - 2009,197.0,,,,,
,,2009 - 2010,197.0,,,,,
,,2010 - 2011,198.0,,,,,
,,2011 - 2012,197.0,,,,,
,,2012 - 2013,194.0,,,,,
,,2013 - 2014,195.0,,,,,
,,2014 - 2015,198.0,,,,,
,,2015 - 2016,200.0,,,,,
,,2016 - 2017,205.0,,,,,
,,2017 - 2018,225.0,,,,,
,,2018 - 2019,252.0,,,,,
,,2019 - 2020,275.0,,,,,
,Dinajpur uttar,2000 - 2001,323.0,,,,,
,,2001 - 2002,330.0,,,,,
,,2002 - 2003,195.0,,,,,
,,2003 - 2004,199.0,,,,,
,,2004 - 2005,202.0,,,,,
,,2005 - 2006,208.0,,,,,
,,2006 - 2007,208.0,,,,,
,,2007 - 2008,236.0,,,,,
,,2008 - 2009,218.0,,,,,
,,2009 - 2010,218.0,,,,,
,,2010 - 2011,219.0,,,,,
,,2011 - 2012,222.0,,,,,
,,2012 - 2013,225.0,,,,,
,,2013 - 2014,232.0,,,,,
,,2014 - 2015,234.0,,,,,
,,2015 - 2016,245.0,,,,,
,,2016 - 2017,248.0,,,,,
,,2017 - 2018,265.0,,,,,
,,2018 - 2019,298.0,,,,,
,,2019 - 2020,320.0,,,,,
,Hooghly,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,995.0,,,,,
,,2008 - 2009,997.0,,,,,
,,2009 - 2010,997.0,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,Howrah,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,Jalpaiguri,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,790.0,,,,,
,,2003 - 2004,790.0,,,,,
,,2004 - 2005,785.0,,,,,
,,2005 - 2006,785.0,,,,,
,,2006 - 2007,792.0,,,,,
,,2007 - 2008,798.0,,,,,
,,2008 - 2009,798.0,,,,,
,,2009 - 2010,798.0,,,,,
,,2010 - 2011,800.0,,,,,
,,2011 - 2012,795.0,,,,,
,,2012 - 2013,794.0,,,,,
,,2013 - 2014,796.0,,,,,
,,2014 - 2015,361.0,,,,,
,,2015 - 2016,363.0,,,,,
,,2016 - 2017,365.0,,,,,
,,2017 - 2018,375.0,,,,,
,,2018 - 2019,415.0,,,,,
,,2019 - 2020,434.0,,,,,
,Jhargram,2017 - 2018,172.0,,,,,
,,2018 - 2019,178.0,,,,,
,,2019 - 2020,184.0,,,,,
,Kalimpong,2017 - 2018,70.0,,,,,
,,2018 - 2019,71.0,,,,,
,,2019 - 2020,71.0,,,,,
,Maldah,2000 - 2001,225.0,,,,,
,,2001 - 2002,,,100.0,,,
,,2002 - 2003,227.0,,,,,
,,2003 - 2004,230.0,,,,,
,,2004 - 2005,235.0,,,,,
,,2005 - 2006,240.0,,,,,
,,2006 - 2007,250.0,,,,,
,,2007 - 2008,482.0,,,,,
,,2008 - 2009,506.0,,,,,
,,2009 - 2010,506.0,,,,,
,,2010 - 2011,508.0,,,,,
,,2011 - 2012,519.0,,,,,
,,2012 - 2013,520.0,,,,,
,,2013 - 2014,525.0,,,,,
,,2014 - 2015,532.0,,,,,
,,2015 - 2016,552.0,,,,,
,,2016 - 2017,558.0,,,,,
,,2017 - 2018,578.0,,,,,
,,2018 - 2019,595.0,,,,,
,,2019 - 2020,618.0,,,,,
,Medinipur east,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,Medinipur west,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,Murshidabad,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,Nadia,2000 - 2001,772.0,,,,,
,,2001 - 2002,798.0,,,,,
,,2002 - 2003,829.0,,,,,
,,2003 - 2004,857.0,,,,,
,,2004 - 2005,860.0,,,,,
,,2005 - 2006,983.0,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,988.0,,,,,
,,2008 - 2009,991.0,,,,,
,,2009 - 2010,991.0,,,,,
,,2010 - 2011,994.0,,,,,
,,2011 - 2012,995.0,,,,,
,,2012 - 2013,997.0,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,Paschim bardhaman,2017 - 2018,342.0,,,,,
,,2018 - 2019,348.0,,,,,
,,2019 - 2020,355.0,,,,,
,Purba bardhaman,2000 - 2001,,,,,,
,,2001 - 2002,,,,,,
,,2002 - 2003,,,,,,
,,2003 - 2004,,,,,,
,,2004 - 2005,,,,,,
,,2005 - 2006,,,,,,
,,2006 - 2007,,,,,,
,,2007 - 2008,,,,,,
,,2008 - 2009,,,,,,
,,2009 - 2010,,,,,,
,,2010 - 2011,,,,,,
,,2011 - 2012,,,,,,
,,2012 - 2013,,,,,,
,,2013 - 2014,,,,,,
,,2014 - 2015,,,,,,
,,2015 - 2016,,,,,,
,,2016 - 2017,,,,,,
,,2017 - 2018,,,,,,
,,2018 - 2019,,,,,,
,,2019 - 2020,,,,,,
,Purulia,2000 - 2001,27.0,,,,,
,,2001 - 2002,25.0,,,,,
,,2002 - 2003,18.0,,,,,
,,2003 - 2004,55.0,,,,,
,,2004 - 2005,66.0,,,,,
,,2005 - 2006,74.0,,,,,
,,2006 - 2007,73.0,,,,,
,,2007 - 2008,58.0,,,,,
,,2008 - 2009,58.0,,,,,
,,2009 - 2010,58.0,,,,,
,,2010 - 2011,58.0,,,,,
,,2011 - 2012,58.0,,,,,
,,2012 - 2013,60.0,,,,,
,,2013 - 2014,64.0,,,,,
,,2014 - 2015,65.0,,,,,
,,2015 - 2016,65.0,,,,,
,,2016 - 2017,65.0,,,,,
,,2017 - 2018,68.0,,,,,
,,2018 - 2019,75.0,,,,,
,,2019 - 2020,78.0,,,,,
