state,district,year,safflower_rabi_area_hectare,safflower_rabi_production_tonne,safflower_rabi_yield_tonne_per_hectare,safflower_kharif_area_hectare,safflower_kharif_production_tonne,safflower_kharif_yield_tonne_per_hectare,safflower_whole_year_area_hectare,safflower_whole_year_production_tonne,safflower_whole_year_yield_tonne_per_hectare
,,2001 - 2002,180.0,40.0,0.22,,,,,,
,,2002 - 2003,150.0,30.0,0.2,,,,,,
,,2003 - 2004,150.0,30.0,0.2,,,,,,
,,2004 - 2005,138.0,36.0,0.26,,,,,,
,,2019 - 2020,160.0,90.0,0.56,,,,,,
,Nayagarh,2001 - 2002,50.0,20.0,0.4,,,,,,
,,2002 - 2003,10.0,10.0,1.0,,,,,,
,,2003 - 2004,10.0,10.0,1.0,,,,,,
,,2004 - 2005,12.0,5.0,0.42,,,,,,
,Nuapada,2001 - 2002,810.0,680.0,0.84,,,,,,
,,2002 - 2003,190.0,10.0,0.05,,,,,,
,,2003 - 2004,210.0,30.0,0.14,,,,,,
,,2004 - 2005,127.0,41.0,0.32,,,,,,
,Sambalpur,2001 - 2002,200.0,80.0,0.4,,,,,,
,Sonepur,2001 - 2002,70.0,30.0,0.43,,,,,,
,Sundargarh,2001 - 2002,120.0,100.0,0.83,,,,,,
,,2002 - 2003,10.0,,0.0,,,,,,
,,2003 - 2004,60.0,20.0,0.33,,,,,,
,,2004 - 2005,15.0,5.0,0.33,,,,,,
Telangana,Adilabad,2000 - 2001,348.0,152.0,0.44,,,,,,
,,2001 - 2002,,518.0,0.34,,,,,,
,,2002 - 2003,735.0,207.0,0.28,,,,,,
,,2003 - 2004,711.0,221.0,0.31,,,,,,
,,2004 - 2005,546.0,247.0,0.45,,,,,,
,,2005 - 2006,493.0,232.0,0.47,,,,,,
,,2006 - 2007,333.0,214.0,0.64,,,,,,
,,2009 - 2010,174.0,76.0,0.44,,,,,,
,,2010 - 2011,112.0,76.0,0.68,,,,,,
,,2011 - 2012,166.0,124.0,0.75,,,,,,
,,2013 - 2014,309.0,218.0,0.71,,,,,,
,,2014 - 2015,41.0,31.0,0.76,,,,,,
,,2015 - 2016,3.0,2.0,0.67,,,,,,
,,2018 - 2019,8.0,5.0,0.63,,,,,,
,,2019 - 2020,16.0,18.0,1.13,,,,,,
,,2020 - 2021,5.0,5.0,1.0,,,,,,
,,2021 - 2022,39.0,38.0,0.97,,,,,,
,,2022 - 2023,18.0,16.0,0.89,,,,,,
,Bhadradri,2021 - 2022,1.0,1.0,1.0,,,,,,
,Jagitial,2022 - 2023,1.0,1.0,1.0,,,,,,
,Jangoan,2021 - 2022,42.0,41.0,0.98,2.0,2.0,1.0,,,
,,2022 - 2023,1.0,1.0,1.0,1.0,1.0,1.0,,,
,Jogulamba,2019 - 2020,2.0,2.0,1.0,,,,,,
,,2020 - 2021,7.0,7.0,1.0,,,,,,
,,2021 - 2022,5.0,5.0,1.0,,,,,,
,,2022 - 2023,4.0,4.0,1.0,,,,,,
,Kamareddy,2016 - 2017,756.0,642.0,0.85,,,,,,
,,2017 - 2018,913.0,198.0,0.22,,,,,,
,,2018 - 2019,740.0,283.0,0.38,,,,,,
,,2019 - 2020,115.0,114.0,0.99,,,,,,
,,2020 - 2021,109.0,101.0,0.93,,,,,,
,,2021 - 2022,275.0,170.0,0.62,,,,,,
,,2022 - 2023,540.0,486.0,0.9,,,,,,
,Karimnagar,2001 - 2002,16.0,5.0,0.31,,,,,,
,,2002 - 2003,2.0,1.0,0.5,,,,,,
,,2003 - 2004,218.0,68.0,0.31,,,,,,
,,2021 - 2022,9.0,9.0,1.0,,,,,,
,,2022 - 2023,4.0,4.0,1.0,,,,,,
,Khammam,2005 - 2006,18.0,8.0,0.44,,,,,,
,,2021 - 2022,3.0,3.0,1.0,,,,,,
,Komaram bheem asifabad,2020 - 2021,1.0,1.0,1.0,,,,,,
,,2021 - 2022,15.0,15.0,1.0,,,,,,
,,2022 - 2023,16.0,14.0,0.88,,,,,,
,Mahabubabad,2021 - 2022,8.0,8.0,1.0,,,,,,
,Mahbubnagar,2000 - 2001,,694.0,0.44,,,,,,
,,2001 - 2002,813.0,274.0,0.34,,,,,,
,,2002 - 2003,,774.0,0.41,,,,,,
,,2003 - 2004,915.0,285.0,0.31,,,,,,
,,2004 - 2005,609.0,275.0,0.45,,,,,,
,,2005 - 2006,660.0,310.0,0.47,,,,,,
,,2006 - 2007,728.0,167.0,0.23,,,,,,
,,2008 - 2009,789.0,170.0,0.22,,,,,,
,,2009 - 2010,595.0,366.0,0.62,,,,,,
,,2010 - 2011,894.0,606.0,0.68,,,,,,
,,2011 - 2012,823.0,613.0,0.74,,,,,,
,,2013 - 2014,118.0,83.0,0.7,,,,,,
,,2014 - 2015,300.0,224.0,0.75,,,,,,
,,2015 - 2016,311.0,518.0,1.67,,,,,,
,,2016 - 2017,192.0,132.0,0.69,,,,,,
,,2017 - 2018,107.0,61.0,0.57,,,,,,
,,2019 - 2020,2.0,2.0,1.0,,,,,,
,,2020 - 2021,6.0,6.0,1.0,,,,,,
,,2021 - 2022,33.0,33.0,1.0,5.0,5.0,1.0,,,
,,2022 - 2023,4.0,4.0,1.0,1.0,1.0,1.0,,,
,Mancherial,2016 - 2017,6.0,4.0,0.67,,,,,,
,,2018 - 2019,2.0,1.0,0.5,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,
,,2022 - 2023,3.0,3.0,1.0,,,,,,
,Medak,2000 - 2001,,,0.44,,,,,,
,,2001 - 2002,,,0.4,,,,,,
,,2002 - 2003,,,0.35,,,,,,
,,2003 - 2004,,,0.24,,,,,,
,,2004 - 2005,,,0.41,,,,,,
,,2005 - 2006,,,0.36,,,,,,
,,2006 - 2007,,,0.68,,,,,,
,,2008 - 2009,,,0.44,,,,,,
,,2009 - 2010,,,0.42,,,,,,
,,2010 - 2011,,,0.68,,,,,,
,,2011 - 2012,,,0.73,,,,,,
,,2013 - 2014,,,0.61,,,,,,
,,2014 - 2015,,846.0,0.54,,,,,,
,,2015 - 2016,,,0.69,,,,,,
,,2016 - 2017,46.0,19.0,0.41,,,,,,
,,2017 - 2018,36.0,20.0,0.56,,,,,,
,,2018 - 2019,12.0,7.0,0.58,,,,,,
,,2019 - 2020,12.0,13.0,1.08,,,,,,
,,2020 - 2021,15.0,14.0,0.93,,,,,,
,,2021 - 2022,69.0,68.0,0.99,,,,,,
,,2022 - 2023,26.0,23.0,0.88,,,,,,
,Medchal,2021 - 2022,1.0,1.0,1.0,,,,,,
,,2022 - 2023,,,,1.0,1.0,1.0,,,
,Mulugu,2021 - 2022,1.0,1.0,1.0,,,,,,
,Nagarkurnool,2020 - 2021,17.0,16.0,0.94,,,,,,
,,2021 - 2022,68.0,67.0,0.99,,,,,,
,,2022 - 2023,17.0,15.0,0.88,,,,,,
,Nalgonda,2000 - 2001,237.0,104.0,0.44,,,,,,
,,2001 - 2002,502.0,169.0,0.34,,,,,,
,,2004 - 2005,12.0,5.0,0.42,,,,,,
,,2008 - 2009,3.0,2.0,0.67,,,,,,
,,2009 - 2010,32.0,14.0,0.44,,,,,,
,,2011 - 2012,3.0,2.0,0.67,,,,,,
,,2021 - 2022,19.0,19.0,1.0,,,,,,
,,2022 - 2023,2.0,2.0,1.0,,,,,,
,Narayanapet,2018 - 2019,4.0,2.0,0.5,,,,,,
,,2019 - 2020,21.0,23.0,1.1,,,,,,
,,2020 - 2021,84.0,78.0,0.93,,,,,,
,,2021 - 2022,180.0,178.0,0.99,,,,,,
,,2022 - 2023,388.0,349.0,0.9,1.0,1.0,1.0,,,
,Nirmal,2016 - 2017,314.0,208.0,0.66,,,,,,
,,2017 - 2018,504.0,286.0,0.57,,,,,,
,,2018 - 2019,173.0,196.0,1.13,,,,,,
,,2019 - 2020,107.0,118.0,1.1,,,,,,
,,2020 - 2021,51.0,47.0,0.92,,,,,,
,,2021 - 2022,25.0,25.0,1.0,,,,,,
,,2022 - 2023,43.0,39.0,0.91,,,,,,
,Nizamabad,2000 - 2001,,937.0,0.44,,,,,,
,,2001 - 2002,,218.0,0.12,,,,,,
,,2002 - 2003,,624.0,0.28,,,,,,
,,2003 - 2004,,586.0,0.31,,,,,,
,,2004 - 2005,,,0.51,,,,,,
,,2005 - 2006,,,0.47,,,,,,
,,2006 - 2007,,956.0,0.56,,,,,,
,,2008 - 2009,,,0.6,,,,,,
,,2009 - 2010,,,0.43,,,,,,
,,2010 - 2011,,,0.6,,,,,,
,,2011 - 2012,969.0,576.0,0.59,,,,,,
,,2013 - 2014,,,0.7,,,,,,
,,2014 - 2015,,,0.97,,,,,,
,,2015 - 2016,901.0,204.0,0.23,,,,,,
,,2016 - 2017,814.0,691.0,0.85,,,,,,
,,2017 - 2018,451.0,380.0,0.84,,,,,,
,,2018 - 2019,211.0,467.0,2.21,,,,,,
,,2019 - 2020,297.0,646.0,2.18,,,,,,
,,2020 - 2021,25.0,18.0,0.72,,,,,,
,,2021 - 2022,73.0,72.0,0.99,,,,,,
,,2022 - 2023,112.0,101.0,0.9,,,,,,
,Peddapalli,2021 - 2022,6.0,6.0,1.0,,,,,,
,Rajanna,2021 - 2022,33.0,33.0,1.0,1.0,1.0,1.0,,,
,Rangareddi,2000 - 2001,,,0.44,,,,,,
,,2001 - 2002,,,0.34,,,,,,
,,2002 - 2003,,,0.53,,,,,,
,,2003 - 2004,,,0.49,,,,,,
,,2004 - 2005,,,0.45,,,,,,
,,2005 - 2006,,,0.73,,,,,,
,,2006 - 2007,,,0.71,,,,,,
,,2008 - 2009,,,0.72,,,,,,
,,2009 - 2010,,898.0,0.41,,,,,,
,,2010 - 2011,,,0.68,,,,,,
,,2011 - 2012,,,0.89,,,,,,
,,2013 - 2014,,,1.03,,,,,,
,,2014 - 2015,796.0,590.0,0.74,,,,,,
,,2015 - 2016,381.0,292.0,0.77,,,,,,
,,2016 - 2017,151.0,154.0,1.02,5.0,5.0,1.0,,,
,,2017 - 2018,92.0,52.0,0.57,,,,,,
,,2018 - 2019,63.0,38.0,0.6,,,,,,
,,2019 - 2020,317.0,350.0,1.1,1.0,,0.0,,,
,,2020 - 2021,934.0,,1.26,7.0,9.0,1.29,,,
,,2021 - 2022,,,1.52,5.0,8.0,1.6,,,
,,2022 - 2023,,,0.95,10.0,10.0,1.0,,,
,Sangareddy,2016 - 2017,,719.0,0.41,,,,,,
,,2017 - 2018,,911.0,0.63,,,,,,
,,2018 - 2019,,396.0,0.36,,,,,,
,,2019 - 2020,569.0,354.0,0.62,,,,,,
,,2020 - 2021,,770.0,0.74,,,,,,
,,2021 - 2022,,,0.62,,,,,,
,,2022 - 2023,,,0.94,,,,,,
,Siddipet,2020 - 2021,24.0,22.0,0.92,,,,,,
,,2021 - 2022,337.0,333.0,0.99,,,,,,
,,2022 - 2023,39.0,51.0,1.31,,,,,,
,Suryapet,2021 - 2022,2.0,2.0,1.0,,,,,,
,Vikarabad,2016 - 2017,318.0,323.0,1.02,,,,,,
,,2017 - 2018,317.0,281.0,0.89,,,,,,
,,2018 - 2019,245.0,148.0,0.6,,,,,,
,,2019 - 2020,126.0,110.0,0.87,,,,,,
,,2020 - 2021,713.0,561.0,0.79,,,,,,
,,2021 - 2022,,,0.94,11.0,10.0,0.91,,,
,,2022 - 2023,,,0.8,39.0,31.0,0.79,,,
,Wanaparthy,2021 - 2022,1.0,1.0,1.0,,,,,,
,Warangal,2001 - 2002,3.0,1.0,0.33,,,,,,
,,2003 - 2004,17.0,5.0,0.29,,,,,,
,,2004 - 2005,16.0,7.0,0.44,,,,,,
,,2005 - 2006,75.0,35.0,0.47,,,,,,
,,2008 - 2009,7.0,4.0,0.57,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Warangal urban,2021 - 2022,41.0,40.0,0.98,13.0,13.0,1.0,,,
,,2022 - 2023,7.0,6.0,0.86,,,,,,
,Yadadri,2020 - 2021,1.0,1.0,1.0,,,,,,
,,2021 - 2022,35.0,35.0,1.0,3.0,3.0,1.0,,,
,,2022 - 2023,8.0,7.0,0.88,4.0,4.0,1.0,,,
West Bengal,paraganas north,2003 - 2004,,907.0,0.89,,,,,,
,,2007 - 2008,140.0,382.0,2.73,,,,,,
,,2009 - 2010,437.0,427.0,0.98,,,,,,
,,2010 - 2011,42.0,58.0,1.38,,,,,,
,,2011 - 2012,35.0,39.0,1.11,,,,,,
,,2012 - 2013,80.0,87.0,1.09,,,,,,
,,2013 - 2014,58.0,60.0,1.03,,,,,,
,,2014 - 2015,58.0,62.0,1.07,,,,,,
,,2015 - 2016,,,,69.0,75.0,1.09,,,
,,2016 - 2017,,,,74.0,81.0,1.09,,,
,Birbhum,2000 - 2001,11.0,3.0,0.27,,,,,,
,,2001 - 2002,31.0,9.0,0.29,,,,,,
,,2002 - 2003,3.0,1.0,0.33,,,,,,
,,2003 - 2004,37.0,8.0,0.22,,,,,,
,,2005 - 2006,58.0,18.0,0.31,,,,,,
,,2006 - 2007,48.0,24.0,0.5,,,,,,
,,2007 - 2008,75.0,63.0,0.84,,,,,,
,,2008 - 2009,127.0,98.0,0.77,,,,,,
,,2009 - 2010,15.0,13.0,0.87,,,,,,
,,2010 - 2011,20.0,16.0,0.8,,,,,,
,,2011 - 2012,17.0,7.0,0.41,,,,,,
,,2012 - 2013,21.0,9.0,0.43,,,,,,
,,2013 - 2014,19.0,8.0,0.42,,,,,,
,,2014 - 2015,20.0,8.0,0.4,,,,,,
,,2015 - 2016,,,,21.0,9.0,0.43,,,
,,2016 - 2017,,,,20.0,9.0,0.45,,,
,,2017 - 2018,,,,13.0,11.0,0.85,,,
,,2020 - 2021,16.0,10.0,0.63,,,,,,
,,2021 - 2022,15.0,9.0,0.6,,,,,,
,,2022 - 2023,10.0,6.0,0.6,,,,,,
,Darjeeling,2006 - 2007,5.0,3.0,0.6,,,,,,
,,2007 - 2008,5.0,7.0,1.4,,,,,,
,,2008 - 2009,5.0,5.0,1.0,,,,,,
,,2010 - 2011,8.0,11.0,1.38,,,,,,
,Dinajpur dakshin,2014 - 2015,1.0,1.0,1.0,,,,,,
,,2015 - 2016,,,,1.0,1.0,1.0,,,
,,2016 - 2017,,,,2.0,2.0,1.0,,,
,Dinajpur uttar,2004 - 2005,50.0,25.0,0.5,,,,,,
,,2005 - 2006,54.0,32.0,0.59,,,,,,
,,2006 - 2007,55.0,36.0,0.65,,,,,,
,,2007 - 2008,53.0,31.0,0.58,,,,,,
,,2008 - 2009,23.0,16.0,0.7,,,,,,
,,2009 - 2010,27.0,19.0,0.7,,,,,,
,,2010 - 2011,45.0,31.0,0.69,,,,,,
,,2011 - 2012,18.0,15.0,0.83,,,,,,
,Jalpaiguri,2006 - 2007,30.0,9.0,0.3,,,,,,
,,2007 - 2008,80.0,67.0,0.84,,,,,,
,,2008 - 2009,55.0,38.0,0.69,,,,,,
,,2010 - 2011,60.0,77.0,1.28,,,,,,
,,2012 - 2013,60.0,77.0,1.28,,,,,,
,,2013 - 2014,60.0,77.0,1.28,,,,,,
,,2014 - 2015,63.0,87.0,1.38,,,,,,
,,2015 - 2016,,,,62.0,82.0,1.32,,,
,,2016 - 2017,,,,63.0,85.0,1.35,,,
,,2017 - 2018,,,,55.0,62.0,1.13,,,
,Medinipur west,2005 - 2006,190.0,120.0,0.63,,,,,,
,,2006 - 2007,247.0,161.0,0.65,,,,,,
,,2007 - 2008,438.0,280.0,0.64,,,,,,
,,2008 - 2009,79.0,54.0,0.68,,,,,,
,,2009 - 2010,80.0,56.0,0.7,,,,,,
,,2010 - 2011,285.0,205.0,0.72,,,,,,
,,2011 - 2012,272.0,231.0,0.85,,,,,,
,,2012 - 2013,279.0,218.0,0.78,,,,,,
,,2013 - 2014,279.0,206.0,0.74,,,,,,
,,2014 - 2015,280.0,220.0,0.79,,,,,,
,,2015 - 2016,,,,279.0,220.0,0.79,,,
,,2016 - 2017,,,,280.0,221.0,0.79,,,
,Murshidabad,2007 - 2008,4.0,5.0,1.25,,,,,,
,,2008 - 2009,2.0,2.0,1.0,,,,,,
,,2011 - 2012,37.0,37.0,1.0,,,,,,
,Nadia,2002 - 2003,5.0,14.0,2.8,,,,,,
,,2003 - 2004,290.0,47.0,0.16,,,,,,
,,2004 - 2005,255.0,362.0,1.42,,,,,,
,Purba bardhaman,2000 - 2001,18.0,6.0,0.33,,,,,,
,,2001 - 2002,27.0,13.0,0.48,,,,,,
,,2002 - 2003,31.0,16.0,0.52,,,,,,
,,2003 - 2004,23.0,16.0,0.7,,,,,,
,,2004 - 2005,20.0,13.0,0.65,,,,,,
,,2005 - 2006,19.0,13.0,0.68,,,,,,
,,2006 - 2007,14.0,9.0,0.64,,,,,,
,,2007 - 2008,11.0,6.0,0.55,,,,,,
,,2009 - 2010,2.0,1.0,0.5,,,,,,
,,2010 - 2011,5.0,3.0,0.6,,,,,,
,,2011 - 2012,5.0,4.0,0.8,,,,,,
,,2012 - 2013,4.0,3.0,0.75,,,,,,
,,2013 - 2014,9.0,6.0,0.67,,,,,,
,,2014 - 2015,10.0,6.0,0.6,,,,,,
,,2015 - 2016,,,,3.0,2.0,0.67,,,
,,2016 - 2017,,,,7.0,5.0,0.71,,,
,,2017 - 2018,,,,8.0,6.0,0.75,,,
,,2018 - 2019,,,,6.0,4.0,0.67,,,
,Purulia,2004 - 2005,94.0,62.0,0.66,,,,,,
,,2007 - 2008,59.0,57.0,0.97,,,,,,
,,2008 - 2009,59.0,57.0,0.97,,,,,,
,,2009 - 2010,29.0,24.0,0.83,,,,,,
,,2010 - 2011,61.0,40.0,0.66,,,,,,
,,2011 - 2012,38.0,29.0,0.76,,,,,,
,,2012 - 2013,43.0,31.0,0.72,,,,,,
,,2013 - 2014,47.0,33.0,0.7,,,,,,
,,2014 - 2015,54.0,37.0,0.69,,,,,,
,,2015 - 2016,,,,51.0,35.0,0.69,,,
,,2016 - 2017,,,,52.0,36.0,0.69,,,
,,2017 - 2018,,,,25.0,20.0,0.8,,,
