state,district,year,coriander_whole_year_area_hectare,coriander_whole_year_production_tonne,coriander_whole_year_yield_tonne_per_hectare,coriander_kharif_area_hectare,coriander_kharif_production_tonne,coriander_kharif_yield_tonne_per_hectare,coriander_rabi_area_hectare,coriander_rabi_production_tonne,coriander_rabi_yield_tonne_per_hectare
,,2011 - 2012,13.0,6.0,0.46,,,,,,
,,2013 - 2014,2.0,1.0,0.5,,,,,,
,,2014 - 2015,9.0,8.0,0.89,,,,,,
,,2015 - 2016,6.0,4.0,0.67,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,
,Virudhunagar,2000 - 2001,,396.0,0.18,,,,,,
,,2002 - 2003,,724.0,0.19,,,,,,
,,2003 - 2004,,,0.21,,,,,,
,,2004 - 2005,,,0.63,,,,,,
,,2005 - 2006,,,0.38,,,,,,
,,2006 - 2007,,,0.43,,,,,,
,,2007 - 2008,,,0.64,,,,,,
,,2008 - 2009,,,0.59,,,,,,
,,2009 - 2010,,,0.41,,,,,,
,,2011 - 2012,,,0.72,,,,,,
,,2013 - 2014,,724.0,0.62,,,,,,
,,2014 - 2015,,,0.55,,,,,,
,,2015 - 2016,,759.0,0.27,,,,,,
,,2016 - 2017,,507.0,0.27,,,,,,
,,2017 - 2018,,555.0,0.29,,,,,,
,,2018 - 2019,,490.0,0.38,,,,,,
,,2019 - 2020,,567.0,0.42,,,,,,
,,2020 - 2021,,639.0,0.36,,,,,,
,,2021 - 2022,,998.0,0.58,,,,,,
,,2022 - 2023,,,0.86,,,,,,
Telangana,Adilabad,2000 - 2001,,830.0,0.26,,,,,,
,,2001 - 2002,,,0.49,,,,,,
,,2002 - 2003,,500.0,0.42,,,,,,
,,2003 - 2004,,545.0,0.27,,,,,,
,,2004 - 2005,,893.0,0.6,,,,,,
,,2005 - 2006,923.0,388.0,0.42,,,,,,
,,2006 - 2007,731.0,408.0,0.56,,,,,,
,,2008 - 2009,941.0,510.0,0.54,,,,,,
,,2009 - 2010,726.0,823.0,1.13,,,,,,
,,2010 - 2011,300.0,203.0,0.68,,,,,,
,,2011 - 2012,46.0,27.0,0.59,,,,,,
,,2013 - 2014,283.0,203.0,0.72,,,,,,
,,2014 - 2015,898.0,215.0,0.24,,,,,,
,,2015 - 2016,,,,,,,565.0,192.0,0.34
,,2016 - 2017,,,,,,,244.0,172.0,0.7
,,2017 - 2018,,,,,,,202.0,210.0,1.04
,,2018 - 2019,,,,,,,263.0,263.0,1.0
,,2019 - 2020,,,,,,,59.0,134.0,2.27
,,2020 - 2021,,,,,,,156.0,165.0,1.06
,,2021 - 2022,,,,1.0,1.0,1.0,200.0,163.0,0.82
,,2022 - 2023,,,,1.0,0.0,0.0,352.0,118.0,0.34
,Jagitial,2020 - 2021,,,,,,,5.0,5.0,1.0
,,2021 - 2022,,,,,,,1.0,1.0,1.0
,Jangoan,2019 - 2020,,,,1.0,1.0,1.0,1.0,1.0,1.0
,,2020 - 2021,,,,2.0,2.0,1.0,19.0,20.0,1.05
,,2021 - 2022,,,,1.0,1.0,1.0,28.0,17.0,0.61
,,2022 - 2023,,,,,,,1.0,1.0,1.0
,Jayashankar,2016 - 2017,,,,,,,14.0,9.0,0.64
,,2020 - 2021,,,,,,,2.0,2.0,1.0
,Jogulamba,2021 - 2022,,,,,,,6.0,4.0,0.67
,,2022 - 2023,,,,,,,2.0,1.0,0.5
,Kamareddy,2016 - 2017,,,,,,,252.0,212.0,0.84
,,2017 - 2018,,,,,,,243.0,266.0,1.09
,,2018 - 2019,,,,,,,124.0,109.0,0.88
,,2019 - 2020,,,,,,,243.0,145.0,0.6
,,2020 - 2021,,,,,,,295.0,113.0,0.38
,,2021 - 2022,,,,1.0,1.0,1.0,435.0,229.0,0.53
,,2022 - 2023,,,,,,,,738.0,0.61
,Karimnagar,2000 - 2001,33.0,9.0,0.27,,,,,,
,,2001 - 2002,47.0,23.0,0.49,,,,,,
,,2002 - 2003,41.0,17.0,0.41,,,,,,
,,2003 - 2004,119.0,33.0,0.28,,,,,,
,,2004 - 2005,41.0,24.0,0.59,,,,,,
,,2005 - 2006,52.0,22.0,0.42,,,,,,
,,2006 - 2007,30.0,17.0,0.57,,,,,,
,,2008 - 2009,31.0,17.0,0.55,,,,,,
,,2009 - 2010,9.0,6.0,0.67,,,,,,
,,2010 - 2011,27.0,18.0,0.67,,,,,,
,,2011 - 2012,9.0,5.0,0.56,,,,,,
,,2013 - 2014,27.0,19.0,0.7,,,,,,
,,2014 - 2015,15.0,4.0,0.27,,,,,,
,,2015 - 2016,,,,,,,8.0,3.0,0.38
,,2016 - 2017,,,,4.0,3.0,0.75,,,
,,2018 - 2019,,,,,,,1.0,1.0,1.0
,,2019 - 2020,,,,,,,13.0,12.0,0.92
,Khammam,2005 - 2006,2.0,1.0,0.5,,,,,,
,,2006 - 2007,6.0,3.0,0.5,,,,,,
,,2008 - 2009,4.0,2.0,0.5,,,,,,
,,2009 - 2010,8.0,5.0,0.63,,,,,,
,Komaram bheem asifabad,2018 - 2019,,,,2.0,2.0,1.0,,,
,,2019 - 2020,,,,,,,13.0,12.0,0.92
,,2020 - 2021,,,,,,,9.0,10.0,1.11
,,2021 - 2022,,,,,,,2.0,1.0,0.5
,,2022 - 2023,,,,,,,1.0,1.0,1.0
,Mahbubnagar,2000 - 2001,232.0,60.0,0.26,,,,,,
,,2001 - 2002,606.0,298.0,0.49,,,,,,
,,2002 - 2003,549.0,229.0,0.42,,,,,,
,,2003 - 2004,,387.0,0.27,,,,,,
,,2004 - 2005,445.0,265.0,0.6,,,,,,
,,2005 - 2006,440.0,185.0,0.42,,,,,,
,,2006 - 2007,311.0,174.0,0.56,,,,,,
,,2008 - 2009,291.0,191.0,0.66,,,,,,
,,2009 - 2010,264.0,251.0,0.95,,,,,,
,,2010 - 2011,25.0,17.0,0.68,,,,,,
,,2022 - 2023,,,,,,,1.0,1.0,1.0
,Mancherial,2019 - 2020,,,,,,,1.0,1.0,1.0
,,2020 - 2021,,,,,,,13.0,14.0,1.08
,,2021 - 2022,,,,,,,1.0,1.0,1.0
,Medak,2000 - 2001,,892.0,0.26,,,,,,
,,2001 - 2002,,,0.49,,,,,,
,,2002 - 2003,,,0.42,,,,,,
,,2003 - 2004,,825.0,0.27,,,,,,
,,2004 - 2005,,,0.59,,,,,,
,,2005 - 2006,,810.0,0.34,,,,,,
,,2006 - 2007,,,0.59,,,,,,
,,2008 - 2009,,699.0,0.58,,,,,,
,,2009 - 2010,,830.0,0.48,,,,,,
,,2010 - 2011,,610.0,0.55,,,,,,
,,2011 - 2012,,619.0,0.56,,,,,,
,,2013 - 2014,471.0,337.0,0.72,,,,,,
,,2014 - 2015,288.0,69.0,0.24,,,,,,
,,2015 - 2016,,,,,,,137.0,52.0,0.38
,,2019 - 2020,,,,2.0,2.0,1.0,3.0,3.0,1.0
,,2021 - 2022,,,,,,,3.0,2.0,0.67
,,2022 - 2023,,,,,,,3.0,2.0,0.67
,Mulugu,2021 - 2022,,,,,,,1.0,1.0,1.0
,Nalgonda,2000 - 2001,470.0,123.0,0.26,,,,,,
,,2001 - 2002,695.0,342.0,0.49,,,,,,
,,2002 - 2003,876.0,366.0,0.42,,,,,,
,,2003 - 2004,,743.0,0.27,,,,,,
,,2004 - 2005,,,0.59,,,,,,
,,2005 - 2006,,933.0,0.52,,,,,,
,,2006 - 2007,,999.0,0.53,,,,,,
,,2008 - 2009,,712.0,0.52,,,,,,
,,2009 - 2010,,711.0,0.52,,,,,,
,,2010 - 2011,506.0,343.0,0.68,,,,,,
,,2011 - 2012,391.0,226.0,0.58,,,,,,
,,2013 - 2014,231.0,165.0,0.71,,,,,,
,,2014 - 2015,135.0,32.0,0.24,,,,,,
,,2015 - 2016,,,,,,,117.0,28.0,0.24
,,2017 - 2018,,,,10.0,,0.0,,,
,,2020 - 2021,,,,,,,4.0,4.0,1.0
,,2021 - 2022,,,,,,,7.0,4.0,0.57
,,2022 - 2023,,,,,,,2.0,1.0,0.5
,Narayanapet,2020 - 2021,,,,,,,1.0,1.0,1.0
,Nirmal,2016 - 2017,,,,,,,802.0,565.0,0.7
,,2017 - 2018,,,,,,,464.0,277.0,0.6
,,2018 - 2019,,,,,,,397.0,411.0,1.04
,,2019 - 2020,,,,,,,60.0,56.0,0.93
,,2020 - 2021,,,,1.0,1.0,1.0,63.0,67.0,1.06
,,2021 - 2022,,,,,,,51.0,24.0,0.47
,,2022 - 2023,,,,,,,43.0,27.0,0.63
,Nizamabad,2000 - 2001,744.0,194.0,0.26,,,,,,
,,2001 - 2002,532.0,262.0,0.49,,,,,,
,,2002 - 2003,428.0,179.0,0.42,,,,,,
,,2003 - 2004,470.0,129.0,0.27,,,,,,
,,2004 - 2005,381.0,227.0,0.6,,,,,,
,,2005 - 2006,371.0,156.0,0.42,,,,,,
,,2006 - 2007,243.0,136.0,0.56,,,,,,
,,2008 - 2009,241.0,105.0,0.44,,,,,,
,,2009 - 2010,277.0,175.0,0.63,,,,,,
,,2010 - 2011,323.0,219.0,0.68,,,,,,
,,2011 - 2012,190.0,110.0,0.58,,,,,,
,,2013 - 2014,265.0,190.0,0.72,,,,,,
,,2014 - 2015,205.0,49.0,0.24,,,,,,
,,2015 - 2016,,,,11.0,8.0,0.73,125.0,89.0,0.71
,,2016 - 2017,,,,,,,12.0,10.0,0.83
,,2017 - 2018,,,,5.0,4.0,0.8,24.0,20.0,0.83
,,2018 - 2019,,,,5.0,5.0,1.0,12.0,12.0,1.0
,,2019 - 2020,,,,2.0,2.0,1.0,60.0,56.0,0.93
,,2020 - 2021,,,,,,,60.0,29.0,0.48
,,2021 - 2022,,,,,,,10.0,14.0,1.4
,,2022 - 2023,,,,,,,73.0,46.0,0.63
,Peddapalli,2018 - 2019,,,,,,,2.0,2.0,1.0
,,2019 - 2020,,,,,,,1.0,1.0,1.0
,,2020 - 2021,,,,,,,2.0,2.0,1.0
,,2021 - 2022,,,,,,,2.0,1.0,0.5
,Rajanna,2018 - 2019,,,,,,,3.0,3.0,1.0
,,2019 - 2020,,,,,,,17.0,16.0,0.94
,,2020 - 2021,,,,1.0,1.0,1.0,27.0,29.0,1.07
,,2022 - 2023,,,,,,,9.0,6.0,0.67
,Rangareddi,2000 - 2001,298.0,78.0,0.26,,,,,,
,,2001 - 2002,343.0,168.0,0.49,,,,,,
,,2002 - 2003,343.0,143.0,0.42,,,,,,
,,2003 - 2004,214.0,59.0,0.28,,,,,,
,,2004 - 2005,343.0,204.0,0.59,,,,,,
,,2005 - 2006,341.0,143.0,0.42,,,,,,
,,2006 - 2007,369.0,206.0,0.56,,,,,,
,,2008 - 2009,55.0,30.0,0.55,,,,,,
,,2009 - 2010,212.0,134.0,0.63,,,,,,
,,2010 - 2011,130.0,88.0,0.68,,,,,,
,,2011 - 2012,129.0,75.0,0.58,,,,,,
,,2013 - 2014,79.0,48.0,0.61,,,,,,
,,2014 - 2015,18.0,4.0,0.22,,,,,,
,,2015 - 2016,,,,,,,13.0,5.0,0.38
,,2016 - 2017,,,,,,,19.0,12.0,0.63
,,2017 - 2018,,,,,,,16.0,13.0,0.81
,,2018 - 2019,,,,,,,54.0,54.0,1.0
,,2019 - 2020,,,,28.0,26.0,0.93,2.0,2.0,1.0
,,2020 - 2021,,,,6.0,6.0,1.0,9.0,10.0,1.11
,,2021 - 2022,,,,11.0,7.0,0.64,13.0,8.0,0.62
,,2022 - 2023,,,,2.0,1.0,0.5,3.0,2.0,0.67
,Sangareddy,2016 - 2017,,,,42.0,17.0,0.4,66.0,26.0,0.39
,,2017 - 2018,,,,,,,28.0,23.0,0.82
,,2018 - 2019,,,,,,,9.0,9.0,1.0
,,2019 - 2020,,,,10.0,9.0,0.9,9.0,8.0,0.89
,,2020 - 2021,,,,,,,55.0,58.0,1.05
,,2021 - 2022,,,,4.0,2.0,0.5,83.0,51.0,0.61
,,2022 - 2023,,,,1.0,1.0,1.0,258.0,270.0,1.05
,Siddipet,2016 - 2017,,,,,,,426.0,170.0,0.4
,,2017 - 2018,,,,1.0,1.0,1.0,152.0,126.0,0.83
,,2018 - 2019,,,,,,,44.0,44.0,1.0
,,2019 - 2020,,,,2.0,2.0,1.0,35.0,32.0,0.91
,,2020 - 2021,,,,1.0,1.0,1.0,25.0,27.0,1.08
,,2021 - 2022,,,,,,,54.0,33.0,0.61
,,2022 - 2023,,,,4.0,6.0,1.5,18.0,25.0,1.39
,Suryapet,2019 - 2020,,,,2.0,2.0,1.0,,,
,Vikarabad,2020 - 2021,,,,,,,6.0,6.0,1.0
,,2021 - 2022,,,,9.0,6.0,0.67,2.0,1.0,0.5
,,2022 - 2023,,,,2.0,1.0,0.5,5.0,3.0,0.6
,Warangal,2000 - 2001,294.0,77.0,0.26,,,,,,
,,2001 - 2002,504.0,248.0,0.49,,,,,,
,,2002 - 2003,711.0,297.0,0.42,,,,,,
,,2003 - 2004,718.0,197.0,0.27,,,,,,
,,2004 - 2005,631.0,376.0,0.6,,,,,,
,,2005 - 2006,706.0,296.0,0.42,,,,,,
,,2006 - 2007,366.0,204.0,0.56,,,,,,
,,2008 - 2009,162.0,56.0,0.35,,,,,,
,,2009 - 2010,193.0,68.0,0.35,,,,,,
,,2010 - 2011,102.0,69.0,0.68,,,,,,
,,2011 - 2012,97.0,56.0,0.58,,,,,,
,,2013 - 2014,22.0,16.0,0.73,,,,,,
,,2014 - 2015,38.0,9.0,0.24,,,,,,
,,2015 - 2016,,,,,,,33.0,13.0,0.39
,,2016 - 2017,,,,,,,27.0,17.0,0.63
,,2017 - 2018,,,,,,,75.0,62.0,0.83
,,2018 - 2019,,,,,,,96.0,96.0,1.0
,,2019 - 2020,,,,1.0,1.0,1.0,68.0,63.0,0.93
,,2020 - 2021,,,,,,,48.0,286.0,5.96
,Warangal urban,2020 - 2021,,,,,,,1.0,1.0,1.0
,Yadadri,2016 - 2017,,,,,,,37.0,19.0,0.51
,,2020 - 2021,,,,,,,1.0,1.0,1.0
,,2021 - 2022,,,,,,,10.0,6.0,0.6
,,2022 - 2023,,,,,,,11.0,7.0,0.64
Uttar Pradesh,Agra,2005 - 2006,102.0,58.0,0.57,,,,,,
,,2006 - 2007,65.0,34.0,0.52,,,,,,
,,2007 - 2008,,,,,,,69.0,40.0,0.58
,,2008 - 2009,,,,,,,74.0,44.0,0.59
,,2009 - 2010,,,,,,,54.0,30.0,0.56
,,2011 - 2012,,,,,,,78.0,43.0,0.55
,,2012 - 2013,,,,,,,34.0,18.0,0.53
,,2013 - 2014,,,,,,,60.0,33.0,0.55
,,2014 - 2015,,,,,,,65.0,31.0,0.48
,,2015 - 2016,,,,,,,39.0,13.0,0.33
,,2016 - 2017,,,,,,,55.0,29.0,0.53
,,2017 - 2018,,,,,,,50.0,26.0,0.52
,,2018 - 2019,,,,,,,23.0,18.0,0.78
,,2019 - 2020,,,,,,,46.0,33.0,0.72
,,2020 - 2021,,,,,,,43.0,34.0,0.79
,,2021 - 2022,,,,,,,43.0,32.0,0.74
,,2022 - 2023,,,,,,,41.0,31.0,0.76
,Aligarh,2005 - 2006,19.0,11.0,0.58,,,,,,
,,2006 - 2007,26.0,14.0,0.54,,,,,,
,,2007 - 2008,,,,,,,26.0,15.0,0.58
,,2008 - 2009,,,,,,,23.0,14.0,0.61
,,2009 - 2010,,,,,,,25.0,14.0,0.56
,,2011 - 2012,,,,,,,25.0,14.0,0.56
,,2012 - 2013,,,,,,,96.0,52.0,0.54
,,2013 - 2014,,,,,,,30.0,16.0,0.53
,,2014 - 2015,,,,,,,42.0,20.0,0.48
,,2015 - 2016,,,,,,,27.0,9.0,0.33
,,2016 - 2017,,,,,,,44.0,23.0,0.52
,,2017 - 2018,,,,,,,74.0,38.0,0.51
,,2018 - 2019,,,,,,,70.0,55.0,0.79
,,2019 - 2020,,,,,,,51.0,37.0,0.73
,,2020 - 2021,,,,,,,53.0,42.0,0.79
,,2021 - 2022,,,,,,,58.0,43.0,0.74
,,2022 - 2023,,,,,,,61.0,47.0,0.77
,Allahabad,2005 - 2006,20.0,11.0,0.55,,,,,,
,,2006 - 2007,38.0,20.0,0.53,,,,,,
,,2007 - 2008,,,,,,,23.0,13.0,0.57
,,2008 - 2009,,,,,,,52.0,31.0,0.6
,,2009 - 2010,,,,,,,68.0,39.0,0.57
,,2011 - 2012,,,,,,,21.0,12.0,0.57
,,2012 - 2013,,,,,,,17.0,9.0,0.53
,,2013 - 2014,,,,,,,15.0,8.0,0.53
,,2014 - 2015,,,,,,,12.0,6.0,0.5
,,2015 - 2016,,,,,,,41.0,14.0,0.34
,,2016 - 2017,,,,,,,21.0,11.0,0.52
,,2017 - 2018,,,,,,,22.0,11.0,0.5
,,2018 - 2019,,,,,,,23.0,18.0,0.78
,,2019 - 2020,,,,,,,25.0,18.0,0.72
,,2020 - 2021,,,,,,,23.0,18.0,0.78
,,2021 - 2022,,,,,,,24.0,18.0,0.75
,,2022 - 2023,,,,,,,42.0,32.0,0.76
,Ambedkar nagar,2005 - 2006,69.0,39.0,0.57,,,,,,
,,2006 - 2007,65.0,34.0,0.52,,,,,,
,,2007 - 2008,,,,,,,76.0,44.0,0.58
,,2008 - 2009,,,,,,,68.0,41.0,0.6
,,2009 - 2010,,,,,,,246.0,140.0,0.57
,,2011 - 2012,,,,,,,88.0,49.0,0.56
,,2012 - 2013,,,,,,,111.0,60.0,0.54
,,2013 - 2014,,,,,,,154.0,84.0,0.55
,,2014 - 2015,,,,,,,241.0,117.0,0.49
,,2015 - 2016,,,,,,,144.0,50.0,0.35
,,2016 - 2017,,,,,,,177.0,92.0,0.52
,,2017 - 2018,,,,,,,178.0,93.0,0.52
,,2018 - 2019,,,,,,,179.0,142.0,0.79
,,2019 - 2020,,,,,,,184.0,133.0,0.72
,,2020 - 2021,,,,,,,172.0,135.0,0.78
,,2021 - 2022,,,,,,,187.0,140.0,0.75
,,2022 - 2023,,,,,,,180.0,138.0,0.77
,Amethi,2012 - 2013,,,,,,,29.0,15.0,0.52
,,2013 - 2014,,,,,,,27.0,15.0,0.56
,,2014 - 2015,,,,,,,30.0,15.0,0.5
,,2015 - 2016,,,,,,,43.0,15.0,0.35
,,2016 - 2017,,,,,,,32.0,17.0,0.53
,,2017 - 2018,,,,,,,32.0,17.0,0.53
,,2018 - 2019,,,,,,,33.0,26.0,0.79
,,2019 - 2020,,,,,,,28.0,20.0,0.71
,,2020 - 2021,,,,,,,28.0,22.0,0.79
,,2021 - 2022,,,,,,,25.0,18.0,0.72
,,2022 - 2023,,,,,,,29.0,22.0,0.76
,Auraiya,2005 - 2006,17.0,10.0,0.59,,,,,,
,,2006 - 2007,12.0,6.0,0.5,,,,,,
,,2007 - 2008,,,,,,,12.0,7.0,0.58
,,2008 - 2009,,,,,,,14.0,8.0,0.57
,,2009 - 2010,,,,,,,28.0,16.0,0.57
,,2011 - 2012,,,,,,,16.0,9.0,0.56
,,2012 - 2013,,,,,,,15.0,8.0,0.53
,,2013 - 2014,,,,,,,1.0,1.0,1.0
,,2014 - 2015,,,,,,,41.0,20.0,0.49
,,2015 - 2016,,,,,,,9.0,3.0,0.33
,,2016 - 2017,,,,,,,16.0,8.0,0.5
,,2017 - 2018,,,,,,,18.0,9.0,0.5
,,2018 - 2019,,,,,,,18.0,14.0,0.78
,,2019 - 2020,,,,,,,18.0,13.0,0.72
,,2020 - 2021,,,,,,,16.0,13.0,0.81
,,2021 - 2022,,,,,,,11.0,8.0,0.73
,,2022 - 2023,,,,,,,16.0,12.0,0.75
,Azamgarh,2005 - 2006,45.0,26.0,0.58,,,,,,
,,2006 - 2007,73.0,38.0,0.52,,,,,,
,,2007 - 2008,,,,,,,69.0,40.0,0.58
,,2008 - 2009,,,,,,,45.0,27.0,0.6
,,2009 - 2010,,,,,,,60.0,34.0,0.57
,,2011 - 2012,,,,,,,50.0,28.0,0.56
,,2012 - 2013,,,,,,,38.0,21.0,0.55
,,2013 - 2014,,,,,,,40.0,22.0,0.55
,,2014 - 2015,,,,,,,50.0,24.0,0.48
,,2015 - 2016,,,,,,,47.0,16.0,0.34
,,2016 - 2017,,,,,,,45.0,23.0,0.51
,,2017 - 2018,,,,,,,42.0,22.0,0.52
,,2018 - 2019,,,,,,,43.0,34.0,0.79
,,2019 - 2020,,,,,,,38.0,27.0,0.71
,,2020 - 2021,,,,,,,37.0,29.0,0.78
,,2021 - 2022,,,,,,,39.0,29.0,0.74
,,2022 - 2023,,,,,,,33.0,25.0,0.76
,Baghpat,2008 - 2009,,,,,,,2.0,1.0,0.5
,,2009 - 2010,,,,,,,2.0,1.0,0.5
,,2011 - 2012,,,,,,,1.0,1.0,1.0
,Bahraich,2005 - 2006,137.0,79.0,0.58,,,,,,
,,2006 - 2007,104.0,54.0,0.52,,,,,,
,,2007 - 2008,,,,,,,138.0,80.0,0.58
,,2008 - 2009,,,,,,,177.0,106.0,0.6
,,2009 - 2010,,,,,,,175.0,99.0,0.57
,,2011 - 2012,,,,,,,172.0,95.0,0.55
,,2012 - 2013,,,,,,,173.0,93.0,0.54
,,2013 - 2014,,,,,,,187.0,102.0,0.55
,,2014 - 2015,,,,,,,179.0,87.0,0.49
,,2015 - 2016,,,,,,,180.0,62.0,0.34
,,2016 - 2017,,,,,,,178.0,93.0,0.52
,,2017 - 2018,,,,,,,176.0,92.0,0.52
,,2018 - 2019,,,,,,,197.0,156.0,0.79
,,2019 - 2020,,,,,,,182.0,131.0,0.72
,,2020 - 2021,,,,,,,258.0,202.0,0.78
,,2021 - 2022,,,,,,,230.0,173.0,0.75
,,2022 - 2023,,,,,,,332.0,254.0,0.77
,Ballia,2005 - 2006,11.0,6.0,0.55,,,,,,
,,2006 - 2007,21.0,11.0,0.52,,,,,,
,,2007 - 2008,,,,,,,27.0,16.0,0.59
,,2008 - 2009,,,,,,,34.0,20.0,0.59
,,2009 - 2010,,,,,,,24.0,14.0,0.58
,,2011 - 2012,,,,,,,34.0,19.0,0.56
,,2012 - 2013,,,,,,,45.0,24.0,0.53
,,2013 - 2014,,,,,,,56.0,31.0,0.55
,,2014 - 2015,,,,,,,57.0,28.0,0.49
,,2015 - 2016,,,,,,,48.0,16.0,0.33
,,2016 - 2017,,,,,,,48.0,25.0,0.52
,,2017 - 2018,,,,,,,52.0,27.0,0.52
,,2018 - 2019,,,,,,,54.0,43.0,0.8
,,2019 - 2020,,,,,,,61.0,44.0,0.72
,,2020 - 2021,,,,,,,53.0,42.0,0.79
,,2021 - 2022,,,,,,,59.0,44.0,0.75
,,2022 - 2023,,,,,,,56.0,43.0,0.77
,Balrampur,2005 - 2006,81.0,46.0,0.57,,,,,,
,,2006 - 2007,87.0,45.0,0.52,,,,,,
,,2007 - 2008,,,,,,,75.0,43.0,0.57
,,2008 - 2009,,,,,,,87.0,52.0,0.6
,,2009 - 2010,,,,,,,59.0,34.0,0.58
,,2011 - 2012,,,,,,,55.0,30.0,0.55
,,2012 - 2013,,,,,,,43.0,23.0,0.53
,,2013 - 2014,,,,,,,17.0,9.0,0.53
,,2014 - 2015,,,,,,,44.0,21.0,0.48
,,2016 - 2017,,,,,,,84.0,44.0,0.52
,,2017 - 2018,,,,,,,38.0,20.0,0.53
,,2018 - 2019,,,,,,,37.0,29.0,0.78
,,2019 - 2020,,,,,,,52.0,38.0,0.73
,,2020 - 2021,,,,,,,53.0,42.0,0.79
,,2021 - 2022,,,,,,,64.0,48.0,0.75
,,2022 - 2023,,,,,,,49.0,37.0,0.76
,Banda,2005 - 2006,14.0,8.0,0.57,,,,,,
,,2006 - 2007,21.0,11.0,0.52,,,,,,
,,2007 - 2008,,,,,,,16.0,9.0,0.56
,,2008 - 2009,,,,,,,7.0,4.0,0.57
,,2009 - 2010,,,,,,,15.0,8.0,0.53
,,2011 - 2012,,,,,,,46.0,25.0,0.54
,,2012 - 2013,,,,,,,45.0,24.0,0.53
,,2013 - 2014,,,,,,,49.0,27.0,0.55
,,2014 - 2015,,,,,,,75.0,37.0,0.49
,,2015 - 2016,,,,,,,100.0,35.0,0.35
,,2016 - 2017,,,,,,,63.0,33.0,0.52
,,2017 - 2018,,,,,,,65.0,34.0,0.52
,,2018 - 2019,,,,,,,69.0,55.0,0.8
,,2019 - 2020,,,,,,,74.0,53.0,0.72
,,2020 - 2021,,,,,,,52.0,41.0,0.79
,,2021 - 2022,,,,,,,74.0,56.0,0.76
,,2022 - 2023,,,,,,,67.0,51.0,0.76
,Barabanki,2005 - 2006,548.0,314.0,0.57,,,,,,
,,2006 - 2007,679.0,353.0,0.52,,,,,,
,,2007 - 2008,,,,,,,590.0,342.0,0.58
,,2008 - 2009,,,,,,,508.0,303.0,0.6
,,2009 - 2010,,,,,,,577.0,328.0,0.57
,,2011 - 2012,,,,,,,694.0,384.0,0.55
,,2012 - 2013,,,,,,,521.0,282.0,0.54
,,2013 - 2014,,,,,,,604.0,331.0,0.55
,,2014 - 2015,,,,,,,643.0,312.0,0.49
,,2015 - 2016,,,,,,,640.0,220.0,0.34
,,2016 - 2017,,,,,,,612.0,319.0,0.52
,,2017 - 2018,,,,,,,604.0,315.0,0.52
,,2018 - 2019,,,,,,,631.0,500.0,0.79
,,2019 - 2020,,,,,,,565.0,408.0,0.72
,,2020 - 2021,,,,,,,610.0,479.0,0.79
,,2021 - 2022,,,,,,,605.0,454.0,0.75
,,2022 - 2023,,,,,,,516.0,395.0,0.77
,Bareilly,2005 - 2006,17.0,10.0,0.59,,,,,,
,,2006 - 2007,39.0,20.0,0.51,,,,,,
,,2007 - 2008,,,,,,,11.0,6.0,0.55
,,2008 - 2009,,,,,,,21.0,12.0,0.57
,,2009 - 2010,,,,,,,18.0,10.0,0.56
,,2011 - 2012,,,,,,,54.0,30.0,0.56
,,2012 - 2013,,,,,,,29.0,15.0,0.52
,,2013 - 2014,,,,,,,13.0,7.0,0.54
,,2014 - 2015,,,,,,,23.0,11.0,0.48
,,2015 - 2016,,,,,,,67.0,23.0,0.34
,,2016 - 2017,,,,,,,37.0,19.0,0.51
,,2017 - 2018,,,,,,,29.0,15.0,0.52
,,2018 - 2019,,,,,,,29.0,23.0,0.79
,,2019 - 2020,,,,,,,37.0,27.0,0.73
,,2020 - 2021,,,,,,,40.0,31.0,0.78
,,2021 - 2022,,,,,,,34.0,25.0,0.74
,,2022 - 2023,,,,,,,34.0,26.0,0.76
,Basti,2005 - 2006,10.0,6.0,0.6,,,,,,
,,2006 - 2007,10.0,5.0,0.5,,,,,,
,,2007 - 2008,,,,,,,10.0,6.0,0.6
,,2008 - 2009,,,,,,,44.0,26.0,0.59
,,2009 - 2010,,,,,,,47.0,27.0,0.57
,,2011 - 2012,,,,,,,44.0,24.0,0.55
,,2012 - 2013,,,,,,,42.0,23.0,0.55
,,2013 - 2014,,,,,,,43.0,24.0,0.56
,,2014 - 2015,,,,,,,52.0,25.0,0.48
,,2015 - 2016,,,,,,,24.0,8.0,0.33
,,2016 - 2017,,,,,,,51.0,27.0,0.53
,,2017 - 2018,,,,,,,42.0,22.0,0.52
,,2018 - 2019,,,,,,,42.0,33.0,0.79
,,2019 - 2020,,,,,,,42.0,30.0,0.71
,,2020 - 2021,,,,,,,40.0,31.0,0.78
,,2021 - 2022,,,,,,,47.0,35.0,0.74
,,2022 - 2023,,,,,,,43.0,33.0,0.77
,Budaun,2005 - 2006,34.0,19.0,0.56,,,,,,
,,2006 - 2007,31.0,16.0,0.52,,,,,,
,,2007 - 2008,,,,,,,68.0,39.0,0.57
,,2008 - 2009,,,,,,,53.0,32.0,0.6
,,2009 - 2010,,,,,,,66.0,37.0,0.56
,,2011 - 2012,,,,,,,110.0,61.0,0.55
,,2012 - 2013,,,,,,,151.0,82.0,0.54
,,2013 - 2014,,,,,,,58.0,32.0,0.55
,,2014 - 2015,,,,,,,174.0,84.0,0.48
,,2015 - 2016,,,,,,,168.0,58.0,0.35
