state,district,year,sweet_potato_whole_year_area_hectare,sweet_potato_whole_year_production_tonne,sweet_potato_whole_year_yield_tonne_per_hectare,sweet_potato_rabi_area_hectare,sweet_potato_rabi_production_tonne,sweet_potato_rabi_yield_tonne_per_hectare,sweet_potato_kharif_area_hectare,sweet_potato_kharif_production_tonne,sweet_potato_kharif_yield_tonne_per_hectare
,Thiruvarur,2002 - 2003,2.0,27.0,13.5,,,,,,
,,2003 - 2004,2.0,29.0,14.5,,,,,,
,,2004 - 2005,2.0,30.0,15.0,,,,,,
,,2005 - 2006,5.0,104.0,20.8,,,,,,
,,2006 - 2007,3.0,50.0,16.67,,,,,,
,,2018 - 2019,1.0,27.0,27.0,,,,,,
,,2019 - 2020,1.0,25.0,25.0,,,,,,
,,2020 - 2021,19.0,355.0,18.68,,,,,,
,,2021 - 2022,2.0,32.0,16.0,,,,,,
,,2022 - 2023,5.0,355.0,71.0,,,,,,
,Thoothukudi,2000 - 2001,15.0,182.0,12.13,,,,,,
,,2002 - 2003,51.0,697.0,13.67,,,,,,
,,2003 - 2004,64.0,928.0,14.5,,,,,,
,,2004 - 2005,89.0,,15.11,,,,,,
,,2005 - 2006,27.0,563.0,20.85,,,,,,
,,2006 - 2007,10.0,168.0,16.8,,,,,,
,,2007 - 2008,11.0,148.0,13.45,,,,,,
,,2008 - 2009,6.0,80.0,13.33,,,,,,
,,2009 - 2010,4.0,59.0,14.75,,,,,,
,,2011 - 2012,7.0,144.0,20.57,,,,,,
,,2013 - 2014,4.0,84.0,21.0,,,,,,
,,2014 - 2015,58.0,,17.59,,,,,,
,,2015 - 2016,75.0,,16.27,,,,,,
,,2016 - 2017,6.0,52.0,8.67,,,,,,
,,2017 - 2018,16.0,421.0,26.31,,,,,,
,,2018 - 2019,6.0,170.0,28.33,,,,,,
,,2019 - 2020,1.0,16.0,16.0,,,,,,
,,2020 - 2021,14.0,262.0,18.71,,,,,,
,,2021 - 2022,19.0,303.0,15.95,,,,,,
,,2022 - 2023,1.0,262.0,262.0,,,,,,
,Tiruchirappalli,2000 - 2001,77.0,933.0,12.12,,,,,,
,,2002 - 2003,24.0,328.0,13.67,,,,,,
,,2003 - 2004,56.0,811.0,14.48,,,,,,
,,2004 - 2005,41.0,620.0,15.12,,,,,,
,,2005 - 2006,39.0,813.0,20.85,,,,,,
,,2006 - 2007,14.0,235.0,16.79,,,,,,
,,2007 - 2008,10.0,136.0,13.6,,,,,,
,,2008 - 2009,4.0,53.0,13.25,,,,,,
,,2009 - 2010,5.0,73.0,14.6,,,,,,
,,2011 - 2012,9.0,184.0,20.44,,,,,,
,,2013 - 2014,2.0,42.0,21.0,,,,,,
,,2014 - 2015,3.0,53.0,17.67,,,,,,
,,2015 - 2016,1.0,16.0,16.0,,,,,,
,,2016 - 2017,6.0,55.0,9.17,,,,,,
,,2017 - 2018,6.0,158.0,26.33,,,,,,
,,2018 - 2019,5.0,122.0,24.4,,,,,,
,,2019 - 2020,5.0,114.0,22.8,,,,,,
,,2020 - 2021,5.0,94.0,18.8,,,,,,
,,2021 - 2022,1.0,21.0,21.0,,,,,,
,,2022 - 2023,1.0,94.0,94.0,,,,,,
,Tirunelveli,2000 - 2001,4.0,48.0,12.0,,,,,,
,,2002 - 2003,20.0,273.0,13.65,,,,,,
,,2003 - 2004,22.0,319.0,14.5,,,,,,
,,2004 - 2005,89.0,,15.11,,,,,,
,,2005 - 2006,35.0,730.0,20.86,,,,,,
,,2006 - 2007,28.0,470.0,16.79,,,,,,
,,2007 - 2008,19.0,258.0,13.58,,,,,,
,,2008 - 2009,59.0,784.0,13.29,,,,,,
,,2009 - 2010,22.0,322.0,14.64,,,,,,
,,2011 - 2012,43.0,881.0,20.49,,,,,,
,,2013 - 2014,176.0,,17.56,,,,,,
,,2014 - 2015,72.0,,14.13,,,,,,
,,2015 - 2016,76.0,,16.78,,,,,,
,,2016 - 2017,32.0,,0.0,,,,,,
,,2017 - 2018,32.0,986.0,30.81,,,,,,
,,2018 - 2019,52.0,,33.06,,,,,,
,,2019 - 2020,60.0,,35.85,,,,,,
,,2020 - 2021,25.0,762.0,30.48,,,,,,
,,2021 - 2022,16.0,240.0,15.0,,,,,,
,,2022 - 2023,33.0,762.0,23.09,,,,,,
,Tirupathur,2020 - 2021,3.0,64.0,21.33,,,,,,
,,2021 - 2022,8.0,129.0,16.13,,,,,,
,,2022 - 2023,11.0,69.0,6.27,,,,,,
,Tiruppur,2009 - 2010,2.0,29.0,14.5,,,,,,
,Tiruvannamalai,2000 - 2001,69.0,836.0,12.12,,,,,,
,,2002 - 2003,12.0,258.0,21.5,,,,,,
,,2003 - 2004,2.0,45.0,22.5,,,,,,
,,2004 - 2005,56.0,847.0,15.13,,,,,,
,,2005 - 2006,13.0,271.0,20.85,,,,,,
,,2006 - 2007,21.0,353.0,16.81,,,,,,
,,2007 - 2008,53.0,720.0,13.58,,,,,,
,,2008 - 2009,11.0,146.0,13.27,,,,,,
,,2009 - 2010,11.0,161.0,14.64,,,,,,
,,2011 - 2012,18.0,369.0,20.5,,,,,,
,,2013 - 2014,23.0,486.0,21.13,,,,,,
,,2014 - 2015,33.0,529.0,16.03,,,,,,
,,2015 - 2016,32.0,521.0,16.28,,,,,,
,,2016 - 2017,37.0,345.0,9.32,,,,,,
,,2017 - 2018,50.0,,26.32,,,,,,
,,2018 - 2019,42.0,,25.5,,,,,,
,,2019 - 2020,42.0,,26.55,,,,,,
,,2020 - 2021,143.0,,12.06,,,,,,
,,2021 - 2022,100.0,962.0,9.62,,,,,,
,,2022 - 2023,54.0,,31.93,,,,,,
,Vellore,2002 - 2003,4.0,55.0,13.75,,,,,,
,,2003 - 2004,9.0,130.0,14.44,,,,,,
,,2004 - 2005,8.0,121.0,15.13,,,,,,
,,2005 - 2006,7.0,146.0,20.86,,,,,,
,,2006 - 2007,10.0,168.0,16.8,,,,,,
,,2007 - 2008,5.0,68.0,13.6,,,,,,
,,2008 - 2009,22.0,292.0,13.27,,,,,,
,,2009 - 2010,17.0,249.0,14.65,,,,,,
,,2011 - 2012,7.0,143.0,20.43,,,,,,
,,2013 - 2014,3.0,63.0,21.0,,,,,,
,,2015 - 2016,14.0,228.0,16.29,,,,,,
,,2016 - 2017,5.0,47.0,9.4,,,,,,
,,2019 - 2020,10.0,246.0,24.6,,,,,,
,,2021 - 2022,1.0,16.0,16.0,,,,,,
,,2022 - 2023,4.0,0.0,0.0,,,,,,
,Villupuram,2000 - 2001,287.0,,10.18,,,,,,
,,2002 - 2003,138.0,,15.17,,,,,,
,,2003 - 2004,139.0,,14.07,,,,,,
,,2004 - 2005,309.0,,10.61,,,,,,
,,2005 - 2006,103.0,924.0,8.97,,,,,,
,,2006 - 2007,166.0,,14.12,,,,,,
,,2007 - 2008,263.0,,11.6,,,,,,
,,2008 - 2009,172.0,,7.52,,,,,,
,,2009 - 2010,94.0,,11.12,,,,,,
,,2011 - 2012,30.0,377.0,12.57,,,,,,
,,2013 - 2014,42.0,887.0,21.12,,,,,,
,,2014 - 2015,75.0,,16.23,,,,,,
,,2015 - 2016,29.0,401.0,13.83,,,,,,
,,2016 - 2017,33.0,314.0,9.52,,,,,,
,,2017 - 2018,38.0,310.0,8.16,,,,,,
,,2018 - 2019,19.0,183.0,9.63,,,,,,
,,2019 - 2020,46.0,760.0,16.52,,,,,,
,,2020 - 2021,6.0,117.0,19.5,,,,,,
,,2021 - 2022,5.0,73.0,14.6,,,,,,
,,2022 - 2023,2.0,117.0,58.5,,,,,,
,Virudhunagar,2000 - 2001,7.0,85.0,12.14,,,,,,
,,2002 - 2003,70.0,956.0,13.66,,,,,,
,,2003 - 2004,64.0,927.0,14.48,,,,,,
,,2004 - 2005,46.0,696.0,15.13,,,,,,
,,2005 - 2006,49.0,,20.86,,,,,,
,,2006 - 2007,62.0,,16.81,,,,,,
,,2007 - 2008,26.0,353.0,13.58,,,,,,
,,2008 - 2009,29.0,385.0,13.28,,,,,,
,,2009 - 2010,41.0,600.0,14.63,,,,,,
,,2011 - 2012,22.0,638.0,29.0,,,,,,
,,2013 - 2014,4.0,84.0,21.0,,,,,,
,,2014 - 2015,6.0,105.0,17.5,,,,,,
,,2015 - 2016,13.0,212.0,16.31,,,,,,
,,2016 - 2017,2.0,19.0,9.5,,,,,,
,,2017 - 2018,7.0,184.0,26.29,,,,,,
,,2018 - 2019,14.0,377.0,26.93,,,,,,
,,2019 - 2020,34.0,829.0,24.38,,,,,,
,,2020 - 2021,23.0,518.0,22.52,,,,,,
,,2021 - 2022,13.0,311.0,23.92,,,,,,
,,2022 - 2023,6.0,518.0,86.33,,,,,,
Telangana,Adilabad,2000 - 2001,6.0,81.0,13.5,,,,,,
,,2001 - 2002,6.0,80.0,13.33,,,,,,
,,2002 - 2003,5.0,54.0,10.8,,,,,,
,,2003 - 2004,6.0,43.0,7.17,,,,,,
,,2004 - 2005,6.0,42.0,7.0,,,,,,
,,2005 - 2006,8.0,67.0,8.38,,,,,,
,,2006 - 2007,14.0,126.0,9.0,,,,,,
,,2014 - 2015,,,,15.0,116.0,7.73,,,
,,2015 - 2016,,,,13.0,184.0,14.15,,,
,Bhadradri,2021 - 2022,,,,2.0,23.0,11.5,,,
,,2022 - 2023,,,,19.0,138.0,7.26,,,
,Jagitial,2021 - 2022,,,,,,,1.0,12.0,12.0
,Jangoan,2016 - 2017,,,,133.0,,7.62,,,
,,2017 - 2018,,,,157.0,,7.75,,,
,,2018 - 2019,,,,20.0,127.0,6.35,,,
,,2019 - 2020,,,,57.0,894.0,15.68,,,
,,2020 - 2021,,,,67.0,597.0,8.91,5.0,45.0,9.0
,,2021 - 2022,,,,75.0,889.0,11.85,1.0,12.0,12.0
,,2022 - 2023,,,,70.0,409.0,5.84,,,
,Kamareddy,2021 - 2022,,,,2.0,23.0,11.5,,,
,,2022 - 2023,,,,3.0,22.0,7.33,,,
,Karimnagar,2000 - 2001,76.0,,13.51,,,,,,
,,2001 - 2002,25.0,332.0,13.28,,,,,,
,,2002 - 2003,24.0,259.0,10.79,,,,,,
,,2004 - 2005,6.0,42.0,7.0,,,,,,
,,2005 - 2006,6.0,51.0,8.5,,,,,,
,,2006 - 2007,22.0,198.0,9.0,,,,,,
,,2014 - 2015,,,,,,,2.0,16.0,8.0
,,2018 - 2019,,,,6.0,38.0,6.33,,,
,,2019 - 2020,,,,6.0,94.0,15.67,,,
,,2020 - 2021,,,,9.0,80.0,8.89,1.0,9.0,9.0
,,2021 - 2022,,,,5.0,58.0,11.6,3.0,35.0,11.67
,,2022 - 2023,,,,1.0,7.0,7.0,3.0,22.0,7.33
,Khammam,2000 - 2001,9.0,122.0,13.56,,,,,,
,,2001 - 2002,6.0,80.0,13.33,,,,,,
,,2002 - 2003,3.0,32.0,10.67,,,,,,
,,2003 - 2004,23.0,166.0,7.22,,,,,,
,,2004 - 2005,24.0,169.0,7.04,,,,,,
,,2005 - 2006,15.0,126.0,8.4,,,,,,
,,2006 - 2007,23.0,206.0,8.96,,,,,,
,,2008 - 2009,31.0,31.0,1.0,,,,,,
,,2009 - 2010,7.0,14.0,2.0,,,,,,
,,2011 - 2012,12.0,154.0,12.83,,,,,,
,,2014 - 2015,,,,16.0,124.0,7.75,,,
,,2015 - 2016,,,,7.0,99.0,14.14,,,
,,2022 - 2023,,,,1.0,7.0,7.0,2.0,15.0,7.5
,Komaram bheem asifabad,2019 - 2020,,,,9.0,141.0,15.67,1.0,16.0,16.0
,,2021 - 2022,,,,1.0,12.0,12.0,,,
,,2022 - 2023,,,,6.0,44.0,7.33,,,
,Mahabubabad,2016 - 2017,,,,7.0,53.0,7.57,,,
,,2020 - 2021,,,,5.0,45.0,9.0,,,
,,2021 - 2022,,,,9.0,104.0,11.56,12.0,138.0,11.5
,,2022 - 2023,,,,1.0,7.0,7.0,3.0,22.0,7.33
,Mahbubnagar,2000 - 2001,12.0,162.0,13.5,,,,,,
,,2004 - 2005,16.0,113.0,7.06,,,,,,
,,2005 - 2006,10.0,84.0,8.4,,,,,,
,,2021 - 2022,,,,1.0,12.0,12.0,,,
,,2022 - 2023,,,,,,,1.0,7.0,7.0
,Mancherial,2016 - 2017,,,,2.0,17.0,8.5,,,
,,2017 - 2018,,,,13.0,101.0,7.77,,,
,,2018 - 2019,,,,14.0,89.0,6.36,,,
,,2019 - 2020,,,,6.0,94.0,15.67,,,
,,2020 - 2021,,,,6.0,53.0,8.83,,,
,,2021 - 2022,,,,5.0,58.0,11.6,,,
,,2022 - 2023,,,,5.0,36.0,7.2,,,
,Medak,2021 - 2022,,,,1.0,12.0,12.0,,,
,,2022 - 2023,,,,5.0,36.0,7.2,,,
,Medchal,2020 - 2021,,,,,,,1.0,9.0,9.0
,Nagarkurnool,2019 - 2020,,,,2.0,31.0,15.5,,,
,,2020 - 2021,,,,1.0,9.0,9.0,,,
,,2021 - 2022,,,,,,,1.0,12.0,12.0
,Nalgonda,2021 - 2022,,,,2.0,23.0,11.5,,,
,Nizamabad,2020 - 2021,,,,1.0,9.0,9.0,,,
,,2021 - 2022,,,,1.0,12.0,12.0,,,
,Rangareddi,2000 - 2001,54.0,730.0,13.52,,,,,,
,,2001 - 2002,82.0,,13.27,,,,,,
,,2002 - 2003,26.0,281.0,10.81,,,,,,
,,2003 - 2004,59.0,427.0,7.24,,,,,,
,,2004 - 2005,35.0,246.0,7.03,,,,,,
,,2005 - 2006,39.0,328.0,8.41,,,,,,
,,2006 - 2007,28.0,252.0,9.0,,,,,,
,,2008 - 2009,12.0,12.0,1.0,,,,,,
,,2009 - 2010,8.0,16.0,2.0,,,,,,
,,2010 - 2011,23.0,295.0,12.83,,,,,,
,,2011 - 2012,7.0,90.0,12.86,,,,,,
,,2013 - 2014,19.0,166.0,8.74,,,,,,
,,2014 - 2015,,,,23.0,178.0,7.74,5.0,39.0,7.8
,,2015 - 2016,,,,25.0,169.0,6.76,,,
,,2016 - 2017,,,,15.0,236.0,15.73,,,
,,2017 - 2018,,,,10.0,77.0,7.7,,,
,,2018 - 2019,,,,23.0,146.0,6.35,6.0,38.0,6.33
,,2019 - 2020,,,,8.0,125.0,15.63,,,
,,2020 - 2021,,,,12.0,107.0,8.92,7.0,62.0,8.86
,,2021 - 2022,,,,19.0,194.0,10.21,14.0,143.0,10.21
,,2022 - 2023,,,,15.0,169.0,11.27,6.0,67.0,11.17
,Sangareddy,2017 - 2018,,,,1.0,8.0,8.0,,,
,,2019 - 2020,,,,1.0,16.0,16.0,,,
,Suryapet,2016 - 2017,,,,42.0,353.0,8.4,,,
,,2017 - 2018,,,,11.0,85.0,7.73,,,
,,2018 - 2019,,,,12.0,76.0,6.33,,,
,,2019 - 2020,,,,19.0,298.0,15.68,8.0,125.0,15.63
,,2020 - 2021,,,,1.0,9.0,9.0,,,
,,2021 - 2022,,,,233.0,,11.53,3.0,35.0,11.67
,,2022 - 2023,,,,21.0,191.0,9.1,4.0,36.0,9.0
,Vikarabad,2020 - 2021,,,,10.0,89.0,8.9,,,
,,2021 - 2022,,,,1.0,13.0,13.0,11.0,143.0,13.0
,,2022 - 2023,,,,1.0,7.0,7.0,6.0,44.0,7.33
,Warangal,2003 - 2004,72.0,520.0,7.22,,,,,,
,,2004 - 2005,46.0,324.0,7.04,,,,,,
,,2005 - 2006,55.0,463.0,8.42,,,,,,
,,2006 - 2007,62.0,557.0,8.98,,,,,,
,,2008 - 2009,43.0,43.0,1.0,,,,,,
,,2009 - 2010,106.0,214.0,2.02,,,,,,
,,2010 - 2011,59.0,593.0,10.05,,,,,,
,,2011 - 2012,60.0,686.0,11.43,,,,,,
,,2013 - 2014,90.0,576.0,6.4,,,,,,
,,2014 - 2015,,,,42.0,326.0,7.76,,,
,,2015 - 2016,,,,42.0,778.0,18.52,,,
,,2017 - 2018,,,,7.0,54.0,7.71,,,
,,2018 - 2019,,,,8.0,51.0,6.38,,,
,Yadadri,2019 - 2020,,,,,,,6.0,94.0,15.67
,,2020 - 2021,,,,,,,7.0,62.0,8.86
,,2021 - 2022,,,,3.0,35.0,11.67,,,
Uttar Pradesh,Agra,2004 - 2005,96.0,,11.63,,,,,,
,,2005 - 2006,115.0,,13.08,,,,,,
,,2006 - 2007,,,,,,,61.0,833.0,13.66
,,2007 - 2008,,,,,,,155.0,,13.46
,,2008 - 2009,,,,,,,105.0,,12.29
,,2009 - 2010,,,,,,,106.0,,13.6
,,2010 - 2011,,,,,,,181.0,,12.31
,,2011 - 2012,,,,,,,122.0,,12.99
,,2012 - 2013,,,,,,,143.0,,12.95
,,2013 - 2014,,,,,,,274.0,,13.22
,,2014 - 2015,,,,,,,131.0,,12.39
,,2015 - 2016,,,,,,,145.0,,12.06
,,2016 - 2017,,,,,,,163.0,,11.17
,,2017 - 2018,,,,,,,188.0,,11.16
,,2018 - 2019,,,,,,,197.0,,11.49
,,2019 - 2020,,,,,,,165.0,,11.75
,,2020 - 2021,,,,,,,172.0,,12.49
,,2021 - 2022,,,,,,,177.0,,11.55
,,2022 - 2023,,,,,,,180.0,,11.58
,Aligarh,2004 - 2005,345.0,,11.62,,,,,,
,,2005 - 2006,341.0,,13.08,,,,,,
,,2006 - 2007,,,,,,,145.0,,13.65
,,2007 - 2008,,,,,,,319.0,,13.46
,,2008 - 2009,,,,,,,357.0,,12.28
,,2009 - 2010,,,,,,,293.0,,13.6
,,2010 - 2011,,,,,,,247.0,,12.32
,,2011 - 2012,,,,,,,207.0,,12.99
,,2012 - 2013,,,,,,,269.0,,12.95
,,2013 - 2014,,,,,,,115.0,,13.22
,,2014 - 2015,,,,,,,229.0,,12.38
,,2015 - 2016,,,,,,,108.0,,12.06
,,2016 - 2017,,,,,,,186.0,,11.17
,,2017 - 2018,,,,,,,237.0,,11.16
,,2018 - 2019,,,,,,,127.0,,11.49
,,2019 - 2020,,,,,,,177.0,,11.75
,,2020 - 2021,,,,,,,167.0,,12.49
,,2021 - 2022,,,,,,,179.0,,11.55
,,2022 - 2023,,,,,,,177.0,,11.58
,Allahabad,2004 - 2005,139.0,,11.63,,,,,,
,,2005 - 2006,60.0,785.0,13.08,,,,,,
,,2006 - 2007,,,,,,,30.0,409.0,13.63
,,2007 - 2008,,,,,,,54.0,727.0,13.46
,,2008 - 2009,,,,,,,40.0,491.0,12.28
,,2009 - 2010,,,,,,,72.0,979.0,13.6
,,2010 - 2011,,,,,,,51.0,628.0,12.31
,,2011 - 2012,,,,,,,49.0,636.0,12.98
,,2012 - 2013,,,,,,,49.0,634.0,12.94
,,2013 - 2014,,,,,,,56.0,740.0,13.21
,,2014 - 2015,,,,,,,93.0,,12.39
,,2015 - 2016,,,,,,,62.0,748.0,12.06
,,2016 - 2017,,,,,,,62.0,692.0,11.16
,,2017 - 2018,,,,,,,67.0,748.0,11.16
,,2018 - 2019,,,,,,,62.0,712.0,11.48
,,2019 - 2020,,,,,,,62.0,728.0,11.74
,,2020 - 2021,,,,,,,62.0,774.0,12.48
,,2021 - 2022,,,,,,,63.0,728.0,11.56
,,2022 - 2023,,,,,,,63.0,729.0,11.57
,Ambedkar nagar,2004 - 2005,11.0,128.0,11.64,,,,,,
,,2005 - 2006,10.0,131.0,13.1,,,,,,
,,2006 - 2007,,,,,,,40.0,546.0,13.65
,,2007 - 2008,,,,,,,8.0,108.0,13.5
,,2008 - 2009,,,,,,,5.0,61.0,12.2
,,2009 - 2010,,,,,,,15.0,204.0,13.6
,,2010 - 2011,,,,,,,16.0,197.0,12.31
,,2011 - 2012,,,,,,,17.0,221.0,13.0
,,2012 - 2013,,,,,,,8.0,104.0,13.0
,,2013 - 2014,,,,,,,2.0,26.0,13.0
,,2014 - 2015,,,,,,,9.0,111.0,12.33
,,2015 - 2016,,,,,,,12.0,145.0,12.08
,,2016 - 2017,,,,,,,28.0,313.0,11.18
,,2017 - 2018,,,,,,,12.0,134.0,11.17
,,2018 - 2019,,,,,,,11.0,126.0,11.45
,,2019 - 2020,,,,,,,14.0,165.0,11.79
,,2020 - 2021,,,,,,,15.0,187.0,12.47
,,2021 - 2022,,,,,,,16.0,185.0,11.56
,,2022 - 2023,,,,,,,9.0,104.0,11.56
,Amethi,2012 - 2013,,,,,,,768.0,,12.95
,,2013 - 2014,,,,,,,154.0,,13.21
,,2014 - 2015,,,,,,,863.0,,12.39
,,2015 - 2016,,,,,,,892.0,,12.05
,,2016 - 2017,,,,,,,515.0,,11.17
,,2017 - 2018,,,,,,,886.0,,11.17
,,2018 - 2019,,,,,,,879.0,,11.49
,,2019 - 2020,,,,,,,936.0,,11.74
,,2020 - 2021,,,,,,,900.0,,12.49
,,2021 - 2022,,,,,,,833.0,,11.55
,,2022 - 2023,,,,,,,919.0,,11.58
,Amroha,2004 - 2005,158.0,,11.62,,,,,,
,,2005 - 2006,85.0,,13.08,,,,,,
,,2006 - 2007,,,,,,,96.0,,13.65
,,2007 - 2008,,,,,,,58.0,781.0,13.47
,,2008 - 2009,,,,,,,107.0,,12.28
,,2009 - 2010,,,,,,,103.0,,13.6
,,2010 - 2011,,,,,,,47.0,579.0,12.32
,,2011 - 2012,,,,,,,74.0,962.0,13.0
,,2012 - 2013,,,,,,,77.0,997.0,12.95
,,2013 - 2014,,,,,,,86.0,,13.22
,,2014 - 2015,,,,,,,41.0,508.0,12.39
,,2015 - 2016,,,,,,,36.0,434.0,12.06
,,2016 - 2017,,,,,,,63.0,704.0,11.17
,,2017 - 2018,,,,,,,64.0,715.0,11.17
,,2018 - 2019,,,,,,,62.0,773.0,12.47
,,2019 - 2020,,,,,,,53.0,622.0,11.74
,,2020 - 2021,,,,,,,56.0,699.0,12.48
,,2021 - 2022,,,,,,,60.0,693.0,11.55
,,2022 - 2023,,,,,,,59.0,683.0,11.58
,Auraiya,2004 - 2005,77.0,895.0,11.62,,,,,,
,,2005 - 2006,85.0,,13.08,,,,,,
,,2006 - 2007,,,,,,,85.0,,13.65
,,2007 - 2008,,,,,,,44.0,592.0,13.45
,,2008 - 2009,,,,,,,33.0,405.0,12.27
,,2009 - 2010,,,,,,,78.0,,13.6
,,2010 - 2011,,,,,,,47.0,579.0,12.32
,,2011 - 2012,,,,,,,73.0,949.0,13.0
,,2012 - 2013,,,,,,,59.0,764.0,12.95
,,2013 - 2014,,,,,,,83.0,,13.22
,,2014 - 2015,,,,,,,39.0,483.0,12.38
,,2015 - 2016,,,,,,,8.0,96.0,12.0
,,2016 - 2017,,,,,,,52.0,581.0,11.17
,,2017 - 2018,,,,,,,59.0,659.0,11.17
,,2018 - 2019,,,,,,,59.0,678.0,11.49
,,2019 - 2020,,,,,,,66.0,775.0,11.74
,,2020 - 2021,,,,,,,49.0,612.0,12.49
,,2021 - 2022,,,,,,,63.0,728.0,11.56
,,2022 - 2023,,,,,,,59.0,683.0,11.58
,Azamgarh,2004 - 2005,84.0,976.0,11.62,,,,,,
,,2005 - 2006,14.0,183.0,13.07,,,,,,
,,2006 - 2007,,,,,,,61.0,833.0,13.66
,,2007 - 2008,,,,,,,12.0,162.0,13.5
,,2008 - 2009,,,,,,,18.0,221.0,12.28
,,2009 - 2010,,,,,,,21.0,286.0,13.62
,,2011 - 2012,,,,,,,22.0,286.0,13.0
,,2012 - 2013,,,,,,,4.0,52.0,13.0
,,2013 - 2014,,,,,,,2.0,27.0,13.5
,,2014 - 2015,,,,,,,3.0,37.0,12.33
,,2016 - 2017,,,,,,,7.0,78.0,11.14
,,2017 - 2018,,,,,,,3.0,33.0,11.0
,,2018 - 2019,,,,,,,3.0,34.0,11.33
,,2019 - 2020,,,,,,,3.0,35.0,11.67
,,2020 - 2021,,,,,,,5.0,62.0,12.4
,,2021 - 2022,,,,,,,6.0,69.0,11.5
,,2022 - 2023,,,,,,,4.0,46.0,11.5
,Baghpat,2004 - 2005,6.0,70.0,11.67,,,,,,
,,2005 - 2006,6.0,78.0,13.0,,,,,,
,,2006 - 2007,,,,,,,15.0,205.0,13.67
,,2007 - 2008,,,,,,,4.0,54.0,13.5
,,2008 - 2009,,,,,,,9.0,110.0,12.22
,,2009 - 2010,,,,,,,8.0,109.0,13.63
,,2011 - 2012,,,,,,,7.0,91.0,13.0
,,2012 - 2013,,,,,,,1.0,13.0,13.0
,,2013 - 2014,,,,,,,5.0,66.0,13.2
,,2016 - 2017,,,,,,,3.0,34.0,11.33
,Bahraich,2004 - 2005,78.0,907.0,11.63,,,,,,
,,2005 - 2006,63.0,824.0,13.08,,,,,,
,,2006 - 2007,,,,,,,122.0,,13.65
,,2007 - 2008,,,,,,,61.0,821.0,13.46
,,2008 - 2009,,,,,,,57.0,700.0,12.28
,,2009 - 2010,,,,,,,64.0,870.0,13.59
,,2010 - 2011,,,,,,,73.0,899.0,12.32
,,2011 - 2012,,,,,,,75.0,975.0,13.0
,,2012 - 2013,,,,,,,89.0,,12.94
,,2013 - 2014,,,,,,,104.0,,13.21
,,2014 - 2015,,,,,,,87.0,,12.39
,,2015 - 2016,,,,,,,58.0,699.0,12.05
,,2016 - 2017,,,,,,,73.0,815.0,11.16
,,2017 - 2018,,,,,,,82.0,916.0,11.17
,,2018 - 2019,,,,,,,86.0,988.0,11.49
,,2019 - 2020,,,,,,,77.0,904.0,11.74
,,2020 - 2021,,,,,,,75.0,937.0,12.49
,,2021 - 2022,,,,,,,79.0,912.0,11.54
,,2022 - 2023,,,,,,,78.0,903.0,11.58
,Ballia,2004 - 2005,38.0,442.0,11.63,,,,,,
,,2005 - 2006,19.0,248.0,13.05,,,,,,
,,2006 - 2007,,,,,,,4.0,54.0,13.5
,,2007 - 2008,,,,,,,17.0,229.0,13.47
,,2008 - 2009,,,,,,,10.0,122.0,12.2
,,2009 - 2010,,,,,,,18.0,245.0,13.61
,,2010 - 2011,,,,,,,14.0,172.0,12.29
,,2011 - 2012,,,,,,,13.0,169.0,13.0
,,2012 - 2013,,,,,,,14.0,181.0,12.93
,,2016 - 2017,,,,,,,5.0,56.0,11.2
,,2017 - 2018,,,,,,,8.0,89.0,11.13
,,2018 - 2019,,,,,,,3.0,34.0,11.33
,,2019 - 2020,,,,,,,3.0,35.0,11.67
,,2020 - 2021,,,,,,,4.0,50.0,12.5
,,2021 - 2022,,,,,,,8.0,92.0,11.5
,,2022 - 2023,,,,,,,7.0,81.0,11.57
,Balrampur,2004 - 2005,18.0,209.0,11.61,,,,,,
,,2005 - 2006,13.0,170.0,13.08,,,,,,
,,2006 - 2007,,,,,,,2.0,27.0,13.5
,,2007 - 2008,,,,,,,15.0,202.0,13.47
,,2008 - 2009,,,,,,,18.0,221.0,12.28
,,2009 - 2010,,,,,,,13.0,177.0,13.62
,,2011 - 2012,,,,,,,10.0,130.0,13.0
,,2016 - 2017,,,,,,,2.0,22.0,11.0
,Banda,2004 - 2005,27.0,314.0,11.63,,,,,,
,,2005 - 2006,31.0,406.0,13.1,,,,,,
,,2006 - 2007,,,,,,,9.0,123.0,13.67
,,2007 - 2008,,,,,,,59.0,795.0,13.47
,,2008 - 2009,,,,,,,32.0,393.0,12.28
,,2009 - 2010,,,,,,,32.0,435.0,13.59
,,2010 - 2011,,,,,,,27.0,333.0,12.33
,,2011 - 2012,,,,,,,32.0,416.0,13.0
,,2012 - 2013,,,,,,,44.0,570.0,12.95
,,2014 - 2015,,,,,,,15.0,186.0,12.4
,,2015 - 2016,,,,,,,19.0,229.0,12.05
,,2016 - 2017,,,,,,,22.0,246.0,11.18
,,2017 - 2018,,,,,,,19.0,212.0,11.16
,,2018 - 2019,,,,,,,14.0,161.0,11.5
,,2019 - 2020,,,,,,,18.0,211.0,11.72
,,2020 - 2021,,,,,,,18.0,225.0,12.5
,,2021 - 2022,,,,,,,29.0,335.0,11.55
,,2022 - 2023,,,,,,,30.0,347.0,11.57
,Barabanki,2004 - 2005,375.0,,11.62,,,,,,
,,2005 - 2006,346.0,,13.08,,,,,,
,,2006 - 2007,,,,,,,350.0,,13.65
