state,district,year,banana_whole_year_area_hectare,banana_whole_year_production_tonne,banana_whole_year_yield_tonne_per_hectare,banana_kharif_area_hectare,banana_kharif_production_tonne,banana_kharif_yield_tonne_per_hectare,banana_rabi_area_hectare,banana_rabi_production_tonne,banana_rabi_yield_tonne_per_hectare,banana_summer_area_hectare,banana_summer_production_tonne,banana_summer_yield_tonne_per_hectare
,,2017 - 2018,17.0,,0.0,,,,,,,,,
,,2018 - 2019,22.0,517.0,23.5,,,,,,,,,
,,2019 - 2020,11.0,122.0,11.09,,,,,,,,,
,,2020 - 2021,13.0,215.0,16.54,,,,,,,,,
,,2021 - 2022,11.0,183.0,16.64,,,,,,,,,
,,2022 - 2023,11.0,150.0,13.64,,,,,,,,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,,,,15.0,220.0,14.67,,,,,,
,,2001 - 2002,,,,15.0,300.0,20.0,,,,,,
,,2002 - 2003,,,,15.0,300.0,20.0,,,,,,
,,2003 - 2004,,,,440.0,,3.2,,,,,,
,,2004 - 2005,,,,50.0,160.0,3.2,,,,,,
,,2005 - 2006,,,,60.0,200.0,3.33,,,,,,
,,2006 - 2007,,,,,,,60.0,,25.0,,,
Goa,North goa,2013 - 2014,,,11.36,,,,,,,,,
,,2014 - 2015,,,11.31,,,,,,,,,
,,2015 - 2016,952.0,,11.32,,,,,,,,,
,,2016 - 2017,965.0,,11.33,,,,,,,,,
,,2017 - 2018,952.0,,11.13,,,,,,,,,
,,2018 - 2019,938.0,,11.15,,,,,,,,,
,,2019 - 2020,975.0,,15.68,,,,,,,,,
,,2020 - 2021,988.0,,12.3,,,,,,,,,
,,2021 - 2022,982.0,,12.14,,,,,,,,,
,,2022 - 2023,987.0,,12.08,,,,,,,,,
,South goa,2013 - 2014,,,11.27,,,,,,,,,
,,2014 - 2015,,,11.27,,,,,,,,,
,,2015 - 2016,,,11.31,,,,,,,,,
,,2016 - 2017,,,10.87,,,,,,,,,
,,2017 - 2018,,,11.1,,,,,,,,,
,,2018 - 2019,,,11.21,,,,,,,,,
,,2019 - 2020,,,10.51,,,,,,,,,
,,2020 - 2021,,,11.82,,,,,,,,,
,,2021 - 2022,,,11.68,,,,,,,,,
,,2022 - 2023,,,11.62,,,,,,,,,
Gujarat,Ahmadabad,2000 - 2001,200.0,,40.0,,,,,,,,,
,,2006 - 2007,100.0,,13.0,,,,,,,,,
,,2007 - 2008,100.0,,40.0,,,,,,,,,
,,2008 - 2009,100.0,,61.0,,,,,,,,,
,,2013 - 2014,25.0,,72.76,,,,,,,,,
,,2020 - 2021,30.0,,72.67,,,,,,,,,
,Amreli,2005 - 2006,100.0,,77.0,,,,,,,,,
,,2015 - 2016,8.0,579.0,72.38,,,,,,,,,
,,2020 - 2021,75.0,,72.65,,,,,,,,,
,Anand,2003 - 2004,,,72.51,,,,,,,,,
,,2004 - 2005,,,52.72,,,,,,,,,
,,2005 - 2006,,,72.56,,,,,,,,,
,,2006 - 2007,,,80.37,,,,,,,,,
,,2007 - 2008,,,73.95,,,,,,,,,
,,2008 - 2009,,,76.16,,,,,,,,,
,,2009 - 2010,,,77.9,,,,,,,,,
,,2010 - 2011,,,76.93,,,,,,,,,
,,2011 - 2012,,,75.57,,,,,,,,,
,,2012 - 2013,,,79.09,,,,,,,,,
,,2013 - 2014,,,84.09,,,,,,,,,
,,2014 - 2015,,,80.68,,,,,,,,,
,,2015 - 2016,,,72.35,,,,,,,,,
,,2016 - 2017,,,83.71,,,,,,,,,
,,2017 - 2018,,,80.95,,,,,,,,,
,,2018 - 2019,,,85.11,,,,,,,,,
,,2019 - 2020,,,84.16,,,,,,,,,
,,2020 - 2021,,,81.96,,,,,,,,,
,,2021 - 2022,,,83.25,,,,,,,,,
,,2022 - 2023,,,83.17,,,,,,,,,
,Banas kantha,2016 - 2017,75.0,,81.83,,,,,,,,,
,Bharuch,2000 - 2001,,,59.21,,,,,,,,,
,,2001 - 2002,,,59.14,,,,,,,,,
,,2003 - 2004,,,73.88,,,,,,,,,
,,2004 - 2005,,,63.41,,,,,,,,,
,,2005 - 2006,,,67.04,,,,,,,,,
,,2006 - 2007,,,64.04,,,,,,,,,
,,2007 - 2008,,,57.9,,,,,,,,,
,,2008 - 2009,,,64.87,,,,,,,,,
,,2009 - 2010,,,66.45,,,,,,,,,
,,2010 - 2011,,,63.56,,,,,,,,,
,,2011 - 2012,,,76.82,,,,,,,,,
,,2012 - 2013,,,67.94,,,,,,,,,
,,2013 - 2014,,,63.73,,,,,,,,,
,,2014 - 2015,,,68.77,,,,,,,,,
,,2015 - 2016,,,72.35,,,,,,,,,
,,2016 - 2017,,,80.01,,,,,,,,,
,,2017 - 2018,,,66.79,,,,,,,,,
,,2018 - 2019,,,73.38,,,,,,,,,
,,2019 - 2020,,,67.15,,,,,,,,,
,,2020 - 2021,,,64.41,,,,,,,,,
,,2021 - 2022,,,68.59,,,,,,,,,
,,2022 - 2023,,,71.2,,,,,,,,,
,Bhavnagar,2004 - 2005,200.0,,52.5,,,,,,,,,
,,2005 - 2006,200.0,,70.0,,,,,,,,,
,,2006 - 2007,100.0,,40.0,,,,,,,,,
,,2011 - 2012,100.0,,68.0,,,,,,,,,
,,2013 - 2014,39.0,,72.77,,,,,,,,,
,,2014 - 2015,20.0,,73.75,,,,,,,,,
,,2016 - 2017,5.0,409.0,81.8,,,,,,,,,
,,2017 - 2018,2.0,143.0,71.5,,,,,,,,,
,,2018 - 2019,,,77.33,,,,,,,,,
,,2020 - 2021,,,72.65,,,,,,,,,
,,2021 - 2022,,,113.58,,,,,,,,,
,Chhotaudepur,2014 - 2015,,,75.13,,,,,,,,,
,,2015 - 2016,95.0,,72.35,,,,,,,,,
,,2016 - 2017,163.0,,87.96,,,,,,,,,
,,2017 - 2018,,,71.73,,,,,,,,,
,,2018 - 2019,,,77.33,,,,,,,,,
,,2019 - 2020,,,62.7,,,,,,,,,
,,2020 - 2021,650.0,,72.65,,,,,,,,,
,,2021 - 2022,,,73.39,,,,,,,,,
,,2022 - 2023,,,89.51,,,,,,,,,
,Dang,2006 - 2007,100.0,,12.0,,,,,,,,,
,,2007 - 2008,100.0,,24.0,,,,,,,,,
,,2012 - 2013,100.0,,47.0,,,,,,,,,
,,2013 - 2014,70.0,,72.77,,,,,,,,,
,,2014 - 2015,60.0,,73.73,,,,,,,,,
,Gandhinagar,2001 - 2002,,,53.19,,,,,,,,,
,Gir somnath,2021 - 2022,,,75.72,,,,,,,,,
,,2022 - 2023,400.0,,79.89,,,,,,,,,
,Junagadh,2000 - 2001,300.0,,58.0,,,,,,,,,
,,2001 - 2002,400.0,,48.75,,,,,,,,,
,,2003 - 2004,300.0,,52.67,,,,,,,,,
,,2004 - 2005,100.0,,64.0,,,,,,,,,
,,2006 - 2007,100.0,,24.0,,,,,,,,,
,,2007 - 2008,100.0,,54.0,,,,,,,,,
,,2008 - 2009,100.0,,74.0,,,,,,,,,
,,2009 - 2010,100.0,,39.0,,,,,,,,,
,,2010 - 2011,100.0,,48.0,,,,,,,,,
,,2015 - 2016,15.0,,72.33,,,,,,,,,
,,2020 - 2021,635.0,,72.65,,,,,,,,,
,,2022 - 2023,520.0,,79.89,,,,,,,,,
,Kachchh,2000 - 2001,200.0,,52.5,,,,,,,,,
,,2001 - 2002,100.0,,82.0,,,,,,,,,
,,2003 - 2004,600.0,,71.83,,,,,,,,,
,,2004 - 2005,200.0,,68.0,,,,,,,,,
,,2005 - 2006,100.0,,72.0,,,,,,,,,
,,2015 - 2016,247.0,,72.35,,,,,,,,,
,,2016 - 2017,247.0,,81.83,,,,,,,,,
,Kheda,2000 - 2001,,,50.77,,,,,,,,,
,,2005 - 2006,100.0,,41.0,,,,,,,,,
,,2006 - 2007,100.0,,97.0,,,,,,,,,
,,2007 - 2008,100.0,,34.0,,,,,,,,,
,,2008 - 2009,100.0,,44.0,,,,,,,,,
,,2009 - 2010,100.0,,57.0,,,,,,,,,
,,2013 - 2014,3.0,218.0,72.67,,,,,,,,,
,,2015 - 2016,5.0,362.0,72.4,,,,,,,,,
,Morbi,2020 - 2021,,,72.65,,,,,,,,,
,,2021 - 2022,393.0,,75.72,,,,,,,,,
,Narmada,2003 - 2004,,,66.15,,,,,,,,,
,,2004 - 2005,,,70.0,,,,,,,,,
,,2005 - 2006,,,70.14,,,,,,,,,
,,2006 - 2007,,,70.83,,,,,,,,,
,,2007 - 2008,,,63.67,,,,,,,,,
,,2008 - 2009,,,70.02,,,,,,,,,
,,2009 - 2010,,,72.19,,,,,,,,,
,,2010 - 2011,,,68.96,,,,,,,,,
,,2011 - 2012,,,62.66,,,,,,,,,
,,2012 - 2013,,,64.95,,,,,,,,,
,,2013 - 2014,,,68.61,,,,,,,,,
,,2014 - 2015,,,73.62,,,,,,,,,
,,2015 - 2016,,,72.35,,,,,,,,,
,,2016 - 2017,,,77.34,,,,,,,,,
,,2017 - 2018,,,72.26,,,,,,,,,
,,2018 - 2019,,,68.81,,,,,,,,,
,,2019 - 2020,,,76.83,,,,,,,,,
,,2020 - 2021,,,72.42,,,,,,,,,
,,2021 - 2022,,,70.36,,,,,,,,,
,,2022 - 2023,,,72.35,,,,,,,,,
,Navsari,2003 - 2004,200.0,,51.5,,,,,,,,,
,,2004 - 2005,200.0,,55.5,,,,,,,,,
,,2005 - 2006,200.0,,66.0,,,,,,,,,
,,2006 - 2007,200.0,,79.0,,,,,,,,,
,,2007 - 2008,200.0,,85.0,,,,,,,,,
,,2008 - 2009,300.0,,69.0,,,,,,,,,
,,2009 - 2010,300.0,,58.67,,,,,,,,,
,,2010 - 2011,100.0,,103.0,,,,,,,,,
,,2011 - 2012,300.0,,60.0,,,,,,,,,
,,2012 - 2013,200.0,,62.0,,,,,,,,,
,,2013 - 2014,108.0,,72.78,,,,,,,,,
,,2014 - 2015,85.0,,73.74,,,,,,,,,
,,2015 - 2016,116.0,,72.35,,,,,,,,,
,,2016 - 2017,69.0,,81.83,,,,,,,,,
,,2017 - 2018,48.0,,71.73,,,,,,,,,
,,2020 - 2021,867.0,,72.65,,,,,,,,,
,,2021 - 2022,90.0,,75.72,,,,,,,,,
,Panch mahals,2000 - 2001,100.0,,48.0,,,,,,,,,
,,2001 - 2002,100.0,,42.0,,,,,,,,,
,,2003 - 2004,300.0,,61.67,,,,,,,,,
,,2004 - 2005,200.0,,66.0,,,,,,,,,
,,2005 - 2006,200.0,,68.0,,,,,,,,,
,,2006 - 2007,100.0,,60.0,,,,,,,,,
,,2007 - 2008,100.0,,76.0,,,,,,,,,
,,2008 - 2009,100.0,,116.0,,,,,,,,,
,,2009 - 2010,100.0,,52.0,,,,,,,,,
,,2010 - 2011,100.0,,84.0,,,,,,,,,
,,2011 - 2012,100.0,,64.0,,,,,,,,,
,,2012 - 2013,100.0,,52.0,,,,,,,,,
,,2013 - 2014,62.0,,72.77,,,,,,,,,
,,2018 - 2019,130.0,,77.33,,,,,,,,,
,,2019 - 2020,203.0,,74.62,,,,,,,,,
,,2020 - 2021,1.0,73.0,73.0,,,,,,,,,
,Patan,2014 - 2015,140.0,,73.74,,,,,,,,,
,Rajkot,2017 - 2018,20.0,,71.75,,,,,,,,,
,Sabar kantha,2011 - 2012,100.0,,36.0,,,,,,,,,
,,2012 - 2013,100.0,,36.0,,,,,,,,,
,Surat,2000 - 2001,,,45.32,,,,,,,,,
,,2001 - 2002,,,64.69,,,,,,,,,
,,2003 - 2004,,,73.83,,,,,,,,,
,,2004 - 2005,,,60.94,,,,,,,,,
,,2005 - 2006,,,72.41,,,,,,,,,
,,2006 - 2007,,,79.74,,,,,,,,,
,,2007 - 2008,,,66.61,,,,,,,,,
,,2008 - 2009,,,77.52,,,,,,,,,
,,2009 - 2010,,,72.97,,,,,,,,,
,,2010 - 2011,,,65.73,,,,,,,,,
,,2011 - 2012,,,64.76,,,,,,,,,
,,2012 - 2013,,,79.3,,,,,,,,,
,,2013 - 2014,242.0,,69.18,,,,,,,,,
,,2014 - 2015,508.0,,18.96,,,,,,,,,
,,2015 - 2016,887.0,,72.35,,,,,,,,,
,,2016 - 2017,,,81.83,,,,,,,,,
,,2017 - 2018,,,71.73,,,,,,,,,
,,2018 - 2019,,,77.33,,,,,,,,,
,,2019 - 2020,,,74.9,,,,,,,,,
,,2020 - 2021,,,72.65,,,,,,,,,
,,2021 - 2022,,,71.29,,,,,,,,,
,,2022 - 2023,,,79.37,,,,,,,,,
,Surendranagar,2016 - 2017,260.0,,81.83,,,,,,,,,
,Tapi,2008 - 2009,400.0,,90.0,,,,,,,,,
,,2009 - 2010,300.0,,86.33,,,,,,,,,
,,2010 - 2011,300.0,,66.67,,,,,,,,,
,,2011 - 2012,200.0,,58.5,,,,,,,,,
,,2012 - 2013,200.0,,70.0,,,,,,,,,
,,2014 - 2015,120.0,,73.73,,,,,,,,,
,,2020 - 2021,5.0,363.0,72.6,,,,,,,,,
,,2021 - 2022,12.0,909.0,75.75,,,,,,,,,
,Vadodara,2000 - 2001,,,73.48,,,,,,,,,
,,2001 - 2002,,,76.33,,,,,,,,,
,,2003 - 2004,,,77.62,,,,,,,,,
,,2004 - 2005,,,63.33,,,,,,,,,
,,2005 - 2006,,,59.43,,,,,,,,,
,,2006 - 2007,,,63.58,,,,,,,,,
,,2007 - 2008,,,66.91,,,,,,,,,
,,2008 - 2009,,,67.94,,,,,,,,,
,,2009 - 2010,,,74.7,,,,,,,,,
,,2010 - 2011,,,64.8,,,,,,,,,
,,2011 - 2012,,,66.75,,,,,,,,,
,,2012 - 2013,,,66.35,,,,,,,,,
,,2013 - 2014,,,64.85,,,,,,,,,
,,2014 - 2015,875.0,,54.8,,,,,,,,,
,,2015 - 2016,,,72.35,,,,,,,,,
,,2016 - 2017,,,91.96,,,,,,,,,
,,2017 - 2018,865.0,,68.03,,,,,,,,,
,,2018 - 2019,,,85.91,,,,,,,,,
,,2019 - 2020,,,75.98,,,,,,,,,
,,2020 - 2021,,,74.29,,,,,,,,,
,,2021 - 2022,,,74.19,,,,,,,,,
,,2022 - 2023,395.0,,78.98,,,,,,,,,
,Valsad,2000 - 2001,200.0,,50.0,,,,,,,,,
,,2001 - 2002,400.0,,69.25,,,,,,,,,
,,2003 - 2004,200.0,,49.5,,,,,,,,,
,,2004 - 2005,100.0,,37.0,,,,,,,,,
,,2006 - 2007,200.0,,66.0,,,,,,,,,
,,2007 - 2008,200.0,,53.5,,,,,,,,,
,,2008 - 2009,100.0,,65.0,,,,,,,,,
,,2009 - 2010,100.0,,59.0,,,,,,,,,
,,2010 - 2011,100.0,,62.0,,,,,,,,,
,,2020 - 2021,201.0,,72.65,,,,,,,,,
,,2021 - 2022,204.0,,75.72,,,,,,,,,
Haryana,Faridabad,2002 - 2003,2.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,5.0,0.0,0.0,,,,,,,,,
,Jhajjar,2002 - 2003,103.0,0.0,0.0,,,,,,,,,
,Kurukshetra,2002 - 2003,2.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,2.0,0.0,0.0,,,,,,,,,
,Panipat,2003 - 2004,2.0,0.0,0.0,,,,,,,,,
,Sonipat,2002 - 2003,47.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,43.0,0.0,0.0,,,,,,,,,
Karnataka,Bagalkot,2000 - 2001,872.0,,16.8,,,,,,,,,
,,2002 - 2003,466.0,,15.27,,,,,,,,,
,,2003 - 2004,434.0,,17.1,,,,,,,,,
,,2004 - 2005,191.0,,36.82,,,,,,,,,
,,2005 - 2006,84.0,,29.49,,,,,,,,,
,,2006 - 2007,572.0,,19.97,,,,,,,,,
,,2007 - 2008,862.0,,16.23,,,,,,,,,
,,2008 - 2009,,,23.07,,,,,,,,,
,,2009 - 2010,,,10.82,,,,,,,,,
,,2010 - 2011,,,11.17,,,,,,,,,
,,2011 - 2012,,,13.01,,,,,,,,,
,Bangalore rural,2000 - 2001,,,13.58,,,,,,,,,
,,2002 - 2003,,,12.26,,,,,,,,,
,,2003 - 2004,,,11.45,,,,,,,,,
,,2004 - 2005,,,17.06,,,,,,,,,
,,2005 - 2006,,,14.14,,,,,,,,,
,,2006 - 2007,,,79.82,,,,,,,,,
,,2007 - 2008,,,29.11,,,,,,,,,
,,2008 - 2009,,,24.84,,,,,,,,,
,,2009 - 2010,,,33.92,,,,,,,,,
,,2010 - 2011,,,35.84,,,,,,,,,
,,2011 - 2012,875.0,,36.47,,,,,,,,,
,Belgaum,2000 - 2001,,,20.56,,,,,,,,,
,,2002 - 2003,,,14.5,,,,,,,,,
,,2003 - 2004,662.0,,21.6,,,,,,,,,
,,2004 - 2005,828.0,,23.13,,,,,,,,,
,,2005 - 2006,,,35.95,,,,,,,,,
,,2006 - 2007,,,44.98,,,,,,,,,
,,2007 - 2008,,,48.21,,,,,,,,,
,,2008 - 2009,,,39.25,,,,,,,,,
,,2009 - 2010,,,42.52,,,,,,,,,
,,2010 - 2011,,,43.85,,,,,,,,,
,,2011 - 2012,,,47.79,,,,,,,,,
,Bellary,2000 - 2001,,,19.0,,,,,,,,,
,,2002 - 2003,,,24.73,,,,,,,,,
,,2003 - 2004,,,19.09,,,,,,,,,
,,2004 - 2005,,,27.38,,,,,,,,,
,,2005 - 2006,14.0,607.0,43.36,,,,,,,,,
,,2006 - 2007,,,11.08,,,,,,,,,
,,2007 - 2008,,,18.35,,,,,,,,,
,,2008 - 2009,,,32.4,,,,,,,,,
,,2009 - 2010,,,36.92,,,,,,,,,
,,2010 - 2011,,,38.57,,,,,,,,,
,,2011 - 2012,,,40.75,,,,,,,,,
,Bengaluru urban,2000 - 2001,,,18.38,,,,,,,,,
,,2002 - 2003,345.0,,22.12,,,,,,,,,
,,2003 - 2004,314.0,,19.49,,,,,,,,,
,,2004 - 2005,530.0,,43.78,,,,,,,,,
,,2005 - 2006,490.0,,11.7,,,,,,,,,
,,2006 - 2007,532.0,,5.28,,,,,,,,,
,,2007 - 2008,415.0,,37.05,,,,,,,,,
,,2008 - 2009,372.0,,44.34,,,,,,,,,
,,2009 - 2010,408.0,,32.17,,,,,,,,,
,,2010 - 2011,255.0,,33.52,,,,,,,,,
,,2011 - 2012,281.0,,24.99,,,,,,,,,
,Bidar,2000 - 2001,469.0,,18.38,,,,,,,,,
,,2002 - 2003,249.0,,11.43,,,,,,,,,
,,2003 - 2004,189.0,,18.52,,,,,,,,,
,,2004 - 2005,63.0,,40.84,,,,,,,,,
,,2005 - 2006,207.0,,11.87,,,,,,,,,
,,2006 - 2007,195.0,,19.96,,,,,,,,,
,,2007 - 2008,114.0,,17.68,,,,,,,,,
,,2008 - 2009,147.0,,38.41,,,,,,,,,
,,2009 - 2010,174.0,,22.18,,,,,,,,,
,,2010 - 2011,219.0,,23.49,,,,,,,,,
,,2011 - 2012,92.0,,24.99,,,,,,,,,
,Bijapur,2000 - 2001,,,19.38,,,,,,,,,
,,2002 - 2003,,,18.73,,,,,,,,,
,,2003 - 2004,,,16.47,,,,,,,,,
,,2004 - 2005,520.0,,20.22,,,,,,,,,
,,2005 - 2006,582.0,,11.27,,,,,,,,,
,,2006 - 2007,,,27.52,,,,,,,,,
,,2007 - 2008,,,22.52,,,,,,,,,
,,2008 - 2009,,,24.37,,,,,,,,,
,,2009 - 2010,,,33.58,,,,,,,,,
,,2010 - 2011,,,33.58,,,,,,,,,
,,2011 - 2012,,,34.8,,,,,,,,,
,Chamarajanagar,2000 - 2001,,,21.73,,,,,,,,,
,,2002 - 2003,,,20.5,,,,,,,,,
,,2003 - 2004,,,12.16,,,,,,,,,
,,2004 - 2005,,,14.46,,,,,,,,,
,,2005 - 2006,,,14.98,,,,,,,,,
,,2006 - 2007,,,11.49,,,,,,,,,
,,2007 - 2008,,,17.69,,,,,,,,,
,,2008 - 2009,,,23.58,,,,,,,,,
,,2009 - 2010,,,33.49,,,,,,,,,
,,2010 - 2011,,,35.98,,,,,,,,,
,,2011 - 2012,,,36.36,,,,,,,,,
,Chikballapur,2007 - 2008,590.0,,12.69,,,,,,,,,
,,2008 - 2009,,,18.26,,,,,,,,,
,,2009 - 2010,,,18.16,,,,,,,,,
,,2010 - 2011,,,20.96,,,,,,,,,
,,2011 - 2012,,,23.27,,,,,,,,,
,Chikmagalur,2000 - 2001,,,18.67,,,,,,,,,
,,2002 - 2003,,,11.31,,,,,,,,,
,,2003 - 2004,,,4.51,,,,,,,,,
,,2004 - 2005,,,2.77,,,,,,,,,
,,2005 - 2006,,,4.85,,,,,,,,,
,,2006 - 2007,,,4.85,,,,,,,,,
,,2007 - 2008,,,1.64,,,,,,,,,
,,2008 - 2009,,,4.42,,,,,,,,,
,,2009 - 2010,,,7.3,,,,,,,,,
,,2010 - 2011,,,8.1,,,,,,,,,
,,2011 - 2012,,,8.15,,,,,,,,,
,Chitradurga,2000 - 2001,824.0,,11.29,,,,,,,,,
,,2002 - 2003,,,15.54,,,,,,,,,
,,2003 - 2004,972.0,,36.32,,,,,,,,,
,,2004 - 2005,,,9.48,,,,,,,,,
,,2005 - 2006,724.0,,14.49,,,,,,,,,
,,2006 - 2007,,,10.6,,,,,,,,,
,,2007 - 2008,,,11.68,,,,,,,,,
,,2008 - 2009,,,7.78,,,,,,,,,
,,2009 - 2010,,,8.31,,,,,,,,,
,,2010 - 2011,,,12.06,,,,,,,,,
,,2011 - 2012,,,13.17,,,,,,,,,
,Dakshin kannad,2000 - 2001,,,22.3,,,,,,,,,
,,2002 - 2003,,,20.58,,,,,,,,,
,,2003 - 2004,,,8.63,,,,,,,,,
,,2004 - 2005,,,12.44,,,,,,,,,
,,2005 - 2006,,,1.91,,,,,,,,,
,,2006 - 2007,,,3.38,,,,,,,,,
,,2007 - 2008,,,1.01,,,,,,,,,
,,2008 - 2009,,,1.22,,,,,,,,,
,,2009 - 2010,,,2.52,,,,,,,,,
,,2010 - 2011,,,2.6,,,,,,,,,
,,2011 - 2012,,,2.92,,,,,,,,,
,Davangere,2000 - 2001,,,18.38,,,,,,,,,
,,2002 - 2003,,,15.77,,,,,,,,,
,,2003 - 2004,222.0,,24.91,,,,,,,,,
,,2004 - 2005,477.0,,11.44,,,,,,,,,
,,2005 - 2006,659.0,,15.68,,,,,,,,,
,,2006 - 2007,983.0,,27.85,,,,,,,,,
,,2007 - 2008,,,14.16,,,,,,,,,
,,2008 - 2009,,,12.07,,,,,,,,,
,,2009 - 2010,,,14.3,,,,,,,,,
,,2010 - 2011,,,17.79,,,,,,,,,
,,2011 - 2012,,,19.66,,,,,,,,,
,Dharwad,2000 - 2001,105.0,,18.38,,,,,,,,,
,,2002 - 2003,113.0,,17.12,,,,,,,,,
,,2003 - 2004,129.0,,12.98,,,,,,,,,
,,2004 - 2005,160.0,,12.55,,,,,,,,,
,,2005 - 2006,253.0,,11.87,,,,,,,,,
,,2006 - 2007,239.0,,19.97,,,,,,,,,
,,2007 - 2008,276.0,,17.68,,,,,,,,,
,,2008 - 2009,326.0,,38.23,,,,,,,,,
,,2009 - 2010,371.0,,22.18,,,,,,,,,
,,2010 - 2011,393.0,,23.49,,,,,,,,,
,,2011 - 2012,254.0,,24.99,,,,,,,,,
,Gadag,2000 - 2001,45.0,827.0,18.38,,,,,,,,,
,,2002 - 2003,183.0,,17.12,,,,,,,,,
,,2003 - 2004,269.0,,12.99,,,,,,,,,
,,2004 - 2005,254.0,,12.55,,,,,,,,,
,,2005 - 2006,99.0,,11.88,,,,,,,,,
,,2006 - 2007,93.0,,19.97,,,,,,,,,
,,2007 - 2008,163.0,,17.69,,,,,,,,,
,,2008 - 2009,211.0,,17.37,,,,,,,,,
,,2009 - 2010,206.0,,22.18,,,,,,,,,
,,2010 - 2011,247.0,,23.49,,,,,,,,,
,,2011 - 2012,456.0,,24.99,,,,,,,,,
,Gulbarga,2000 - 2001,,,19.88,,,,,,,,,
,,2002 - 2003,,,23.83,,,,,,,,,
,,2003 - 2004,948.0,,10.61,,,,,,,,,
,,2004 - 2005,908.0,,19.49,,,,,,,,,
,,2005 - 2006,862.0,,23.81,,,,,,,,,
,,2006 - 2007,,,22.65,,,,,,,,,
,,2007 - 2008,,,20.01,,,,,,,,,
,,2008 - 2009,,,17.22,,,,,,,,,
,,2009 - 2010,,,23.72,,,,,,,,,
,,2010 - 2011,,,25.85,,,,,,,,,
,,2011 - 2012,,,27.13,,,,,,,,,
,Hassan,2000 - 2001,,,17.42,,,,,,,,,
,,2002 - 2003,,,16.84,,,,,,,,,
,,2003 - 2004,,,5.7,,,,,,,,,
,,2004 - 2005,,,5.37,,,,,,,,,
,,2005 - 2006,,,17.29,,,,,,,,,
,,2006 - 2007,,,21.04,,,,,,,,,
,,2007 - 2008,,,15.74,,,,,,,,,
,,2008 - 2009,,,12.4,,,,,,,,,
,,2009 - 2010,,,13.58,,,,,,,,,
,,2010 - 2011,,,15.58,,,,,,,,,
,,2011 - 2012,,,17.32,,,,,,,,,
,Haveri,2000 - 2001,571.0,,18.38,,,,,,,,,
,,2002 - 2003,,,25.52,,,,,,,,,
,,2003 - 2004,862.0,,40.87,,,,,,,,,
,,2004 - 2005,942.0,,38.8,,,,,,,,,
,,2005 - 2006,,,34.9,,,,,,,,,
,,2006 - 2007,,,32.25,,,,,,,,,
,,2007 - 2008,,,59.39,,,,,,,,,
,,2008 - 2009,,,38.58,,,,,,,,,
,,2009 - 2010,,,25.91,,,,,,,,,
,,2010 - 2011,,,27.81,,,,,,,,,
,,2011 - 2012,,,28.89,,,,,,,,,
,Kodagu,2000 - 2001,195.0,,18.38,,,,,,,,,
,,2002 - 2003,613.0,,13.36,,,,,,,,,
,,2003 - 2004,164.0,510.0,3.11,,,,,,,,,
,,2004 - 2005,547.0,,17.86,,,,,,,,,
,,2005 - 2006,563.0,,13.21,,,,,,,,,
,,2006 - 2007,499.0,,4.76,,,,,,,,,
,,2007 - 2008,,,5.72,,,,,,,,,
,,2008 - 2009,,,6.47,,,,,,,,,
,,2009 - 2010,,,3.11,,,,,,,,,
,,2010 - 2011,,,5.13,,,,,,,,,
,,2011 - 2012,,,7.09,,,,,,,,,
,Kolar,2000 - 2001,481.0,,18.38,,,,,,,,,
,,2002 - 2003,,,13.41,,,,,,,,,
,,2003 - 2004,,,30.84,,,,,,,,,
,,2004 - 2005,,,6.81,,,,,,,,,
,,2005 - 2006,,,16.76,,,,,,,,,
,,2006 - 2007,,,30.48,,,,,,,,,
,,2007 - 2008,568.0,,10.25,,,,,,,,,
,,2008 - 2009,518.0,,32.6,,,,,,,,,
,,2009 - 2010,568.0,,14.34,,,,,,,,,
,,2010 - 2011,823.0,,12.79,,,,,,,,,
,,2011 - 2012,750.0,,13.65,,,,,,,,,
,Koppal,2000 - 2001,650.0,,18.38,,,,,,,,,
,,2002 - 2003,497.0,,17.12,,,,,,,,,
,,2003 - 2004,363.0,271.0,0.75,,,,,,,,,
,,2004 - 2005,,,3.4,,,,,,,,,
,,2005 - 2006,376.0,,10.95,,,,,,,,,
,,2006 - 2007,368.0,,41.41,,,,,,,,,
,,2007 - 2008,870.0,,42.92,,,,,,,,,
,,2008 - 2009,,,18.41,,,,,,,,,
,,2009 - 2010,,,42.61,,,,,,,,,
,,2010 - 2011,,,58.77,,,,,,,,,
,,2011 - 2012,,,68.42,,,,,,,,,
,Mandya,2000 - 2001,,,19.3,,,,,,,,,
,,2002 - 2003,,,16.16,,,,,,,,,
,,2003 - 2004,752.0,,12.72,,,,,,,,,
,,2004 - 2005,,,12.18,,,,,,,,,
,,2005 - 2006,,,20.14,,,,,,,,,
,,2006 - 2007,,,20.1,,,,,,,,,
,,2007 - 2008,,,31.87,,,,,,,,,
,,2008 - 2009,,,14.95,,,,,,,,,
,,2009 - 2010,,,24.93,,,,,,,,,
,,2010 - 2011,,,28.86,,,,,,,,,
,,2011 - 2012,,,29.43,,,,,,,,,
