state,district,year,barley_rabi_area_hectare,barley_rabi_production_tonne,barley_rabi_yield_tonne_per_hectare,barley_kharif_area_hectare,barley_kharif_production_tonne,barley_kharif_yield_tonne_per_hectare,barley_summer_area_hectare,barley_summer_production_tonne,barley_summer_yield_tonne_per_hectare,barley_whole_year_area_hectare,barley_whole_year_production_tonne,barley_whole_year_yield_tonne_per_hectare
,,2016 - 2017,,,2.63,,,,,,,,,
,,2017 - 2018,,,2.6,,,,,,,,,
,,2018 - 2019,,,2.91,,,,,,,,,
,,2019 - 2020,,,2.65,,,,,,,,,
,,2020 - 2021,,,2.63,,,,,,,,,
,,2021 - 2022,,,2.77,,,,,,,,,
,,2022 - 2023,,,2.77,,,,,,,,,
,Hapur,2012 - 2013,405.0,,2.66,,,,,,,,,
,,2013 - 2014,370.0,,3.6,,,,,,,,,
,,2014 - 2015,190.0,571.0,3.01,,,,,,,,,
,,2015 - 2016,266.0,928.0,3.49,,,,,,,,,
,,2016 - 2017,635.0,,3.48,,,,,,,,,
,,2017 - 2018,360.0,,3.96,,,,,,,,,
,,2018 - 2019,197.0,830.0,4.21,,,,,,,,,
,,2019 - 2020,464.0,,4.01,,,,,,,,,
,,2020 - 2021,433.0,,3.93,,,,,,,,,
,,2021 - 2022,520.0,,4.01,,,,,,,,,
,,2022 - 2023,520.0,,3.26,,,,,,,,,
,Hardoi,2000 - 2001,,,1.7,,,,,,,,,
,,2001 - 2002,,,1.64,,,,,,,,,
,,2002 - 2003,,,1.74,,,,,,,,,
,,2003 - 2004,,,1.86,,,,,,,,,
,,2004 - 2005,,,1.59,,,,,,,,,
,,2005 - 2006,,,1.57,,,,,,,,,
,,2006 - 2007,,,1.66,,,,,,,,,
,,2007 - 2008,,,1.87,,,,,,,,,
,,2008 - 2009,,,1.89,,,,,,,,,
,,2009 - 2010,,,1.39,,,,,,,,,
,,2010 - 2011,,,1.96,,,,,,,,,
,,2011 - 2012,,,2.31,,,,,,,,,
,,2012 - 2013,,,2.02,,,,,,,,,
,,2013 - 2014,,,2.51,,,,,,,,,
,,2014 - 2015,,,1.36,,,,,,,,,
,,2015 - 2016,532.0,466.0,0.88,,,,,,,,,
,,2016 - 2017,,,2.74,,,,,,,,,
,,2017 - 2018,,,3.01,,,,,,,,,
,,2018 - 2019,,,2.8,,,,,,,,,
,,2019 - 2020,,,2.9,,,,,,,,,
,,2020 - 2021,,,2.54,,,,,,,,,
,,2021 - 2022,,,2.71,,,,,,,,,
,,2022 - 2023,,,3.05,,,,,,,,,
,Hathras,2000 - 2001,,,2.75,,,,,,,,,
,,2001 - 2002,,,2.77,,,,,,,,,
,,2002 - 2003,,,3.09,,,,,,,,,
,,2003 - 2004,,,2.75,,,,,,,,,
,,2004 - 2005,,,2.69,,,,,,,,,
,,2005 - 2006,,,3.01,,,,,,,,,
,,2006 - 2007,,,2.41,,,,,,,,,
,,2007 - 2008,,,2.65,,,,,,,,,
,,2008 - 2009,,,2.95,,,,,,,,,
,,2009 - 2010,,,2.66,,,,,,,,,
,,2010 - 2011,,,3.08,,,,,,,,,
,,2011 - 2012,,,3.37,,,,,,,,,
,,2012 - 2013,,,3.23,,,,,,,,,
,,2013 - 2014,,,3.37,,,,,,,,,
,,2014 - 2015,,,2.5,,,,,,,,,
,,2015 - 2016,,,2.77,,,,,,,,,
,,2016 - 2017,,,3.47,,,,,,,,,
,,2017 - 2018,,,3.38,,,,,,,,,
,,2018 - 2019,,,3.29,,,,,,,,,
,,2019 - 2020,,,3.84,,,,,,,,,
,,2020 - 2021,,,3.46,,,,,,,,,
,,2021 - 2022,,,3.57,,,,,,,,,
,,2022 - 2023,,,3.26,,,,,,,,,
,Jalaun,2000 - 2001,,,1.68,,,,,,,,,
,,2001 - 2002,,,2.58,,,,,,,,,
,,2002 - 2003,,,2.25,,,,,,,,,
,,2003 - 2004,,,2.02,,,,,,,,,
,,2004 - 2005,,,2.16,,,,,,,,,
,,2005 - 2006,,,2.01,,,,,,,,,
,,2006 - 2007,,,1.1,,,,,,,,,
,,2007 - 2008,,,1.13,,,,,,,,,
,,2008 - 2009,,,2.12,,,,,,,,,
,,2009 - 2010,,,2.03,,,,,,,,,
,,2010 - 2011,,,2.79,,,,,,,,,
,,2011 - 2012,,,1.73,,,,,,,,,
,,2012 - 2013,,,2.16,,,,,,,,,
,,2013 - 2014,,,2.79,,,,,,,,,
,,2014 - 2015,,,1.12,,,,,,,,,
,,2015 - 2016,,,2.12,,,,,,,,,
,,2016 - 2017,,,2.58,,,,,,,,,
,,2017 - 2018,,,2.41,,,,,,,,,
,,2018 - 2019,,,2.88,,,,,,,,,
,,2019 - 2020,,,2.31,,,,,,,,,
,,2020 - 2021,,,3.08,,,,,,,,,
,,2021 - 2022,,,2.93,,,,,,,,,
,,2022 - 2023,,,2.96,,,,,,,,,
,Jaunpur,2000 - 2001,,,1.27,,,,,,,,,
,,2001 - 2002,,,1.68,,,,,,,,,
,,2002 - 2003,878.0,,1.62,,,,,,,,,
,,2003 - 2004,851.0,,1.37,,,,,,,,,
,,2004 - 2005,710.0,943.0,1.33,,,,,,,,,
,,2005 - 2006,951.0,,1.69,,,,,,,,,
,,2006 - 2007,716.0,,1.59,,,,,,,,,
,,2007 - 2008,620.0,,1.88,,,,,,,,,
,,2008 - 2009,303.0,549.0,1.81,,,,,,,,,
,,2009 - 2010,334.0,575.0,1.72,,,,,,,,,
,,2010 - 2011,641.0,,1.85,,,,,,,,,
,,2011 - 2012,433.0,829.0,1.91,,,,,,,,,
,,2012 - 2013,588.0,,1.75,,,,,,,,,
,,2013 - 2014,42.0,78.0,1.86,,,,,,,,,
,,2014 - 2015,600.0,,1.75,,,,,,,,,
,,2015 - 2016,536.0,917.0,1.71,,,,,,,,,
,,2016 - 2017,513.0,,2.29,,,,,,,,,
,,2017 - 2018,563.0,,2.22,,,,,,,,,
,,2018 - 2019,534.0,,2.46,,,,,,,,,
,,2019 - 2020,899.0,,3.06,,,,,,,,,
,,2020 - 2021,528.0,,2.36,,,,,,,,,
,,2021 - 2022,711.0,,2.94,,,,,,,,,
,,2022 - 2023,711.0,,3.07,,,,,,,,,
,Jhansi,2000 - 2001,,,1.17,,,,,,,,,
,,2001 - 2002,,,1.62,,,,,,,,,
,,2002 - 2003,,,1.49,,,,,,,,,
,,2003 - 2004,,,1.61,,,,,,,,,
,,2004 - 2005,,,1.31,,,,,,,,,
,,2005 - 2006,,,2.01,,,,,,,,,
,,2006 - 2007,,,1.92,,,,,,,,,
,,2007 - 2008,,,1.45,,,,,,,,,
,,2008 - 2009,,,2.12,,,,,,,,,
,,2009 - 2010,,,2.03,,,,,,,,,
,,2010 - 2011,,,2.34,,,,,,,,,
,,2011 - 2012,,,1.73,,,,,,,,,
,,2012 - 2013,,,2.03,,,,,,,,,
,,2013 - 2014,,,1.7,,,,,,,,,
,,2014 - 2015,,,1.12,,,,,,,,,
,,2015 - 2016,,,2.29,,,,,,,,,
,,2016 - 2017,,,2.47,,,,,,,,,
,,2017 - 2018,,,2.41,,,,,,,,,
,,2018 - 2019,,,2.78,,,,,,,,,
,,2019 - 2020,,,2.92,,,,,,,,,
,,2020 - 2021,,,2.33,,,,,,,,,
,,2021 - 2022,,,2.5,,,,,,,,,
,,2022 - 2023,,,2.97,,,,,,,,,
,Kannauj,2000 - 2001,,,2.2,,,,,,,,,
,,2001 - 2002,,,2.37,,,,,,,,,
,,2002 - 2003,,,3.0,,,,,,,,,
,,2003 - 2004,,,2.48,,,,,,,,,
,,2004 - 2005,,,1.93,,,,,,,,,
,,2005 - 2006,,,2.37,,,,,,,,,
,,2006 - 2007,,,2.47,,,,,,,,,
,,2007 - 2008,,,2.33,,,,,,,,,
,,2008 - 2009,,,2.36,,,,,,,,,
,,2009 - 2010,,,2.01,,,,,,,,,
,,2010 - 2011,975.0,,2.93,,,,,,,,,
,,2011 - 2012,,,3.2,,,,,,,,,
,,2012 - 2013,917.0,,3.12,,,,,,,,,
,,2013 - 2014,,,2.82,,,,,,,,,
,,2014 - 2015,838.0,,1.43,,,,,,,,,
,,2015 - 2016,851.0,,2.63,,,,,,,,,
,,2016 - 2017,,,2.79,,,,,,,,,
,,2017 - 2018,945.0,,2.96,,,,,,,,,
,,2018 - 2019,952.0,,3.22,,,,,,,,,
,,2019 - 2020,883.0,,3.29,,,,,,,,,
,,2020 - 2021,876.0,,3.33,,,,,,,,,
,,2021 - 2022,,,2.91,,,,,,,,,
,,2022 - 2023,,,3.22,,,,,,,,,
,Kanpur dehat,2003 - 2004,,,2.48,,,,,,,,,
,,2004 - 2005,,,1.93,,,,,,,,,
,,2005 - 2006,,,1.95,,,,,,,,,
,,2006 - 2007,,,2.47,,,,,,,,,
,,2007 - 2008,,,2.33,,,,,,,,,
,,2008 - 2009,,,2.36,,,,,,,,,
,,2009 - 2010,,,2.01,,,,,,,,,
,,2010 - 2011,,,2.93,,,,,,,,,
,,2011 - 2012,,,3.21,,,,,,,,,
,,2012 - 2013,,,3.12,,,,,,,,,
,,2013 - 2014,,,2.82,,,,,,,,,
,,2014 - 2015,,,1.43,,,,,,,,,
,,2015 - 2016,,,2.63,,,,,,,,,
,,2016 - 2017,,,2.79,,,,,,,,,
,,2017 - 2018,,,3.26,,,,,,,,,
,,2018 - 2019,,,3.58,,,,,,,,,
,,2019 - 2020,,,3.29,,,,,,,,,
,,2020 - 2021,,,3.27,,,,,,,,,
,,2021 - 2022,,,2.91,,,,,,,,,
,,2022 - 2023,,,3.21,,,,,,,,,
,Kanpur nagar,2000 - 2001,,,2.18,,,,,,,,,
,,2001 - 2002,,,2.25,,,,,,,,,
,,2002 - 2003,,,2.44,,,,,,,,,
,,2003 - 2004,,,2.49,,,,,,,,,
,,2004 - 2005,,,1.61,,,,,,,,,
,,2005 - 2006,,,2.78,,,,,,,,,
,,2006 - 2007,,,2.23,,,,,,,,,
,,2007 - 2008,,,1.62,,,,,,,,,
,,2008 - 2009,,,1.82,,,,,,,,,
,,2009 - 2010,,,2.08,,,,,,,,,
,,2010 - 2011,,,2.32,,,,,,,,,
,,2011 - 2012,,,2.72,,,,,,,,,
,,2012 - 2013,,,3.12,,,,,,,,,
,,2013 - 2014,,,2.95,,,,,,,,,
,,2014 - 2015,,,1.29,,,,,,,,,
,,2015 - 2016,,,1.24,,,,,,,,,
,,2016 - 2017,,,1.16,,,,,,,,,
,,2017 - 2018,,,2.37,,,,,,,,,
,,2018 - 2019,,,1.53,,,,,,,,,
,,2019 - 2020,,,2.07,,,,,,,,,
,,2020 - 2021,,,3.08,,,,,,,,,
,,2021 - 2022,,,2.91,,,,,,,,,
,,2022 - 2023,,,3.22,,,,,,,,,
,Kasganj,2009 - 2010,,,2.67,,,,,,,,,
,,2010 - 2011,,,3.08,,,,,,,,,
,,2011 - 2012,,,3.37,,,,,,,,,
,,2012 - 2013,,,3.23,,,,,,,,,
,,2013 - 2014,,,3.37,,,,,,,,,
,,2014 - 2015,,,2.5,,,,,,,,,
,,2015 - 2016,,,2.77,,,,,,,,,
,,2016 - 2017,,,2.74,,,,,,,,,
,,2017 - 2018,,,3.4,,,,,,,,,
,,2018 - 2019,,,3.29,,,,,,,,,
,,2019 - 2020,,,4.18,,,,,,,,,
,,2020 - 2021,,,3.47,,,,,,,,,
,,2021 - 2022,,,3.73,,,,,,,,,
,,2022 - 2023,,,3.44,,,,,,,,,
,Kaushambi,2000 - 2001,,,1.33,,,,,,,,,
,,2001 - 2002,,,1.63,,,,,,,,,
,,2002 - 2003,,,1.14,,,,,,,,,
,,2003 - 2004,,,1.71,,,,,,,,,
,,2004 - 2005,,,1.22,,,,,,,,,
,,2005 - 2006,,,1.12,,,,,,,,,
,,2006 - 2007,,,1.49,,,,,,,,,
,,2007 - 2008,,,0.98,,,,,,,,,
,,2008 - 2009,,,0.83,,,,,,,,,
,,2009 - 2010,,,1.34,,,,,,,,,
,,2010 - 2011,,,1.84,,,,,,,,,
,,2011 - 2012,,,1.92,,,,,,,,,
,,2012 - 2013,,,2.76,,,,,,,,,
,,2013 - 2014,,,3.35,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,
,,2015 - 2016,754.0,,2.07,,,,,,,,,
,,2016 - 2017,,,2.53,,,,,,,,,
,,2017 - 2018,,,2.95,,,,,,,,,
,,2018 - 2019,508.0,,3.04,,,,,,,,,
,,2019 - 2020,,,2.85,,,,,,,,,
,,2020 - 2021,,,3.01,,,,,,,,,
,,2021 - 2022,,,2.84,,,,,,,,,
,,2022 - 2023,,,2.06,,,,,,,,,
,Kheri,2000 - 2001,629.0,,1.7,,,,,,,,,
,,2001 - 2002,624.0,,1.64,,,,,,,,,
,,2002 - 2003,648.0,,1.74,,,,,,,,,
,,2003 - 2004,557.0,,1.86,,,,,,,,,
,,2004 - 2005,409.0,652.0,1.59,,,,,,,,,
,,2005 - 2006,628.0,987.0,1.57,,,,,,,,,
,,2006 - 2007,383.0,636.0,1.66,,,,,,,,,
,,2007 - 2008,394.0,736.0,1.87,,,,,,,,,
,,2008 - 2009,360.0,681.0,1.89,,,,,,,,,
,,2009 - 2010,286.0,397.0,1.39,,,,,,,,,
,,2010 - 2011,103.0,202.0,1.96,,,,,,,,,
,,2011 - 2012,604.0,,2.31,,,,,,,,,
,,2012 - 2013,918.0,,2.02,,,,,,,,,
,,2013 - 2014,846.0,,2.51,,,,,,,,,
,,2014 - 2015,223.0,303.0,1.36,,,,,,,,,
,,2015 - 2016,291.0,256.0,0.88,,,,,,,,,
,,2016 - 2017,685.0,,2.74,,,,,,,,,
,,2017 - 2018,519.0,,2.62,,,,,,,,,
,,2018 - 2019,554.0,,2.8,,,,,,,,,
,,2019 - 2020,620.0,,3.15,,,,,,,,,
,,2020 - 2021,113.0,322.0,2.85,,,,,,,,,
,,2021 - 2022,,,2.71,,,,,,,,,
,,2022 - 2023,,,3.05,,,,,,,,,
,Kushi nagar,2000 - 2001,146.0,187.0,1.28,,,,,,,,,
,,2001 - 2002,198.0,435.0,2.2,,,,,,,,,
,,2002 - 2003,104.0,160.0,1.54,,,,,,,,,
,,2003 - 2004,127.0,237.0,1.87,,,,,,,,,
,,2004 - 2005,122.0,235.0,1.93,,,,,,,,,
,,2005 - 2006,157.0,162.0,1.03,,,,,,,,,
,,2006 - 2007,120.0,233.0,1.94,,,,,,,,,
,,2007 - 2008,118.0,279.0,2.36,,,,,,,,,
,,2008 - 2009,13.0,31.0,2.38,,,,,,,,,
,,2009 - 2010,103.0,237.0,2.3,,,,,,,,,
,,2010 - 2011,95.0,251.0,2.64,,,,,,,,,
,,2011 - 2012,79.0,217.0,2.75,,,,,,,,,
,,2012 - 2013,86.0,237.0,2.76,,,,,,,,,
,,2013 - 2014,123.0,374.0,3.04,,,,,,,,,
,,2014 - 2015,85.0,155.0,1.82,,,,,,,,,
,,2015 - 2016,96.0,211.0,2.2,,,,,,,,,
,,2016 - 2017,104.0,359.0,3.45,,,,,,,,,
,,2018 - 2019,98.0,312.0,3.18,,,,,,,,,
,,2019 - 2020,104.0,338.0,3.25,,,,,,,,,
,,2020 - 2021,97.0,304.0,3.13,,,,,,,,,
,,2021 - 2022,107.0,325.0,3.04,,,,,,,,,
,,2022 - 2023,107.0,328.0,3.07,,,,,,,,,
,Lalitpur,2000 - 2001,,,1.17,,,,,,,,,
,,2001 - 2002,,,1.62,,,,,,,,,
,,2002 - 2003,,,1.49,,,,,,,,,
,,2003 - 2004,,,1.61,,,,,,,,,
,,2004 - 2005,,,1.31,,,,,,,,,
,,2005 - 2006,,,2.01,,,,,,,,,
,,2006 - 2007,,,1.92,,,,,,,,,
,,2007 - 2008,,,1.45,,,,,,,,,
,,2008 - 2009,,,2.12,,,,,,,,,
,,2009 - 2010,,,2.03,,,,,,,,,
,,2010 - 2011,,,2.34,,,,,,,,,
,,2011 - 2012,,,2.34,,,,,,,,,
,,2012 - 2013,,,2.26,,,,,,,,,
,,2013 - 2014,,,2.52,,,,,,,,,
,,2014 - 2015,,,1.6,,,,,,,,,
,,2015 - 2016,,,2.14,,,,,,,,,
,,2016 - 2017,,,2.44,,,,,,,,,
,,2017 - 2018,,,1.94,,,,,,,,,
,,2018 - 2019,,,3.32,,,,,,,,,
,,2019 - 2020,,,2.8,,,,,,,,,
,,2020 - 2021,,,2.14,,,,,,,,,
,,2021 - 2022,,,3.09,,,,,,,,,
,,2022 - 2023,,,2.53,,,,,,,,,
,Lucknow,2000 - 2001,,,1.7,,,,,,,,,
,,2001 - 2002,943.0,,1.64,,,,,,,,,
,,2002 - 2003,777.0,,1.74,,,,,,,,,
,,2003 - 2004,675.0,,1.86,,,,,,,,,
,,2004 - 2005,604.0,963.0,1.59,,,,,,,,,
,,2005 - 2006,340.0,534.0,1.57,,,,,,,,,
,,2006 - 2007,414.0,688.0,1.66,,,,,,,,,
,,2007 - 2008,223.0,416.0,1.87,,,,,,,,,
,,2008 - 2009,250.0,473.0,1.89,,,,,,,,,
,,2009 - 2010,256.0,355.0,1.39,,,,,,,,,
,,2010 - 2011,139.0,272.0,1.96,,,,,,,,,
,,2011 - 2012,169.0,391.0,2.31,,,,,,,,,
,,2012 - 2013,136.0,274.0,2.01,,,,,,,,,
,,2013 - 2014,150.0,376.0,2.51,,,,,,,,,
,,2014 - 2015,121.0,164.0,1.36,,,,,,,,,
,,2015 - 2016,88.0,77.0,0.88,,,,,,,,,
,,2016 - 2017,125.0,342.0,2.74,,,,,,,,,
,,2017 - 2018,221.0,580.0,2.62,,,,,,,,,
,,2018 - 2019,32.0,90.0,2.81,,,,,,,,,
,,2019 - 2020,166.0,431.0,2.6,,,,,,,,,
,,2020 - 2021,82.0,234.0,2.85,,,,,,,,,
,,2021 - 2022,215.0,584.0,2.72,,,,,,,,,
,,2022 - 2023,215.0,656.0,3.05,,,,,,,,,
,Maharajganj,2000 - 2001,157.0,201.0,1.28,,,,,,,,,
,,2001 - 2002,165.0,363.0,2.2,,,,,,,,,
,,2002 - 2003,146.0,224.0,1.53,,,,,,,,,
,,2003 - 2004,108.0,201.0,1.86,,,,,,,,,
,,2004 - 2005,104.0,201.0,1.93,,,,,,,,,
,,2005 - 2006,100.0,104.0,1.04,,,,,,,,,
,,2006 - 2007,98.0,191.0,1.95,,,,,,,,,
,,2007 - 2008,56.0,133.0,2.38,,,,,,,,,
,,2008 - 2009,98.0,229.0,2.34,,,,,,,,,
,,2009 - 2010,65.0,150.0,2.31,,,,,,,,,
,,2010 - 2011,52.0,138.0,2.65,,,,,,,,,
,,2011 - 2012,71.0,195.0,2.75,,,,,,,,,
,,2012 - 2013,58.0,159.0,2.74,,,,,,,,,
,,2013 - 2014,113.0,344.0,3.04,,,,,,,,,
,,2014 - 2015,66.0,120.0,1.82,,,,,,,,,
,,2015 - 2016,25.0,55.0,2.2,,,,,,,,,
,,2016 - 2017,87.0,300.0,3.45,,,,,,,,,
,,2017 - 2018,21.0,69.0,3.29,,,,,,,,,
,,2018 - 2019,64.0,204.0,3.19,,,,,,,,,
,,2020 - 2021,67.0,210.0,3.13,,,,,,,,,
,,2021 - 2022,95.0,288.0,3.03,,,,,,,,,
,,2022 - 2023,95.0,291.0,3.06,,,,,,,,,
,Mahoba,2000 - 2001,,,0.69,,,,,,,,,
,,2001 - 2002,,,0.92,,,,,,,,,
,,2002 - 2003,,,0.86,,,,,,,,,
,,2003 - 2004,,,1.1,,,,,,,,,
,,2004 - 2005,,,1.6,,,,,,,,,
,,2005 - 2006,,,1.0,,,,,,,,,
,,2006 - 2007,,,0.87,,,,,,,,,
,,2007 - 2008,,653.0,0.48,,,,,,,,,
,,2008 - 2009,,,0.94,,,,,,,,,
,,2009 - 2010,,,1.02,,,,,,,,,
,,2010 - 2011,,,2.31,,,,,,,,,
,,2011 - 2012,,,2.18,,,,,,,,,
,,2012 - 2013,,,2.7,,,,,,,,,
,,2013 - 2014,,,2.97,,,,,,,,,
,,2014 - 2015,,,1.72,,,,,,,,,
,,2015 - 2016,,,0.77,,,,,,,,,
,,2016 - 2017,,,2.63,,,,,,,,,
,,2017 - 2018,,,2.46,,,,,,,,,
,,2018 - 2019,,,2.91,,,,,,,,,
,,2019 - 2020,,,2.58,,,,,,,,,
,,2020 - 2021,,,1.84,,,,,,,,,
,,2021 - 2022,,,2.23,,,,,,,,,
,,2022 - 2023,,,3.04,,,,,,,,,
,Mainpuri,2000 - 2001,,,2.75,,,,,,,,,
,,2001 - 2002,,,2.77,,,,,,,,,
,,2002 - 2003,,,3.09,,,,,,,,,
,,2003 - 2004,,,2.75,,,,,,,,,
,,2004 - 2005,,,2.69,,,,,,,,,
,,2005 - 2006,,,3.01,,,,,,,,,
,,2006 - 2007,,,2.41,,,,,,,,,
,,2007 - 2008,,,2.65,,,,,,,,,
,,2008 - 2009,,,2.95,,,,,,,,,
,,2009 - 2010,,,3.0,,,,,,,,,
,,2010 - 2011,,,3.33,,,,,,,,,
,,2011 - 2012,,,3.31,,,,,,,,,
,,2012 - 2013,,,3.25,,,,,,,,,
,,2013 - 2014,,,3.38,,,,,,,,,
,,2014 - 2015,,,1.84,,,,,,,,,
,,2015 - 2016,,,2.72,,,,,,,,,
,,2016 - 2017,,,3.42,,,,,,,,,
,,2017 - 2018,,,4.48,,,,,,,,,
,,2018 - 2019,,,3.48,,,,,,,,,
,,2019 - 2020,,,3.45,,,,,,,,,
,,2020 - 2021,,,3.71,,,,,,,,,
,,2021 - 2022,,,3.27,,,,,,,,,
,,2022 - 2023,,,3.48,,,,,,,,,
,Mathura,2000 - 2001,,,3.24,,,,,,,,,
,,2001 - 2002,,,3.0,,,,,,,,,
,,2002 - 2003,,,2.96,,,,,,,,,
,,2003 - 2004,,,2.51,,,,,,,,,
,,2004 - 2005,,,2.69,,,,,,,,,
,,2005 - 2006,,,3.09,,,,,,,,,
,,2006 - 2007,,,2.5,,,,,,,,,
,,2007 - 2008,,,2.65,,,,,,,,,
,,2008 - 2009,,,2.95,,,,,,,,,
,,2009 - 2010,,,3.0,,,,,,,,,
,,2010 - 2011,,,3.33,,,,,,,,,
,,2011 - 2012,,,3.31,,,,,,,,,
,,2012 - 2013,,,3.25,,,,,,,,,
,,2013 - 2014,,,3.38,,,,,,,,,
,,2014 - 2015,,,1.84,,,,,,,,,
,,2015 - 2016,,,2.72,,,,,,,,,
,,2016 - 2017,,,3.42,,,,,,,,,
,,2017 - 2018,,,3.23,,,,,,,,,
,,2018 - 2019,,,3.48,,,,,,,,,
,,2019 - 2020,,,3.27,,,,,,,,,
,,2020 - 2021,,,3.65,,,,,,,,,
,,2021 - 2022,,,3.62,,,,,,,,,
,,2022 - 2023,,,3.5,,,,,,,,,
,Mau,2000 - 2001,,,1.79,,,,,,,,,
,,2001 - 2002,,,1.57,,,,,,,,,
,,2002 - 2003,,,1.35,,,,,,,,,
,,2003 - 2004,,,1.66,,,,,,,,,
,,2004 - 2005,,,1.5,,,,,,,,,
,,2005 - 2006,,,1.67,,,,,,,,,
,,2006 - 2007,652.0,,1.76,,,,,,,,,
,,2007 - 2008,641.0,,2.13,,,,,,,,,
,,2008 - 2009,,,2.35,,,,,,,,,
,,2009 - 2010,,,2.25,,,,,,,,,
,,2010 - 2011,,,2.61,,,,,,,,,
,,2011 - 2012,,,2.38,,,,,,,,,
,,2012 - 2013,,,2.61,,,,,,,,,
,,2013 - 2014,,,2.51,,,,,,,,,
,,2014 - 2015,,,1.34,,,,,,,,,
,,2015 - 2016,,,2.46,,,,,,,,,
,,2016 - 2017,,,2.04,,,,,,,,,
,,2017 - 2018,,,2.54,,,,,,,,,
,,2018 - 2019,,,2.83,,,,,,,,,
,,2019 - 2020,,,3.2,,,,,,,,,
,,2020 - 2021,,,3.46,,,,,,,,,
,,2021 - 2022,,,2.44,,,,,,,,,
,,2022 - 2023,,,2.83,,,,,,,,,
,Meerut,2000 - 2001,309.0,,3.24,,,,,,,,,
,,2001 - 2002,354.0,,3.2,,,,,,,,,
,,2002 - 2003,296.0,863.0,2.92,,,,,,,,,
,,2003 - 2004,338.0,854.0,2.53,,,,,,,,,
,,2004 - 2005,223.0,621.0,2.78,,,,,,,,,
,,2005 - 2006,278.0,785.0,2.82,,,,,,,,,
,,2006 - 2007,222.0,816.0,3.68,,,,,,,,,
,,2007 - 2008,144.0,434.0,3.01,,,,,,,,,
,,2008 - 2009,103.0,370.0,3.59,,,,,,,,,
,,2009 - 2010,202.0,703.0,3.48,,,,,,,,,
,,2010 - 2011,150.0,508.0,3.39,,,,,,,,,
,,2011 - 2012,105.0,404.0,3.85,,,,,,,,,
,,2012 - 2013,235.0,626.0,2.66,,,,,,,,,
,,2013 - 2014,77.0,277.0,3.6,,,,,,,,,
,,2014 - 2015,91.0,273.0,3.0,,,,,,,,,
,,2015 - 2016,61.0,213.0,3.49,,,,,,,,,
,,2016 - 2017,62.0,216.0,3.48,,,,,,,,,
,,2017 - 2018,99.0,392.0,3.96,,,,,,,,,
,,2018 - 2019,133.0,560.0,4.21,,,,,,,,,
,,2019 - 2020,85.0,340.0,4.0,,,,,,,,,
,,2020 - 2021,104.0,409.0,3.93,,,,,,,,,
,,2021 - 2022,134.0,538.0,4.01,,,,,,,,,
,,2022 - 2023,134.0,436.0,3.25,,,,,,,,,
,Mirzapur,2000 - 2001,,,1.25,,,,,,,,,
,,2001 - 2002,,,1.35,,,,,,,,,
,,2002 - 2003,,,1.02,,,,,,,,,
,,2003 - 2004,,,1.16,,,,,,,,,
,,2004 - 2005,,,0.7,,,,,,,,,
,,2005 - 2006,,,0.68,,,,,,,,,
,,2006 - 2007,,,1.05,,,,,,,,,
,,2007 - 2008,815.0,575.0,0.71,,,,,,,,,
,,2008 - 2009,,,1.07,,,,,,,,,
,,2009 - 2010,,,0.85,,,,,,,,,
,,2010 - 2011,,,1.37,,,,,,,,,
,,2011 - 2012,,,2.08,,,,,,,,,
,,2012 - 2013,,,1.5,,,,,,,,,
,,2013 - 2014,,,2.12,,,,,,,,,
,,2014 - 2015,,,1.56,,,,,,,,,
,,2015 - 2016,,,0.95,,,,,,,,,
,,2016 - 2017,,,1.6,,,,,,,,,
,,2017 - 2018,,,1.14,,,,,,,,,
,,2018 - 2019,,,2.03,,,,,,,,,
,,2019 - 2020,,,2.75,,,,,,,,,
,,2020 - 2021,,,2.7,,,,,,,,,
,,2021 - 2022,,,2.57,,,,,,,,,
,,2022 - 2023,,,3.07,,,,,,,,,
,Moradabad,2000 - 2001,334.0,761.0,2.28,,,,,,,,,
,,2001 - 2002,318.0,786.0,2.47,,,,,,,,,
,,2002 - 2003,304.0,745.0,2.45,,,,,,,,,
,,2003 - 2004,314.0,743.0,2.37,,,,,,,,,
,,2004 - 2005,243.0,513.0,2.11,,,,,,,,,
,,2005 - 2006,152.0,309.0,2.03,,,,,,,,,
,,2006 - 2007,214.0,462.0,2.16,,,,,,,,,
,,2007 - 2008,161.0,356.0,2.21,,,,,,,,,
,,2008 - 2009,157.0,365.0,2.32,,,,,,,,,
,,2009 - 2010,94.0,216.0,2.3,,,,,,,,,
,,2010 - 2011,110.0,289.0,2.63,,,,,,,,,
,,2011 - 2012,142.0,386.0,2.72,,,,,,,,,
,,2012 - 2013,18.0,48.0,2.67,,,,,,,,,
,,2013 - 2014,25.0,72.0,2.88,,,,,,,,,
,,2014 - 2015,7.0,12.0,1.71,,,,,,,,,
,,2015 - 2016,11.0,24.0,2.18,,,,,,,,,
,,2016 - 2017,7.0,19.0,2.71,,,,,,,,,
,,2017 - 2018,5.0,14.0,2.8,,,,,,,,,
,,2018 - 2019,7.0,21.0,3.0,,,,,,,,,
,,2019 - 2020,1.0,3.0,3.0,,,,,,,,,
,,2020 - 2021,6.0,19.0,3.17,,,,,,,,,
,,2021 - 2022,7.0,21.0,3.0,,,,,,,,,
,,2022 - 2023,7.0,21.0,3.0,,,,,,,,,
