state,district,year,arecanut_kharif_area_hectare,arecanut_kharif_production_tonne,arecanut_kharif_yield_tonne_per_hectare,arecanut_whole_year_area_hectare,arecanut_whole_year_production_tonne,arecanut_whole_year_yield_tonne_per_hectare,arecanut_rabi_area_hectare,arecanut_rabi_production_tonne,arecanut_rabi_yield_tonne_per_hectare
,,2011 - 2012,,,,,,0.98,,,
,,2012 - 2013,,,,,,1.01,,,
,,2013 - 2014,,,,769.0,831.0,1.08,,,
,,2014 - 2015,,,,771.0,897.0,1.16,,,
,,2015 - 2016,,,,,,,783.0,968.0,1.24
,,2016 - 2017,,,,,,,789.0,974.0,1.23
,,2017 - 2018,,,,,,,790.0,976.0,1.24
,,2018 - 2019,,,,,,,791.0,977.0,1.24
,,2019 - 2020,,,,,,,792.0,979.0,1.24
,,2020 - 2021,,,,,,,793.0,981.0,1.24
,,2022 - 2023,,,,,,,867.0,,1.24
Puducherry,Mahe,2000 - 2001,,,,65.0,130.0,2.0,,,
,,2001 - 2002,,,,65.0,137.0,2.11,,,
,,2003 - 2004,,,,64.0,77.0,1.2,,,
,,2006 - 2007,63.0,82.0,1.3,63.0,82.0,1.3,,,
,,2007 - 2008,61.0,78.0,1.28,,,,,,
,,2008 - 2009,61.0,79.0,1.3,,,,,,
,,2009 - 2010,61.0,77.0,1.26,,,,,,
,,2010 - 2011,60.0,78.0,1.3,,,,,,
,,2011 - 2012,60.0,77.0,1.28,,,,,,
,,2015 - 2016,55.0,83.0,1.51,,,,,,
,,2016 - 2017,53.0,93.0,1.75,,,,,,
,,2017 - 2018,52.0,78.0,1.5,,,,,,
,,2018 - 2019,52.0,78.0,1.5,,,,,,
,,2019 - 2020,52.0,78.0,1.5,,,,,,
,,2020 - 2021,52.0,78.0,1.5,,,,,,
,,2022 - 2023,53.0,80.0,1.51,,,,,,
Tamil Nadu,Ariyalur,2018 - 2019,,,,1.0,2.0,2.0,,,
,,2019 - 2020,,,,1.0,2.0,2.0,,,
,,2022 - 2023,,,,4.0,9.0,2.25,,,
,Coimbatore,2002 - 2003,,,,,,0.0,,,
,,2003 - 2004,,,,,,0.0,,,
,,2004 - 2005,,,,,,1.17,,,
,,2005 - 2006,,,,,,2.87,,,
,,2006 - 2007,,,,,,2.39,,,
,,2007 - 2008,,,,,,1.9,,,
,,2008 - 2009,,,,,,2.06,,,
,,2009 - 2010,,,,,,2.01,,,
,,2011 - 2012,,,,,,1.89,,,
,,2013 - 2014,,,,,,2.03,,,
,,2014 - 2015,,,,,790.0,0.44,,,
,,2015 - 2016,,,,,,1.28,,,
,,2016 - 2017,,,,,,1.35,,,
,,2017 - 2018,,,,,,1.79,,,
,,2018 - 2019,,,,,,2.08,,,
,,2019 - 2020,,,,,,2.08,,,
,,2020 - 2021,,,,,,0.84,,,
,,2021 - 2022,,,,,,1.04,,,
,,2022 - 2023,,,,,,1.4,,,
,Cuddalore,2005 - 2006,,,,2.0,2.0,1.0,,,
,,2006 - 2007,,,,1.0,1.0,1.0,,,
,,2007 - 2008,,,,1.0,2.0,2.0,,,
,,2008 - 2009,,,,1.0,2.0,2.0,,,
,,2009 - 2010,,,,1.0,2.0,2.0,,,
,,2011 - 2012,,,,1.0,2.0,2.0,,,
,,2017 - 2018,,,,1.0,2.0,2.0,,,
,,2018 - 2019,,,,1.0,2.0,2.0,,,
,,2019 - 2020,,,,1.0,2.0,2.0,,,
,,2020 - 2021,,,,1.0,2.0,2.0,,,
,Dharmapuri,2002 - 2003,,,,203.0,,0.0,,,
,,2003 - 2004,,,,308.0,,0.0,,,
,,2004 - 2005,,,,308.0,393.0,1.28,,,
,,2005 - 2006,,,,308.0,471.0,1.53,,,
,,2006 - 2007,,,,337.0,,3.02,,,
,,2007 - 2008,,,,336.0,903.0,2.69,,,
,,2008 - 2009,,,,367.0,855.0,2.33,,,
,,2009 - 2010,,,,213.0,488.0,2.29,,,
,,2011 - 2012,,,,402.0,,3.94,,,
,,2013 - 2014,,,,317.0,682.0,2.15,,,
,,2014 - 2015,,,,349.0,,6.78,,,
,,2015 - 2016,,,,306.0,,5.11,,,
,,2016 - 2017,,,,381.0,,3.65,,,
,,2017 - 2018,,,,510.0,,4.95,,,
,,2018 - 2019,,,,496.0,635.0,1.28,,,
,,2019 - 2020,,,,496.0,635.0,1.28,,,
,,2020 - 2021,,,,737.0,852.0,1.16,,,
,,2021 - 2022,,,,,,1.0,,,
,,2022 - 2023,,,,,,1.57,,,
,Dindigul,2002 - 2003,,,,32.0,,0.0,,,
,,2003 - 2004,,,,39.0,,0.0,,,
,,2004 - 2005,,,,60.0,128.0,2.13,,,
,,2005 - 2006,,,,67.0,64.0,0.96,,,
,,2006 - 2007,,,,61.0,66.0,1.08,,,
,,2007 - 2008,,,,64.0,189.0,2.95,,,
,,2008 - 2009,,,,61.0,78.0,1.28,,,
,,2009 - 2010,,,,58.0,78.0,1.34,,,
,,2011 - 2012,,,,48.0,76.0,1.58,,,
,,2013 - 2014,,,,53.0,69.0,1.3,,,
,,2014 - 2015,,,,63.0,28.0,0.44,,,
,,2015 - 2016,,,,58.0,49.0,0.84,,,
,,2016 - 2017,,,,51.0,11.0,0.22,,,
,,2017 - 2018,,,,53.0,43.0,0.81,,,
,,2018 - 2019,,,,45.0,99.0,2.2,,,
,,2019 - 2020,,,,45.0,99.0,2.2,,,
,,2020 - 2021,,,,60.0,39.0,0.65,,,
,,2021 - 2022,,,,62.0,18.0,0.29,,,
,,2022 - 2023,,,,68.0,85.0,1.25,,,
,Erode,2002 - 2003,,,,121.0,,0.0,,,
,,2003 - 2004,,,,134.0,,0.0,,,
,,2004 - 2005,,,,155.0,182.0,1.17,,,
,,2005 - 2006,,,,144.0,396.0,2.75,,,
,,2006 - 2007,,,,164.0,715.0,4.36,,,
,,2007 - 2008,,,,177.0,586.0,3.31,,,
,,2008 - 2009,,,,198.0,617.0,3.12,,,
,,2009 - 2010,,,,215.0,333.0,1.55,,,
,,2011 - 2012,,,,233.0,,4.3,,,
,,2013 - 2014,,,,367.0,810.0,2.21,,,
,,2014 - 2015,,,,426.0,624.0,1.46,,,
,,2015 - 2016,,,,475.0,,2.15,,,
,,2016 - 2017,,,,546.0,962.0,1.76,,,
,,2017 - 2018,,,,541.0,,2.05,,,
,,2018 - 2019,,,,642.0,875.0,1.36,,,
,,2019 - 2020,,,,642.0,875.0,1.36,,,
,,2020 - 2021,,,,802.0,812.0,1.01,,,
,,2021 - 2022,,,,988.0,,1.35,,,
,,2022 - 2023,,,,,,2.53,,,
,Kallakurichi,2020 - 2021,,,,157.0,453.0,2.89,,,
,,2021 - 2022,,,,132.0,392.0,2.97,,,
,,2022 - 2023,,,,185.0,478.0,2.58,,,
,Kanniyakumari,2002 - 2003,,,,760.0,,0.0,,,
,,2003 - 2004,,,,761.0,,0.0,,,
,,2004 - 2005,,,,736.0,,2.53,,,
,,2005 - 2006,,,,598.0,,2.23,,,
,,2006 - 2007,,,,586.0,,2.25,,,
,,2007 - 2008,,,,601.0,719.0,1.2,,,
,,2008 - 2009,,,,531.0,817.0,1.54,,,
,,2009 - 2010,,,,502.0,802.0,1.6,,,
,,2011 - 2012,,,,404.0,157.0,0.39,,,
,,2013 - 2014,,,,337.0,272.0,0.81,,,
,,2014 - 2015,,,,350.0,519.0,1.48,,,
,,2015 - 2016,,,,318.0,,3.33,,,
,,2016 - 2017,,,,297.0,35.0,0.12,,,
,,2017 - 2018,,,,289.0,887.0,3.07,,,
,,2018 - 2019,,,,269.0,200.0,0.74,,,
,,2019 - 2020,,,,269.0,200.0,0.74,,,
,,2020 - 2021,,,,276.0,183.0,0.66,,,
,,2021 - 2022,,,,277.0,36.0,0.13,,,
,,2022 - 2023,,,,260.0,112.0,0.43,,,
,Karur,2003 - 2004,,,,1.0,,0.0,,,
,,2004 - 2005,,,,1.0,1.0,1.0,,,
,,2005 - 2006,,,,2.0,1.0,0.5,,,
,,2006 - 2007,,,,2.0,2.0,1.0,,,
,,2007 - 2008,,,,1.0,2.0,2.0,,,
,,2008 - 2009,,,,1.0,2.0,2.0,,,
,,2009 - 2010,,,,1.0,2.0,2.0,,,
,,2011 - 2012,,,,1.0,2.0,2.0,,,
,,2013 - 2014,,,,1.0,1.0,1.0,,,
,,2014 - 2015,,,,1.0,1.0,1.0,,,
,,2018 - 2019,,,,1.0,2.0,2.0,,,
,,2019 - 2020,,,,1.0,2.0,2.0,,,
,,2020 - 2021,,,,1.0,2.0,2.0,,,
,,2021 - 2022,,,,6.0,6.0,1.0,,,
,,2022 - 2023,,,,7.0,14.0,2.0,,,
,Krishnagiri,2003 - 2004,,,,43.0,,0.0,,,
,,2004 - 2005,,,,38.0,48.0,1.26,,,
,,2005 - 2006,,,,46.0,80.0,1.74,,,
,,2006 - 2007,,,,38.0,75.0,1.97,,,
,,2007 - 2008,,,,53.0,43.0,0.81,,,
,,2008 - 2009,,,,51.0,15.0,0.29,,,
,,2009 - 2010,,,,32.0,5.0,0.16,,,
,,2011 - 2012,,,,32.0,43.0,1.34,,,
,,2013 - 2014,,,,33.0,99.0,3.0,,,
,,2014 - 2015,,,,28.0,81.0,2.89,,,
,,2015 - 2016,,,,18.0,7.0,0.39,,,
,,2016 - 2017,,,,18.0,20.0,1.11,,,
,,2017 - 2018,,,,13.0,64.0,4.92,,,
,,2018 - 2019,,,,16.0,13.0,0.81,,,
,,2019 - 2020,,,,16.0,13.0,0.81,,,
,,2020 - 2021,,,,12.0,4.0,0.33,,,
,,2021 - 2022,,,,30.0,4.0,0.13,,,
,,2022 - 2023,,,,35.0,15.0,0.43,,,
,Madurai,2008 - 2009,,,,4.0,8.0,2.0,,,
,,2009 - 2010,,,,1.0,2.0,2.0,,,
,,2011 - 2012,,,,1.0,2.0,2.0,,,
,,2015 - 2016,,,,1.0,2.0,2.0,,,
,,2016 - 2017,,,,1.0,2.0,2.0,,,
,,2017 - 2018,,,,1.0,2.0,2.0,,,
,,2022 - 2023,,,,1.0,2.0,2.0,,,
,Mayiladuthurai,2020 - 2021,,,,1.0,2.0,2.0,,,
,,2021 - 2022,,,,1.0,2.0,2.0,,,
,,2022 - 2023,,,,1.0,2.0,2.0,,,
,Nagapattinam,2002 - 2003,,,,3.0,,0.0,,,
,,2003 - 2004,,,,2.0,,0.0,,,
,,2004 - 2005,,,,2.0,3.0,1.5,,,
,,2005 - 2006,,,,2.0,1.0,0.5,,,
,,2006 - 2007,,,,1.0,,0.0,,,
,,2007 - 2008,,,,2.0,2.0,1.0,,,
,,2008 - 2009,,,,1.0,2.0,2.0,,,
,,2009 - 2010,,,,1.0,,0.0,,,
,,2011 - 2012,,,,1.0,2.0,2.0,,,
,,2013 - 2014,,,,1.0,1.0,1.0,,,
,,2016 - 2017,,,,1.0,,0.0,,,
,,2017 - 2018,,,,1.0,2.0,2.0,,,
,,2018 - 2019,,,,1.0,2.0,2.0,,,
,,2019 - 2020,,,,1.0,2.0,2.0,,,
,Namakkal,2002 - 2003,,,,184.0,,0.0,,,
,,2003 - 2004,,,,188.0,,0.0,,,
,,2004 - 2005,,,,188.0,240.0,1.28,,,
,,2005 - 2006,,,,140.0,237.0,1.69,,,
,,2006 - 2007,,,,256.0,462.0,1.8,,,
,,2007 - 2008,,,,268.0,894.0,3.34,,,
,,2008 - 2009,,,,321.0,586.0,1.83,,,
,,2009 - 2010,,,,337.0,619.0,1.84,,,
,,2011 - 2012,,,,521.0,,3.63,,,
,,2013 - 2014,,,,626.0,25.0,0.04,,,
,,2014 - 2015,,,,561.0,,3.2,,,
,,2015 - 2016,,,,636.0,,2.46,,,
,,2016 - 2017,,,,727.0,,2.53,,,
,,2017 - 2018,,,,747.0,,2.09,,,
,,2018 - 2019,,,,620.0,,2.46,,,
,,2019 - 2020,,,,620.0,,2.46,,,
,,2020 - 2021,,,,681.0,978.0,1.44,,,
,,2021 - 2022,,,,775.0,,1.96,,,
,,2022 - 2023,,,,,,3.6,,,
,Perambalur,2002 - 2003,,,,17.0,,0.0,,,
,,2003 - 2004,,,,20.0,,0.0,,,
,,2004 - 2005,,,,17.0,32.0,1.88,,,
,,2005 - 2006,,,,16.0,4.0,0.25,,,
,,2006 - 2007,,,,22.0,17.0,0.77,,,
,,2007 - 2008,,,,27.0,23.0,0.85,,,
,,2008 - 2009,,,,32.0,69.0,2.16,,,
,,2009 - 2010,,,,34.0,65.0,1.91,,,
,,2011 - 2012,,,,43.0,110.0,2.56,,,
,,2013 - 2014,,,,63.0,11.0,0.17,,,
,,2014 - 2015,,,,53.0,6.0,0.11,,,
,,2015 - 2016,,,,52.0,4.0,0.08,,,
,,2016 - 2017,,,,52.0,200.0,3.85,,,
,,2017 - 2018,,,,33.0,144.0,4.36,,,
,,2018 - 2019,,,,52.0,163.0,3.13,,,
,,2019 - 2020,,,,52.0,163.0,3.13,,,
,,2020 - 2021,,,,52.0,76.0,1.46,,,
,,2021 - 2022,,,,49.0,25.0,0.51,,,
,,2022 - 2023,,,,48.0,73.0,1.52,,,
,Pudukkottai,2005 - 2006,,,,1.0,1.0,1.0,,,
,,2006 - 2007,,,,1.0,1.0,1.0,,,
,,2007 - 2008,,,,6.0,13.0,2.17,,,
,,2018 - 2019,,,,1.0,,0.0,,,
,,2020 - 2021,,,,1.0,2.0,2.0,,,
,,2021 - 2022,,,,2.0,2.0,1.0,,,
,,2022 - 2023,,,,5.0,12.0,2.4,,,
,Salem,2002 - 2003,,,,,,0.0,,,
,,2003 - 2004,,,,,,0.0,,,
,,2004 - 2005,,,,,,1.28,,,
,,2005 - 2006,,,,,,1.21,,,
,,2006 - 2007,,,,,,1.87,,,
,,2007 - 2008,,,,,,2.24,,,
,,2008 - 2009,,,,,,2.37,,,
,,2009 - 2010,,,,,,2.43,,,
,,2011 - 2012,,,,,,2.92,,,
,,2013 - 2014,,,,,,0.98,,,
,,2014 - 2015,,,,,,0.55,,,
,,2015 - 2016,,,,,,1.42,,,
,,2016 - 2017,,,,,,1.94,,,
,,2017 - 2018,,,,,,1.92,,,
,,2018 - 2019,,,,,,1.86,,,
,,2019 - 2020,,,,,,1.86,,,
,,2020 - 2021,,,,,,2.78,,,
,,2021 - 2022,,,,,,2.3,,,
,,2022 - 2023,,,,,,2.59,,,
,Thanjavur,2002 - 2003,,,,8.0,,0.0,,,
,,2003 - 2004,,,,7.0,,0.0,,,
,,2004 - 2005,,,,8.0,15.0,1.88,,,
,,2005 - 2006,,,,18.0,15.0,0.83,,,
,,2006 - 2007,,,,18.0,52.0,2.89,,,
,,2007 - 2008,,,,20.0,35.0,1.75,,,
,,2008 - 2009,,,,19.0,18.0,0.95,,,
,,2009 - 2010,,,,9.0,19.0,2.11,,,
,,2011 - 2012,,,,24.0,20.0,0.83,,,
,,2013 - 2014,,,,40.0,18.0,0.45,,,
,,2014 - 2015,,,,45.0,52.0,1.16,,,
,,2015 - 2016,,,,46.0,18.0,0.39,,,
,,2016 - 2017,,,,58.0,32.0,0.55,,,
,,2017 - 2018,,,,72.0,24.0,0.33,,,
,,2018 - 2019,,,,15.0,28.0,1.87,,,
,,2019 - 2020,,,,15.0,28.0,1.87,,,
,,2020 - 2021,,,,21.0,24.0,1.14,,,
,,2021 - 2022,,,,20.0,24.0,1.2,,,
,,2022 - 2023,,,,12.0,20.0,1.67,,,
,The nilgiris,2002 - 2003,,,,174.0,,0.0,,,
,,2003 - 2004,,,,198.0,,0.0,,,
,,2004 - 2005,,,,207.0,229.0,1.11,,,
,,2005 - 2006,,,,212.0,136.0,0.64,,,
,,2006 - 2007,,,,431.0,879.0,2.04,,,
,,2007 - 2008,,,,272.0,596.0,2.19,,,
,,2008 - 2009,,,,291.0,57.0,0.2,,,
,,2009 - 2010,,,,332.0,71.0,0.21,,,
,,2011 - 2012,,,,326.0,307.0,0.94,,,
,,2013 - 2014,,,,310.0,168.0,0.54,,,
,,2014 - 2015,,,,456.0,938.0,2.06,,,
,,2015 - 2016,,,,460.0,408.0,0.89,,,
,,2016 - 2017,,,,343.0,709.0,2.07,,,
,,2017 - 2018,,,,353.0,972.0,2.75,,,
,,2018 - 2019,,,,379.0,,3.67,,,
,,2019 - 2020,,,,379.0,,3.67,,,
,,2020 - 2021,,,,387.0,736.0,1.9,,,
,,2021 - 2022,,,,407.0,389.0,0.96,,,
,,2022 - 2023,,,,417.0,392.0,0.94,,,
,Theni,2002 - 2003,,,,20.0,,0.0,,,
,,2003 - 2004,,,,29.0,,0.0,,,
,,2004 - 2005,,,,31.0,66.0,2.13,,,
,,2005 - 2006,,,,31.0,30.0,0.97,,,
,,2006 - 2007,,,,79.0,60.0,0.76,,,
,,2007 - 2008,,,,30.0,52.0,1.73,,,
,,2008 - 2009,,,,33.0,51.0,1.55,,,
,,2009 - 2010,,,,30.0,48.0,1.6,,,
,,2011 - 2012,,,,32.0,36.0,1.13,,,
,,2013 - 2014,,,,29.0,14.0,0.48,,,
,,2014 - 2015,,,,32.0,46.0,1.44,,,
,,2015 - 2016,,,,29.0,17.0,0.59,,,
,,2016 - 2017,,,,30.0,26.0,0.87,,,
,,2017 - 2018,,,,30.0,94.0,3.13,,,
,,2018 - 2019,,,,33.0,68.0,2.06,,,
,,2019 - 2020,,,,33.0,68.0,2.06,,,
,,2020 - 2021,,,,27.0,24.0,0.89,,,
,,2021 - 2022,,,,48.0,30.0,0.63,,,
,,2022 - 2023,,,,172.0,52.0,0.3,,,
,Thenkasi,2020 - 2021,,,,122.0,15.0,0.12,,,
,,2021 - 2022,,,,116.0,19.0,0.16,,,
,,2022 - 2023,,,,113.0,26.0,0.23,,,
,Thiruvarur,2002 - 2003,,,,5.0,,0.0,,,
,,2003 - 2004,,,,5.0,,0.0,,,
,,2004 - 2005,,,,5.0,7.0,1.4,,,
,,2005 - 2006,,,,6.0,5.0,0.83,,,
,,2006 - 2007,,,,5.0,7.0,1.4,,,
,,2007 - 2008,,,,4.0,8.0,2.0,,,
,,2008 - 2009,,,,4.0,8.0,2.0,,,
,,2009 - 2010,,,,2.0,4.0,2.0,,,
,,2011 - 2012,,,,2.0,5.0,2.5,,,
,,2013 - 2014,,,,2.0,3.0,1.5,,,
,,2014 - 2015,,,,2.0,3.0,1.5,,,
,,2015 - 2016,,,,3.0,5.0,1.67,,,
,,2016 - 2017,,,,3.0,5.0,1.67,,,
,,2017 - 2018,,,,3.0,4.0,1.33,,,
,,2018 - 2019,,,,13.0,26.0,2.0,,,
,,2019 - 2020,,,,13.0,26.0,2.0,,,
,,2020 - 2021,,,,8.0,9.0,1.13,,,
,,2021 - 2022,,,,16.0,19.0,1.19,,,
,,2022 - 2023,,,,40.0,80.0,2.0,,,
,Tiruchirappalli,2002 - 2003,,,,8.0,,0.0,,,
,,2003 - 2004,,,,11.0,,0.0,,,
,,2004 - 2005,,,,13.0,25.0,1.92,,,
,,2005 - 2006,,,,13.0,16.0,1.23,,,
,,2006 - 2007,,,,11.0,14.0,1.27,,,
,,2007 - 2008,,,,18.0,58.0,3.22,,,
,,2008 - 2009,,,,18.0,55.0,3.06,,,
,,2009 - 2010,,,,29.0,68.0,2.34,,,
,,2011 - 2012,,,,47.0,115.0,2.45,,,
,,2013 - 2014,,,,65.0,100.0,1.54,,,
,,2014 - 2015,,,,73.0,266.0,3.64,,,
,,2015 - 2016,,,,65.0,280.0,4.31,,,
,,2016 - 2017,,,,84.0,109.0,1.3,,,
,,2017 - 2018,,,,62.0,261.0,4.21,,,
,,2018 - 2019,,,,59.0,175.0,2.97,,,
,,2019 - 2020,,,,59.0,175.0,2.97,,,
,,2020 - 2021,,,,68.0,56.0,0.82,,,
,,2021 - 2022,,,,85.0,125.0,1.47,,,
,,2022 - 2023,,,,89.0,191.0,2.15,,,
,Tirunelveli,2002 - 2003,,,,115.0,,0.0,,,
,,2003 - 2004,,,,122.0,,0.0,,,
,,2004 - 2005,,,,122.0,260.0,2.13,,,
,,2005 - 2006,,,,123.0,142.0,1.15,,,
,,2006 - 2007,,,,127.0,78.0,0.61,,,
,,2007 - 2008,,,,121.0,223.0,1.84,,,
,,2008 - 2009,,,,133.0,37.0,0.28,,,
,,2009 - 2010,,,,138.0,48.0,0.35,,,
,,2011 - 2012,,,,140.0,47.0,0.34,,,
,,2013 - 2014,,,,126.0,164.0,1.3,,,
,,2014 - 2015,,,,123.0,1.0,0.01,,,
,,2015 - 2016,,,,121.0,14.0,0.12,,,
,,2016 - 2017,,,,126.0,42.0,0.33,,,
,,2017 - 2018,,,,122.0,77.0,0.63,,,
,,2018 - 2019,,,,123.0,41.0,0.33,,,
,,2019 - 2020,,,,123.0,41.0,0.33,,,
,,2020 - 2021,,,,4.0,4.0,1.0,,,
,,2021 - 2022,,,,4.0,5.0,1.25,,,
,,2022 - 2023,,,,3.0,3.0,1.0,,,
,Tirupathur,2020 - 2021,,,,7.0,9.0,1.29,,,
,,2021 - 2022,,,,7.0,10.0,1.43,,,
,,2022 - 2023,,,,5.0,9.0,1.8,,,
,Tiruppur,2008 - 2009,,,,42.0,,0.0,,,
,,2009 - 2010,,,,37.0,32.0,0.86,,,
,,2011 - 2012,,,,42.0,54.0,1.29,,,
,,2013 - 2014,,,,37.0,58.0,1.57,,,
,,2014 - 2015,,,,36.0,18.0,0.5,,,
,,2015 - 2016,,,,27.0,16.0,0.59,,,
,,2016 - 2017,,,,38.0,76.0,2.0,,,
,,2017 - 2018,,,,37.0,53.0,1.43,,,
,,2018 - 2019,,,,41.0,290.0,7.07,,,
,,2019 - 2020,,,,41.0,290.0,7.07,,,
,,2020 - 2021,,,,35.0,113.0,3.23,,,
,,2021 - 2022,,,,57.0,178.0,3.12,,,
,,2022 - 2023,,,,78.0,288.0,3.69,,,
,Tiruvannamalai,2007 - 2008,,,,1.0,2.0,2.0,,,
,,2008 - 2009,,,,3.0,6.0,2.0,,,
,,2009 - 2010,,,,4.0,8.0,2.0,,,
,,2011 - 2012,,,,5.0,12.0,2.4,,,
,,2013 - 2014,,,,5.0,6.0,1.2,,,
,,2014 - 2015,,,,1.0,1.0,1.0,,,
,,2015 - 2016,,,,10.0,17.0,1.7,,,
,,2016 - 2017,,,,6.0,,0.0,,,
,,2017 - 2018,,,,11.0,27.0,2.45,,,
,,2018 - 2019,,,,120.0,24.0,0.2,,,
,,2019 - 2020,,,,12.0,24.0,2.0,,,
,,2020 - 2021,,,,13.0,15.0,1.15,,,
,,2021 - 2022,,,,15.0,19.0,1.27,,,
,,2022 - 2023,,,,32.0,50.0,1.56,,,
,Vellore,2005 - 2006,,,,3.0,3.0,1.0,,,
,,2006 - 2007,,,,15.0,21.0,1.4,,,
,,2007 - 2008,,,,2.0,4.0,2.0,,,
,,2008 - 2009,,,,4.0,8.0,2.0,,,
,,2009 - 2010,,,,4.0,8.0,2.0,,,
,,2011 - 2012,,,,7.0,17.0,2.43,,,
,,2013 - 2014,,,,13.0,17.0,1.31,,,
,,2014 - 2015,,,,4.0,5.0,1.25,,,
,,2015 - 2016,,,,3.0,5.0,1.67,,,
,,2016 - 2017,,,,6.0,11.0,1.83,,,
,,2017 - 2018,,,,4.0,9.0,2.25,,,
,,2018 - 2019,,,,6.0,12.0,2.0,,,
,,2019 - 2020,,,,6.0,12.0,2.0,,,
,Villupuram,2004 - 2005,,,,5.0,7.0,1.4,,,
,,2005 - 2006,,,,5.0,4.0,0.8,,,
,,2006 - 2007,,,,25.0,35.0,1.4,,,
,,2007 - 2008,,,,32.0,68.0,2.13,,,
,,2008 - 2009,,,,45.0,89.0,1.98,,,
,,2009 - 2010,,,,39.0,75.0,1.92,,,
,,2011 - 2012,,,,42.0,103.0,2.45,,,
,,2013 - 2014,,,,42.0,53.0,1.26,,,
,,2014 - 2015,,,,61.0,54.0,0.89,,,
,,2015 - 2016,,,,64.0,67.0,1.05,,,
,,2016 - 2017,,,,72.0,97.0,1.35,,,
,,2017 - 2018,,,,89.0,65.0,0.73,,,
,,2018 - 2019,,,,120.0,263.0,2.19,,,
,,2019 - 2020,,,,120.0,263.0,2.19,,,
,Virudhunagar,2003 - 2004,,,,1.0,,0.0,,,
,,2004 - 2005,,,,1.0,1.0,1.0,,,
,,2005 - 2006,,,,1.0,1.0,1.0,,,
,,2006 - 2007,,,,1.0,1.0,1.0,,,
,,2007 - 2008,,,,2.0,4.0,2.0,,,
,,2008 - 2009,,,,1.0,2.0,2.0,,,
,,2009 - 2010,,,,1.0,2.0,2.0,,,
,,2011 - 2012,,,,1.0,2.0,2.0,,,
,,2013 - 2014,,,,1.0,1.0,1.0,,,
,,2014 - 2015,,,,1.0,1.0,1.0,,,
,,2015 - 2016,,,,2.0,3.0,1.5,,,
,,2016 - 2017,,,,1.0,2.0,2.0,,,
,,2017 - 2018,,,,1.0,2.0,2.0,,,
,,2018 - 2019,,,,1.0,2.0,2.0,,,
,,2019 - 2020,,,,1.0,2.0,2.0,,,
,,2020 - 2021,,,,1.0,2.0,2.0,,,
,,2021 - 2022,,,,2.0,2.0,1.0,,,
,,2022 - 2023,,,,1.0,2.0,2.0,,,
West Bengal,paraganas north,2000 - 2001,,,,,,1.93,,,
,,2001 - 2002,,,,,,1.85,,,
,,2002 - 2003,,,,,,2.59,,,
,,2003 - 2004,,,,,,2.89,,,
,,2005 - 2006,,,,,,5.13,,,
,,2006 - 2007,,,,,,1.09,,,
,,2007 - 2008,,,,,,2.66,,,
,,2008 - 2009,,,,,,2.66,,,
,paraganas south,2000 - 2001,,,,760.0,570.0,0.75,,,
,,2001 - 2002,,,,875.0,,1.8,,,
,,2002 - 2003,,,,889.0,,1.85,,,
,,2003 - 2004,,,,880.0,,2.0,,,
,,2005 - 2006,,,,777.0,,1.61,,,
,,2006 - 2007,,,,798.0,,1.61,,,
,,2007 - 2008,,,,905.0,,1.43,,,
,,2008 - 2009,,,,915.0,,1.42,,,
,Bankura,2000 - 2001,,,,4.0,8.0,2.0,,,
,,2001 - 2002,,,,4.0,8.0,2.0,,,
,,2002 - 2003,,,,5.0,92.0,18.4,,,
,,2003 - 2004,,,,20.0,58.0,2.9,,,
,,2005 - 2006,,,,30.0,31.0,1.03,,,
,,2006 - 2007,,,,34.0,28.0,0.82,,,
,,2007 - 2008,,,,34.0,28.0,0.82,,,
,,2008 - 2009,,,,34.0,28.0,0.82,,,
,Birbhum,2000 - 2001,,,,12.0,14.0,1.17,,,
,,2001 - 2002,,,,11.0,13.0,1.18,,,
,,2002 - 2003,,,,14.0,17.0,1.21,,,
,,2003 - 2004,,,,22.0,29.0,1.32,,,
,,2005 - 2006,,,,22.0,26.0,1.18,,,
,,2006 - 2007,,,,22.0,43.0,1.95,,,
,,2007 - 2008,,,,36.0,58.0,1.61,,,
,,2008 - 2009,,,,39.0,63.0,1.62,,,
,Coochbehar,2000 - 2001,,,,,,1.5,,,
,,2001 - 2002,,,,,,1.5,,,
,,2002 - 2003,,,,,,1.5,,,
,,2003 - 2004,,,,,,1.5,,,
,,2005 - 2006,,,,,,5.0,,,
,,2006 - 2007,,,,,,5.75,,,
,,2007 - 2008,,,,,,1.12,,,
,,2008 - 2009,,,,,,1.24,,,
,Darjeeling,2000 - 2001,,,,259.0,537.0,2.07,,,
,,2001 - 2002,,,,285.0,592.0,2.08,,,
,,2002 - 2003,,,,247.0,482.0,1.95,,,
,,2003 - 2004,,,,248.0,487.0,1.96,,,
,,2005 - 2006,,,,201.0,694.0,3.45,,,
,,2006 - 2007,,,,291.0,699.0,2.4,,,
,,2007 - 2008,,,,294.0,640.0,2.18,,,
,,2008 - 2009,,,,294.0,540.0,1.84,,,
,Dinajpur dakshin,2000 - 2001,,,,51.0,64.0,1.25,,,
,,2001 - 2002,,,,,,1.22,,,
,,2002 - 2003,,,,51.0,64.0,1.25,,,
,,2003 - 2004,,,,60.0,74.0,1.23,,,
,,2005 - 2006,,,,64.0,63.0,0.98,,,
,,2006 - 2007,,,,73.0,72.0,0.99,,,
