state,district,year,moong_summer_yield_tonne_per_hectare
,,2008 - 2009,0.67
,,2009 - 2010,0.43
,,2010 - 2011,0.54
,,2011 - 2012,0.6
,,2012 - 2013,0.62
,,2013 - 2014,0.67
,,2014 - 2015,0.58
,,2015 - 2016,0.55
,,2016 - 2017,0.69
,,2017 - 2018,0.71
,,2018 - 2019,0.71
,,2019 - 2020,0.67
,,2020 - 2021,0.9
,,2021 - 2022,0.68
,,2022 - 2023,0.75
,Bhojpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.47
,,2004 - 2005,0.57
,,2005 - 2006,0.58
,,2006 - 2007,0.54
,,2007 - 2008,0.6
,,2008 - 2009,0.67
,,2009 - 2010,0.43
,,2010 - 2011,0.54
,,2011 - 2012,0.6
,,2012 - 2013,0.63
,,2013 - 2014,0.67
,,2014 - 2015,0.58
,,2015 - 2016,0.55
,,2016 - 2017,0.68
,,2017 - 2018,0.71
,,2018 - 2019,0.71
,,2019 - 2020,0.68
,,2020 - 2021,1.1
,,2021 - 2022,0.75
,Buxar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.6
,,2006 - 2007,0.53
,,2007 - 2008,
,,2008 - 2009,0.67
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.6
,,2012 - 2013,0.62
,,2013 - 2014,0.67
,,2014 - 2015,0.59
,,2015 - 2016,0.54
,,2016 - 2017,0.69
,,2017 - 2018,0.7
,,2018 - 2019,0.68
,,2019 - 2020,0.68
,,2020 - 2021,1.13
,,2021 - 2022,0.7
,,2022 - 2023,0.96
,Darbhanga,2000 - 2001,
,,2002 - 2003,0.55
,,2003 - 2004,0.43
,,2004 - 2005,0.39
,,2005 - 2006,0.73
,,2006 - 2007,0.57
,,2007 - 2008,0.55
,,2008 - 2009,0.08
,,2009 - 2010,0.58
,,2010 - 2011,0.57
,,2011 - 2012,1.11
,,2012 - 2013,0.31
,,2013 - 2014,0.84
,,2014 - 2015,1.29
,,2015 - 2016,0.76
,,2016 - 2017,0.75
,,2017 - 2018,0.74
,,2018 - 2019,0.81
,,2019 - 2020,0.76
,,2020 - 2021,0.31
,,2021 - 2022,0.67
,,2022 - 2023,0.57
,Gaya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.61
,,2003 - 2004,0.49
,,2004 - 2005,0.55
,,2005 - 2006,0.57
,,2006 - 2007,0.53
,,2007 - 2008,0.6
,,2008 - 2009,0.67
,,2009 - 2010,0.46
,,2010 - 2011,0.6
,,2011 - 2012,0.53
,,2012 - 2013,0.88
,,2013 - 2014,1.21
,,2014 - 2015,0.58
,,2015 - 2016,0.83
,,2016 - 2017,1.29
,,2017 - 2018,1.22
,,2018 - 2019,0.58
,,2019 - 2020,1.09
,,2020 - 2021,0.34
,,2021 - 2022,0.76
,,2022 - 2023,0.83
,Gopalganj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.38
,,2003 - 2004,0.44
,,2004 - 2005,0.38
,,2005 - 2006,0.65
,,2006 - 2007,0.53
,,2007 - 2008,0.5
,,2008 - 2009,0.67
,,2009 - 2010,0.28
,,2010 - 2011,1.6
,,2011 - 2012,0.61
,,2012 - 2013,0.57
,,2013 - 2014,0.67
,,2014 - 2015,1.04
,,2015 - 2016,0.7
,,2016 - 2017,0.64
,,2017 - 2018,0.8
,,2018 - 2019,0.56
,,2019 - 2020,0.21
,,2020 - 2021,0.68
,,2021 - 2022,0.73
,,2022 - 2023,0.62
,Jamui,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.49
,,2004 - 2005,0.46
,,2005 - 2006,0.61
,,2006 - 2007,0.53
,,2007 - 2008,0.95
,,2008 - 2009,1.0
,,2009 - 2010,1.03
,,2010 - 2011,1.0
,,2011 - 2012,1.11
,,2012 - 2013,0.62
,,2013 - 2014,1.15
,,2014 - 2015,0.58
,,2015 - 2016,0.88
,,2016 - 2017,1.02
,,2017 - 2018,0.74
,,2018 - 2019,0.93
,,2019 - 2020,0.77
,,2020 - 2021,0.55
,,2021 - 2022,0.55
,,2022 - 2023,0.56
,Jehanabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.59
,,2003 - 2004,0.48
,,2004 - 2005,0.54
,,2005 - 2006,0.58
,,2006 - 2007,0.53
,,2007 - 2008,0.59
,,2008 - 2009,0.67
,,2009 - 2010,0.46
,,2010 - 2011,0.6
,,2011 - 2012,0.53
,,2012 - 2013,0.88
,,2013 - 2014,1.21
,,2014 - 2015,0.58
,,2015 - 2016,0.88
,,2016 - 2017,1.02
,,2017 - 2018,1.64
,,2018 - 2019,0.72
,,2019 - 2020,1.02
,,2020 - 2021,0.3
,,2021 - 2022,0.78
,,2022 - 2023,0.85
,Kaimur (bhabua),2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.4
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,0.63
,,2013 - 2014,0.67
,,2014 - 2015,0.58
,,2015 - 2016,0.55
,,2016 - 2017,0.69
,,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.67
,,2020 - 2021,1.14
,,2021 - 2022,0.7
,,2022 - 2023,0.96
,Katihar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.76
,,2003 - 2004,0.7
,,2004 - 2005,0.53
,,2005 - 2006,0.47
,,2006 - 2007,0.53
,,2007 - 2008,0.55
,,2008 - 2009,0.46
,,2009 - 2010,0.56
,,2010 - 2011,0.83
,,2011 - 2012,0.6
,,2012 - 2013,1.23
,,2013 - 2014,1.02
,,2014 - 2015,1.16
,,2015 - 2016,1.23
,,2016 - 2017,1.03
,,2017 - 2018,0.94
,,2018 - 2019,0.7
,,2019 - 2020,0.85
,,2020 - 2021,0.72
,,2021 - 2022,0.98
,,2022 - 2023,0.85
,Khagaria,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.49
,,2004 - 2005,0.46
,,2005 - 2006,0.61
,,2006 - 2007,0.53
,,2007 - 2008,0.95
,,2008 - 2009,0.67
,,2009 - 2010,1.04
,,2010 - 2011,1.0
,,2011 - 2012,1.11
,,2012 - 2013,0.62
,,2013 - 2014,1.16
,,2014 - 2015,0.58
,,2015 - 2016,0.88
,,2016 - 2017,1.02
,,2017 - 2018,0.74
,,2018 - 2019,0.93
,,2019 - 2020,0.77
,,2020 - 2021,0.55
,,2021 - 2022,0.55
,,2022 - 2023,0.61
,Kishanganj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.69
,,2003 - 2004,0.44
,,2004 - 2005,0.76
,,2005 - 2006,0.58
,,2006 - 2007,0.85
,,2007 - 2008,0.49
,,2008 - 2009,0.47
,,2009 - 2010,0.41
,,2010 - 2011,0.58
,,2011 - 2012,1.47
,,2012 - 2013,0.88
,,2013 - 2014,0.9
,,2014 - 2015,1.13
,,2015 - 2016,0.74
,,2016 - 2017,1.09
,,2017 - 2018,0.61
,,2018 - 2019,0.46
,,2019 - 2020,0.65
,,2020 - 2021,0.23
,,2021 - 2022,0.78
,,2022 - 2023,0.69
,Lakhisarai,2000 - 2001,
,,2002 - 2003,0.5
,,2003 - 2004,0.47
,,2004 - 2005,0.44
,,2005 - 2006,1.0
,,2006 - 2007,0.55
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.03
,,2017 - 2018,0.75
,,2018 - 2019,0.93
,,2019 - 2020,0.77
,,2020 - 2021,0.56
,,2021 - 2022,0.55
,,2022 - 2023,0.59
,Madhepura,2000 - 2001,
,,2002 - 2003,0.63
,,2003 - 2004,0.43
,,2004 - 2005,0.54
,,2005 - 2006,0.74
,,2006 - 2007,0.8
,,2007 - 2008,0.53
,,2008 - 2009,0.8
,,2009 - 2010,0.44
,,2010 - 2011,0.47
,,2011 - 2012,0.58
,,2012 - 2013,0.57
,,2013 - 2014,0.29
,,2014 - 2015,0.41
,,2015 - 2016,0.35
,,2016 - 2017,0.63
,,2017 - 2018,0.86
,,2018 - 2019,0.86
,,2019 - 2020,0.68
,,2020 - 2021,0.49
,,2021 - 2022,0.79
,,2022 - 2023,0.94
,Madhubani,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.57
,,2003 - 2004,0.47
,,2004 - 2005,0.58
,,2005 - 2006,0.67
,,2006 - 2007,0.45
,,2007 - 2008,0.49
,,2008 - 2009,0.33
,,2009 - 2010,0.45
,,2010 - 2011,0.43
,,2011 - 2012,0.67
,,2012 - 2013,0.65
,,2013 - 2014,0.71
,,2014 - 2015,0.62
,,2015 - 2016,0.76
,,2016 - 2017,0.73
,,2017 - 2018,0.91
,,2018 - 2019,1.01
,,2019 - 2020,0.88
,,2020 - 2021,0.58
,,2021 - 2022,0.52
,,2022 - 2023,0.57
,Munger,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.49
,,2004 - 2005,0.46
,,2005 - 2006,0.62
,,2006 - 2007,0.53
,,2007 - 2008,0.95
,,2008 - 2009,0.67
,,2009 - 2010,1.04
,,2010 - 2011,1.0
,,2011 - 2012,1.1
,,2012 - 2013,0.62
,,2013 - 2014,1.16
,,2014 - 2015,0.58
,,2015 - 2016,0.88
,,2016 - 2017,1.02
,,2017 - 2018,0.74
,,2018 - 2019,0.93
,,2019 - 2020,0.77
,,2020 - 2021,0.55
,,2021 - 2022,0.55
,,2022 - 2023,0.59
,Muzaffarpur,2000 - 2001,
,,2002 - 2003,0.57
,,2003 - 2004,0.51
,,2004 - 2005,0.41
,,2005 - 2006,0.81
,,2006 - 2007,0.52
,,2007 - 2008,0.63
,,2008 - 2009,0.54
,,2009 - 2010,0.39
,,2010 - 2011,0.43
,,2011 - 2012,0.39
,,2012 - 2013,0.62
,,2013 - 2014,0.55
,,2014 - 2015,0.52
,,2015 - 2016,0.43
,,2016 - 2017,0.38
,,2017 - 2018,0.53
,,2018 - 2019,0.75
,,2019 - 2020,0.53
,,2020 - 2021,0.54
,,2021 - 2022,0.73
,,2022 - 2023,0.84
,Nalanda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.61
,,2003 - 2004,0.49
,,2004 - 2005,0.55
,,2005 - 2006,0.57
,,2006 - 2007,0.53
,,2007 - 2008,0.6
,,2008 - 2009,0.67
,,2009 - 2010,0.43
,,2010 - 2011,0.54
,,2011 - 2012,0.6
,,2012 - 2013,0.62
,,2013 - 2014,0.67
,,2014 - 2015,0.58
,,2015 - 2016,0.55
,,2016 - 2017,0.69
,,2017 - 2018,0.71
,,2018 - 2019,0.7
,,2019 - 2020,0.67
,,2020 - 2021,1.14
,,2021 - 2022,0.69
,,2022 - 2023,1.09
,Nawada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.61
,,2003 - 2004,0.49
,,2004 - 2005,0.55
,,2005 - 2006,0.57
,,2006 - 2007,0.53
,,2007 - 2008,0.6
,,2008 - 2009,0.67
,,2009 - 2010,0.46
,,2010 - 2011,0.6
,,2011 - 2012,0.53
,,2012 - 2013,0.88
,,2013 - 2014,1.21
,,2014 - 2015,0.58
,,2015 - 2016,0.98
,,2016 - 2017,0.59
,,2017 - 2018,2.28
,,2018 - 2019,0.93
,,2019 - 2020,0.91
,,2020 - 2021,0.26
,,2021 - 2022,0.8
,,2022 - 2023,0.87
,Pashchim champaran,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.55
,,2003 - 2004,0.5
,,2004 - 2005,0.4
,,2005 - 2006,0.68
,,2006 - 2007,0.45
,,2007 - 2008,0.56
,,2008 - 2009,0.52
,,2009 - 2010,0.41
,,2010 - 2011,0.51
,,2011 - 2012,0.39
,,2012 - 2013,0.62
,,2013 - 2014,0.58
,,2014 - 2015,0.52
,,2015 - 2016,0.45
,,2016 - 2017,0.41
,,2017 - 2018,0.73
,,2018 - 2019,0.77
,,2019 - 2020,0.6
,,2020 - 2021,0.52
,,2021 - 2022,0.85
,,2022 - 2023,1.14
,Patna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.63
,,2003 - 2004,0.49
,,2004 - 2005,0.55
,,2005 - 2006,0.58
,,2006 - 2007,0.53
,,2007 - 2008,0.6
,,2008 - 2009,0.67
,,2009 - 2010,0.43
,,2010 - 2011,0.54
,,2011 - 2012,0.6
,,2012 - 2013,0.62
,,2013 - 2014,0.67
,,2014 - 2015,0.58
,,2015 - 2016,0.55
,,2016 - 2017,0.69
,,2017 - 2018,0.71
,,2018 - 2019,0.71
,,2019 - 2020,0.67
,,2020 - 2021,1.14
,,2021 - 2022,0.7
,,2022 - 2023,0.67
,Purbi champaran,2000 - 2001,
,,2002 - 2003,0.55
,,2003 - 2004,0.5
,,2004 - 2005,0.4
,,2005 - 2006,0.68
,,2006 - 2007,0.45
,,2007 - 2008,0.56
,,2008 - 2009,0.52
,,2009 - 2010,0.41
,,2010 - 2011,0.51
,,2011 - 2012,0.39
,,2012 - 2013,0.62
,,2013 - 2014,0.58
,,2014 - 2015,0.52
,,2015 - 2016,0.45
,,2016 - 2017,0.41
,,2017 - 2018,0.73
,,2018 - 2019,1.78
,,2019 - 2020,1.01
,,2020 - 2021,0.52
,,2021 - 2022,0.85
,,2022 - 2023,1.03
,Purnia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.87
,,2003 - 2004,0.87
,,2004 - 2005,0.43
,,2005 - 2006,0.28
,,2006 - 2007,0.35
,,2007 - 2008,1.21
,,2008 - 2009,0.6
,,2009 - 2010,0.54
,,2010 - 2011,0.54
,,2011 - 2012,1.13
,,2012 - 2013,1.33
,,2013 - 2014,0.8
,,2014 - 2015,0.63
,,2015 - 2016,0.94
,,2016 - 2017,1.09
,,2017 - 2018,0.36
,,2018 - 2019,1.03
,,2019 - 2020,0.83
,,2020 - 2021,0.56
,,2021 - 2022,0.49
,,2022 - 2023,1.26
,Rohtas,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.61
,,2003 - 2004,0.49
,,2004 - 2005,0.55
,,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,0.9
,,2008 - 2009,0.67
,,2009 - 2010,0.42
,,2010 - 2011,0.54
,,2011 - 2012,0.6
,,2012 - 2013,0.63
,,2013 - 2014,0.67
,,2014 - 2015,0.58
,,2015 - 2016,0.55
,,2016 - 2017,0.69
,,2017 - 2018,0.71
,,2018 - 2019,0.71
,,2019 - 2020,0.67
,,2020 - 2021,1.15
,,2021 - 2022,0.7
,,2022 - 2023,0.82
,Saharsa,2000 - 2001,
,,2002 - 2003,0.87
,,2003 - 2004,0.28
,,2004 - 2005,0.82
,,2005 - 2006,0.44
,,2006 - 2007,0.48
,,2007 - 2008,0.53
,,2008 - 2009,0.64
,,2009 - 2010,0.38
,,2010 - 2011,0.63
,,2011 - 2012,0.65
,,2012 - 2013,0.37
,,2013 - 2014,0.55
,,2014 - 2015,0.26
,,2015 - 2016,0.35
,,2016 - 2017,0.74
,,2017 - 2018,0.62
,,2018 - 2019,0.75
,,2019 - 2020,0.62
,,2020 - 2021,0.68
,,2021 - 2022,0.66
,,2022 - 2023,0.57
,Samastipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.41
,,2003 - 2004,0.54
,,2004 - 2005,0.61
,,2005 - 2006,0.62
,,2006 - 2007,0.55
,,2007 - 2008,1.04
,,2008 - 2009,1.63
,,2009 - 2010,0.62
,,2010 - 2011,0.71
,,2011 - 2012,0.59
,,2012 - 2013,0.46
,,2013 - 2014,0.62
,,2014 - 2015,0.54
,,2015 - 2016,0.76
,,2016 - 2017,0.77
,,2017 - 2018,0.38
,,2018 - 2019,0.32
,,2019 - 2020,0.54
,,2020 - 2021,0.89
,,2021 - 2022,1.0
,,2022 - 2023,1.06
,Saran,2000 - 2001,
,,2002 - 2003,0.71
,,2003 - 2004,0.42
,,2004 - 2005,0.38
,,2005 - 2006,0.47
,,2006 - 2007,0.86
,,2007 - 2008,0.66
,,2008 - 2009,0.67
,,2009 - 2010,0.28
,,2010 - 2011,0.52
,,2011 - 2012,0.44
,,2012 - 2013,0.54
,,2013 - 2014,0.67
,,2014 - 2015,1.06
,,2015 - 2016,0.7
,,2016 - 2017,0.59
,,2017 - 2018,0.8
,,2018 - 2019,0.56
,,2019 - 2020,0.21
,,2020 - 2021,0.68
,,2021 - 2022,0.74
,,2022 - 2023,0.79
,Sheikhpura,2000 - 2001,
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.33
,,2005 - 2006,
,,2009 - 2010,1.06
,,2011 - 2012,1.14
,,2012 - 2013,0.6
,,2013 - 2014,1.18
,,2014 - 2015,0.63
,,2015 - 2016,0.88
,,2016 - 2017,1.02
,,2017 - 2018,0.73
,,2018 - 2019,0.93
,,2019 - 2020,0.77
,,2020 - 2021,0.55
,,2021 - 2022,0.55
,,2022 - 2023,0.56
,Sheohar,2000 - 2001,
,,2002 - 2003,0.55
,,2003 - 2004,0.5
,,2004 - 2005,0.4
,,2005 - 2006,0.68
,,2006 - 2007,0.45
,,2007 - 2008,0.56
,,2008 - 2009,0.52
,,2009 - 2010,0.41
,,2010 - 2011,0.51
,,2011 - 2012,0.39
,,2012 - 2013,0.62
,,2013 - 2014,0.58
,,2014 - 2015,0.52
,,2015 - 2016,0.45
,,2016 - 2017,0.41
,,2017 - 2018,0.73
,,2018 - 2019,0.77
,,2019 - 2020,0.6
,,2020 - 2021,0.52
,,2021 - 2022,0.85
,,2022 - 2023,1.01
,Sitamarhi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.44
,,2003 - 2004,0.41
,,2004 - 2005,0.41
,,2005 - 2006,0.83
,,2006 - 2007,0.45
,,2007 - 2008,0.56
,,2008 - 2009,0.52
,,2009 - 2010,0.4
,,2010 - 2011,0.86
,,2011 - 2012,0.54
,,2012 - 2013,0.62
,,2013 - 2014,0.54
,,2014 - 2015,0.53
,,2015 - 2016,0.56
,,2016 - 2017,0.6
,,2017 - 2018,0.64
,,2018 - 2019,0.44
,,2019 - 2020,0.7
,,2020 - 2021,0.66
,,2021 - 2022,0.81
,,2022 - 2023,1.09
,Siwan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.43
,,2003 - 2004,0.58
,,2004 - 2005,0.37
,,2005 - 2006,0.29
,,2006 - 2007,1.08
,,2007 - 2008,0.26
,,2008 - 2009,0.67
,,2009 - 2010,0.27
,,2010 - 2011,0.87
,,2011 - 2012,0.96
,,2012 - 2013,0.65
,,2013 - 2014,0.67
,,2014 - 2015,0.72
,,2015 - 2016,0.7
,,2016 - 2017,0.61
,,2017 - 2018,0.8
,,2018 - 2019,0.56
,,2019 - 2020,0.2
,,2020 - 2021,0.68
,,2021 - 2022,0.74
,,2022 - 2023,0.64
,Supaul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.43
,,2003 - 2004,0.45
,,2004 - 2005,0.71
,,2005 - 2006,0.36
,,2006 - 2007,0.47
,,2007 - 2008,0.52
,,2008 - 2009,0.75
,,2009 - 2010,0.28
,,2010 - 2011,0.34
,,2011 - 2012,0.37
,,2012 - 2013,0.69
,,2013 - 2014,0.84
,,2014 - 2015,0.53
,,2015 - 2016,0.35
,,2016 - 2017,0.69
,,2017 - 2018,0.51
,,2018 - 2019,0.55
,,2019 - 2020,0.72
,,2020 - 2021,0.43
,,2021 - 2022,0.49
,,2022 - 2023,0.68
,Vaishali,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.54
,,2003 - 2004,0.51
,,2004 - 2005,0.4
,,2005 - 2006,0.36
,,2006 - 2007,0.32
,,2007 - 2008,0.45
,,2008 - 2009,0.49
,,2009 - 2010,0.42
,,2010 - 2011,0.54
,,2011 - 2012,0.3
,,2012 - 2013,0.62
,,2013 - 2014,0.68
,,2014 - 2015,0.52
,,2015 - 2016,0.45
,,2016 - 2017,0.41
,,2017 - 2018,1.44
,,2018 - 2019,0.82
,,2019 - 2020,0.73
,,2020 - 2021,0.4
,,2021 - 2022,1.26
,,2022 - 2023,1.09
Chandigarh,Chandigarh,2000 - 2001,
Chhattisgarh,Balod,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baloda bazar,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balrampur,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bastar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bemetara,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bijapur,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bilaspur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.0
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dantewada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhamtari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Durg,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gariyaband,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gaurella-pendra-marwahi,2019 - 2020,0.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Janjgir-champa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jashpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kabirdham,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanker,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khairgarh chhuikhadan gandai,2022 - 2023,
,Kondagaon,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Korba,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,
,,2022 - 2023,
,Korea,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
