state,district,year,maize_kharif_yield_tonne_per_hectare
,,2020 - 2021,3.85
,,2021 - 2022,4.91
,,2022 - 2023,3.62
,Solan,2000 - 2001,2.03
,,2001 - 2002,2.36
,,2002 - 2003,1.62
,,2003 - 2004,2.07
,,2004 - 2005,1.76
,,2005 - 2006,1.67
,,2006 - 2007,2.17
,,2007 - 2008,2.36
,,2008 - 2009,2.41
,,2009 - 2010,2.54
,,2010 - 2011,0.89
,,2011 - 2012,0.76
,,2012 - 2013,3.04
,,2013 - 2014,2.84
,,2014 - 2015,2.42
,,2015 - 2016,3.5
,,2016 - 2017,2.54
,,2017 - 2018,3.5
,,2018 - 2019,2.83
,,2019 - 2020,2.83
,,2020 - 2021,3.27
,,2021 - 2022,2.88
,,2022 - 2023,2.95
,Una,2000 - 2001,1.85
,,2001 - 2002,2.07
,,2002 - 2003,1.48
,,2003 - 2004,2.41
,,2004 - 2005,2.14
,,2005 - 2006,1.65
,,2006 - 2007,2.13
,,2007 - 2008,2.34
,,2008 - 2009,2.13
,,2009 - 2010,2.17
,,2010 - 2011,2.93
,,2011 - 2012,2.11
,,2012 - 2013,2.6
,,2013 - 2014,2.41
,,2014 - 2015,2.07
,,2015 - 2016,3.0
,,2016 - 2017,2.17
,,2017 - 2018,3.0
,,2018 - 2019,2.77
,,2019 - 2020,2.78
,,2020 - 2021,2.18
,,2021 - 2022,2.08
,,2022 - 2023,3.21
Jammu and Kashmir,Anantnag,2000 - 2001,1.24
,,2001 - 2002,1.0
,,2002 - 2003,0.78
,,2003 - 2004,1.32
,,2004 - 2005,0.96
,,2005 - 2006,1.13
,,2006 - 2007,1.29
,,2007 - 2008,1.51
,,2009 - 2010,1.25
,,2010 - 2011,1.56
,,2011 - 2012,1.58
,,2012 - 2013,1.58
,,2014 - 2015,1.17
,,2015 - 2016,1.36
,,2016 - 2017,1.34
,,2017 - 2018,1.71
,,2018 - 2019,2.53
,,2019 - 2020,2.49
,Badgam,2000 - 2001,0.8
,,2001 - 2002,0.58
,,2002 - 2003,0.54
,,2003 - 2004,1.53
,,2004 - 2005,0.58
,,2005 - 2006,0.62
,,2006 - 2007,0.87
,,2007 - 2008,0.88
,,2009 - 2010,0.8
,,2010 - 2011,1.04
,,2011 - 2012,0.73
,,2012 - 2013,0.95
,,2014 - 2015,1.24
,,2015 - 2016,1.98
,,2016 - 2017,2.01
,,2017 - 2018,1.48
,,2018 - 2019,1.37
,,2019 - 2020,1.87
,Bandipora,2007 - 2008,0.95
,,2009 - 2010,1.08
,,2010 - 2011,1.56
,,2011 - 2012,1.6
,,2012 - 2013,0.92
,,2014 - 2015,0.81
,,2015 - 2016,1.43
,,2016 - 2017,1.7
,,2017 - 2018,2.16
,,2018 - 2019,2.05
,,2019 - 2020,1.33
,Baramulla,2000 - 2001,0.78
,,2001 - 2002,0.66
,,2002 - 2003,0.85
,,2003 - 2004,0.92
,,2004 - 2005,0.81
,,2005 - 2006,0.98
,,2006 - 2007,1.07
,,2007 - 2008,0.95
,,2009 - 2010,1.05
,,2010 - 2011,1.23
,,2011 - 2012,0.93
,,2012 - 2013,1.06
,,2014 - 2015,1.33
,,2015 - 2016,2.44
,,2016 - 2017,1.46
,,2017 - 2018,1.44
,,2018 - 2019,1.76
,,2019 - 2020,2.03
,Doda,2000 - 2001,1.2
,,2001 - 2002,1.27
,,2002 - 2003,0.55
,,2003 - 2004,1.71
,,2004 - 2005,0.9
,,2005 - 2006,1.12
,,2006 - 2007,1.12
,,2007 - 2008,1.14
,,2009 - 2010,1.35
,,2010 - 2011,1.03
,,2011 - 2012,1.46
,,2012 - 2013,1.5
,,2014 - 2015,1.1
,,2015 - 2016,1.66
,,2016 - 2017,1.61
,,2017 - 2018,1.48
,,2018 - 2019,1.51
,,2019 - 2020,1.71
,Ganderbal,2007 - 2008,1.16
,,2009 - 2010,1.6
,,2010 - 2011,1.59
,,2011 - 2012,1.51
,,2012 - 2013,0.93
,,2014 - 2015,0.74
,,2015 - 2016,1.74
,,2016 - 2017,1.75
,,2017 - 2018,1.04
,,2018 - 2019,1.09
,,2019 - 2020,1.16
,Jammu,2000 - 2001,1.56
,,2001 - 2002,1.8
,,2002 - 2003,1.86
,,2003 - 2004,1.72
,,2004 - 2005,1.64
,,2005 - 2006,1.6
,,2006 - 2007,1.68
,,2007 - 2008,1.56
,,2009 - 2010,1.12
,,2010 - 2011,1.59
,,2011 - 2012,2.1
,,2012 - 2013,2.27
,,2014 - 2015,1.21
,,2015 - 2016,2.95
,,2016 - 2017,2.95
,,2017 - 2018,1.94
,,2018 - 2019,1.52
,,2019 - 2020,1.66
,Kargil,2007 - 2008,2.5
,Kathua,2000 - 2001,2.48
,,2001 - 2002,2.4
,,2002 - 2003,1.77
,,2003 - 2004,2.47
,,2004 - 2005,2.45
,,2005 - 2006,1.98
,,2006 - 2007,2.09
,,2007 - 2008,2.07
,,2009 - 2010,1.83
,,2010 - 2011,2.04
,,2011 - 2012,2.36
,,2012 - 2013,2.09
,,2014 - 2015,1.47
,,2015 - 2016,2.94
,,2016 - 2017,2.57
,,2017 - 2018,3.5
,,2018 - 2019,3.49
,,2019 - 2020,3.14
,Kishtwar,2007 - 2008,1.14
,,2009 - 2010,1.94
,,2010 - 2011,1.56
,,2011 - 2012,1.17
,,2012 - 2013,1.24
,,2014 - 2015,0.49
,,2015 - 2016,0.95
,,2016 - 2017,1.48
,,2017 - 2018,1.15
,,2018 - 2019,0.75
,,2019 - 2020,1.43
,Kulgam,2007 - 2008,1.51
,,2009 - 2010,3.21
,,2010 - 2011,2.22
,,2011 - 2012,2.2
,,2012 - 2013,1.92
,,2014 - 2015,0.31
,,2015 - 2016,0.71
,,2016 - 2017,0.64
,,2017 - 2018,1.64
,,2018 - 2019,3.51
,,2019 - 2020,2.66
,Kupwara,2000 - 2001,0.75
,,2001 - 2002,0.74
,,2002 - 2003,0.88
,,2003 - 2004,0.91
,,2004 - 2005,0.99
,,2005 - 2006,1.17
,,2006 - 2007,0.75
,,2007 - 2008,0.93
,,2009 - 2010,1.01
,,2010 - 2011,1.17
,,2011 - 2012,1.04
,,2012 - 2013,1.11
,,2014 - 2015,0.86
,,2015 - 2016,1.36
,,2016 - 2017,1.31
,,2017 - 2018,1.15
,,2018 - 2019,1.92
,,2019 - 2020,1.56
,Poonch,2000 - 2001,2.87
,,2001 - 2002,2.45
,,2002 - 2003,2.5
,,2003 - 2004,1.95
,,2004 - 2005,2.15
,,2005 - 2006,2.0
,,2006 - 2007,2.48
,,2007 - 2008,1.79
,,2009 - 2010,1.91
,,2010 - 2011,1.93
,,2011 - 2012,1.18
,,2012 - 2013,1.31
,,2014 - 2015,1.55
,,2015 - 2016,1.52
,,2016 - 2017,1.64
,,2017 - 2018,2.13
,,2018 - 2019,2.92
,,2019 - 2020,2.56
,Pulwama,2000 - 2001,0.8
,,2001 - 2002,0.87
,,2002 - 2003,0.78
,,2003 - 2004,1.22
,,2004 - 2005,1.17
,,2005 - 2006,0.69
,,2006 - 2007,0.87
,,2007 - 2008,0.92
,,2009 - 2010,1.0
,,2010 - 2011,1.32
,,2011 - 2012,1.52
,,2012 - 2013,0.81
,,2014 - 2015,0.86
,,2015 - 2016,2.02
,,2016 - 2017,1.58
,,2017 - 2018,0.64
,,2018 - 2019,0.96
,,2019 - 2020,1.43
,Rajauri,2000 - 2001,2.67
,,2001 - 2002,2.95
,,2002 - 2003,2.59
,,2003 - 2004,2.16
,,2004 - 2005,2.56
,,2005 - 2006,2.29
,,2006 - 2007,2.43
,,2007 - 2008,2.67
,,2009 - 2010,2.36
,,2010 - 2011,2.38
,,2011 - 2012,1.81
,,2012 - 2013,2.23
,,2014 - 2015,1.51
,,2015 - 2016,1.44
,,2016 - 2017,1.7
,,2017 - 2018,2.2
,,2018 - 2019,3.03
,,2019 - 2020,2.38
,Ramban,2007 - 2008,1.14
,,2009 - 2010,1.04
,,2010 - 2011,1.22
,,2011 - 2012,1.88
,,2012 - 2013,1.7
,,2014 - 2015,0.72
,,2015 - 2016,1.15
,,2016 - 2017,1.72
,,2017 - 2018,1.32
,,2018 - 2019,1.48
,,2019 - 2020,1.44
,Reasi,2007 - 2008,1.81
,,2009 - 2010,1.19
,,2010 - 2011,1.94
,,2011 - 2012,1.4
,,2012 - 2013,1.44
,,2014 - 2015,0.8
,,2015 - 2016,0.56
,,2016 - 2017,0.98
,,2017 - 2018,0.81
,,2018 - 2019,1.31
,,2019 - 2020,1.75
,Samba,2007 - 2008,1.56
,,2009 - 2010,2.34
,,2010 - 2011,2.14
,,2011 - 2012,1.36
,,2012 - 2013,1.39
,,2014 - 2015,1.06
,,2015 - 2016,1.35
,,2016 - 2017,1.48
,,2017 - 2018,1.52
,,2018 - 2019,1.36
,,2019 - 2020,1.35
,Shopian,2007 - 2008,0.92
,,2009 - 2010,1.54
,,2010 - 2011,0.45
,,2011 - 2012,0.97
,,2012 - 2013,0.88
,,2015 - 2016,0.87
,,2016 - 2017,0.71
,,2017 - 2018,0.66
,,2018 - 2019,1.91
,,2019 - 2020,1.79
,Srinagar,2000 - 2001,0.99
,,2001 - 2002,1.23
,,2002 - 2003,1.46
,,2003 - 2004,1.07
,,2004 - 2005,1.29
,,2005 - 2006,1.02
,,2006 - 2007,1.39
,,2007 - 2008,1.12
,,2009 - 2010,0.83
,,2010 - 2011,1.27
,,2011 - 2012,0.74
,,2012 - 2013,0.5
,,2014 - 2015,1.04
,,2015 - 2016,1.04
,,2016 - 2017,1.38
,,2017 - 2018,0.44
,,2018 - 2019,1.91
,,2019 - 2020,1.88
,Udhampur,2000 - 2001,1.75
,,2001 - 2002,1.97
,,2002 - 2003,1.61
,,2003 - 2004,1.76
,,2004 - 2005,1.78
,,2005 - 2006,1.31
,,2006 - 2007,1.35
,,2007 - 2008,1.81
,,2009 - 2010,1.69
,,2010 - 2011,2.11
,,2011 - 2012,2.31
,,2012 - 2013,2.31
,,2014 - 2015,1.65
,,2015 - 2016,2.34
,,2016 - 2017,2.64
,,2017 - 2018,2.27
,,2018 - 2019,2.6
,,2019 - 2020,2.35
Jharkhand,Bokaro,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.15
,,2018 - 2019,1.52
,,2019 - 2020,2.95
,,2020 - 2021,3.7
,,2021 - 2022,2.9
,,2022 - 2023,3.7
,Chatra,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.25
,,2018 - 2019,2.3
,,2019 - 2020,2.15
,,2020 - 2021,2.18
,,2021 - 2022,2.18
,,2022 - 2023,1.84
,Deoghar,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.8
,,2018 - 2019,2.5
,,2019 - 2020,2.1
,,2020 - 2021,2.3
,,2021 - 2022,2.9
,,2022 - 2023,2.9
,Dhanbad,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.5
,,2018 - 2019,2.5
,,2019 - 2020,2.4
,,2020 - 2021,2.4
,,2021 - 2022,2.4
,,2022 - 2023,2.4
,Dumka,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,3.0
,,2018 - 2019,2.26
,,2019 - 2020,2.5
,,2020 - 2021,2.5
,,2021 - 2022,2.5
,,2022 - 2023,2.4
,East singhbum,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.53
,,2018 - 2019,1.5
,,2019 - 2020,1.5
,,2020 - 2021,2.1
,,2021 - 2022,2.4
,,2022 - 2023,2.42
,Garhwa,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.15
,,2018 - 2019,1.62
,,2019 - 2020,1.62
,,2020 - 2021,2.55
,,2021 - 2022,2.55
,,2022 - 2023,2.0
,Giridih,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.85
,,2018 - 2019,2.28
,,2019 - 2020,1.51
,,2020 - 2021,1.89
,,2021 - 2022,1.9
,,2022 - 2023,1.67
,Godda,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.01
,,2018 - 2019,1.13
,,2019 - 2020,0.59
,,2020 - 2021,1.13
,,2021 - 2022,2.5
,,2022 - 2023,2.57
,Gumla,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.63
,,2018 - 2019,2.55
,,2019 - 2020,2.49
,,2020 - 2021,3.32
,,2021 - 2022,3.32
,,2022 - 2023,2.6
,Hazaribagh,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.44
,,2018 - 2019,2.44
,,2019 - 2020,2.5
,,2020 - 2021,2.17
,,2021 - 2022,2.07
,,2022 - 2023,2.07
,Jamtara,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.5
,,2018 - 2019,1.3
,,2019 - 2020,1.83
,,2020 - 2021,1.9
,,2021 - 2022,2.1
,,2022 - 2023,2.03
,Khunti,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.4
,,2018 - 2019,1.29
,,2019 - 2020,2.2
,,2020 - 2021,2.49
,,2021 - 2022,2.96
,,2022 - 2023,1.75
,Koderma,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.0
,,2018 - 2019,0.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,2.08
,,2022 - 2023,1.2
,Latehar,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.64
,,2018 - 2019,0.64
,,2019 - 2020,1.59
,,2020 - 2021,1.58
,,2021 - 2022,1.58
,,2022 - 2023,1.58
,Lohardaga,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,3.04
,,2018 - 2019,3.05
,,2019 - 2020,3.05
,,2020 - 2021,3.01
,,2021 - 2022,3.2
,,2022 - 2023,3.05
,Pakur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.0
,,2018 - 2019,1.37
,,2019 - 2020,1.5
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,,2022 - 2023,1.0
,Palamu,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.1
,,2018 - 2019,0.98
,,2019 - 2020,1.58
,,2020 - 2021,1.59
,,2021 - 2022,1.47
,,2022 - 2023,1.27
,Ramgarh,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.5
,,2018 - 2019,2.5
,,2019 - 2020,2.5
,,2020 - 2021,2.14
,,2021 - 2022,2.15
,,2022 - 2023,2.26
,Ranchi,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.5
,,2018 - 2019,2.3
,,2019 - 2020,2.79
,,2020 - 2021,2.8
,,2021 - 2022,2.8
,,2022 - 2023,2.2
,Sahebganj,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.92
,,2018 - 2019,2.33
,,2019 - 2020,3.05
,,2020 - 2021,2.25
,,2021 - 2022,2.25
,,2022 - 2023,1.62
,Saraikela kharsawan,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.1
,,2018 - 2019,1.42
,,2019 - 2020,1.07
,,2020 - 2021,2.2
,,2021 - 2022,2.2
,,2022 - 2023,1.8
,Simdega,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,2.5
,,2018 - 2019,2.5
,,2019 - 2020,2.45
,,2020 - 2021,2.5
,,2021 - 2022,2.5
,,2022 - 2023,1.8
,West singhbhum,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,0.96
,,2018 - 2019,1.34
,,2019 - 2020,1.23
,,2020 - 2021,1.24
,,2021 - 2022,1.16
,,2022 - 2023,1.16
Karnataka,Bagalkot,2000 - 2001,3.17
,,2001 - 2002,3.11
,,2002 - 2003,3.04
,,2003 - 2004,3.65
,,2004 - 2005,3.48
,,2005 - 2006,3.93
,,2006 - 2007,3.79
,,2007 - 2008,3.95
,,2008 - 2009,3.63
,,2009 - 2010,2.09
,,2010 - 2011,4.02
,,2011 - 2012,3.53
,,2012 - 2013,2.53
,,2013 - 2014,3.54
,,2014 - 2015,3.74
,,2015 - 2016,3.7
,,2016 - 2017,3.89
,,2017 - 2018,4.57
,,2018 - 2019,4.17
,,2019 - 2020,3.73
,,2020 - 2021,4.5
,,2021 - 2022,4.0
,,2022 - 2023,4.42
,Bangalore rural,2000 - 2001,3.21
,,2001 - 2002,4.19
,,2002 - 2003,3.31
,,2003 - 2004,4.62
,,2004 - 2005,3.18
,,2005 - 2006,4.41
,,2006 - 2007,3.5
,,2007 - 2008,4.67
,,2008 - 2009,4.78
,,2009 - 2010,4.64
,,2010 - 2011,5.28
,,2011 - 2012,4.62
,,2012 - 2013,3.2
,,2013 - 2014,2.72
,,2014 - 2015,3.07
,,2015 - 2016,2.84
,,2016 - 2017,1.86
,,2017 - 2018,5.01
,,2018 - 2019,3.17
,,2019 - 2020,4.25
,,2020 - 2021,4.64
,,2021 - 2022,3.67
,,2022 - 2023,3.84
,Belgaum,2000 - 2001,2.6
,,2001 - 2002,2.04
,,2002 - 2003,1.98
,,2003 - 2004,2.5
,,2004 - 2005,3.17
,,2005 - 2006,3.55
,,2006 - 2007,3.43
,,2007 - 2008,3.25
,,2008 - 2009,2.84
,,2009 - 2010,1.94
,,2010 - 2011,3.63
,,2011 - 2012,3.48
,,2012 - 2013,2.52
,,2013 - 2014,3.16
,,2014 - 2015,3.75
,,2015 - 2016,2.1
,,2016 - 2017,3.04
,,2017 - 2018,4.6
,,2018 - 2019,3.83
,,2019 - 2020,3.51
,,2020 - 2021,4.45
,,2021 - 2022,4.24
,,2022 - 2023,3.95
,Bellary,2000 - 2001,3.09
,,2001 - 2002,3.25
,,2002 - 2003,2.27
,,2003 - 2004,2.75
,,2004 - 2005,3.02
,,2005 - 2006,3.25
,,2006 - 2007,2.27
,,2007 - 2008,2.83
,,2008 - 2009,2.71
,,2009 - 2010,1.95
,,2010 - 2011,2.85
,,2011 - 2012,2.1
,,2012 - 2013,2.31
,,2013 - 2014,2.75
,,2014 - 2015,2.61
,,2015 - 2016,2.63
,,2016 - 2017,2.67
,,2017 - 2018,3.85
,,2018 - 2019,2.7
,,2019 - 2020,3.54
,,2020 - 2021,3.94
,,2021 - 2022,3.32
,,2022 - 2023,3.83
,Bengaluru urban,2000 - 2001,3.22
,,2001 - 2002,2.74
,,2002 - 2003,2.5
,,2003 - 2004,3.05
,,2004 - 2005,3.34
,,2005 - 2006,3.58
,,2006 - 2007,3.45
,,2007 - 2008,3.34
,,2008 - 2009,2.86
,,2009 - 2010,2.38
,,2010 - 2011,3.55
,,2011 - 2012,3.1
,,2012 - 2013,2.56
,,2013 - 2014,3.17
,,2014 - 2015,3.13
,,2015 - 2016,2.73
,,2016 - 2017,5.21
,,2017 - 2018,4.97
,,2018 - 2019,3.06
,,2019 - 2020,6.69
,,2020 - 2021,7.58
,,2021 - 2022,5.28
,,2022 - 2023,5.46
,Bidar,2000 - 2001,2.16
,,2001 - 2002,1.72
,,2002 - 2003,1.45
,,2003 - 2004,1.51
,,2004 - 2005,1.85
,,2005 - 2006,1.88
,,2006 - 2007,1.63
,,2007 - 2008,2.14
,,2008 - 2009,1.84
,,2009 - 2010,0.65
,,2010 - 2011,1.86
,,2011 - 2012,2.23
,,2012 - 2013,2.56
,,2013 - 2014,3.9
,,2014 - 2015,1.25
,,2015 - 2016,1.89
,,2016 - 2017,0.75
,,2017 - 2018,3.45
,,2018 - 2019,1.91
,,2019 - 2020,1.77
,,2020 - 2021,2.97
,,2021 - 2022,1.96
,,2022 - 2023,1.94
,Bijapur,2000 - 2001,3.11
,,2001 - 2002,2.11
,,2002 - 2003,2.16
,,2003 - 2004,2.71
,,2004 - 2005,2.86
,,2005 - 2006,2.75
,,2006 - 2007,2.04
,,2007 - 2008,2.97
,,2008 - 2009,2.77
,,2009 - 2010,1.35
,,2010 - 2011,2.77
,,2011 - 2012,3.56
,,2012 - 2013,3.09
,,2013 - 2014,3.61
,,2014 - 2015,3.19
,,2015 - 2016,1.66
,,2016 - 2017,3.66
,,2017 - 2018,3.7
,,2018 - 2019,2.6
,,2019 - 2020,2.63
,,2020 - 2021,3.58
,,2021 - 2022,3.19
,,2022 - 2023,3.83
,Chamarajanagar,2000 - 2001,2.73
,,2001 - 2002,2.58
,,2002 - 2003,2.71
,,2003 - 2004,1.53
,,2004 - 2005,2.71
,,2005 - 2006,2.87
,,2006 - 2007,2.52
,,2007 - 2008,2.44
,,2008 - 2009,2.57
,,2009 - 2010,2.17
,,2010 - 2011,3.07
,,2011 - 2012,2.19
,,2012 - 2013,3.13
,,2013 - 2014,3.66
,,2014 - 2015,4.27
,,2015 - 2016,4.14
,,2016 - 2017,1.45
,,2017 - 2018,5.12
,,2018 - 2019,3.4
,,2019 - 2020,4.31
,,2020 - 2021,3.76
,,2021 - 2022,3.86
,,2022 - 2023,3.63
,Chikballapur,2007 - 2008,1.75
,,2008 - 2009,3.53
,,2009 - 2010,3.02
,,2010 - 2011,3.25
,,2011 - 2012,2.73
,,2012 - 2013,2.76
,,2013 - 2014,3.6
,,2014 - 2015,2.01
,,2015 - 2016,3.36
,,2016 - 2017,1.56
,,2017 - 2018,4.45
,,2018 - 2019,1.51
,,2019 - 2020,3.25
,,2020 - 2021,3.72
,,2021 - 2022,2.65
,,2022 - 2023,2.77
,Chikmagalur,2000 - 2001,3.34
,,2001 - 2002,2.38
,,2002 - 2003,1.72
,,2003 - 2004,1.49
,,2004 - 2005,1.96
,,2005 - 2006,3.89
,,2006 - 2007,3.76
,,2007 - 2008,2.92
,,2008 - 2009,2.45
,,2009 - 2010,2.75
,,2010 - 2011,3.43
,,2011 - 2012,2.54
,,2012 - 2013,2.08
,,2013 - 2014,2.59
,,2014 - 2015,2.58
,,2015 - 2016,2.39
,,2016 - 2017,3.52
,,2017 - 2018,2.96
,,2018 - 2019,2.93
,,2019 - 2020,2.99
,,2020 - 2021,3.28
,,2021 - 2022,2.7
,,2022 - 2023,2.83
,Chitradurga,2000 - 2001,3.14
,,2001 - 2002,2.71
,,2002 - 2003,1.58
,,2003 - 2004,1.07
,,2004 - 2005,2.51
,,2005 - 2006,1.38
,,2006 - 2007,1.76
,,2007 - 2008,2.85
