state,district,year,groundnut_kharif_yield_tonne_per_hectare
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baleshwar,2000 - 2001,1.07
,,2001 - 2002,1.0
,,2002 - 2003,0.99
,,2003 - 2004,1.11
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bargarh,2000 - 2001,0.72
,,2001 - 2002,0.83
,,2002 - 2003,0.81
,,2003 - 2004,1.07
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadrak,2000 - 2001,1.04
,,2001 - 2002,0.89
,,2002 - 2003,1.04
,,2003 - 2004,1.41
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2022 - 2023,
,Boudh,2000 - 2001,0.46
,,2001 - 2002,0.81
,,2002 - 2003,0.68
,,2003 - 2004,0.85
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Cuttack,2000 - 2001,0.84
,,2001 - 2002,0.91
,,2002 - 2003,0.85
,,2003 - 2004,1.32
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deogarh,2000 - 2001,0.7
,,2001 - 2002,0.98
,,2002 - 2003,0.76
,,2003 - 2004,1.19
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhenkanal,2000 - 2001,0.73
,,2001 - 2002,0.97
,,2002 - 2003,0.76
,,2003 - 2004,1.17
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gajapati,2000 - 2001,1.22
,,2001 - 2002,1.19
,,2002 - 2003,0.88
,,2003 - 2004,1.16
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ganjam,2000 - 2001,1.01
,,2001 - 2002,1.08
,,2002 - 2003,1.1
,,2003 - 2004,1.36
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagatsinghapur,2000 - 2001,1.04
,,2001 - 2002,1.14
,,2002 - 2003,1.39
,,2003 - 2004,1.11
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jajapur,2000 - 2001,0.71
,,2001 - 2002,1.28
,,2002 - 2003,1.02
,,2003 - 2004,1.65
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jharsuguda,2000 - 2001,1.15
,,2001 - 2002,0.87
,,2002 - 2003,0.67
,,2003 - 2004,0.64
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kalahandi,2000 - 2001,0.84
,,2001 - 2002,0.82
,,2002 - 2003,0.61
,,2003 - 2004,1.0
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kandhamal,2000 - 2001,0.67
,,2001 - 2002,0.63
,,2002 - 2003,0.77
,,2003 - 2004,0.77
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendrapara,2000 - 2001,1.11
,,2001 - 2002,0.93
,,2002 - 2003,1.06
,,2003 - 2004,1.26
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendujhar,2000 - 2001,0.63
,,2001 - 2002,0.76
,,2002 - 2003,0.65
,,2003 - 2004,0.92
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khordha,2000 - 2001,0.86
,,2001 - 2002,1.29
,,2002 - 2003,0.85
,,2003 - 2004,1.23
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Koraput,2000 - 2001,1.78
,,2001 - 2002,1.45
,,2002 - 2003,1.38
,,2003 - 2004,0.74
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Malkangiri,2000 - 2001,1.51
,,2001 - 2002,1.29
,,2002 - 2003,0.94
,,2003 - 2004,2.17
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mayurbhanj,2000 - 2001,1.05
,,2001 - 2002,1.03
,,2002 - 2003,1.0
,,2003 - 2004,1.13
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nabarangpur,2000 - 2001,0.75
,,2001 - 2002,0.85
,,2002 - 2003,0.29
,,2003 - 2004,0.8
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nayagarh,2000 - 2001,0.75
,,2001 - 2002,0.64
,,2002 - 2003,0.88
,,2003 - 2004,1.04
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nuapada,2000 - 2001,0.42
,,2001 - 2002,0.58
,,2002 - 2003,0.36
,,2003 - 2004,0.83
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Puri,2000 - 2001,0.85
,,2001 - 2002,1.17
,,2002 - 2003,1.11
,,2003 - 2004,1.24
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rayagada,2000 - 2001,0.62
,,2001 - 2002,0.74
,,2002 - 2003,0.67
,,2003 - 2004,0.7
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sambalpur,2000 - 2001,1.0
,,2001 - 2002,1.14
,,2002 - 2003,1.22
,,2003 - 2004,0.72
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sonepur,2000 - 2001,1.15
,,2001 - 2002,1.26
,,2002 - 2003,1.2
,,2003 - 2004,1.14
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sundargarh,2000 - 2001,0.77
,,2001 - 2002,0.96
,,2002 - 2003,0.7
,,2003 - 2004,1.1
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Puducherry,Karaikal,2000 - 2001,1.85
,,2001 - 2002,0.8
,,2004 - 2005,0.3
,,2005 - 2006,1.71
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2021 - 2022,
,,2022 - 2023,
,Mahe,2000 - 2001,1.39
,Pondicherry,2001 - 2002,1.59
,,2004 - 2005,1.97
,,2005 - 2006,1.97
,,2006 - 2007,
,,2007 - 2008,1.83
,,2008 - 2009,1.95
,,2009 - 2010,1.88
,,2010 - 2011,1.92
,,2011 - 2012,1.88
,,2012 - 2013,2.83
,,2013 - 2014,3.0
,,2014 - 2015,3.0
,,2015 - 2016,2.2
,,2016 - 2017,3.0
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,,2019 - 2020,3.0
,,2020 - 2021,2.67
,,2021 - 2022,2.5
,,2022 - 2023,2.52
Punjab,Bathinda,2001 - 2002,1.0
,,2002 - 2003,0.86
,,2003 - 2004,0.67
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,0.67
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,Faridkot,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,0.0
,,2010 - 2011,1.0
,Fazilka,2016 - 2017,2.0
,Firozepur,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,Hoshiarpur,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.69
,,2003 - 2004,0.93
,,2004 - 2005,0.88
,,2005 - 2006,0.85
,,2006 - 2007,0.86
,,2007 - 2008,0.85
,,2008 - 2009,0.96
,,2009 - 2010,1.23
,,2010 - 2011,1.85
,,2011 - 2012,1.75
,,2012 - 2013,1.81
,,2013 - 2014,1.85
,,2014 - 2015,1.86
,,2015 - 2016,1.9
,,2016 - 2017,1.9
,,2017 - 2018,1.92
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,,2022 - 2023,1.71
,Jalandhar,2006 - 2007,1.0
,Ludhiana,2002 - 2003,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,Mansa,2002 - 2003,0.67
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2011 - 2012,1.0
,Muktsar,2002 - 2003,0.67
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,Rupnagar,2002 - 2003,1.0
,,2004 - 2005,1.0
,Sangrur,2000 - 2001,1.0
,,2002 - 2003,0.67
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2009 - 2010,2.0
Rajasthan,Ajmer,2000 - 2001,0.28
,,2001 - 2002,0.65
,,2002 - 2003,0.14
,,2003 - 2004,1.27
,,2004 - 2005,0.25
,,2005 - 2006,0.4
,,2006 - 2007,0.37
,,2007 - 2008,1.09
,,2008 - 2009,0.67
,,2009 - 2010,0.12
,,2010 - 2011,1.41
,,2011 - 2012,1.36
,,2012 - 2013,0.83
,,2013 - 2014,1.34
,,2014 - 2015,1.35
,,2015 - 2016,1.45
,,2016 - 2017,1.33
,,2017 - 2018,1.41
,,2018 - 2019,1.06
,,2019 - 2020,1.39
,,2020 - 2021,1.57
,,2021 - 2022,1.04
,,2022 - 2023,1.1
,Alwar,2000 - 2001,0.93
,,2001 - 2002,1.23
,,2002 - 2003,0.69
,,2003 - 2004,1.57
,,2004 - 2005,1.55
,,2005 - 2006,1.55
,,2006 - 2007,1.31
,,2007 - 2008,1.69
,,2008 - 2009,1.36
,,2009 - 2010,2.1
,,2010 - 2011,1.97
,,2011 - 2012,1.75
,,2012 - 2013,1.83
,,2013 - 2014,1.93
,,2014 - 2015,2.02
,,2015 - 2016,2.03
,,2016 - 2017,1.47
,,2017 - 2018,1.63
,,2018 - 2019,2.05
,,2019 - 2020,2.19
,,2020 - 2021,2.26
,,2021 - 2022,2.13
,,2022 - 2023,2.4
,Banswara,2000 - 2001,0.92
,,2001 - 2002,1.23
,,2002 - 2003,0.69
,,2003 - 2004,1.57
,,2004 - 2005,1.55
,,2005 - 2006,1.55
,,2006 - 2007,1.3
,,2007 - 2008,1.72
,,2008 - 2009,1.67
,,2009 - 2010,1.09
,,2010 - 2011,1.97
,,2011 - 2012,1.93
,,2012 - 2013,1.55
,,2013 - 2014,1.95
,,2014 - 2015,2.02
,,2015 - 2016,2.03
,,2016 - 2017,2.05
,,2017 - 2018,1.95
,,2018 - 2019,2.05
,,2019 - 2020,2.2
,,2020 - 2021,2.26
,,2021 - 2022,2.13
,,2022 - 2023,2.4
,Baran,2000 - 2001,0.99
,,2001 - 2002,0.99
,,2002 - 2003,0.02
,,2003 - 2004,1.23
,,2004 - 2005,1.12
,,2005 - 2006,1.23
,,2006 - 2007,1.31
,,2007 - 2008,1.72
,,2008 - 2009,1.67
,,2009 - 2010,1.09
,,2010 - 2011,1.97
,,2011 - 2012,1.93
,,2012 - 2013,1.55
,,2013 - 2014,1.95
,,2014 - 2015,2.02
,,2015 - 2016,2.03
,,2016 - 2017,2.05
,,2017 - 2018,1.95
,,2018 - 2019,2.05
,,2019 - 2020,2.2
,,2020 - 2021,2.26
,,2021 - 2022,2.13
,,2022 - 2023,2.4
,Barmer,2001 - 2002,1.2
,,2002 - 2003,0.67
,,2003 - 2004,1.57
,,2004 - 2005,1.55
,,2005 - 2006,1.55
,,2006 - 2007,1.31
,,2007 - 2008,1.72
,,2008 - 2009,1.67
,,2009 - 2010,1.09
,,2010 - 2011,1.97
,,2011 - 2012,1.93
,,2012 - 2013,1.55
,,2013 - 2014,1.95
,,2014 - 2015,2.02
,,2015 - 2016,2.03
,,2016 - 2017,1.81
,,2017 - 2018,1.35
,,2018 - 2019,1.34
,,2019 - 2020,2.24
,,2020 - 2021,1.96
,,2021 - 2022,2.05
,,2022 - 2023,1.92
,Bharatpur,2000 - 2001,0.92
,,2001 - 2002,1.23
,,2002 - 2003,0.7
,,2003 - 2004,1.55
,,2004 - 2005,1.55
,,2005 - 2006,1.55
,,2006 - 2007,1.3
,,2007 - 2008,1.71
,,2008 - 2009,1.69
,,2009 - 2010,1.11
,,2010 - 2011,1.97
,,2011 - 2012,1.92
,,2012 - 2013,1.56
,,2013 - 2014,1.94
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.33
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,Bhilwara,2000 - 2001,1.05
,,2001 - 2002,1.08
,,2002 - 2003,0.47
,,2003 - 2004,1.28
,,2004 - 2005,1.21
,,2005 - 2006,1.1
,,2006 - 2007,0.73
,,2007 - 2008,1.23
,,2008 - 2009,1.12
,,2009 - 2010,0.37
,,2010 - 2011,1.42
,,2011 - 2012,1.15
,,2012 - 2013,1.08
,,2013 - 2014,0.85
,,2014 - 2015,1.32
,,2015 - 2016,0.76
,,2016 - 2017,0.95
,,2017 - 2018,1.21
,,2018 - 2019,1.51
,,2019 - 2020,0.79
,,2020 - 2021,1.57
,,2021 - 2022,1.29
,,2022 - 2023,1.5
,Bikaner,2000 - 2001,1.29
,,2001 - 2002,1.31
,,2002 - 2003,0.64
,,2003 - 2004,1.88
,,2004 - 2005,1.83
,,2005 - 2006,1.44
,,2006 - 2007,1.61
,,2007 - 2008,2.13
,,2008 - 2009,1.75
,,2009 - 2010,0.84
,,2010 - 2011,2.7
,,2011 - 2012,2.52
,,2012 - 2013,1.97
,,2013 - 2014,2.24
,,2014 - 2015,2.44
,,2015 - 2016,2.43
,,2016 - 2017,2.67
,,2017 - 2018,2.33
,,2018 - 2019,2.22
,,2019 - 2020,2.16
,,2020 - 2021,2.37
,,2021 - 2022,2.58
,,2022 - 2023,3.01
,Bundi,2000 - 2001,0.92
,,2001 - 2002,1.23
,,2002 - 2003,0.69
,,2003 - 2004,1.57
,,2004 - 2005,1.55
,,2005 - 2006,1.55
,,2006 - 2007,1.31
,,2007 - 2008,1.72
,,2008 - 2009,1.67
,,2009 - 2010,1.09
,,2010 - 2011,1.97
,,2011 - 2012,1.93
,,2012 - 2013,1.55
,,2013 - 2014,1.95
,,2014 - 2015,2.02
,,2015 - 2016,2.03
,,2016 - 2017,2.05
,,2017 - 2018,1.95
,,2018 - 2019,2.05
,,2019 - 2020,2.2
,,2020 - 2021,2.26
,,2021 - 2022,2.13
,,2022 - 2023,2.41
,Chittorgarh,2000 - 2001,0.89
,,2001 - 2002,1.41
,,2002 - 2003,0.94
,,2003 - 2004,1.4
,,2004 - 2005,1.26
,,2005 - 2006,1.41
,,2006 - 2007,0.86
,,2007 - 2008,1.32
,,2008 - 2009,1.11
,,2009 - 2010,1.1
,,2010 - 2011,1.6
,,2011 - 2012,1.38
,,2012 - 2013,1.38
,,2013 - 2014,0.92
,,2014 - 2015,1.17
,,2015 - 2016,0.97
,,2016 - 2017,0.84
,,2017 - 2018,1.69
,,2018 - 2019,1.98
,,2019 - 2020,0.78
,,2020 - 2021,2.2
,,2021 - 2022,1.44
,,2022 - 2023,1.34
,Churu,2000 - 2001,1.29
,,2001 - 2002,1.61
,,2002 - 2003,0.9
,,2003 - 2004,2.41
,,2004 - 2005,1.78
,,2005 - 2006,1.88
,,2006 - 2007,2.03
,,2007 - 2008,2.05
,,2008 - 2009,2.72
,,2009 - 2010,1.29
,,2010 - 2011,1.77
,,2011 - 2012,2.24
,,2012 - 2013,1.34
,,2013 - 2014,2.18
,,2014 - 2015,2.02
,,2015 - 2016,2.15
,,2016 - 2017,2.55
,,2017 - 2018,2.28
,,2018 - 2019,2.45
,,2019 - 2020,2.28
,,2020 - 2021,2.42
,,2021 - 2022,2.19
,,2022 - 2023,2.88
,Dausa,2000 - 2001,1.24
,,2001 - 2002,1.52
,,2002 - 2003,0.44
,,2003 - 2004,1.45
,,2004 - 2005,1.22
,,2005 - 2006,0.87
,,2006 - 2007,0.92
,,2007 - 2008,1.69
,,2008 - 2009,1.63
,,2009 - 2010,1.31
,,2010 - 2011,1.45
,,2011 - 2012,1.37
,,2012 - 2013,1.49
,,2013 - 2014,1.31
,,2014 - 2015,1.1
,,2015 - 2016,1.14
,,2016 - 2017,1.3
,,2017 - 2018,1.6
,,2018 - 2019,1.74
,,2019 - 2020,1.88
,,2020 - 2021,1.94
,,2021 - 2022,2.1
,,2022 - 2023,1.95
,Dholpur,2000 - 2001,0.92
,,2001 - 2002,1.23
,,2002 - 2003,0.69
,,2003 - 2004,1.56
,,2004 - 2005,1.55
,,2005 - 2006,1.55
,,2006 - 2007,1.31
,,2007 - 2008,1.73
,,2008 - 2009,1.67
,,2009 - 2010,1.14
,,2010 - 2011,1.97
,,2011 - 2012,1.93
,,2012 - 2013,1.54
,,2013 - 2014,1.95
,,2014 - 2015,2.03
,,2015 - 2016,2.02
,,2016 - 2017,2.05
,,2017 - 2018,1.94
,,2018 - 2019,2.06
,,2019 - 2020,2.19
,,2020 - 2021,2.25
,,2021 - 2022,2.14
,,2022 - 2023,2.5
,Dungarpur,2001 - 2002,1.2
,,2002 - 2003,0.75
,,2003 - 2004,1.57
,,2004 - 2005,1.55
,,2005 - 2006,1.55
,,2006 - 2007,1.31
,,2007 - 2008,1.72
,,2008 - 2009,1.66
,,2009 - 2010,1.08
,,2010 - 2011,1.97
,,2011 - 2012,1.93
,,2012 - 2013,1.56
,,2013 - 2014,1.94
,,2014 - 2015,2.02
,,2015 - 2016,2.0
,,2016 - 2017,2.05
,,2017 - 2018,1.95
,,2018 - 2019,2.06
,,2019 - 2020,2.21
,,2020 - 2021,2.26
,,2021 - 2022,2.13
,,2022 - 2023,2.4
,Ganganagar,2000 - 2001,1.12
,,2001 - 2002,0.81
,,2002 - 2003,0.99
,,2003 - 2004,0.96
,,2004 - 2005,1.83
,,2005 - 2006,1.25
,,2006 - 2007,1.35
,,2007 - 2008,1.82
,,2008 - 2009,2.21
,,2009 - 2010,0.84
,,2010 - 2011,1.7
,,2011 - 2012,2.04
,,2012 - 2013,2.12
